bri,mired,watt
1,153,0.87
1,163,0.87
1,173,0.87
1,183,0.83
1,193,0.87
1,203,0.87
1,213,0.83
1,223,0.87
1,233,0.83
1,243,0.87
1,253,0.83
1,263,0.87
1,273,0.83
1,283,0.87
1,293,0.87
1,303,0.87
1,313,0.87
1,323,0.87
1,333,0.87
1,343,0.87
1,353,0.87
1,363,0.83
1,373,0.83
1,383,0.87
1,393,0.87
1,403,0.83
1,413,0.87
1,423,0.83
1,433,0.87
1,443,0.9
1,453,0.87
1,463,0.87
1,473,0.87
1,483,0.87
1,493,0.87
1,500,0.83
6,153,0.93
6,163,0.93
6,173,0.93
6,183,0.93
6,193,0.9
6,203,0.9
6,213,0.9
6,223,0.93
6,233,0.93
6,243,0.93
6,253,0.9
6,263,0.9
6,273,0.93
6,283,0.9
6,293,0.93
6,303,0.9
6,313,0.93
6,323,0.93
6,333,0.93
6,343,0.9
6,353,0.93
6,363,0.93
6,373,0.9
6,383,0.9
6,393,0.93
6,403,0.93
6,413,0.9
6,423,0.9
6,433,0.93
6,443,0.93
6,453,0.93
6,463,0.93
6,473,0.93
6,483,0.93
6,493,0.93
6,500,0.93
11,153,1.0
11,163,1.0
11,173,1.0
11,183,1.0
11,193,1.0
11,203,1.03
11,213,1.0
11,223,1.0
11,233,1.03
11,243,1.03
11,253,1.0
11,263,1.0
11,273,1.03
11,283,1.03
11,293,0.97
11,303,1.0
11,313,1.0
11,323,1.0
11,333,1.0
11,343,1.03
11,353,1.0
11,363,1.0
11,373,1.03
11,383,1.03
11,393,1.0
11,403,1.0
11,413,1.0
11,423,1.0
11,433,1.03
11,443,1.0
11,453,1.0
11,463,1.03
11,473,1.03
11,483,1.0
11,493,1.0
11,500,1.0
16,153,1.13
16,163,1.1
16,173,1.1
16,183,1.13
16,193,1.1
16,203,1.1
16,213,1.1
16,223,1.13
16,233,1.1
16,243,1.13
16,253,1.1
16,263,1.1
16,273,1.1
16,283,1.1
16,293,1.1
16,303,1.1
16,313,1.1
16,323,1.07
16,333,1.1
16,343,1.1
16,353,1.1
16,363,1.13
16,373,1.1
16,383,1.1
16,393,1.13
16,403,1.13
16,413,1.13
16,423,1.13
16,433,1.1
16,443,1.1
16,453,1.1
16,463,1.1
16,473,1.1
16,483,1.1
16,493,1.1
16,500,1.13
21,153,1.2
21,163,1.17
21,173,1.2
21,183,1.17
21,193,1.17
21,203,1.2
21,213,1.17
21,223,1.2
21,233,1.17
21,243,1.2
21,253,1.17
21,263,1.2
21,273,1.17
21,283,1.17
21,293,1.2
21,303,1.2
21,313,1.17
21,323,1.2
21,333,1.2
21,343,1.2
21,353,1.2
21,363,1.2
21,373,1.17
21,383,1.2
21,393,1.2
21,403,1.2
21,413,1.17
21,423,1.2
21,433,1.2
21,443,1.2
21,453,1.2
21,463,1.2
21,473,1.2
21,483,1.2
21,493,1.2
21,500,1.2
26,153,1.23
26,163,1.27
26,173,1.27
26,183,1.27
26,193,1.27
26,203,1.27
26,213,1.27
26,223,1.27
26,233,1.27
26,243,1.27
26,253,1.3
26,263,1.23
26,273,1.27
26,283,1.27
26,293,1.27
26,303,1.27
26,313,1.27
26,323,1.27
26,333,1.27
26,343,1.3
26,353,1.27
26,363,1.27
26,373,1.27
26,383,1.23
26,393,1.27
26,403,1.27
26,413,1.27
26,423,1.27
26,433,1.27
26,443,1.3
26,453,1.3
26,463,1.27
26,473,1.3
26,483,1.27
26,493,1.27
26,500,1.3
31,153,1.37
31,163,1.37
31,173,1.33
31,183,1.37
31,193,1.37
31,203,1.37
31,213,1.37
31,223,1.33
31,233,1.37
31,243,1.33
31,253,1.37
31,263,1.37
31,273,1.37
31,283,1.37
31,293,1.37
31,303,1.37
31,313,1.33
31,323,1.37
31,333,1.37
31,343,1.37
31,353,1.37
31,363,1.37
31,373,1.37
31,383,1.37
31,393,1.37
31,403,1.37
31,413,1.37
31,423,1.37
31,433,1.37
31,443,1.37
31,453,1.37
31,463,1.33
