bri,mired,watt
1,154,0.98
1,164,0.88
1,174,0.99
1,184,0.97
1,194,1.02
1,204,0.99
1,214,0.97
1,224,0.95
1,234,0.96
1,244,1.00
1,254,1.02
1,264,0.97
1,274,0.99
1,284,1.06
1,294,0.97
1,304,1.00
1,314,0.97
1,324,0.98
1,334,0.99
1,344,1.00
1,354,1.01
1,364,0.93
1,371,0.95
6,154,0.95
6,164,0.88
6,174,1.01
6,184,1.05
6,194,1.03
6,204,0.98
6,214,1.02
6,224,1.01
6,234,0.99
6,244,0.96
6,254,0.97
6,264,1.00
6,274,0.99
6,284,1.00
6,294,0.98
6,304,0.96
6,314,0.95
6,324,0.97
6,334,0.93
6,344,0.98
6,354,0.96
6,364,0.97
6,371,1.02
11,154,0.93
11,164,0.91
11,174,0.98
11,184,0.98
11,194,0.96
11,204,0.93
11,214,0.96
11,224,0.94
11,234,0.99
11,244,1.00
11,254,0.94
11,264,0.99
11,274,0.99
11,284,1.00
11,294,0.96
11,304,1.03
11,314,1.00
11,324,0.94
11,334,0.99
11,344,1.01
11,354,0.96
11,364,0.99
11,371,1.00
16,154,0.94
16,164,0.93
16,174,0.96
16,184,0.97
16,194,0.97
16,204,0.95
16,214,0.99
16,224,0.98
16,234,0.98
16,244,0.96
16,254,0.95
16,264,0.96
16,274,1.00
16,284,0.97
16,294,1.00
16,304,0.98
16,314,1.01
16,324,1.00
16,334,1.02
16,344,1.00
16,354,1.00
16,364,1.00
16,371,0.96
21,154,0.88
21,164,0.96
21,174,1.00
21,184,0.96
21,194,0.94
21,204,0.98
21,214,0.98
21,224,1.03
21,234,0.91
21,244,0.96
21,254,1.00
21,264,0.95
21,274,0.95
21,284,1.03
21,294,0.98
21,304,0.98
21,314,0.98
21,324,1.00
21,334,0.99
21,344,0.98
21,354,1.00
21,364,1.01
21,371,1.03
26,154,0.95
26,164,0.94
26,174,0.98
26,184,1.02
26,194,0.97
26,204,0.96
26,214,1.00
26,224,1.00
26,234,1.04
26,244,0.93
26,254,0.96
26,264,0.96
26,274,1.00
26,284,0.98
26,294,1.00
26,304,0.98
26,314,1.00
26,324,1.02
26,334,0.98
26,344,0.97
26,354,1.00
26,364,0.98
26,371,1.00
31,154,1.00
31,164,0.98
31,174,1.04
31,184,1.03
31,194,1.00
31,204,1.04
31,214,0.97
31,224,0.97
31,234,0.96
31,244,0.94
31,254,1.03
31,264,1.00
31,274,1.00
31,284,1.00
31,294,1.00
31,304,1.02
31,314,1.03
31,324,0.98
31,334,1.01
31,344,1.00
31,354,0.99
31,364,1.00
31,371,1.00
36,154,0.94
36,164,0.96
36,174,1.00
36,184,1.04
36,194,1.00
36,204,0.97
36,214,1.01
36,224,1.01
36,234,1.02
36,244,1.02
36,254,1.03
36,264,0.99
36,274,1.01
36,284,1.02
36,294,0.99
36,304,1.04
36,314,1.04
36,324,0.97
36,334,0.98
36,344,0.96
36,354,0.99
36,364,1.03
36,371,1.05
41,154,0.99
41,164,0.94
41,174,1.03
41,184,1.00
41,194,1.08
41,204,1.05
41,214,1.05
41,224,1.04
41,234,1.00
41,244,1.00
41,254,1.04
41,264,1.02
41,274,1.04
41,284,1.04
41,294,1.04
41,304,1.07
41,314,1.02
41,324,1.04
41,334,1.08
41,344,1.04
41,354,1.04
41,364,1.04
41,371,1.04
46,154,1.05
46,164,1.08
46,174,1.09
46,184,1.12
46,194,1.08
46,204,1.06
46,214,1.05
46,224,1.05
46,234,0.98
46,244,1.02
46,254,1.02
46,264,1.06
46,274,1.07
46,284,1.07
46,294,1.07
46,304,1.05
46,314,1.08
46,324,1.12
46,334,1.03
46,344,1.07
46,354,1.03
46,364,1.07
46,371,1.07
51,154,1.00
51,164,1.10
51,174,1.16
51,184,1.14
51,194,1.14
51,204,1.13
51,214,1.09
51,224,1.11
51,234,1.11
51,244,1.07
51,254,1.04
51,264,1.08
51,274,1.10
51,284,1.10
51,294,1.10
51,304,1.09
51,314,1.07
51,324,1.13
51,334,1.10
51,344,1.13
51,354,1.07
51,364,1.15
51,371,1.10
56,154,1.07
56,164,1.12
56,174,1.15
56,184,1.17
56,194,1.19
56,204,1.12
56,214,1.14
56,224,1.14
56,234,1.12
56,244,1.16
56,254,1.19
56,264,1.16
56,274,1.17
56,284,1.18
56,294,1.12
56,304,1.18
56,314,1.16
56,324,1.14
56,334,1.11
56,344,1.18
56,354,1.13
56,364,1.17
56,371,1.17
61,184,1.17
61,194,1.18
61,204,1.21
61,214,1.26
61,224,1.26
61,234,1.21
61,244,1.18
61,254,1.21
61,264,1.21
61,274,1.20
61,284,1.22
61,294,1.19
61,304,1.18
61,314,1.17
61,324,1.18
61,334,1.16
61,344,1.12
61,354,1.15
61,364,1.20
61,371,1.25
66,154,1.19
66,164,1.29
66,174,1.25
66,184,1.29
66,194,1.23
66,204,1.28
66,214,1.28
66,224,1.21
66,234,1.25
66,244,1.20
66,254,1.29
66,264,1.28
66,274,1.29
66,284,1.24
66,294,1.33
66,304,1.25
66,314,1.22
66,324,1.23
66,334,1.26
66,344,1.24
66,354,1.26
66,364,1.27
66,371,1.24
71,154,1.23
71,164,1.30
71,174,1.33
71,184,1.33
71,194,1.30
71,204,1.30
71,214,1.32
71,224,1.32
71,234,1.33
71,244,1.33
71,254,1.33
71,264,1.34
71,274,1.34
71,284,1.32
71,294,1.28
71,304,1.39
71,314,1.34
71,324,1.38
71,334,1.34
71,344,1.36
71,354,1.36
71,364,1.33
71,371,1.34
76,154,1.37
76,164,1.38
76,174,1.43
76,184,1.44
76,194,1.42
76,204,1.43
76,214,1.44
76,224,1.42
76,234,1.47
76,244,1.40
76,254,1.41
76,264,1.42
76,274,1.41
76,284,1.41
76,294,1.46
76,304,1.37
76,314,1.41
76,324,1.45
76,334,1.42
76,344,1.39
76,354,1.42
76,364,1.40
76,371,1.46
81,154,1.46
81,164,1.49
81,174,1.53
81,184,1.49
81,194,1.54
81,204,1.55
81,214,1.53
81,224,1.51
81,234,1.50
81,244,1.47
81,254,1.57
81,264,1.56
81,274,1.55
81,284,1.48
81,294,1.51
81,304,1.55
81,314,1.53
81,324,1.51
81,334,1.51
81,344,1.42
81,354,1.50
81,364,1.54
81,371,1.57
86,154,1.50
86,164,1.58
86,174,1.60
86,184,1.66
86,194,1.63
86,204,1.61
86,214,1.63
86,224,1.63
86,234,1.61
86,244,1.61
86,254,1.62
86,264,1.59
86,274,1.62
86,284,1.58
86,294,1.58
86,304,1.64
86,314,1.62
86,324,1.65
86,334,1.56
86,344,1.62
86,354,1.56
86,364,1.56
86,371,1.59
91,154,1.62
91,164,1.73
91,174,1.69
91,184,1.74
91,194,1.74
91,204,1.70
91,214,1.72
91,224,1.73
91,234,1.75
91,244,1.73
91,254,1.68
91,264,1.71
91,274,1.78
91,284,1.70
91,294,1.71
91,304,1.71
91,314,1.67
91,324,1.70
91,334,1.64
91,344,1.72
91,354,1.70
91,364,1.67
91,371,1.71
96,154,1.72
96,164,1.81
96,174,1.81
96,184,1.81
96,194,1.82
96,204,1.83
96,214,1.82
96,224,1.80
96,234,1.84
96,244,1.91
96,254,1.83
96,264,1.84
96,274,1.81
96,284,1.83
96,294,1.83
96,304,1.85
96,314,1.88
96,324,1.82
96,334,1.81
96,344,1.82
96,354,1.78
96,364,1.88
96,371,1.90
101,154,1.92
101,164,1.92
101,174,1.97
101,184,1.99
101,194,1.99
101,204,1.96
101,214,1.98
101,224,1.98
101,234,2.05
101,244,2.04
101,254,1.99
101,264,1.90
101,274,1.96
101,284,1.89
101,294,1.98
101,304,2.04
101,314,1.99
101,324,1.96
101,334,1.90
101,344,1.92
101,354,1.97
101,364,1.98
101,371,1.96
106,154,1.95
106,164,2.09
106,174,2.13
106,184,2.04
106,194,2.10
106,204,2.05
106,214,2.12
106,224,2.10
106,234,2.14
106,244,2.11
106,254,2.07
106,264,2.08
106,274,2.08
106,284,2.15
