bri,mired,watt
1,153,1.07
1,163,0.97
1,173,0.97
1,183,0.93
1,193,0.97
1,203,0.93
1,213,0.93
1,223,0.97
1,233,0.93
1,243,0.97
1,253,0.97
1,263,0.97
1,273,0.97
1,283,0.97
1,293,0.93
1,303,0.93
1,313,0.93
1,323,0.97
1,333,0.97
1,343,0.93
1,353,0.97
1,363,0.97
1,373,0.97
1,383,0.97
1,393,0.97
1,403,0.97
1,413,0.97
1,423,0.93
1,433,0.93
1,443,0.97
1,453,0.97
1,463,0.97
1,473,0.97
1,483,0.97
1,493,0.97
1,500,0.97
6,153,1.03
6,163,1.0
6,173,1.03
6,183,1.03
6,193,1.0
6,203,1.0
6,213,1.03
6,223,1.0
6,233,1.0
6,243,1.0
6,253,1.03
6,263,1.0
6,273,1.03
6,283,1.0
6,293,1.03
6,303,1.0
6,313,1.03
6,323,1.03
6,333,1.0
6,343,1.0
6,353,1.0
6,363,1.0
6,373,1.0
6,383,1.03
6,393,1.03
6,403,1.03
6,413,1.03
6,423,1.0
6,433,1.0
6,443,1.0
6,453,1.03
6,463,1.03
6,473,1.03
6,483,1.03
6,493,1.03
6,500,1.03
11,153,1.13
11,163,1.13
11,173,1.13
11,183,1.1
11,193,1.1
11,203,1.1
11,213,1.1
11,223,1.1
11,233,1.13
11,243,1.13
11,253,1.13
11,263,1.13
11,273,1.1
11,283,1.1
11,293,1.13
11,303,1.1
11,313,1.13
11,323,1.1
11,333,1.1
11,343,1.13
11,353,1.1
11,363,1.13
11,373,1.1
11,383,1.13
11,393,1.13
11,403,1.13
11,413,1.13
11,423,1.1
11,433,1.1
11,443,1.13
11,453,1.13
11,463,1.13
11,473,1.13
11,483,1.13
11,493,1.13
11,500,1.13
16,153,1.2
16,163,1.23
16,173,1.2
16,183,1.23
16,193,1.2
16,203,1.2
16,213,1.2
16,223,1.23
16,233,1.2
16,243,1.23
16,253,1.23
16,263,1.23
16,273,1.23
16,283,1.23
16,293,1.2
16,303,1.23
16,313,1.2
16,323,1.23
16,333,1.2
16,343,1.23
16,353,1.23
16,363,1.23
16,373,1.23
16,383,1.23
16,393,1.23
16,403,1.23
16,413,1.23
16,423,1.23
16,433,1.2
16,443,1.2
16,453,1.2
16,463,1.2
16,473,1.23
16,483,1.23
16,493,1.23
16,500,1.2
21,153,1.33
21,163,1.3
21,173,1.33
21,183,1.3
21,193,1.33
21,203,1.3
21,213,1.3
21,223,1.33
21,233,1.3
21,243,1.3
21,253,1.3
21,263,1.33
21,273,1.33
21,283,1.3
21,293,1.33
21,303,1.33
21,313,1.33
21,323,1.3
21,333,1.33
21,343,1.33
21,353,1.33
21,363,1.33
21,373,1.33
21,383,1.33
21,393,1.33
21,403,1.33
21,413,1.33
21,423,1.33
21,433,1.33
21,443,1.33
21,453,1.37
21,463,1.3
21,473,1.33
21,483,1.37
21,493,1.37
21,500,1.37
26,153,1.43
26,163,1.4
26,173,1.43
26,183,1.4
26,193,1.4
26,203,1.43
26,213,1.4
26,223,1.43
26,233,1.4
26,243,1.4
26,253,1.43
26,263,1.4
26,273,1.43
26,283,1.4
26,293,1.4
26,303,1.4
26,313,1.4
26,323,1.43
26,333,1.43
26,343,1.43
26,353,1.43
26,363,1.4
26,373,1.43
26,383,1.43
26,393,1.4
26,403,1.4
26,413,1.43
26,423,1.43
26,433,1.4
26,443,1.4
26,453,1.43
26,463,1.43
26,473,1.43
26,483,1.43
26,493,1.43
26,500,1.43
31,153,1.5
31,163,1.53
31,173,1.5
31,183,1.5
31,193,1.5
31,203,1.5
31,213,1.5
31,223,1.5
31,233,1.53
31,243,1.5
31,253,1.5
31,263,1.5
31,273,1.53
31,283,1.53
31,293,1.5
31,303,1.5
31,313,1.53
31,323,1.5
31,333,1.53
31,343,1.53
31,353,1.5
31,363,1.53
31,373,1.5
31,383,1.53
31,393,1.53
31,403,1.53
31,413,1.53
31,423,1.5
31,433,1.53
31,443,1.5
31,453,1.53
31,463,1.53
31,473,1.53
31,483,1.5
31,493,1.53
31,500,1.5
36,153,1.63
36,163,1.63
36,173,1.6
36,183,1.6
