bri,mired,watt
1,153,0.58
1,163,0.62
1,173,0.61
1,183,0.66
1,193,0.63
1,203,0.64
1,213,0.64
1,223,0.64
1,233,0.59
1,243,0.58
1,253,0.56
1,263,0.58
1,273,0.57
1,283,0.6
1,293,0.6
1,303,0.6
1,313,0.6
1,323,0.59
1,333,0.61
1,343,0.62
1,353,0.62
1,363,0.59
1,373,0.61
1,383,0.57
1,393,0.63
1,403,0.58
1,413,0.54
1,423,0.53
1,433,0.56
1,443,0.55
1,453,0.51
1,463,0.54
1,473,0.49
1,483,0.5
1,493,0.51
1,503,0.51
1,513,0.53
1,523,0.53
1,533,0.53
1,543,0.52
1,553,0.49
1,556,0.5
6,153,0.58
6,163,0.6
6,173,0.57
6,183,0.64
6,193,0.66
6,203,0.59
6,213,0.61
6,223,0.6
6,233,0.58
6,243,0.58
6,253,0.55
6,263,0.6
6,273,0.57
6,283,0.6
6,293,0.58
6,303,0.56
6,313,0.58
6,323,0.6
6,333,0.61
6,343,0.58
6,353,0.6
6,363,0.6
6,373,0.6
6,383,0.62
6,393,0.57
6,403,0.58
6,413,0.58
6,423,0.54
6,433,0.53
6,443,0.54
6,453,0.5
6,463,0.53
6,473,0.53
6,483,0.5
6,493,0.5
6,503,0.49
6,513,0.45
6,523,0.55
6,533,0.49
6,543,0.51
6,553,0.49
6,556,0.48
11,153,0.58
11,163,0.54
11,173,0.58
11,183,0.61
11,193,0.6
11,203,0.55
11,213,0.58
11,223,0.56
11,233,0.57
11,243,0.58
11,253,0.58
11,263,0.59
11,273,0.57
11,283,0.6
11,293,0.56
11,303,0.55
11,313,0.56
11,323,0.57
11,333,0.6
11,343,0.57
11,353,0.61
11,363,0.64
11,373,0.6
11,383,0.58
11,393,0.58
11,403,0.57
11,413,0.57
11,423,0.53
11,433,0.54
11,443,0.51
11,453,0.49
11,463,0.49
11,473,0.49
11,483,0.48
11,493,0.53
11,503,0.46
11,513,0.49
11,523,0.49
11,533,0.51
11,543,0.49
11,553,0.5
11,556,0.5
16,153,0.51
16,163,0.58
16,173,0.62
16,183,0.66
16,193,0.6
16,203,0.62
16,213,0.56
16,223,0.57
16,233,0.55
16,243,0.55
16,253,0.57
16,263,0.57
16,273,0.56
16,283,0.59
16,293,0.57
16,303,0.55
16,313,0.58
16,323,0.56
16,333,0.55
16,343,0.6
16,353,0.6
16,363,0.58
16,373,0.53
16,383,0.51
16,393,0.53
16,403,0.53
16,413,0.52
16,423,0.53
16,433,0.49
16,443,0.48
16,453,0.48
16,463,0.45
16,473,0.46
16,483,0.41
16,493,0.45
16,503,0.45
16,513,0.45
16,523,0.45
16,533,0.5
16,543,0.54
16,553,0.53
16,556,0.55
21,153,0.65
21,163,0.72
21,173,0.7
21,183,0.76
21,193,0.72
21,203,0.69
21,213,0.7
21,223,0.72
21,233,0.71
21,243,0.71
21,253,0.7
21,263,0.69
21,273,0.74
21,283,0.71
21,293,0.66
21,303,0.69
21,313,0.67
21,323,0.7
21,333,0.67
21,343,0.69
21,353,0.7
21,363,0.73
21,373,0.77
21,383,0.7
21,393,0.65
21,403,0.68
21,413,0.64
21,423,0.64
21,433,0.64
21,443,0.64
21,453,0.57
21,463,0.57
21,473,0.59
21,483,0.58
21,493,0.56
21,503,0.59
21,513,0.57
21,523,0.58
21,533,0.56
21,543,0.57
21,553,0.57
21,556,0.56
26,153,0.78
26,163,0.77
26,173,0.83
26,183,0.82
26,193,0.8
26,203,0.82
26,213,0.82
26,223,0.79
26,233,0.83
26,243,0.76
26,253,0.82
26,263,0.78
26,273,0.78
26,283,0.82
26,293,0.79
26,303,0.78
26,313,0.81
26,323,0.79
26,333,0.78
26,343,0.78
26,353,0.78
26,363,0.82
26,373,0.81
26,383,0.8
26,393,0.76
26,403,0.78
26,413,0.74
26,423,0.72
26,433,0.74
26,443,0.74
26,453,0.68
26,463,0.65
26,473,0.62
26,483,0.59
26,493,0.62
26,503,0.61
26,513,0.61
26,523,0.59
26,533,0.6
26,543,0.62
26,553,0.62
26,556,0.64
31,153,0.83
31,163,0.92
31,173,0.91
31,183,0.87
31,193,0.91
31,203,0.87
31,213,0.9
31,223,0.91
31,233,0.9
31,243,0.9
31,253,0.88
31,263,0.89
31,273,0.86
31,283,0.85
31,293,0.86
31,303,0.9
31,313,0.86
31,323,0.91
31,333,0.86
31,343,0.9
31,353,0.91
31,363,0.91
31,373,0.93
31,383,0.86
31,393,0.86
31,403,0.84
31,413,0.8
31,423,0.78
31,433,0.78
31,443,0.76
31,453,0.74
31,463,0.73
31,473,0.7
31,483,0.65
31,493,0.64
31,503,0.65
31,513,0.62
31,523,0.62
31,533,0.61
31,543,0.67
31,553,0.63
31,556,0.65
36,153,1
36,163,0.97
36,173,0.99
36,183,0.96
36,193,0.96
36,203,0.93
36,213,0.97
36,223,0.99
36,233,0.99
36,243,0.93
36,253,0.97
36,263,0.94
36,273,0.96
36,283,0.96
36,293,0.95
36,303,0.96
36,313,0.98
36,323,0.95
36,333,0.95
36,343,0.99
36,353,0.95
36,363,1
36,373,1
36,383,0.96
36,393,0.96
36,403,0.93
36,413,0.86
36,423,0.83
36,433,0.84
36,443,0.79
36,453,0.79
36,463,0.72
36,473,0.65
36,483,0.7
36,493,0.68
36,503,0.65
36,513,0.62
36,523,0.66
36,533,0.68
36,543,0.64
36,553,0.65
36,556,0.66
41,153,1.04
41,163,1.06
41,173,1.05
41,183,0.98
41,193,0.98
41,203,1.04
41,213,1.01
41,223,1.01
41,233,1.07
41,243,0.98
41,253,1.01
41,263,1.04
41,273,1.03
41,283,1.03
41,293,0.96
41,303,0.97
41,313,1.05
41,323,0.99
41,333,1.01
41,343,1.03
41,353,1
41,363,1.01
41,373,1.03
41,383,0.98
41,393,0.99
41,403,0.95
41,413,0.92
41,423,0.89
41,433,0.82
41,443,0.78
41,453,0.78
41,463,0.72
41,473,0.7
41,483,0.66
41,493,0.66
41,503,0.62
41,513,0.66
41,523,0.66
41,533,0.64
41,543,0.64
41,553,0.62
41,556,0.64
46,153,1.08
46,163,1.11
46,173,1.1
46,183,1.08
46,193,1.08
46,203,1.04
46,213,1.04
46,223,1.03
46,233,1.07
46,243,1.08
46,253,1.07
46,263,1.05
46,273,1.1
46,283,1.05
46,293,1.11
46,303,1.1
46,313,1.13
46,323,1.05
46,333,1.08
46,343,1.03
46,353,1.08
46,363,1.04
46,373,1.08
46,383,1.05
46,393,1.03
46,403,1
46,413,0.95
46,423,0.89
46,433,0.87
46,443,0.79
46,453,0.83
46,463,0.7
46,473,0.68
46,483,0.66
46,493,0.68
46,503,0.66
46,513,0.61
46,523,0.66
46,533,0.66
46,543,0.61
46,553,0.62
46,556,0.64
51,153,1.14
51,163,1.12
51,173,1.13
51,183,1.15
51,193,1.15
51,203,1.13
51,213,1.12
51,223,1.13
51,233,1.13
51,243,1.12
51,253,1.14
51,263,1.17
51,273,1.1
51,283,1.16
51,293,1.12
51,303,1.13
51,313,1.11
51,323,1.17
51,333,1.15
51,343,1.12
51,353,1.13
51,363,1.12
51,373,1.13
51,383,1.09
51,393,1.07
51,403,1.03
51,413,1.02
51,423,0.96
51,433,0.94
51,443,0.9
51,453,0.85
51,463,0.78
51,473,0.76
51,483,0.74
51,493,0.7
51,503,0.66
51,513,0.7
51,523,0.68
51,533,0.63
51,543,0.64
51,553,0.64
51,556,0.68
