bri,mired,watt
1,153,0.17
1,163,0.13
1,173,0.17
1,183,0.17
1,193,0.13
1,203,0.17
1,213,0.13
1,223,0.15
1,233,0.17
1,243,0.17
1,253,0.17
1,263,0.15
1,273,0.15
1,283,0.13
1,293,0.17
1,303,0.17
1,313,0.13
1,323,0.17
1,333,0.13
1,343,0.17
1,353,1.33
1,363,0.13
1,373,0.15
1,383,0.17
1,393,0.13
1,403,0.13
1,413,0.15
1,423,0.17
1,433,0.13
1,443,0.17
1,453,0.13
1,463,0.13
1,473,0.17
1,483,0.13
1,493,0.15
1,500,0.17
6,153,0.15
6,163,0.13
6,173,0.17
6,183,0.13
6,193,0.17
6,203,0.13
6,213,0.17
6,223,0.13
6,233,0.17
6,243,0.13
6,253,0.17
6,263,0.17
6,273,0.17
6,283,0.13
6,293,0.17
6,303,0.13
6,313,0.17
6,323,0.17
6,333,0.17
6,343,0.17
6,353,0.13
6,363,0.13
6,373,0.13
6,383,0.17
6,393,0.13
6,403,0.13
6,423,0.13
6,433,0.13
6,443,0.17
6,453,0.13
6,463,0.17
6,473,0.13
6,483,0.17
6,493,0.13
6,500,0.15
11,153,0.17
11,163,0.13
11,173,0.17
11,183,0.13
11,193,0.17
11,203,0.17
11,213,0.13
11,223,0.17
11,233,0.13
11,243,0.2
11,253,0.17
11,263,0.13
11,273,0.17
11,283,0.13
11,293,0.17
11,303,0.13
11,313,0.17
11,323,0.13
11,333,0.15
11,343,0.17
11,363,0.17
11,373,0.17
11,383,0.13
11,393,0.13
11,403,0.17
11,413,0.13
11,423,0.13
11,433,0.13
11,443,0.13
11,453,0.17
11,463,0.13
11,473,0.13
11,483,0.17
11,493,0.13
11,500,0.13
16,153,0.2
16,163,0.17
16,173,0.17
16,183,0.17
16,193,0.2
16,203,0.17
16,213,0.18
16,223,0.17
16,233,0.17
16,243,0.13
16,253,0.15
16,263,0.17
16,273,0.13
16,283,0.17
16,293,0.2
16,303,0.17
16,313,0.13
16,323,0.17
16,333,0.17
16,343,0.17
16,353,0.17
16,363,0.17
16,373,0.13
16,383,0.17
16,393,0.13
16,403,0.17
16,413,0.13
16,423,0.17
16,433,0.13
16,443,0.13
16,463,0.17
16,473,0.13
16,483,0.17
16,493,0.17
16,500,0.13
21,153,0.2
21,163,0.17
21,173,0.18
21,183,0.2
21,193,0.17
21,203,0.2
21,213,0.2
