bri,mired,watt
1,153,0.33
1,163,0.32
1,173,0.25
1,183,0.28
1,193,0.32
1,203,0.26
1,213,0.28
1,223,0.22
1,233,0.23
1,243,0.28
1,253,0.26
1,263,0.28
1,273,0.29
1,283,0.24
1,293,0.19
1,303,0.31
1,313,0.27
1,323,0.22
1,333,0.3
1,343,0.32
1,353,0.21
1,363,0.27
1,373,0.24
1,383,0.29
1,393,0.22
1,403,0.23
1,413,0.28
1,423,0.27
1,433,0.22
1,443,0.14
1,453,0.21
1,463,0.25
1,470,0.23
6,153,0.23
6,163,0.25
6,173,0.31
6,183,0.28
6,193,0.25
6,203,0.24
6,213,0.25
6,223,0.24
6,233,0.26
6,243,0.28
6,253,0.24
6,263,0.25
6,273,0.26
6,283,0.23
6,293,0.26
6,303,0.3
6,313,0.25
6,323,0.28
6,333,0.27
6,343,0.24
6,353,0.23
6,363,0.27
6,373,0.28
6,383,0.32
6,393,0.26
6,403,0.31
6,413,0.21
6,423,0.22
6,433,0.32
6,443,0.26
6,453,0.25
6,463,0.26
6,470,0.26
11,153,0.21
11,163,0.26
11,173,0.25
11,183,0.24
11,193,0.29
11,203,0.31
11,213,0.19
11,223,0.21
11,233,0.29
11,243,0.26
11,253,0.3
11,263,0.23
11,273,0.17
11,283,0.28
11,293,0.28
11,303,0.34
11,313,0.32
11,323,0.3
11,333,0.34
11,343,0.26
11,353,0.25
11,363,0.24
11,373,0.31
11,383,0.26
11,393,0.24
11,403,0.23
11,413,0.25
11,423,0.29
11,433,0.31
11,443,0.28
11,453,0.23
11,463,0.23
11,470,0.22
16,153,0.26
16,163,0.23
16,173,0.31
16,183,0.26
16,193,0.24
16,203,0.24
16,213,0.31
16,223,0.31
16,233,0.25
16,243,0.26
16,253,0.29
16,263,0.25
16,273,0.33
16,283,0.28
16,293,0.3
16,303,0.28
16,313,0.34
16,323,0.3
16,333,0.22
16,343,0.33
16,353,0.3
16,363,0.27
16,373,0.3
16,383,0.28
16,393,0.21
16,403,0.25
16,413,0.33
16,423,0.27
16,433,0.23
16,443,0.26
16,453,0.21
16,463,0.22
16,470,0.29
21,153,0.33
21,163,0.24
21,173,0.29
21,183,0.34
21,193,0.39
21,203,0.31
21,213,0.36
21,223,0.31
21,233,0.35
21,243,0.4
21,253,0.33
21,263,0.32
21,273,0.34
21,283,0.27
21,293,0.31
21,303,0.29
21,313,0.28
21,323,0.27
21,333,0.28
21,343,0.27
21,353,0.31
21,363,0.3
21,373,0.25
21,383,0.34
21,393,0.35
21,403,0.3
21,413,0.32
21,423,0.3
21,433,0.26
21,443,0.27
21,453,0.38
21,463,0.36
21,470,0.32
26,153,0.42
26,163,0.35
26,173,0.33
26,183,0.29
26,193,0.34
26,203,0.26
26,213,0.33
26,223,0.35
26,233,0.35
26,243,0.27
26,253,0.35
26,263,0.34
26,273,0.33
26,283,0.3
26,293,0.36
26,303,0.33
26,313,0.31
26,323,0.34
26,333,0.35
26,343,0.4
26,353,0.34
26,363,0.32
26,373,0.47
26,383,0.31
26,393,0.32
26,403,0.27
26,413,0.38
26,423,0.39
26,433,0.35
26,443,0.3
26,453,0.29
26,463,0.37
26,470,0.37
31,153,0.44
31,163,0.4
31,173,0.39
31,183,0.36
31,193,0.46
31,203,0.42
31,213,0.44
31,223,0.39
31,233,0.39
31,243,0.37
31,253,0.32
31,263,0.39
31,273,0.33
31,283,0.35
31,293,0.36
31,303,0.38
31,313,0.35
31,323,0.37
31,333,0.39
31,343,0.37
31,353,0.41
31,363,0.38
31,373,0.38
31,383,0.32
31,393,0.36
31,403,0.35
31,413,0.35
31,423,0.36
31,433,0.37
31,443,0.3
31,453,0.37
31,463,0.32
31,470,0.37
36,153,0.39
36,163,0.41
36,173,0.42
36,183,0.39
36,193,0.45
36,203,0.49
36,213,0.38
36,223,0.39
36,233,0.43
36,243,0.45
36,253,0.47
36,263,0.43
36,273,0.41
36,283,0.41
36,293,0.33
36,303,0.42
36,313,0.42
36,323,0.4
36,333,0.39
36,343,0.4
36,353,0.41
36,363,0.45
36,373,0.4
36,383,0.44
36,393,0.38
36,403,0.38
36,413,0.38
36,423,0.41
36,433,0.31
36,443,0.33
36,453,0.38
36,463,0.37
36,470,0.35
41,153,0.48
41,163,0.42
41,173,0.43
41,183,0.43
41,193,0.47
41,203,0.4
41,213,0.46
41,223,0.42
41,233,0.47
41,243,0.44
41,253,0.4
41,263,0.43
41,273,0.42
41,283,0.38
41,293,0.33
41,303,0.45
41,313,0.43
41,323,0.42
41,333,0.52
41,343,0.5
41,353,0.45
41,363,0.45
41,373,0.48
41,383,0.48
41,393,0.44
41,403,0.4
41,413,0.39
41,423,0.37
41,433,0.37
41,443,0.31
41,453,0.39
41,463,0.44
41,470,0.38
46,153,0.48
46,163,0.47
46,173,0.53
46,183,0.56
46,193,0.53
46,203,0.53
46,213,0.52
46,223,0.49
46,233,0.44
46,243,0.44
46,253,0.53
46,263,0.42
46,273,0.51
46,283,0.38
46,293,0.44
46,303,0.48
46,313,0.52
46,323,0.48
46,333,0.46
46,343,0.52
46,353,0.48
46,363,0.5
46,373,0.51
46,383,0.5
46,393,0.42
46,403,0.43
46,413,0.4
46,423,0.39
46,433,0.42
46,443,0.36
46,453,0.38
46,463,0.37
46,470,0.47
51,153,0.59
51,163,0.55
51,173,0.6
51,183,0.54
51,193,0.51
51,203,0.58
51,213,0.53
51,223,0.59
51,233,0.56
51,243,0.56
51,253,0.62
51,263,0.47
51,273,0.52
51,283,0.52
51,293,0.51
51,303,0.5
51,313,0.55
51,323,0.51
51,333,0.55
51,343,0.54
51,353,0.59
51,363,0.61
51,373,0.54
51,383,0.46
51,393,0.45
51,403,0.56
51,413,0.5
51,423,0.42
51,433,0.46
51,443,0.43
51,453,0.47
51,463,0.49
51,470,0.49
56,153,0.63
56,163,0.68
56,173,0.62
56,183,0.63
56,193,0.64
56,203,0.6
56,213,0.66
56,223,0.63
56,233,0.61
56,243,0.59
56,253,0.51
56,263,0.58
56,273,0.55
56,283,0.55
56,293,0.64
56,303,0.64
56,313,0.6
56,323,0.65
56,333,0.63
56,343,0.74
56,353,0.64
56,363,0.7
56,373,0.63
56,383,0.6
56,393,0.58
56,403,0.53
56,413,0.52
56,423,0.47
56,433,0.47
56,443,0.39
56,453,0.46
56,463,0.52
56,470,0.54
61,153,0.65
61,163,0.7
61,173,0.68
61,183,0.72
61,193,0.68
61,203,0.74
61,213,0.73
61,223,0.67
61,233,0.67
61,243,0.7
61,253,0.66
61,263,0.63
61,273,0.7
61,283,0.65
61,293,0.65
61,303,0.63
61,313,0.67
61,323,0.71
61,333,0.67
61,343,0.65
61,353,0.7
61,363,0.73
61,373,0.68
61,383,0.65
61,393,0.58
61,403,0.64
61,413,0.51
61,423,0.52
61,433,0.51
61,443,0.5
61,453,0.5
61,463,0.57
61,470,0.6
66,153,0.72
66,163,0.69
66,173,0.71
66,183,0.69
66,193,0.71
66,203,0.69
66,213,0.67
66,223,0.66
66,233,0.71
66,243,0.71
66,253,0.66
66,263,0.66
66,273,0.66
66,283,0.72
66,293,0.7
66,303,0.69
66,313,0.69
66,323,0.65
66,333,0.69
66,343,0.71
66,353,0.71
66,363,0.72
66,373,0.77
66,383,0.69
66,393,0.69
66,403,0.6
66,413,0.6
66,423,0.6
66,433,0.57
66,443,0.54
66,453,0.63
66,463,0.72
66,470,0.72
71,153,0.82
71,163,0.91
71,173,0.9
71,183,0.86
71,193,0.89
71,203,0.89
71,213,0.84
71,223,0.83
71,233,0.84
71,243,0.89
71,253,0.9
71,263,0.77
71,273,0.73
71,283,0.77
71,293,0.74
71,303,0.83
71,313,0.9
71,323,0.84
71,333,0.81
71,343,0.89
71,353,0.83
71,363,0.83
71,373,0.82
71,383,0.81
71,393,0.74
71,403,0.7
71,413,0.66
71,423,0.62
71,433,0.59
71,443,0.65
71,453,0.74
71,463,0.78
71,470,0.75
76,153,0.99
76,163,0.98
76,173,0.91
76,183,0.92
76,193,0.93
76,203,0.92
76,213,0.91
76,223,0.96
76,233,0.9
76,243,0.95
76,253,0.9
76,263,0.97
76,273,0.89
76,283,0.88
76,293,0.88
76,303,0.84
76,313,0.86
76,323,0.96
76,333,0.9
76,343,0.9
76,353,0.85
76,363,0.86
76,373,0.88
76,383,0.82
76,393,0.7
76,403,0.75
76,413,0.68
76,423,0.61
76,433,0.58
76,443,0.6
76,453,0.64
76,463,0.71
76,470,0.81
81,153,1.03
81,163,1.0
81,173,0.99
81,183,1.02
81,193,0.96
81,203,0.96
81,213,0.98
81,223,1.0
81,233,0.97
81,243,1.01
81,253,0.97
81,263,0.97
81,273,0.88
81,283,0.97
81,293,0.92
81,303,0.95
81,313,0.96
81,323,0.99
81,333,1.02
81,343,0.95
81,353,0.98
81,363,1.03
81,373,0.93
81,383,0.79
81,393,0.78
81,403,0.76
81,413,0.77
81,423,0.68
81,433,0.68
81,443,0.67
81,453,0.76
81,463,0.77
81,470,0.86
86,153,1.18
86,163,1.18
86,173,1.13
86,183,1.14
86,193,1.11
86,203,1.18
86,213,1.12
86,223,1.14
86,233,1.14
86,243,1.1
86,253,1.08
86,263,1.08
86,273,1.07
86,283,1.01
86,293,0.96
86,303,1.0
86,313,1.03
86,323,1.03
86,333,1.06
86,343,1.08
86,353,1.13
86,363,1.14
86,373,1.03
86,383,0.92
86,393,0.87
86,403,0.77
86,413,0.78
86,423,0.82
86,433,0.73
86,443,0.78
86,453,0.83
86,463,0.92
86,470,0.95
91,153,1.3
91,163,1.21
91,173,1.28
91,183,1.26
91,193,1.21
91,203,1.21
91,213,1.27
91,223,1.24
91,233,1.16
91,243,1.18
91,253,1.2
91,263,1.19
91,273,1.1
91,283,1.08
91,293,1.14
91,303,1.14
91,313,1.18
91,323,1.21
91,333,1.2
91,343,1.19
91,353,1.21
91,363,1.27
91,373,1.24
91,383,1.04
91,393,1.02
91,403,0.99
91,413,0.88
91,423,0.89
91,433,0.87
91,443,0.82
91,453,0.81
91,463,1.0
91,470,1.09
96,153,1.42
96,163,1.38
96,173,1.39
96,183,1.35
96,193,1.38
96,203,1.33
96,213,1.35
96,223,1.31
96,233,1.29
96,243,1.37
96,253,1.34
96,263,1.24
96,273,1.26
96,283,1.24
96,293,1.32
96,303,1.23
96,313,1.23
96,323,1.27
96,333,1.32
96,343,1.38
96,353,1.42
96,363,1.35
96,373,1.27
96,383,1.14
96,393,1.12
96,403,0.99
96,413,0.99
96,423,0.84
96,433,0.77
96,443,0.84
96,453,1.04
96,463,1.07
96,470,1.25
101,153,1.48
101,163,1.52
101,173,1.48
101,183,1.47
101,193,1.47
101,203,1.52
101,213,1.5
101,223,1.47
101,233,1.37
101,243,1.48
101,253,1.49
101,263,1.4
101,273,1.38
101,283,1.34
101,293,1.35
101,303,1.35
101,313,1.41
101,323,1.44
101,333,1.52
101,343,1.54
101,353,1.48
101,363,1.5
101,373,1.42
101,383,1.26
101,393,1.16
101,403,1.08
101,413,1.06
101,423,0.98
101,433,0.94
101,443,0.94
101,453,1.15
101,463,1.2
101,470,1.27
106,153,1.65
106,163,1.63
106,173,1.66
106,183,1.62
106,193,1.69
106,203,1.63
106,213,1.67
106,223,1.69
106,233,1.57
106,243,1.65
106,253,1.68
106,263,1.53
106,273,1.54
106,283,1.52
106,293,1.49
106,303,1.45
106,313,1.51
106,323,1.56
106,333,1.51
106,343,1.72
106,353,1.61
106,363,1.63
106,373,1.54
106,383,1.39
106,393,1.25
106,403,1.22
106,413,1.19
106,423,1.09
106,433,1.06
106,443,1.09
106,453,1.16
106,463,1.36
106,470,1.42
111,153,1.77
111,163,1.78
111,173,1.85
111,183,1.8
111,193,1.75
111,203,1.84
111,213,1.79
111,223,1.78
111,233,1.71
111,243,1.8
111,253,1.76
111,263,1.61
111,273,1.59
111,283,1.6
111,293,1.59
111,303,1.71
111,313,1.75
111,323,1.62
111,333,1.78
111,343,1.77
111,353,1.81
111,363,1.8
111,373,1.68
111,383,1.58
111,393,1.37
111,403,1.25
111,413,1.32
111,423,1.16
111,433,1.17
111,443,1.23
111,453,1.3
111,463,1.46
111,470,1.54
116,153,1.98
116,163,1.98
116,173,1.99
116,183,1.94
116,193,1.94
116,203,1.9
116,213,1.96
116,223,2.01
116,233,1.81
116,243,1.89
116,253,1.94
116,263,1.82
116,273,1.78
116,283,1.77
116,293,1.77
116,303,1.8
116,313,1.87
116,323,1.88
116,333,1.9
116,343,1.95
116,353,1.94
116,363,1.89
116,373,1.84
116,383,1.64
116,393,1.5
116,403,1.5
116,413,1.35
116,423,1.37
116,433,1.29
116,443,1.23
116,453,1.37
116,463,1.59
116,470,1.64
121,153,2.11
121,163,2.11
121,173,2.06
121,183,2.16
121,193,2.05
121,203,2.15
121,213,2.16
121,223,2.05
121,233,1.94
121,243,2.14
121,253,2.03
121,263,1.94
121,273,1.89
121,283,1.99
121,293,1.94
121,303,1.95
121,313,1.93
121,323,2.03
121,333,2.06
121,343,2.06
121,353,2.05
121,363,2.13
121,373,1.95
121,383,1.83
121,393,1.65
121,403,1.51
121,413,1.47
121,423,1.4
121,433,1.33
121,443,1.35
121,453,1.47
121,463,1.62
121,470,1.8
126,153,2.23
126,163,2.23
126,173,2.3
126,183,2.29
126,193,2.22
126,203,2.3
126,213,2.27
126,223,2.27
126,233,2.13
126,243,2.21
126,253,2.25
126,263,2.12
126,273,2.11
126,283,2.05
126,293,2.06
126,303,2.05
126,313,2.1
126,323,2.15
126,333,2.27
126,343,2.2
126,353,2.27
126,363,2.25
126,373,2.06
126,383,1.95
126,393,1.84
126,403,1.68
126,413,1.56
126,423,1.42
126,433,1.42
126,443,1.33
126,453,1.61
126,463,1.84
126,470,1.95
131,153,2.44
131,163,2.43
131,173,2.43
131,183,2.44
131,193,2.45
131,203,2.46
131,213,2.48
131,223,2.41
131,233,2.25
131,243,2.46
131,253,2.35
131,263,2.34
131,273,2.18
131,283,2.2
131,293,2.24
131,303,2.26
131,313,2.26
131,323,2.33
131,333,2.34
131,343,2.43
131,353,2.38
131,363,2.41
131,373,2.25
131,383,2.04
131,393,1.86
131,403,1.75
131,413,1.65
131,423,1.59
131,433,1.55
131,443,1.51
131,453,1.67
131,463,1.93
131,470,2.1
136,153,2.54
136,163,2.54
136,173,2.59
136,183,2.61
136,193,2.66
136,203,2.58
136,213,2.6
136,223,2.63
136,233,2.44
136,243,2.6
136,253,2.48
136,263,2.46
136,273,2.38
136,283,2.36
136,293,2.36
136,303,2.34
136,313,2.37
136,323,2.41
136,333,2.56
136,343,2.62
136,353,2.61
136,363,2.66
136,373,2.37
136,383,2.19
136,393,2.05
136,403,1.88
136,413,1.78
136,423,1.71
136,433,1.59
136,443,1.68
136,453,1.82
136,463,2.03
136,470,2.09
141,153,2.81
141,163,2.85
141,173,2.8
141,183,2.79
141,193,2.84
141,203,2.8
141,213,2.82
141,223,2.77
141,233,2.58
141,243,2.75
141,253,2.65
141,263,2.63
141,273,2.5
141,283,2.54
141,293,2.51
141,303,2.52
141,313,2.58
141,323,2.63
141,333,2.8
141,343,2.75
141,353,2.83
141,363,2.76
141,373,2.55
141,383,2.29
141,393,2.16
141,403,2.04
141,413,1.92
141,423,1.86
141,433,1.75
141,443,1.74
141,453,1.87
141,463,2.18
141,470,2.3
146,153,3.07
146,163,3.01
146,173,2.99
146,183,3.04
146,193,3.03
146,203,2.98
146,213,2.95
146,223,2.96
146,233,2.76
146,243,3.0
146,253,2.83
146,263,2.74
146,273,2.69
146,283,2.69
146,293,2.69
146,303,2.68
146,313,2.74
146,323,2.86
146,333,2.85
146,343,3.02
146,353,2.96
146,363,3.02
146,373,2.67
146,383,2.48
146,393,2.29
146,403,2.18
146,413,2.05
146,423,1.92
146,433,1.75
146,443,1.79
146,453,2.09
146,463,2.28
146,470,2.48
151,153,3.2
151,163,3.15
151,173,3.14
151,183,3.12
151,193,3.18
151,203,3.17
151,213,3.17
151,223,3.11
151,233,2.86
151,243,3.11
151,253,3.0
151,263,2.91
151,273,2.83
151,283,2.94
151,293,2.94
151,303,2.94
151,313,2.96
151,323,3.05
151,333,3.14
151,343,3.16
151,353,3.26
151,363,3.14
151,373,2.86
151,383,2.67
151,393,2.52
151,403,2.24
151,413,2.14
151,423,2.09
151,433,1.96
151,443,1.96
151,453,2.2
151,463,2.58
151,470,2.67
156,153,3.42
156,163,3.32
156,173,3.41
156,183,3.44
156,193,3.34
156,203,3.34
156,213,3.35
156,223,3.35
156,233,3.16
156,243,3.44
156,253,3.21
156,263,3.06
156,273,3.06
156,283,3.11
156,293,3.06
156,303,3.04
156,313,3.12
156,323,3.24
156,333,3.35
156,343,3.36
156,353,3.36
156,363,3.33
156,373,3.14
156,383,2.85
156,393,2.6
156,403,2.47
156,413,2.29
156,423,2.15
156,433,2.1
156,443,2.06
156,453,2.35
156,463,2.61
156,470,2.78
161,153,3.57
161,163,3.63
161,173,3.66
161,183,3.55
161,193,3.61
161,203,3.61
161,213,3.62
161,223,3.62
161,233,3.27
161,243,3.61
161,253,3.4
161,263,3.32
161,273,3.21
161,283,3.13
161,293,3.27
161,303,3.3
161,313,3.31
161,323,3.42
161,333,3.55
161,343,3.65
161,353,3.63
161,363,3.61
161,373,3.22
161,383,2.96
161,393,2.76
161,403,2.65
161,413,2.4
161,423,2.3
161,433,2.2
161,443,2.18
161,453,2.46
161,463,2.78
161,470,2.99
166,153,3.77
166,163,3.87
166,173,3.82
166,183,3.82
166,193,3.79
166,203,3.86
166,213,3.81
166,223,3.87
166,233,3.51
166,243,3.86
166,253,3.63
166,263,3.47
166,273,3.38
166,283,3.53
166,293,3.36
166,303,3.44
166,313,3.6
166,323,3.69
166,333,3.65
166,343,3.86
166,353,3.86
166,363,3.79
166,373,3.44
166,383,3.19
166,393,2.99
166,403,2.72
166,413,2.62
166,423,2.42
166,433,2.33
166,443,2.35
166,453,2.6
166,463,3.01
166,470,3.15
171,153,4.05
171,163,4.05
171,173,4.08
171,183,4.03
171,193,4.01
171,203,4.06
171,213,4.03
171,223,4.04
171,233,3.73
171,243,4.06
171,253,3.86
171,263,3.75
171,273,3.68
171,283,3.69
171,293,3.64
171,303,3.72
171,313,3.86
171,323,3.9
171,333,3.98
171,343,4.07
171,353,4.09
171,363,4.07
171,373,3.71
171,383,3.41
171,393,3.18
171,403,2.99
171,413,2.79
171,423,2.57
171,433,2.48
171,443,2.52
171,453,2.74
171,463,3.16
171,470,3.35
176,153,4.29
176,163,4.29
176,173,4.31
176,183,4.29
176,193,4.31
176,203,4.25
176,213,4.3
176,223,4.26
176,233,4.01
176,243,4.31
176,253,4.12
176,263,3.96
176,273,3.83
176,283,3.94
176,293,3.88
176,303,3.89
176,313,4.03
176,323,4.14
176,333,4.2
176,343,4.35
176,353,4.33
176,363,4.4
176,373,3.88
176,383,3.57
176,393,3.33
176,403,3.03
176,413,2.93
176,423,2.76
176,433,2.64
176,443,2.61
176,453,2.97
176,463,3.32
176,470,3.58
181,153,4.59
181,163,4.63
181,173,4.58
181,183,4.53
181,193,4.62
181,203,4.59
181,213,4.59
181,223,4.52
181,233,4.17
181,243,4.54
181,253,4.35
181,263,4.19
181,273,4.04
181,283,4.14
181,293,4.14
181,303,4.13
181,313,4.19
181,323,4.31
181,333,4.37
181,343,4.47
181,353,4.61
181,363,4.52
181,373,4.14
181,383,3.86
181,393,3.54
181,403,3.27
181,413,3.01
181,423,3.0
181,433,2.72
181,443,2.77
181,453,3.12
181,463,3.4
181,470,3.66
186,153,4.83
186,163,4.83
186,173,4.86
186,183,4.8
186,193,4.82
186,203,4.84
186,213,4.79
186,223,4.77
186,233,4.42
186,243,4.7
186,253,4.52
186,263,4.4
186,273,4.27
186,283,4.31
186,293,4.28
186,303,4.28
186,313,4.45
186,323,4.6
186,333,4.71
186,343,4.74
186,353,4.82
186,363,4.82
186,373,4.33
186,383,4.04
186,393,3.65
186,403,3.42
186,413,3.23
186,423,3.01
186,433,2.9
186,443,2.86
186,453,3.21
186,463,3.67
186,470,3.91
191,153,5.08
191,163,5.03
191,173,5.08
191,183,5.08
191,193,5.07
191,203,5.01
191,213,5.07
191,223,5.02
191,233,4.63
191,243,4.99
191,253,4.88
191,263,4.68
191,273,4.52
191,283,4.47
191,293,4.48
191,303,4.56
191,313,4.66
191,323,4.87
191,333,4.92
191,343,5.01
191,353,5.04
191,363,5.01
191,373,4.61
191,383,4.2
191,393,3.9
191,403,3.62
191,413,3.41
191,423,3.23
191,433,3.12
191,443,3.05
191,453,3.45
191,463,3.9
191,470,4.15
196,153,5.24
196,163,5.2
196,173,5.15
196,183,5.18
196,193,5.14
196,203,5.13
196,213,5.19
196,223,5.15
196,233,4.75
196,243,5.12
196,253,4.93
196,263,4.82
196,273,4.72
196,283,4.71
196,293,4.6
196,303,4.61
196,313,4.78
196,323,4.9
196,333,4.98
196,343,5.19
196,353,5.18
196,363,5.13
196,373,4.68
196,383,4.36
196,393,3.98
196,403,3.74
196,413,3.5
196,423,3.25
196,433,3.15
196,443,3.07
196,453,3.51
196,463,3.91
196,470,4.25
201,153,5.42
201,163,5.44
201,173,5.36
201,183,5.46
201,193,5.3
201,203,5.46
201,213,5.42
201,223,5.38
201,233,4.96
201,243,5.4
201,253,5.2
201,263,5.0
201,273,4.93
201,283,4.9
201,293,4.79
201,303,4.94
201,313,5.02
201,323,5.2
201,333,5.28
201,343,5.43
201,353,5.4
201,363,5.4
201,373,4.99
201,383,4.54
201,393,4.21
201,403,3.87
201,413,3.64
201,423,3.5
201,433,3.37
201,443,3.21
201,453,3.75
201,463,4.23
201,470,4.45
206,153,5.78
206,163,5.79
206,173,5.71
206,183,5.74
206,193,5.74
206,203,5.66
206,213,5.67
206,223,5.66
206,233,5.26
206,243,5.68
206,253,5.43
206,263,5.27
206,273,5.12
206,283,5.12
206,293,5.07
206,303,5.17
206,313,5.33
206,323,5.45
206,333,5.5
206,343,5.7
206,353,5.77
206,363,5.73
206,373,5.23
206,383,4.67
206,393,4.37
206,403,4.07
206,413,3.79
206,423,3.67
206,433,3.42
206,443,3.43
206,453,3.92
206,463,4.32
206,470,4.68
211,153,6.03
211,163,6.08
211,173,6.03
211,183,6.03
211,193,5.93
