bri,mired,watt
3,153,0.59
3,163,0.58
3,173,0.58
3,183,0.61
3,193,0.55
3,203,0.6
3,213,0.6
3,223,0.59
3,233,0.55
3,243,0.61
3,253,0.59
3,263,0.63
3,273,0.64
3,283,0.61
3,293,0.6
3,303,0.55
3,313,0.62
3,323,0.59
3,333,0.68
3,343,0.58
3,353,0.66
3,363,0.58
3,370,0.6
8,153,0.66
8,163,0.61
8,173,0.56
8,183,0.63
8,193,0.6
8,203,0.61
8,213,0.59
8,223,0.59
8,233,0.6
8,243,0.55
8,253,0.57
8,263,0.59
8,273,0.61
8,283,0.55
8,293,0.57
8,303,0.58
8,313,0.62
8,323,0.55
8,333,0.6
8,343,0.55
8,353,0.54
8,363,0.64
8,370,0.64
13,153,0.6
13,163,0.59
13,173,0.6
13,183,0.6
13,193,0.62
13,203,0.62
13,213,0.61
13,223,0.58
13,233,0.59
13,243,0.6
13,253,0.59
13,263,0.58
13,273,0.55
13,283,0.63
13,293,0.65
13,303,0.64
13,313,0.63
13,323,0.58
13,333,0.59
13,343,0.61
13,353,0.57
13,363,0.59
13,370,0.59
18,153,0.64
18,163,0.59
18,173,0.62
18,183,0.6
18,193,0.62
18,203,0.64
18,213,0.65
18,223,0.6
18,233,0.6
18,243,0.62
18,253,0.6
18,263,0.64
18,273,0.6
18,283,0.6
18,293,0.62
18,303,0.65
18,313,0.6
18,323,0.57
18,333,0.65
18,343,0.59
18,353,0.59
18,363,0.66
18,370,0.63
23,153,0.65
23,163,0.63
23,173,0.6
23,183,0.64
23,193,0.65
23,203,0.63
23,213,0.64
23,223,0.67
23,233,0.65
23,243,0.66
23,253,0.67
23,263,0.65
23,273,0.6
23,283,0.68
23,293,0.64
23,303,0.64
23,313,0.57
23,323,0.59
23,333,0.63
23,343,0.64
23,353,0.67
23,363,0.7
23,370,0.66
28,153,0.67
28,163,0.71
28,173,0.66
28,183,0.65
28,193,0.66
28,203,0.68
28,213,0.69
28,223,0.65
28,233,0.67
28,243,0.65
28,253,0.68
28,263,0.68
28,273,0.65
28,283,0.69
28,293,0.69
28,303,0.66
28,313,0.68
28,323,0.61
28,333,0.66
28,343,0.69
28,353,0.69
28,363,0.64
28,370,0.67
33,153,0.69
33,163,0.65
33,173,0.65
33,183,0.69
33,193,0.72
33,203,0.68
33,213,0.7
33,223,0.76
33,233,0.6
33,243,0.7
33,253,0.67
33,263,0.63
33,273,0.69
33,283,0.66
33,293,0.71
33,303,0.7
33,313,0.72
33,323,0.69
33,333,0.62
33,343,0.66
33,353,0.72
33,363,0.64
33,370,0.67
38,153,0.73
38,163,0.73
38,173,0.64
38,183,0.73
38,193,0.65
38,203,0.71
38,213,0.74
38,223,0.68
38,233,0.69
38,243,0.71
38,253,0.72
38,263,0.7
38,273,0.71
38,283,0.7
38,293,0.68
38,303,0.72
38,313,0.72
38,323,0.67
38,333,0.7
38,343,0.69
38,353,0.7
38,363,0.68
38,370,0.69
43,153,0.75
43,163,0.72
43,173,0.67
43,183,0.72
43,193,0.73
43,203,0.67
43,213,0.74
43,223,0.77
43,233,0.74
43,243,0.71
43,253,0.69
43,263,0.71
43,273,0.71
43,283,0.73
43,293,0.76
43,303,0.71
43,313,0.7
43,323,0.7
43,333,0.73
43,343,0.73
43,353,0.72
43,363,0.78
43,370,0.74
48,153,0.72
48,163,0.72
48,173,0.72
48,183,0.76
48,193,0.78
48,203,0.74
48,213,0.79
48,223,0.73
48,233,0.79
48,243,0.74
48,253,0.69
48,263,0.75
48,273,0.78
48,283,0.71
48,293,0.64
48,303,0.73
48,313,0.72
48,323,0.73
48,333,0.73
48,343,0.7
48,353,0.78
48,363,0.76
48,370,0.77
53,153,0.77
53,163,0.7
53,173,0.79
53,183,0.81
53,193,0.79
53,203,0.77
53,213,0.71
53,223,0.82
53,233,0.81
53,243,0.76
53,253,0.71
53,263,0.69
53,273,0.79
53,283,0.77
53,293,0.82
53,303,0.77
53,313,0.71
53,323,0.8
53,333,0.83
53,343,0.81
53,353,0.73
53,363,0.79
53,370,0.77
58,153,0.78
58,163,0.8
58,173,0.77
58,183,0.8
58,193,0.79
58,203,0.76
58,213,0.75
58,223,0.77
58,233,0.82
58,243,0.81
58,253,0.82
58,263,0.74
58,273,0.81
58,283,0.78
58,293,0.81
58,303,0.76
58,313,0.76
58,323,0.8
58,333,0.79
58,343,0.74
58,353,0.82
58,363,0.76
58,370,0.79
63,153,0.83
63,163,0.81
63,173,0.82
63,183,0.82
63,193,0.81
63,203,0.81
63,213,0.82
63,223,0.81
63,233,0.8
63,243,0.83
63,253,0.83
63,263,0.8
63,273,0.8
63,283,0.8
63,293,0.82
63,303,0.82
63,313,0.77
63,323,0.82
63,333,0.86
63,343,0.75
63,353,0.78
63,363,0.84
63,370,0.82
68,153,0.83
68,163,0.83
68,173,0.89
68,183,0.86
68,193,0.9
68,203,0.83
68,213,0.84
68,223,0.86
68,233,0.85
68,243,0.89
68,253,0.8
68,263,0.84
68,273,0.94
68,283,0.87
68,293,0.88
68,303,0.86
68,313,0.81
68,323,0.91
68,333,0.82
68,343,0.83
68,353,0.74
68,363,0.88
68,370,0.83
73,153,0.81
73,163,0.85
73,173,0.8
73,183,0.85
73,193,0.86
73,203,0.9
73,213,0.84
73,223,0.88
73,233,0.88
73,243,0.91
73,253,0.91
73,263,0.92
73,273,0.88
73,283,0.84
73,293,0.89
73,303,0.86
73,313,0.85
73,323,0.82
73,333,0.86
73,343,0.85
73,353,0.89
73,363,0.87
73,370,0.95
78,153,0.89
78,163,0.89
78,173,0.88
78,183,0.9
78,193,0.9
78,203,0.88
78,213,0.9
78,223,0.96
78,233,0.91
78,243,0.94
78,253,0.94
78,263,0.91
78,273,0.87
78,283,0.86
78,293,0.88
78,303,0.93
78,313,0.92
78,323,0.92
78,333,0.94
78,343,0.93
78,353,0.81
78,363,0.95
78,370,0.86
83,153,0.98
83,163,0.9
83,173,0.97
83,183,0.94
83,193,1.01
83,203,0.92
83,213,1.02
83,223,0.91
83,233,0.95
83,243,1.0
83,253,0.95
83,263,0.93
83,273,0.95
83,283,0.92
83,293,0.98
83,303,0.97
83,313,0.94
83,323,0.95
83,333,0.95
83,343,1.0
83,353,0.96
83,363,0.97
83,370,0.99
88,153,1.0
88,163,0.96
88,173,0.99
88,183,0.95
88,193,0.91
88,203,0.95
88,213,0.91
88,223,0.97
88,233,0.97
88,243,0.95
88,253,1.14
88,263,1.07
88,273,1.0
88,283,0.98
88,293,0.96
88,303,1.0
88,313,0.98
88,323,1.02
88,333,0.97
88,343,0.98
88,353,1.04
88,363,1.0
88,370,0.94
93,153,1.06
93,163,0.98
93,173,1.0
93,183,1.04
93,193,1.05
93,203,1.0
93,213,1.08
93,223,1.01
93,233,1.1
93,243,1.01
93,253,0.99
93,263,1.02
93,273,0.98
93,283,0.96
93,293,1.04
93,303,0.98
93,313,1.07
93,323,1.02
93,333,1.09
93,343,1.07
93,353,1.01
93,363,0.99
93,370,1.03
98,153,1.14
98,163,1.08
98,173,1.1
98,183,1.04
98,193,1.07
98,203,1.04
98,213,1.09
98,223,1.05
98,233,1.05
98,243,1.1
98,253,1.12
98,263,1.07
98,273,1.1
98,283,1.04
98,293,1.21
98,303,1.12
98,313,1.04
98,323,1.1
98,333,1.13
98,343,1.03
98,353,1.17
98,363,1.02
98,370,1.06
103,153,1.09
103,163,1.16
103,173,1.1
103,183,1.09
103,193,1.24
103,203,1.09
103,213,1.09
103,223,1.05
103,233,1.03
103,243,1.15
103,253,1.12
103,263,1.08
103,273,1.08
103,283,1.1
103,293,1.08
103,303,1.12
103,313,1.15
103,323,1.17
103,333,1.14
103,343,1.09
103,353,1.12
103,363,1.11
103,370,1.05
108,153,1.07
108,163,1.02
108,173,1.17
108,183,1.14
108,193,1.17
108,203,1.15
108,213,1.2
108,223,1.12
108,233,1.14
108,243,1.16
108,253,1.23
108,263,1.18
108,273,1.17
108,283,1.19
108,293,1.16
108,303,1.06
108,313,1.18
108,323,1.11
108,333,1.09
108,343,1.16
108,353,1.23
108,363,1.21
108,370,1.16
113,153,1.14
113,163,1.3
113,173,1.16
113,183,1.27
113,193,1.16
113,203,1.21
113,213,1.28
113,223,1.16
113,233,1.23
113,243,1.19
113,253,1.21
113,263,1.14
113,273,1.21
113,283,1.18
113,293,1.23
113,303,1.24
113,313,1.2
113,323,1.29
113,333,1.15
113,343,1.22
113,353,1.2
113,363,1.24
113,370,1.23
118,153,1.3
118,163,1.2
118,173,1.18
118,183,1.2
118,193,1.31
118,203,1.22
118,213,1.26
118,223,1.4
118,233,1.28
118,243,1.28
118,253,1.22
118,263,1.29
118,273,1.22
118,283,1.27
118,293,1.22
118,303,1.24
118,313,1.28
118,323,1.2
118,333,1.34
118,343,1.22
118,353,1.28
118,363,1.19
118,370,1.24
123,153,1.35
123,163,1.29
123,173,1.34
123,183,1.35
123,193,1.21
123,203,1.27
123,213,1.3
123,223,1.25
123,233,1.3
123,243,1.23
123,253,1.39
123,263,1.36
123,273,1.34
123,283,1.33
123,293,1.29
123,303,1.24
123,313,1.29
123,323,1.3
123,333,1.3
123,343,1.37
123,353,1.25
123,363,1.3
123,370,1.29
128,153,1.36
128,163,1.37
128,173,1.43
128,183,1.34
128,193,1.39
128,203,1.35
128,213,1.38
128,223,1.34
128,233,1.34
128,243,1.39
128,253,1.41
128,263,1.33
128,273,1.36
128,283,1.37
128,293,1.45
128,303,1.3
128,313,1.31
128,323,1.41
128,333,1.38
128,343,1.41
128,353,1.31
128,363,1.39
128,370,1.34
133,153,1.87
133,163,1.42
133,173,1.4
133,183,1.46
133,193,1.37
133,203,1.46
133,213,1.46
133,223,1.39
133,233,1.5
133,243,1.47
133,253,1.43
133,263,1.19
133,273,1.45
133,283,1.39
133,293,1.4
133,303,1.38
133,313,1.35
133,323,1.4
133,333,1.43
133,343,1.38
133,353,1.34
133,363,1.4
133,370,1.42
138,153,1.4
138,163,1.49
138,173,1.46
138,183,1.46
138,193,1.45
138,203,1.5
138,213,1.52
138,223,1.49
138,233,1.53
138,243,1.44
138,253,1.5
138,263,1.51
138,273,1.42
138,283,1.47
138,293,1.53
138,303,1.43
138,313,1.46
138,323,1.51
138,333,1.42
138,343,1.51
138,353,1.47
138,363,1.52
138,370,1.48
143,153,1.5
143,163,1.53
143,173,1.56
143,183,1.56
143,193,1.5
143,203,1.55
143,213,1.53
143,223,1.59
143,233,1.46
143,243,1.54
143,253,1.55
143,263,1.55
143,273,1.53
143,283,1.57
143,293,1.62
143,303,1.52
143,313,1.52
143,323,1.51
143,333,1.55
143,343,1.49
143,353,1.51
143,363,1.57
143,370,1.56
148,153,1.59
148,163,1.55
148,173,1.58
148,183,1.62
148,193,1.64
148,203,1.67
148,213,1.61
148,223,1.57
148,233,1.67
148,243,1.66
148,253,1.65
148,263,1.56
148,273,1.59
148,283,1.6
148,293,1.59
148,303,1.58
148,313,1.62
148,323,1.63
148,333,1.62
148,343,1.65
148,353,1.6
148,363,1.72
148,370,1.62
153,153,1.67
153,163,1.64
153,173,1.68
153,183,1.65
153,193,1.74
153,203,1.67
153,213,1.67
153,223,1.63
153,233,1.69
153,243,1.68
153,253,1.66
153,263,1.71
153,273,1.67
153,283,1.68
153,293,1.7
153,303,1.66
153,313,1.7
153,323,1.67
153,333,1.7
153,343,1.67
153,353,1.69
153,363,1.67
153,370,1.65
158,153,1.72
158,163,1.71
158,173,1.88
158,183,1.8
158,193,1.73
158,203,1.7
158,213,1.76
158,223,1.75
158,233,1.75
158,243,1.78
158,253,1.77
158,263,1.72
158,273,1.75
158,283,1.71
158,293,1.79
158,303,1.76
158,313,1.77
158,323,1.73
158,333,1.76
158,343,1.77
158,353,1.74
158,363,1.75
158,370,1.74
163,153,1.82
163,163,1.77
163,173,1.78
163,183,1.82
163,193,1.83
163,203,1.85
163,213,1.82
163,223,1.78
163,233,1.79
163,243,1.85
163,253,1.89
163,263,1.82
163,273,1.84
163,283,1.84
163,293,1.84
163,303,1.84
163,313,1.84
163,323,1.82
163,333,1.89
163,343,1.85
163,353,1.83
163,363,1.91
163,370,1.84
168,153,1.91
168,163,1.95
168,173,1.9
168,183,1.92
168,193,1.93
168,203,1.89
168,213,1.99
168,223,1.91
168,233,1.91
168,243,1.9
168,253,1.91
168,263,1.93
168,273,1.94
168,283,1.89
168,293,1.96
168,303,1.97
168,313,1.88
168,323,1.91
168,333,1.94
168,343,1.9
168,353,1.99
168,363,1.9
168,370,1.97
173,153,2.0
173,163,2.02
173,173,1.99
173,183,2.02
173,193,2.05
173,203,1.96
173,213,2.0
173,223,2.02
173,233,2.01
173,243,2.02
173,253,2.04
173,263,2.01
173,273,2.05
173,283,2.0
173,293,1.97
173,303,2.01
173,313,2.02
173,323,2.0
173,333,2.05
173,343,2.04
173,353,2.02
173,363,2.02
173,370,2.07
178,153,2.03
178,163,2.16
178,173,2.09
178,183,2.1
178,193,2.15
178,203,2.12
178,213,2.08
178,223,2.09
178,233,2.1
178,243,2.09
178,253,2.14
178,263,2.13
178,273,2.14
178,283,2.14
178,293,2.1
178,303,2.1
178,313,2.12
178,323,2.15
178,333,2.13
178,343,2.11
178,353,2.11
178,363,2.1
178,370,2.19
183,153,2.21
183,163,2.19
183,173,2.25
183,183,2.19
183,193,2.2
183,203,2.23
183,213,2.2
183,223,2.23
183,233,2.21
183,243,2.18
183,253,2.21
183,263,2.2
183,273,2.2
183,283,2.19
183,293,2.2
183,303,2.3
183,313,2.23
183,323,2.19
183,333,2.22
183,343,2.17
183,353,2.22
183,363,2.22
183,370,2.25
188,153,2.32
188,163,2.29
188,173,2.34
188,183,2.32
188,193,2.33
188,203,2.21
188,213,2.31
188,223,2.32
188,233,2.35
188,243,2.35
188,253,2.39
188,263,2.34
188,273,2.29
