bri,mired,watt
1,153,0.4
1,163,2.7
1,173,2.65
1,183,2.75
1,193,2.65
1,203,2.75
1,213,2.9
1,223,2.85
1,233,2.8
1,243,2.8
1,253,2.8
1,263,2.8
1,273,2.7
1,283,2.75
1,293,2.8
1,303,2.8
1,313,2.45
1,323,2.55
1,333,2.5
1,343,2.5
1,353,2.5
1,363,2.65
1,370,2.65
6,153,2.75
6,163,2.55
6,173,2.65
6,183,2.8
6,193,2.8
6,203,2.75
6,213,3.0
6,223,2.8
6,233,2.8
6,243,2.8
6,253,2.75
6,263,2.9
6,273,2.65
6,283,2.75
6,293,2.75
6,303,2.7
6,313,2.65
6,323,2.55
6,333,2.5
6,343,2.6
6,353,2.65
6,363,2.7
6,370,2.65
11,153,2.7
11,163,2.6
11,173,2.8
11,183,2.85
11,193,2.85
11,203,2.8
11,213,3.0
11,223,2.7
11,233,2.85
11,243,2.95
11,253,2.85
11,263,2.85
11,273,2.8
11,283,2.8
11,293,2.8
11,303,2.75
11,313,2.65
11,323,2.5
11,333,2.55
11,343,2.6
11,353,2.6
11,363,2.75
11,370,2.75
16,153,3.0
16,163,2.8
16,173,3.0
16,183,3.05
16,193,3.0
16,203,3.15
16,213,3.35
16,223,3.25
16,233,3.15
16,243,3.05
16,253,3.05
16,263,2.9
16,273,3.0
16,283,3.05
16,293,2.95
16,303,2.9
16,313,2.75
16,323,2.6
16,333,2.8
16,343,2.7
16,353,2.75
16,363,3.05
16,370,2.95
21,153,3.4
21,163,3.6
21,173,3.45
21,183,3.6
21,193,3.6
21,203,3.8
21,213,3.65
21,223,3.75
21,233,3.8
21,243,3.5
21,253,3.45
21,263,3.4
21,273,3.65
21,283,3.55
21,293,3.3
21,303,3.45
21,313,3.5
21,323,3.2
21,333,3.15
21,343,3.2
21,353,3.3
21,363,3.4
21,370,3.4
26,153,3.95
26,163,4.0
26,173,4.1
26,183,4.15
26,193,4.2
26,203,4.0
26,213,4.15
26,223,4.15
26,233,4.0
26,243,4.1
26,253,4.1
26,263,4.15
26,273,3.85
26,283,4.0
26,293,3.9
26,303,4.05
26,313,4.0
26,323,3.95
26,333,4.05
26,343,3.7
26,353,3.7
26,363,4.0
26,370,4.0
31,153,5.0
31,163,4.85
31,173,4.35
31,183,4.8
31,193,4.75
31,203,4.8
31,213,4.55
31,223,4.75
31,233,4.8
31,243,4.7
31,253,4.75
31,263,4.7
31,273,4.75
31,283,4.4
31,293,4.35
31,303,4.7
31,313,4.45
31,323,4.85
31,333,4.75
31,343,4.3
31,353,4.65
31,363,5.1
31,370,5.05
36,153,5.5
36,163,5.3
36,173,5.25
36,183,4.95
36,193,5.0
36,203,5.1
36,213,5.2
36,223,5.1
36,233,5.2
36,243,5.0
36,253,5.0
36,263,4.95
36,273,5.15
36,283,5.35
36,293,5.1
36,303,5.3
36,313,5.4
36,323,5.55
36,333,5.5
36,343,5.25
36,353,5.3
36,363,5.35
36,370,5.55
41,153,5.85
41,163,6.05
41,173,5.95
41,183,5.6
41,193,5.55
41,203,5.45
41,213,5.55
41,223,5.4
41,233,5.55
41,243,5.3
41,253,5.8
41,263,5.7
41,273,6.0
41,283,6.1
41,293,6.15
41,303,5.95
41,313,6.1
41,323,6.0
41,333,6.15
41,343,6.0
41,353,6.05
41,363,6.05
41,370,6.1
46,153,6.1
46,163,6.3
46,173,6.35
46,183,6.35
46,193,6.4
46,203,6.1
46,213,6.05
46,223,5.8
46,233,6.0
46,243,6.05
46,253,6.45
46,263,6.25
46,273,6.65
46,283,6.5
46,293,6.65
46,303,6.55
46,313,6.4
46,323,6.5
46,333,6.5
