bri,mired,watt
1,153,0.8
1,163,0.7
1,173,0.8
1,183,0.8
1,193,0.17
1,203,0.8
1,213,0.6
1,223,0.8
1,233,0.7
1,243,0.7
1,253,0.7
1,263,0.7
1,273,0.53
1,283,0.6
1,293,0.8
1,303,0.53
1,313,0.6
1,323,0.27
1,333,0.8
1,343,0.6
1,353,0.8
1,363,0.8
1,370,0.8
6,153,0.8
6,163,0.27
6,173,0.8
6,183,0.8
6,193,0.8
6,203,0.53
6,213,0.6
6,223,0.8
6,233,0.8
6,243,0.27
6,253,0.7
6,263,0.17
6,273,0.6
6,283,0.33
6,293,0.17
6,303,0.27
6,313,0.7
6,323,0.8
6,333,0.7
6,343,0.8
6,353,0.8
6,363,0.7
6,370,0.43
11,153,0.33
11,163,0.53
11,173,0.8
11,183,0.27
11,193,0.33
11,203,0.27
11,213,0.53
11,223,0.8
11,233,0.8
11,243,0.53
11,253,0.27
11,263,0.6
11,273,0.33
11,283,0.8
11,293,0.7
11,303,0.7
11,313,0.33
11,323,0.27
11,333,0.27
11,343,0.27
11,353,0.6
11,363,0.8
11,370,0.8
16,153,0.8
16,163,0.8
16,173,1
16,183,0.8
16,193,0.7
16,203,0.6
16,213,0.17
16,223,0.6
16,233,0.6
16,243,0.6
16,253,0.17
16,263,0.17
16,273,0.7
16,283,0.6
16,293,0.6
16,303,0.53
16,313,0.8
16,323,0.7
16,333,0.8
16,343,0.33
16,353,0.53
16,363,0.8
16,370,0.7
21,153,0.53
21,163,0.7
21,173,0.8
21,183,0.17
21,193,0.8
21,203,0.6
21,213,0.53
21,223,0.43
21,233,0.6
21,243,0.7
21,253,0.53
21,263,0.17
21,273,0.7
21,283,0.17
21,293,0.53
21,303,0.7
21,313,0.7
21,323,0.27
21,333,0.7
21,343,0.8
21,353,0.8
21,363,0.27
21,370,0.63
26,153,0.8
26,163,0.8
26,173,0.8
26,183,0.8
26,193,0.53
26,203,0.6
26,213,0.53
26,223,0.8
26,233,0.6
26,243,0.43
26,253,0.7
26,263,0.17
26,273,0.7
26,283,0.27
26,293,0.7
26,303,0.7
26,313,0.27
26,323,0.8
26,333,0.8
26,343,0.8
26,353,0.8
26,363,0.27
26,370,0.8
31,153,0.53
31,163,0.8
31,173,0.8
31,183,0.53
31,193,0.7
31,203,0.8
31,213,0.7
31,223,0.6
31,233,0.43
31,243,0.8
31,253,0.27
31,263,0.7
31,273,0.33
31,283,0.6
31,293,0.8
31,303,0.8
31,313,0.53
31,323,0.53
31,333,0.8
31,343,0.7
31,353,0.8
31,363,0.8
31,370,0.8
36,153,0.8
36,163,1
36,173,0.53
36,183,0.27
36,193,0.6
36,203,0.27
36,213,0.53
36,223,0.6
36,233,0.53
36,243,0.6
36,253,0.8
36,263,0.27
36,273,0.7
36,283,0.6
36,293,0.8
36,303,0.8
36,313,0.53
36,323,0.8
36,333,0.8
36,343,0.8
36,353,0.8
36,363,0.8
36,370,0.8
41,153,0.8
41,163,0.7
41,173,0.8
41,183,0.8
41,193,0.8
41,203,0.8
41,213,0.6
41,223,0.8
41,233,0.27
41,243,0.6
41,253,0.53
41,263,0.8
41,273,0.7
41,283,0.8
41,293,1.2
41,303,0.53
41,313,0.7
41,323,0.8
41,333,0.8
41,343,0.37
41,353,0.67
41,363,0.8
41,370,0.8
46,153,0.8
46,163,1.07
46,173,0.6
46,183,0.8
46,193,0.8
46,203,0.6
46,213,0.8
46,223,0.7
46,233,0.8
46,243,0.7
46,253,0.7
46,263,0.8
46,273,0.7
46,283,0.27
46,293,0.6
46,303,0.8
46,313,0.8
46,323,0.53
46,333,0.53
46,343,0.8
46,353,0.8
46,363,0.8
46,370,0.8
51,153,0.8
51,163,0.8
51,173,0.8
51,183,0.53
51,193,0.8
51,203,0.8
51,213,0.6
51,223,0.8
51,233,0.7
51,243,0.8
51,253,1
51,263,0.8
51,273,0.8
51,283,0.7
51,293,0.8
51,303,0.8
51,313,0.8
51,323,0.8
51,333,0.8
51,343,0.8
51,353,0.8
51,363,0.93
51,370,1.33
56,153,0.8
56,163,0.93
56,173,0.8
56,183,0.8
56,193,0.8
56,203,0.8
56,213,0.27
56,223,0.8
56,233,1
56,243,0.8
56,253,0.7
56,263,0.8
56,273,0.27
56,283,0.8
56,293,0.7
56,303,0.8
56,313,1.07
56,323,0.87
56,333,0.8
56,343,1.6
56,353,0.87
56,363,0.93
56,370,0.8
61,153,0.8
61,163,1.2
61,173,0.8
61,183,0.8
61,193,0.8
61,203,0.53
61,213,0.8
61,223,0.7
61,233,0.8
61,243,0.8
61,253,0.8
61,263,0.8
61,273,0.8
61,283,0.8
61,293,0.8
61,303,1.33
61,313,0.8
61,323,0.8
61,333,0.8
61,343,0.87
61,353,1.07
61,363,0.87
61,370,1.2
66,153,0.87
66,163,0.87
66,173,0.8
66,183,0.87
66,193,0.8
66,203,0.8
66,213,0.8
66,223,0.8
66,233,0.8
66,243,0.8
66,253,0.8
66,263,0.8
66,273,0.8
66,283,0.67
66,293,0.83
66,303,0.8
66,313,1.07
66,323,0.8
66,333,0.87
66,343,0.8
66,353,0.87
66,363,0.87
66,370,0.8
71,153,1.63
71,163,0.87
71,173,0.93
71,183,0.8
71,193,1.07
71,203,0.8
71,213,0.87
71,223,0.8
71,233,0.8
71,243,1.07
71,253,0.8
71,263,0.8
71,273,1.2
71,283,0.8
71,293,1.07
71,303,1.33
71,313,0.8
71,323,1.33
71,333,1.6
71,343,1.67
71,353,1.67
71,363,0.93
71,370,1.4
76,153,1.6
76,163,0.8
76,173,1.4
76,183,0.8
76,193,0.93
76,203,1.07
76,213,0.8
76,223,0.8
76,233,1.33
76,243,0.8
76,253,0.47
76,263,0.8
76,273,0.8
76,283,0.93
76,293,0.8
76,303,0.93
76,313,1.33
76,323,0.87
76,333,1.67
76,343,1.2
76,353,0.93
76,363,1.4
76,370,0.87
81,153,1.6
81,163,0.87
81,173,0.93
81,183,1.67
81,193,0.87
81,203,0.8
81,213,0.87
81,223,1.6
81,233,0.87
81,243,0.8
81,253,0.8
81,263,0.8
81,273,1.33
81,283,0.8
81,293,0.93
81,303,0.87
81,313,0.8
81,323,0.87
81,333,0.87
81,343,1.4
81,353,1.07
81,363,1.63
81,370,1.47
86,153,1.1
86,163,1.6
86,173,0.87
86,183,1.63
86,193,1.6
86,203,1.6
86,213,1.6
86,223,1.4
86,233,1.2
86,243,1.6
86,253,1.2
86,263,1.2
86,273,0.87
86,283,1.6
86,293,1.4
86,303,1.4
86,313,0.93
86,323,0.87
86,333,1.67
86,343,0.87
86,353,1.67
86,363,1.63
86,370,1.4
91,153,1
91,163,1.23
91,173,1.2
91,183,1.2
91,193,0.93
91,203,1.4
91,213,1.63
91,223,1.07
91,233,0.8
91,243,0.8
91,253,1.07
91,263,1.63
91,273,0.87
91,283,1.2
91,293,1.4
91,303,1.4
91,313,0.87
91,323,1.2
91,333,1.1
91,343,1.67
91,353,1.63
91,363,1.4
91,370,1.63
96,153,1.67
96,163,1.1
96,173,1.47
96,183,0.87
96,193,0.93
96,203,1.2
96,213,0.87
96,223,1.33
96,233,1.2
96,243,0.87
96,253,1.2
96,263,1.2
96,273,0.87
96,283,1.33
96,293,0.87
96,303,1.2
96,313,1.4
96,323,1.4
96,333,1.67
96,343,1.7
96,353,1.7
96,363,1.63
96,370,1.67
101,153,1.23
101,163,1.7
101,173,1.47
101,183,1.1
101,193,1.67
101,203,1.1
101,213,0.93
101,223,1.4
101,233,1.2
101,243,1.2
101,253,1.63
101,263,1.4
101,273,0.93
101,283,1.4
101,293,1.7
101,303,1.67
101,313,1.4
101,323,0.93
101,333,1.67
101,343,1.1
101,353,1.67
101,363,1.23
101,370,1.2
106,153,1.7
106,163,1.2
106,173,1.67
106,183,1.4
106,193,1.47
106,203,1.67
106,213,1.47
106,223,1.63
106,233,1.67
106,243,1.4
106,253,1.4
106,263,1.1
106,273,1.1
106,283,1.2
106,293,1.2
106,303,0.93
106,313,1.7
106,323,1.7
106,333,1.23
106,343,1.63
106,353,1.47
106,363,1.63
106,370,1.7
111,153,1.7
111,163,1.7
111,173,1.47
111,183,1.67
111,193,1.67
111,203,1.63
111,213,1.43
111,223,1.2
111,233,1.47
111,243,1.2
111,253,1.4
111,263,1.1
111,273,1.67
111,283,1.4
111,293,1.2
111,303,1.47
111,313,1.7
111,323,1.63
111,333,1.47
111,343,1.63
111,353,1.7
111,363,1.7
111,370,1.3
116,153,1.7
116,163,1.7
116,173,1.7
116,183,1.7
116,193,1.63
116,203,1.7
116,213,1.47
116,223,1.7
116,233,1.7
116,243,1.67
116,253,1.7
116,263,1.7
116,273,1.23
116,283,1.2
116,293,1.47
116,303,1.7
116,313,1.47
116,323,1.4
116,333,1.7
116,343,1.7
116,353,1.7
116,363,1.77
116,370,1.7
121,153,1.83
121,163,1.7
121,173,1.7
121,183,1.7
121,193,1.7
121,203,1.7
121,213,1.7
121,223,1.7
121,233,1.7
121,243,1.23
121,253,1.7
121,263,1.7
121,273,1.7
121,283,1.7
121,293,1.7
121,303,1.47
121,313,1.47
121,323,1.7
121,333,1.7
121,343,1.7
121,353,2.37
121,363,1.83
121,370,1.83
126,153,2.43
126,163,1.77
126,173,1.83
126,183,1.7
126,193,1.7
126,203,1.7
126,213,1.3
126,223,1.7
126,233,1.7
126,243,1.3
126,253,1.7
126,263,1.7
126,273,1.7
126,283,1.7
126,293,2.43
126,303,1.7
126,313,1.77
126,323,1.83
126,333,1.7
126,343,1.7
126,353,2.17
126,363,2.7
126,370,2.17
131,153,2.37
131,163,2.43
131,173,1.83
131,183,2.43
131,193,1.77
131,203,1.7
131,213,1.77
131,223,1.83
131,233,1.83
131,243,1.77
131,253,2.43
131,263,2.7
131,273,2.17
131,283,1.7
131,293,1.7
131,303,1.7
131,313,2.7
131,323,2.43
131,333,1.7
131,343,1.7
131,353,2.17
131,363,2.43
131,370,2.17
136,153,2.43
136,163,2.7
136,173,1.77
136,183,2.37
136,193,1.83
136,203,2.17
136,213,1.77
136,223,2.43
136,233,1.77
136,243,2.7
136,253,1.83
136,263,2.43
136,273,1.83
136,283,1.83
136,293,1.83
136,303,2.43
136,313,1.83
136,323,2.43
136,333,1.77
136,343,1.77
136,353,2.43
136,363,2.37
136,370,2.37
141,153,2.7
141,163,2.43
141,173,2.43
141,183,2.37
141,193,1.83
141,203,2.1
141,213,2.37
141,223,2.43
141,233,1.83
141,243,2.7
141,253,2.37
141,263,2.37
141,273,2.03
141,283,1.83
141,293,2.37
141,303,2.43
141,313,1.77
141,323,1.83
141,333,1.9
141,343,2.17
141,353,2.7
141,363,2.7
141,370,2.7
146,153,2.43
146,163,2.43
146,173,2.17
146,183,2.7
146,193,2.7
146,203,2.43
146,213,2.43
146,223,2.7
146,233,2.03
146,243,2.43
146,253,2.17
146,263,2.37
146,273,2.17
146,283,2.17
146,293,1.83
146,303,2.37
146,313,2.7
146,323,2.43
146,333,2.17
146,343,2.17
146,353,2.7
146,363,2.43
146,370,2.7
151,153,2.7
151,163,2.7
151,173,2.7
151,183,2.43
151,193,2.17
151,203,2.43
151,213,2.43
151,223,2.7
151,233,2.43
151,243,2.17
151,253,2.43
151,263,2.7
151,273,2.17
151,283,2.43
151,293,2.7
151,303,2.7
151,313,2.17
151,323,2.17
151,333,2.43
151,343,2.7
151,353,2.7
151,363,2.77
151,370,3.37
156,153,2.73
156,163,2.7
156,173,2.7
156,183,2.7
156,193,2.43
156,203,2.17
156,213,2.7
156,223,2.7
156,233,2.17
156,243,2.7
156,253,2.43
156,263,2.7
156,273,2.17
156,283,2.17
156,293,2.7
156,303,2.7
156,313,2.43
156,323,2.23
156,333,2.73
156,343,2.43
156,353,2.7
156,363,2.77
156,370,2.73
161,153,2.73
161,163,3.37
161,173,2.73
161,183,2.73
161,193,2.7
161,203,2.77
161,213,2.7
161,223,2.43
161,233,2.73
161,243,2.7
161,253,2.7
161,263,2.77
161,273,2.7
161,283,2.77
161,293,2.7
161,303,2.7
161,313,2.7
161,323,2.7
161,333,2.77
161,343,3.7
161,353,3.7
161,363,2.77
161,370,3.1
166,153,2.8
166,163,3.03
166,173,2.77
166,183,2.57
166,193,2.7
166,203,2.7
166,213,3.37
166,223,3.7
166,233,2.77
166,243,2.77
166,253,2.73
166,263,2.7
166,273,2.7
166,283,2.73
166,293,2.77
166,303,3.7
166,313,2.77
166,323,2.77
166,333,2.73
166,343,3.4
166,353,3.4
166,363,3.1
166,370,2.73
171,153,3.37
171,163,3.37
171,173,3.1
171,183,2.73
171,193,2.77
171,203,2.77
171,213,3.37
171,223,2.73
171,233,2.73
171,243,3.7
171,253,2.73
171,263,3.37
171,273,2.73
171,283,3.1
171,293,3.7
171,303,2.77
171,313,3.07
171,323,3.4
171,333,2.77
171,343,3.4
171,353,3.03
171,363,3.1
171,370,3.4
176,153,3.7
176,163,3.7
176,173,3.03
176,183,3.4
176,193,3.1
176,203,3.7
176,213,3.1
176,223,3.1
176,233,2.8
176,243,2.8
176,253,3.1
176,263,2.8
176,273,3.1
176,283,3.7
