bri,mired,watt
1,153,1.87
1,163,1.86
1,173,1.86
1,183,1.85
1,193,1.86
1,203,1.82
1,213,1.83
1,223,1.83
1,233,1.82
1,243,1.85
1,253,1.84
1,263,1.84
1,273,1.84
1,283,1.84
1,293,1.82
1,303,1.82
1,313,1.83
1,323,1.86
1,333,1.85
1,343,1.86
1,353,1.86
1,363,1.86
1,373,1.84
1,383,1.86
1,393,1.87
1,403,1.85
1,413,1.84
1,423,1.84
1,433,1.86
1,443,1.85
1,453,1.85
1,463,1.85
1,473,1.85
1,483,1.86
1,493,1.85
1,500,1.85
6,153,1.99
6,163,1.96
6,173,1.96
6,183,1.97
6,193,1.96
6,203,1.96
6,213,1.96
6,223,1.97
6,233,1.96
6,243,1.95
6,253,1.94
6,263,1.96
6,273,1.96
6,283,1.96
6,293,1.97
6,303,1.96
6,313,1.97
6,323,1.97
6,333,1.98
6,343,1.97
6,353,1.97
6,363,1.97
6,373,1.98
6,383,1.98
6,393,1.96
6,403,1.96
6,413,1.96
6,423,1.99
6,433,1.97
6,443,1.98
6,453,1.97
6,463,1.98
6,473,1.97
6,483,1.97
6,493,1.96
6,500,1.97
11,153,2.15
11,163,2.14
11,173,2.16
11,183,2.14
11,193,2.15
11,203,2.16
11,213,2.13
11,223,2.15
11,233,2.12
11,243,2.15
11,253,2.14
11,263,2.13
11,273,2.14
11,283,2.15
11,293,2.13
11,303,2.13
11,313,2.14
11,323,2.14
11,333,2.16
11,343,2.16
11,353,2.17
11,363,2.15
11,373,2.17
11,383,2.17
11,393,2.16
11,403,2.17
11,413,2.16
11,423,2.16
11,433,2.15
11,443,2.14
11,453,2.15
11,463,2.16
11,473,2.15
11,483,2.16
11,493,2.15
11,500,2.16
16,153,2.34
16,163,2.32
16,173,2.33
16,183,2.33
16,193,2.32
16,203,2.32
16,213,2.32
16,223,2.31
16,233,2.3
16,243,2.31
16,253,2.33
16,263,2.33
16,273,2.31
16,283,2.33
16,293,2.33
16,303,2.32
16,313,2.32
16,323,2.31
16,333,2.32
16,343,2.33
16,353,2.34
16,363,2.34
16,373,2.35
16,383,2.34
16,393,2.34
16,403,2.33
16,413,2.32
16,423,2.34
16,433,2.33
16,443,2.33
16,453,2.35
16,463,2.33
16,473,2.33
16,483,2.34
16,493,2.33
16,500,2.35
21,153,2.53
21,163,2.5
21,173,2.51
21,183,2.5
21,193,2.49
21,203,2.49
21,213,2.5
21,223,2.49
21,233,2.49
21,243,2.49
21,253,2.5
21,263,2.5
21,273,2.49
21,283,2.49
21,293,2.5
21,303,2.5
21,313,2.51
21,323,2.47
21,333,2.53
21,343,2.52
21,353,2.52
21,363,2.51
21,373,2.52
21,383,2.51
21,393,2.51
21,403,2.51
21,413,2.5
21,423,2.51
21,433,2.51
21,443,2.5
21,453,2.49
21,463,2.52
21,473,2.51
21,483,2.51
21,493,2.51
21,500,2.52
26,153,2.68
26,163,2.66
26,173,2.66
26,183,2.67
26,193,2.66
26,203,2.66
26,213,2.65
26,223,2.65
26,233,2.66
26,243,2.67
26,253,2.67
26,263,2.65
26,273,2.66
26,283,2.65
26,293,2.65
26,303,2.66
26,313,2.65
26,323,2.65
26,333,2.68
26,343,2.66
26,353,2.67
26,363,2.67
26,373,2.66
26,383,2.65
26,393,2.67
26,403,2.69
26,413,2.67
26,423,2.67
26,433,2.67
26,443,2.68
26,453,2.66
26,463,2.67
26,473,2.67
26,483,2.67
26,493,2.68
26,500,2.68
31,153,2.87
31,163,2.84
31,173,2.84
31,183,2.84
31,193,2.85
31,203,2.82
31,213,2.85
31,223,2.83
31,233,2.85
31,243,2.84
31,253,2.84
31,263,2.83
31,273,2.82
31,283,2.83
31,293,2.84
31,303,2.82
31,313,2.82
31,323,2.84
31,333,2.85
31,343,2.84
31,353,2.84
31,363,2.86
31,373,2.86
31,383,2.85
31,393,2.85
31,403,2.86
31,413,2.86
31,423,2.85
31,433,2.84
31,443,2.84
31,453,2.85
31,463,2.85
31,473,2.84
31,483,2.87
31,493,2.86
31,500,2.85
36,153,3.05
36,163,3.03
36,173,3.02
36,183,3.04
36,193,3.03
36,203,3.04
36,213,3.03
36,223,3.04
36,233,3.04
36,243,3.03
