bri,hue,sat,watt
1,1,1,1.44
1,2732,1,1.45
1,5463,1,1.44
1,8194,1,1.43
1,10925,1,1.46
1,13656,1,1.46
1,16387,1,1.47
1,19118,1,1.46
1,21849,1,1.47
1,24580,1,1.48
1,27311,1,1.48
1,30042,1,1.46
1,32773,1,1.43
1,35504,1,1.43
1,38235,1,1.44
1,40966,1,1.45
1,43697,1,1.43
1,46428,1,1.43
1,49159,1,1.43
1,51890,1,1.44
1,54621,1,1.44
1,57352,1,1.43
1,60083,1,1.44
1,62814,1,1.44
1,65535,1,1.44
1,1,33,1.4
1,2732,33,1.43
1,5463,33,1.44
1,8194,33,1.47
1,10925,33,1.39
1,13656,33,1.34
1,16387,33,1.35
1,19118,33,1.29
1,21849,33,1.29
1,24580,33,1.31
1,27311,33,1.31
1,30042,33,1.31
1,32773,33,1.3
1,35504,33,1.31
1,38235,33,1.32
1,40966,33,1.28
1,43697,33,1.3
1,46428,33,1.28
1,49159,33,1.34
1,51890,33,1.34
1,54621,33,1.41
1,57352,33,1.43
1,60083,33,1.41
1,62814,33,1.41
1,65535,33,1.4
1,1,65,1.33
1,2732,65,1.37
1,5463,65,1.4
1,8194,65,1.4
1,10925,65,1.33
1,13656,65,1.27
1,16387,65,1.24
1,19118,65,1.17
1,21849,65,1.17
1,24580,65,1.19
1,27311,65,1.18
1,30042,65,1.22
1,32773,65,1.2
1,35504,65,1.2
1,38235,65,1.18
1,40966,65,1.15
1,43697,65,1.15
1,46428,65,1.19
1,49159,65,1.24
1,51890,65,1.26
1,54621,65,1.37
1,57352,65,1.37
1,60083,65,1.37
1,62814,65,1.33
1,65535,65,1.34
1,1,97,1.32
1,2732,97,1.31
1,5463,97,1.34
1,8194,97,1.37
1,10925,97,1.31
1,13656,97,1.25
1,16387,97,1.18
1,19118,97,1.14
1,21849,97,1.05
1,24580,97,1.08
1,27311,97,1.11
1,30042,97,1.14
1,32773,97,1.14
1,35504,97,1.12
1,38235,97,1.1
1,40966,97,1.07
1,43697,97,1.03
1,46428,97,1.09
1,49159,97,1.16
1,51890,97,1.22
1,54621,97,1.33
1,57352,97,1.38
1,60083,97,1.33
1,62814,97,1.32
1,65535,97,1.3
1,1,129,1.26
1,2732,129,1.29
1,5463,129,1.32
1,8194,129,1.35
1,10925,129,1.28
1,13656,129,1.18
1,16387,129,1.14
1,19118,129,1.05
1,21849,129,1.01
1,24580,129,1.03
1,27311,129,1.03
1,30042,129,1.05
1,32773,129,1.11
1,35504,129,1.04
1,38235,129,1.02
1,40966,129,0.99
1,43697,129,0.99
1,46428,129,1.03
1,49159,129,1.08
1,51890,129,1.19
1,54621,129,1.33
1,57352,129,1.36
1,60083,129,1.32
1,62814,129,1.28
1,65535,129,1.27
1,1,161,1.28
1,2732,161,1.28
1,5463,161,1.29
1,8194,161,1.34
1,10925,161,1.28
1,13656,161,1.18
1,16387,161,1.07
1,19118,161,1.0
1,21849,161,0.97
1,24580,161,0.96
1,27311,161,0.99
1,30042,161,1.02
1,32773,161,1.1
1,35504,161,1.03
1,38235,161,1.0
1,40966,161,0.98
1,43697,161,0.97
1,46428,161,1.0
1,49159,161,1.06
1,51890,161,1.17
1,54621,161,1.33
1,57352,161,1.36
1,60083,161,1.29
1,62814,161,1.27
1,65535,161,1.25
1,1,193,1.27
1,2732,193,1.27
1,5463,193,1.29
1,8194,193,1.31
1,10925,193,1.29
1,13656,193,1.13
1,16387,193,1.04
1,19118,193,0.97
1,21849,193,0.96
1,24580,193,0.98
1,27311,193,1.0
1,30042,193,1.03
1,32773,193,1.05
1,35504,193,1.01
1,38235,193,0.96
1,40966,193,0.93
1,43697,193,0.94
1,46428,193,0.98
1,49159,193,1.04
1,51890,193,1.15
1,54621,193,1.31
1,57352,193,1.32
1,60083,193,1.29
1,62814,193,1.26
1,65535,193,1.26
1,1,225,1.27
1,2732,225,1.27
1,5463,225,1.29
1,8194,225,1.31
1,10925,225,1.28
1,13656,225,1.12
1,16387,225,1.02
