bri,mired,watt
1,153,0.33
1,163,0.33
1,173,0.33
1,183,0.32
1,193,0.33
1,203,0.32
1,213,0.32
1,223,0.33
1,233,0.33
1,243,0.32
1,253,0.31
1,263,0.33
1,273,0.31
1,283,0.33
1,293,0.31
1,303,0.33
1,313,0.32
1,323,0.33
1,333,0.31
1,343,0.32
1,353,0.31
1,363,0.3
1,373,0.31
1,383,0.32
1,393,0.31
1,403,0.32
1,413,0.31
1,423,0.33
1,433,0.31
1,443,0.31
1,453,0.33
1,454,0.33
6,153,0.37
6,163,0.37
6,173,0.38
6,183,0.38
6,193,0.37
6,203,0.38
6,213,0.38
6,223,0.37
6,233,0.39
6,243,0.37
6,253,0.36
6,263,0.37
6,273,0.37
6,283,0.37
6,293,0.37
6,303,0.36
6,313,0.38
6,323,0.37
6,333,0.36
6,343,0.36
6,353,0.37
6,363,0.37
6,373,0.37
6,383,0.34
6,393,0.36
6,403,0.36
6,413,0.36
6,423,0.36
6,433,0.33
6,443,0.36
6,453,0.36
6,454,0.37
11,153,0.41
11,163,0.43
11,173,0.42
11,183,0.43
11,193,0.41
11,203,0.43
11,213,0.43
11,223,0.42
11,233,0.41
11,243,0.41
11,253,0.41
11,263,0.41
11,273,0.43
11,283,0.4
11,293,0.4
11,303,0.41
11,313,0.4
11,323,0.41
11,333,0.41
11,343,0.4
11,353,0.4
11,363,0.41
11,373,0.41
11,383,0.4
11,393,0.4
11,403,0.38
11,413,0.4
11,423,0.4
11,433,0.4
11,443,0.37
11,453,0.41
11,454,0.4
16,153,0.49
16,163,0.48
16,173,0.46
16,183,0.49
16,193,0.48
16,203,0.47
16,213,0.49
16,223,0.47
16,233,0.47
16,243,0.47
16,253,0.47
16,263,0.48
16,273,0.47
16,283,0.48
16,293,0.46
16,303,0.46
16,313,0.46
16,323,0.47
16,333,0.46
16,343,0.48
16,353,0.46
16,363,0.47
16,373,0.44
16,383,0.46
16,393,0.47
16,403,0.44
16,413,0.47
16,423,0.44
16,433,0.43
16,443,0.43
16,453,0.46
16,454,0.42
21,153,0.53
21,163,0.53
21,173,0.53
21,183,0.56
21,193,0.53
21,203,0.54
21,213,0.51
21,223,0.53
21,233,0.51
21,243,0.52
21,253,0.53
21,263,0.52
21,273,0.52
21,283,0.5
21,293,0.53
21,303,0.5
21,313,0.5
21,323,0.49
21,333,0.5
21,343,0.49
21,353,0.51
21,363,0.5
21,373,0.5
21,383,0.48
21,393,0.49
21,403,0.49
21,413,0.49
21,423,0.48
21,433,0.47
21,443,0.49
21,453,0.49
21,454,0.48
26,153,0.6
26,163,0.61
26,173,0.58
26,183,0.58
26,193,0.6
26,203,0.59
26,213,0.58
26,223,0.57
26,233,0.56
26,243,0.57
26,253,0.58
26,263,0.57
26,273,0.57
26,283,0.57
26,293,0.54
26,303,0.57
26,313,0.56
26,323,0.56
26,333,0.56
26,343,0.56
26,353,0.54
