bri,mired,watt
1,167,0.95
1,177,1.1
1,187,0.43
1,197,0.9
1,207,0.43
1,217,0.47
1,227,0.43
1,237,0.4
1,247,0.72
1,257,0.4
1,267,0.43
1,277,0.4
1,287,0.75
1,297,0.4
1,307,0.8
1,317,0.4
1,327,0.72
1,333,0.4
6,167,0.37
6,177,0.4
6,187,0.37
6,197,0.4
6,207,0.47
6,217,0.4
6,227,0.6
6,237,0.63
6,247,0.43
6,257,0.53
6,267,0.4
6,277,0.43
6,287,0.4
6,297,0.43
6,307,0.4
6,317,0.43
6,327,0.4
6,333,0.43
11,167,0.52
11,177,0.43
11,187,0.67
11,197,0.4
11,207,0.43
11,217,0.4
11,227,0.43
11,237,0.4
11,247,0.43
11,257,0.55
11,267,0.4
11,277,0.43
11,287,0.4
11,297,0.5
11,307,0.67
11,317,0.37
11,327,0.45
11,333,0.53
16,167,0.4
16,177,0.37
16,187,0.4
16,197,0.37
16,207,0.4
16,217,0.37
16,227,0.4
16,237,0.63
16,247,0.43
16,257,0.4
16,267,0.6
16,277,0.37
16,287,0.52
16,297,0.6
16,307,0.37
16,317,0.57
16,327,0.4
16,333,0.43
21,167,0.4
21,177,0.6
21,187,0.43
21,197,0.4
21,207,0.43
21,217,0.4
21,227,0.43
21,237,0.47
21,247,0.43
21,257,0.47
21,267,0.43
21,277,0.73
21,287,0.6
21,297,0.43
21,307,0.63
21,317,0.43
21,327,0.4
21,333,0.43
26,167,0.4
26,177,0.43
26,187,0.4
26,197,0.43
26,207,0.6
26,217,0.43
26,227,0.67
26,237,0.37
26,247,0.4
26,257,0.57
26,267,0.57
26,277,0.37
26,287,0.4
26,297,0.47
26,307,0.6
26,317,0.37
26,327,0.4
26,333,0.37
31,167,0.48
31,177,0.8
31,187,0.37
31,197,0.4
31,207,0.9
31,217,0.4
31,227,0.52
31,237,0.37
31,247,0.4
31,257,0.43
31,267,0.5
31,277,0.63
31,287,0.4
31,297,0.43
31,307,0.53
31,317,0.57
31,327,0.4
31,333,0.43
36,167,0.4
36,177,0.43
36,187,0.4
36,197,0.43
36,207,0.4
36,217,0.43
36,227,0.4
36,237,0.43
36,247,0.57
36,257,0.4
36,267,0.43
36,277,0.4
36,287,0.43
36,297,0.4
36,307,0.43
36,317,0.4
36,327,0.37
36,333,0.33
41,167,0.37
41,177,0.33
41,187,0.4
41,197,0.37
41,207,0.4
41,217,0.52
41,227,0.37
41,237,0.4
41,247,0.52
41,257,0.53
41,267,0.4
41,277,0.63
41,287,0.4
41,297,0.63
41,307,0.4
41,317,0.37
41,327,0.4
41,333,0.37
46,167,0.4
46,177,0.63
46,187,0.7
46,197,0.4
46,207,0.43
46,217,0.4
46,227,0.43
46,237,0.5
46,247,0.47
46,257,0.43
46,267,0.52
