bri,watt
1,0.9
2,1.1
3,1.2
4,1.2
5,1.2
6,1.2
7,1.3
8,1.3
9,1.3
10,1.3
11,1.3
12,1.4
13,1.4
14,1.4
15,1.4
16,1.4
17,1.4
18,1.4
19,1.4
20,1.5
21,1.5
22,1.5
23,1.5
24,1.5
25,1.6
26,1.6
27,1.6
28,1.6
29,1.7
30,1.7
31,1.7
32,1.7
33,1.7
34,1.7
35,1.7
36,1.8
37,1.8
38,1.8
39,1.8
40,1.8
41,1.8
42,1.9
43,1.9
44,1.9
45,1.9
46,1.9
47,2
48,2
49,2
50,2
51,2.1
52,2.1
53,2.1
54,2.1
55,2.2
56,2.2
57,2.2
58,2.2
59,2.3
60,2.3
61,2.3
62,2.3
63,2.3
64,2.4
65,2.4
66,2.4
67,2.5
68,2.5
69,2.5
70,2.6
71,2.6
72,2.6
73,2.6
74,2.7
75,2.7
76,2.7
77,2.7
78,2.8
79,2.8
80,2.8
81,2.8
82,2.8
83,2.8
84,2.8
85,2.9
86,2.9
87,2.9
88,3
89,3
90,3
91,3
92,3
93,3.1
94,3.1
95,3.1
96,3.1
97,3.2
98,3.2
99,3.2
100,3.2
101,3.3
102,3.3
103,3.3
104,3.4
105,3.4
106,3.4
107,3.4
108,3.5
109,3.5
110,3.5
111,3.6
112,3.7
113,3.7
114,3.7
115,3.7
116,3.7
117,3.8
118,3.8
119,3.8
120,3.8
121,3.9
122,3.9
123,4
124,4
125,4
126,4
127,4
128,4.1
129,4.1
130,4.1
131,4.1
132,4.1
133,4.2
134,4.2
135,4.2
136,4.2
137,4.2
138,4.2
139,4.3
140,4.3
141,4.3
142,4.3
143,4.3
144,4.4
145,4.4
146,4.4
147,4.4
148,4.5
149,4.5
150,4.6
151,4.6
152,4.7
153,4.7
154,4.7
155,4.7
156,4.7
157,4.8
158,4.8
159,4.9
160,4.9
161,4.9
162,4.9
163,5
164,5
165,5
166,5
167,5.1
168,5.1
169,5.1
170,5.2
171,5.2
172,5.2
173,5.2
174,5.3
175,5.3
176,5.3
177,5.4
178,5.4
179,5.4
180,5.4
181,5.5
182,5.5
183,5.5
184,5.6
185,5.6
186,5.7
187,5.7
188,5.7
189,5.7
190,5.7
191,5.7
192,5.7
193,5.7
194,5.7
195,5.8
196,5.8
197,5.9
198,5.9
199,6
200,6
201,6
202,6
203,6
204,6
205,6.1
206,6.1
207,6.1
208,6.2
209,6.2
210,6.3
211,6.3
212,6.4
213,6.4
214,6.4
215,6.4
216,6.4
217,6.5
218,6.5
219,6.5
220,6.6
221,6.6
222,6.6
223,6.6
224,6.6
225,6.7
226,6.7
227,6.7
228,6.8
229,6.8
230,6.9
231,6.9
232,6.9
233,7
234,7
235,7
236,7
237,7.1
238,7.1
239,7.1
240,7.1
241,7.1
242,7.1
243,7.2
244,7.2
245,7.3
246,7.3
247,7.3
248,7.3
249,7.4
250,7.4
251,7.4
252,7.5
253,7.5
254,7.5
255,7.5
