bri,watt
1,1.4
2,1.4
3,1.6
4,1.6
5,1.6
6,1.6
7,1.6
8,1.8
9,1.8
10,1.8
11,1.8
12,1.8
13,1.8
14,2
15,2
16,2.1
17,2.1
18,2.2
19,2.2
20,2.2
21,2.3
22,2.3
23,2.3
24,2.4
25,2.4
26,2.5
27,2.5
28,2.5
29,2.7
30,2.7
31,2.7
32,2.8
33,2.8
34,2.8
35,2.8
36,2.9
37,2.9
38,2.9
39,3
40,3
41,3
42,3
43,3.1
44,3.1
45,3.2
46,3.2
47,3.2
48,3.3
49,3.3
50,3.4
51,3.5
52,3.4
53,3.6
54,3.6
55,3.7
56,3.6
57,3.8
58,3.8
59,3.7
60,3.9
61,3.9
62,3.9
63,4
64,4
65,4
66,4.1
67,4.1
68,4.1
69,4.2
70,4.2
71,4.2
72,4.3
73,4.3
74,4.3
75,4.3
76,4.5
77,4.4
78,4.5
79,4.5
80,4.6
81,4.6
82,4.7
83,4.7
84,4.8
85,4.8
86,4.9
87,4.9
88,4.9
89,5
90,5.1
91,5.1
92,5.1
93,5.2
94,5.2
95,5.2
96,5.3
97,5.3
98,5.3
99,5.5
100,5.5
101,5.5
102,5.6
103,5.6
104,5.6
105,5.6
106,5.7
107,5.7
108,5.7
109,5.8
110,5.9
111,5.9
112,5.9
113,5.9
114,6.1
115,6
116,6.1
117,6.1
118,6.2
119,6.2
120,6.4
121,6.3
122,6.4
123,6.4
124,6.5
125,6.5
126,6.6
127,6.6
128,6.6
129,6.7
130,6.6
131,6.8
132,6.9
133,6.9
134,6.9
135,6.9
136,7
137,7
138,7.1
139,7.1
140,7.1
141,7.1
142,7.1
143,7.2
144,7.2
145,7.3
146,7.3
147,7.4
148,7.4
149,7.5
150,7.5
151,7.6
152,7.6
153,7.6
154,7.7
155,7.7
156,7.8
157,7.9
158,7.9
159,7.9
160,8
161,8
162,8.1
163,8.1
164,8.1
165,8.3
166,8.3
167,8.3
168,8.4
169,8.4
170,8.4
171,8.5
172,8.5
173,8.5
174,8.5
175,8.6
176,8.6
177,8.7
178,8.7
179,8.7
180,8.9
181,8.9
182,8.9
183,9
184,9
185,9
186,9.1
187,9.2
188,9.2
189,9.3
190,9.3
191,9.4
192,9.4
193,9.5
194,9.5
195,9.5
196,9.6
197,9.7
198,9.6
199,9.8
200,9.8
201,9.8
202,9.9
203,9.9
204,10
205,10
206,10
207,10.1
208,10.1
209,10.1
210,10.1
211,10.2
212,10.3
213,10.3
214,10.3
215,10.4
216,10.4
217,10.5
218,10.6
219,10.6
220,10.7
221,10.7
222,10.8
223,10.8
224,10.9
225,10.9
226,11
227,11
228,11
229,11
230,11.2
231,11.2
232,11.2
233,11.3
234,11.3
235,11.4
236,11.4
237,11.4
238,11.5
239,11.5
240,11.5
241,11.7
242,11.7
243,11.7
244,11.8
245,11.8
246,11.9
247,11.9
248,12
249,12
250,12
251,12.2
252,12.2
253,12.2
254,12.3
255,12.3
