bri,watt
1,1.35
2,1.3
3,1.25
4,1.3
5,1.3
6,1.25
7,1.2
8,1.3
9,1.25
10,1.3
11,1.25
12,1.25
13,1.25
14,1.25
15,1.35
16,1.2
17,1.3
18,1.25
19,1.25
20,1.3
21,1.25
22,1.25
23,1.3
24,1.2
25,1.3
26,1.25
27,1.25
28,1.25
29,1.3
30,1.25
31,1.25
32,1.35
33,1.25
34,1.25
35,1.3
36,1.3
37,1.25
38,1.3
39,1.3
40,1.3
41,1.3
42,1.35
43,1.35
44,1.3
45,1.4
46,1.4
47,1.35
48,1.35
49,1.4
50,1.35
51,1.4
52,1.4
53,1.4
54,1.45
55,1.45
56,1.45
57,1.45
58,1.45
59,1.5
60,1.5
61,1.5
62,1.55
63,1.5
64,1.55
65,1.6
66,1.55
67,1.55
68,1.55
69,1.6
70,1.7
71,1.65
72,1.65
73,1.65
74,1.7
75,1.7
76,1.75
77,1.8
78,1.75
79,1.8
80,1.8
81,1.8
82,1.75
83,1.8
84,1.85
85,1.9
86,1.85
87,1.9
88,1.9
89,1.9
90,1.9
91,1.9
92,1.95
93,2.0
94,2.0
95,2.1
96,2.05
97,2.1
98,2.1
99,2.15
100,2.1
101,2.2
102,2.2
103,2.25
104,2.3
105,2.15
106,2.3
107,2.35
108,2.3
109,2.35
110,2.4
111,2.35
112,2.35
113,2.45
114,2.45
115,2.45
116,2.5
117,2.55
118,2.5
119,2.6
120,2.6
121,2.65
122,2.75
123,2.7
124,2.75
125,2.75
126,2.7
127,2.8
128,2.8
129,2.85
130,2.9
131,2.95
132,2.95
133,3.0
134,2.95
135,3.0
136,3.0
137,3.05
138,3.2
139,3.15
140,3.15
141,3.15
142,3.25
143,3.3
144,3.3
145,3.35
146,3.4
147,3.4
148,3.4
149,3.45
150,3.5
151,3.55
152,3.6
153,3.55
154,3.7
155,3.65
156,3.6
157,3.7
158,3.75
159,3.85
160,3.85
161,3.85
162,3.9
163,4.0
164,4.0
165,4.0
166,4.1
167,4.15
168,4.15
169,4.25
170,4.3
171,4.3
172,4.4
173,4.35
174,4.45
175,4.55
176,4.6
177,4.55
178,4.65
179,4.75
180,4.7
181,4.8
182,4.9
183,4.9
184,4.95
185,5.05
186,5.05
187,5.15
188,5.2
189,5.2
190,5.25
191,5.35
192,5.4
193,5.45
194,5.5
195,5.5
196,5.55
197,5.7
198,5.75
199,5.8
200,5.85
201,5.9
202,5.9
203,6.0
204,6.1
205,6.2
206,6.25
207,6.3
208,6.4
209,6.5
210,6.55
211,6.2
212,6.25
213,6.35
214,6.3
215,6.35
216,6.45
217,6.55
218,6.55
219,6.6
220,6.65
221,6.8
222,6.8
223,6.85
224,6.9
225,7.0
226,7.05
227,7.1
228,7.2
229,7.25
230,7.3
231,7.3
232,7.4
233,7.5
234,7.55
235,7.55
236,7.65
237,7.7
238,7.8
239,7.9
240,7.95
241,8.0
242,8.05
243,8.1
244,8.1
245,8.25
246,8.25
247,8.3
248,8.4
249,8.5
250,8.5
251,8.6
252,8.7
253,8.9
254,9.35
255,9.35
