bri,mired,watt
1,153,0.6
1,163,0.55
1,173,0.55
1,183,0.6
1,193,0.55
1,203,0.6
1,213,0.6
1,223,0.6
1,233,0.6
1,243,0.6
1,253,0.6
1,263,0.5
1,273,0.55
1,283,0.6
1,293,0.55
1,303,0.6
1,313,0.55
1,323,0.55
1,333,0.5
1,343,0.6
1,353,0.55
1,363,0.6
1,373,0.55
1,383,0.55
1,393,0.55
1,403,0.55
1,413,0.6
1,423,0.6
1,433,0.55
1,443,0.6
1,453,0.55
1,463,0.5
1,473,0.55
1,483,0.6
1,493,0.6
1,500,0.55
6,153,0.5
6,163,0.6
6,173,0.6
6,183,0.6
6,193,0.6
6,203,0.6
6,213,0.6
6,223,0.6
6,233,0.6
6,243,0.6
6,253,0.6
6,263,0.6
6,273,0.6
6,283,0.6
6,293,0.6
6,303,0.6
6,313,0.6
6,323,0.6
6,333,0.65
6,343,0.6
6,353,0.5
6,363,0.65
6,373,0.6
6,383,0.6
6,393,0.6
6,403,0.6
6,413,0.6
6,423,0.6
6,433,0.6
6,443,0.6
6,453,0.6
6,463,0.6
6,473,0.6
6,483,0.6
6,493,0.55
6,500,0.55
11,153,0.65
11,163,0.6
11,173,0.65
11,183,0.6
11,193,0.65
11,203,0.6
11,213,0.65
11,223,0.65
11,233,0.7
11,243,0.7
11,253,0.65
11,263,0.65
11,273,0.65
11,283,0.65
11,293,0.65
11,303,0.65
11,313,0.65
11,323,0.65
11,333,0.7
11,343,0.65
11,353,0.6
11,363,0.6
11,373,0.65
11,383,0.6
11,393,0.65
11,403,0.7
11,413,0.65
11,423,0.65
11,433,0.65
11,443,0.6
11,453,0.6
11,463,0.65
11,473,0.6
11,483,0.6
11,493,0.6
11,500,0.6
16,153,0.7
16,163,0.65
16,173,0.7
16,183,0.7
16,193,0.7
16,203,0.8
16,213,0.75
16,223,0.75
16,233,0.7
16,243,0.7
16,253,0.75
16,263,0.75
16,273,0.75
16,283,0.7
16,293,0.75
16,303,0.75
16,313,0.7
16,323,0.7
16,333,0.75
16,343,0.8
16,353,0.7
16,363,0.7
16,373,0.7
16,383,0.75
16,393,0.7
16,403,0.75
16,413,0.75
16,423,0.7
16,433,0.75
16,443,0.7
16,453,0.75
16,463,0.7
16,473,0.6
16,483,0.6
16,493,0.6
16,500,0.65
21,153,0.8
21,163,0.8
21,173,0.8
21,183,0.8
21,193,0.9
21,203,0.8
21,213,0.85
21,223,0.8
21,233,0.85
21,243,0.85
21,253,0.9
21,263,0.9
21,273,0.8
21,283,0.85
21,293,0.85
21,303,0.8
21,313,0.9
21,323,0.8
21,333,0.9
21,343,0.8
21,353,0.8
21,363,0.9
21,373,0.85
21,383,0.8
21,393,0.85
21,403,0.8
21,413,0.8
21,423,0.8
21,433,0.8
21,443,0.85
21,453,0.85
21,463,0.75
21,473,0.7
21,483,0.7
21,493,0.65
21,500,0.6
26,153,0.9
26,163,0.95
26,173,1.0
26,183,1.0
26,193,1.0
26,203,1.0
26,213,0.95
26,223,1.0
26,233,0.95
26,243,1.0
26,253,1.0
26,263,0.95
26,273,0.95
26,283,0.95
26,293,0.9
26,303,1.0
26,313,0.95
26,323,1.05
26,333,1.0
26,343,1.0
26,353,1.0
26,363,0.95
26,373,0.95
26,383,1.0
26,393,0.95
26,403,1.0
26,413,0.9
26,423,0.95
26,433,1.0
26,443,0.95
26,453,0.95
26,463,0.95
26,473,0.8
26,483,0.7
26,493,0.65
26,500,0.7
31,153,1.1
31,163,1.1
31,173,1.15
31,183,1.1
31,193,1.1
31,203,1.15
31,213,1.15
31,223,1.15
31,233,1.1
31,243,1.15
31,253,1.15
31,263,1.2
31,273,1.15
31,283,1.2
31,293,1.05
31,303,1.15
31,313,1.15
31,323,1.2
31,333,1.15
31,343,1.15
31,353,1.1
31,363,1.1
31,373,1.15
31,383,1.15
31,393,1.1
31,403,1.2
31,413,1.15
31,423,1.2
31,433,1.15
31,443,1.15
31,453,1.1
31,463,1.05
31,473,0.9
31,483,0.8
31,493,0.8
31,500,0.75
36,153,1.25
36,163,1.3
36,173,1.3
36,183,1.3
36,193,1.35
36,203,1.4
36,213,1.35
36,223,1.3
36,233,1.35
36,243,1.35
36,253,1.4
36,263,1.4
36,273,1.35
36,283,1.4
36,293,1.4
36,303,1.3
36,313,1.35
36,323,1.35
36,333,1.4
36,343,1.35
36,353,1.4
36,363,1.4
36,373,1.4
36,383,1.45
36,393,1.35
36,403,1.35
36,413,1.4
36,423,1.3
36,433,1.35
36,443,1.4
36,453,1.3
36,463,1.2
36,473,1.1
36,483,0.9
36,493,0.8
36,500,0.85
41,153,1.45
41,163,1.5
41,173,1.5
41,183,1.55
41,193,1.55
41,203,1.65
41,213,1.65
41,223,1.55
41,233,1.6
41,243,1.65
41,253,1.6
41,263,1.6
41,273,1.6
41,283,1.6
41,293,1.6
41,303,1.65
41,313,1.55
41,323,1.65
41,333,1.6
41,343,1.65
41,353,1.7
41,363,1.65
41,373,1.65
41,383,1.65
41,393,1.65
41,403,1.6
41,413,1.65
41,423,1.55
41,433,1.6
41,443,1.6
41,453,1.65
41,463,1.45
41,473,1.1
41,483,1.05
41,493,0.9
41,500,0.95
46,153,1.6
46,163,1.75
46,173,1.75
46,183,1.85
46,193,1.95
46,203,1.9
46,213,1.9
46,223,1.9
46,233,1.9
46,243,1.85
46,253,1.95
46,263,1.9
46,273,1.9
46,283,1.9
46,293,1.85
46,303,1.9
46,313,1.9
46,323,1.85
46,333,1.85
46,343,1.8
46,353,1.85
46,363,1.9
46,373,1.8
46,383,1.9
46,393,1.8
46,403,1.85
46,413,1.9
46,423,1.85
46,433,1.9
46,443,1.8
46,453,1.9
46,463,1.6
46,473,1.3
46,483,1.1
46,493,1.0
46,500,1.0
51,153,1.95
51,163,2.1
51,173,2.15
51,183,2.1
51,193,2.15
51,203,2.2
51,213,2.2
51,223,2.2
51,233,2.25
51,243,2.25
51,253,2.2
51,263,2.2
51,273,2.2
51,283,2.2
51,293,2.2
51,303,2.2
51,313,2.2
51,323,2.15
51,333,2.15
51,343,2.1
51,353,2.2
51,363,2.2
51,373,2.2
51,383,2.1
51,393,2.2
51,403,2.2
51,413,2.2
51,423,2.2
51,433,2.2
51,443,2.15
51,453,2.15
51,463,1.9
51,473,1.4
51,483,1.25
51,493,1.15
51,500,1.1
56,153,2.2
56,163,2.25
56,173,2.35
56,183,2.4
56,193,2.45
56,203,2.45
56,213,2.55
56,223,2.5
56,233,2.5
56,243,2.55
56,253,2.45
56,263,2.5
56,273,2.5
56,283,2.55
56,293,2.5
56,303,2.55
56,313,2.5
56,323,2.45
56,333,2.55
56,343,2.5
56,353,2.5
56,363,2.5
56,373,2.5
56,383,2.55
56,393,2.5
56,403,2.45
56,413,2.5
56,423,2.5
56,433,2.55
56,443,2.45
56,453,2.55
56,463,2.1
56,473,1.7
56,483,1.4
56,493,1.3
56,500,1.2
61,153,2.5
61,163,2.6
61,173,2.65
61,183,2.8
61,193,2.8
61,203,2.85
61,213,2.85
61,223,2.85
61,233,2.85
61,243,2.85
61,253,2.9
61,263,2.85
61,273,2.8
61,283,2.85
61,293,2.9
61,303,2.85
61,313,2.85
61,323,2.85
61,333,2.8
61,343,2.85
61,353,2.9
61,363,2.85
61,373,2.9
61,383,2.9
61,393,2.85
61,403,2.85
61,413,2.8
61,423,2.85
61,433,2.85
61,443,2.8
61,453,2.9
61,463,2.4
61,473,1.8
61,483,1.55
61,493,1.35
61,500,1.3
66,153,2.8
66,163,2.9
66,173,3.05
66,183,3.25
66,193,3.25
66,203,3.3
66,213,3.35
66,223,3.3
66,233,3.3
66,243,3.35
66,253,3.3
66,263,3.2
66,273,3.2
66,283,3.25
66,293,3.3
66,303,3.3
66,313,3.3
66,323,3.3
66,333,3.3
66,343,3.2
66,353,3.25
66,363,3.3
66,373,3.25
66,383,3.3
66,393,3.3
66,403,3.3
66,413,3.3
66,423,3.25
66,433,3.3
66,443,3.2
66,453,3.3
66,463,2.7
66,473,1.95
66,483,1.8
66,493,1.55
66,500,1.45
71,153,3.2
71,163,3.35
71,173,3.45
71,183,3.55
71,193,3.65
71,203,3.75
71,213,3.75
71,223,3.8
71,233,3.75
71,243,3.75
71,253,3.75
71,263,3.7
71,273,3.7
71,283,3.7
71,293,3.75
71,303,3.65
