bri,hue,sat,watt
35,1,1,1.36
35,2732,1,1.43
35,5463,1,1.46
35,8194,1,1.39
35,10925,1,1.42
35,13656,1,1.42
35,16387,1,1.44
35,19118,1,1.38
35,21849,1,1.42
35,24580,1,1.47
35,27311,1,1.43
35,30042,1,1.43
35,32773,1,1.44
35,35504,1,1.48
35,38235,1,1.4
35,40966,1,1.44
35,43697,1,1.41
35,46428,1,1.44
35,49159,1,1.52
35,51890,1,1.4
35,54621,1,1.5
35,57352,1,1.48
35,60083,1,1.49
35,62814,1,1.55
35,65535,1,1.46
35,1,33,1.04
35,2732,33,1.46
35,5463,33,1.46
35,8194,33,1.44
35,10925,33,1.44
35,13656,33,1.41
35,16387,33,1.35
35,19118,33,1.16
35,21849,33,1.03
35,24580,33,1.11
35,27311,33,1.32
35,30042,33,1.49
35,32773,33,1.54
35,35504,33,1.54
35,38235,33,1.47
35,40966,33,1.51
35,43697,33,1.51
35,46428,33,1.46
35,49159,33,1.32
35,51890,33,1.02
35,54621,33,0.93
35,57352,33,0.91
35,60083,33,0.87
35,62814,33,0.87
35,65535,33,1.07
35,1,65,0.58
35,2732,65,1.11
35,5463,65,1.4
35,8194,65,1.36
35,10925,65,1.25
35,13656,65,0.98
35,16387,65,0.84
35,19118,65,0.65
35,21849,65,0.64
35,24580,65,0.75
35,27311,65,0.74
35,30042,65,0.71
35,32773,65,0.83
35,35504,65,0.88
35,38235,65,1.38
35,40966,65,1.21
35,43697,65,0.85
35,46428,65,1.03
35,49159,65,0.83
35,51890,65,0.68
35,54621,65,0.58
35,57352,65,0.54
35,60083,65,0.55
35,62814,65,0.5
35,65535,65,0.54
35,1,97,0.42
35,2732,97,0.62
35,5463,97,1.26
35,8194,97,1.21
35,10925,97,0.84
35,13656,97,0.71
35,16387,97,0.61
35,19118,97,0.51
35,21849,97,0.46
35,24580,97,0.5
35,27311,97,0.53
35,30042,97,0.57
35,32773,97,0.56
35,35504,97,0.7
35,38235,97,0.86
35,40966,97,0.62
35,43697,97,0.54
35,46428,97,0.61
35,49159,97,0.64
35,51890,97,0.5
35,54621,97,0.45
35,57352,97,0.45
35,60083,97,0.4
35,62814,97,0.39
35,65535,97,0.35
35,1,129,0.35
35,2732,129,0.4
35,5463,129,1.23
35,8194,129,1.19
35,10925,129,0.78
35,13656,129,0.59
35,16387,129,0.51
35,19118,129,0.47
35,21849,129,0.41
35,24580,129,0.49
35,27311,129,0.55
35,30042,129,0.55
35,32773,129,0.59
35,35504,129,0.59
35,38235,129,0.6
35,40966,129,0.53
35,43697,129,0.44
35,46428,129,0.49
35,49159,129,0.67
35,51890,129,0.5
35,54621,129,0.51
35,57352,129,0.51
35,60083,129,0.42
35,62814,129,0.35
35,65535,129,0.33
35,1,161,0.37
35,2732,161,0.48
35,5463,161,1.29
35,8194,161,1.23
35,10925,161,0.69
35,13656,161,0.67
35,16387,161,0.57
35,19118,161,0.47
35,21849,161,0.45
35,24580,161,0.46
35,27311,161,0.45
35,30042,161,0.46
35,32773,161,0.55
35,35504,161,0.67
35,38235,161,0.62
35,40966,161,0.43
35,43697,161,0.33
35,46428,161,0.45
35,49159,161,0.47
35,51890,161,0.45
35,54621,161,0.45
35,57352,161,0.34
35,60083,161,0.31
35,62814,161,0.35
35,65535,161,0.3
35,1,193,0.35
35,2732,193,0.36
35,5463,193,0.52
35,8194,193,0.54
35,10925,193,0.64
35,13656,193,0.53
35,16387,193,0.46
35,19118,193,0.45
35,21849,193,0.41
35,24580,193,0.39
35,27311,193,0.46
35,30042,193,0.42
35,32773,193,0.47
35,35504,193,0.62
35,38235,193,0.53
35,40966,193,0.31
35,43697,193,0.22
35,46428,193,0.32
35,49159,193,0.41
35,51890,193,0.51
35,54621,193,0.41
35,57352,193,0.4
35,60083,193,0.41
35,62814,193,0.29
35,65535,193,0.32
35,1,225,0.26
35,2732,225,0.2
35,5463,225,0.37
35,8194,225,0.46
35,10925,225,0.61
35,13656,225,0.47
35,16387,225,0.46
35,19118,225,0.42
35,21849,225,0.36
35,24580,225,0.43
35,27311,225,0.38
35,30042,225,0.42
35,32773,225,0.43
35,35504,225,0.53
35,38235,225,0.38
35,40966,225,0.22
35,43697,225,0.25
35,46428,225,0.34
35,49159,225,0.44
35,51890,225,0.52
35,54621,225,0.43
35,57352,225,0.38
35,60083,225,0.26
35,62814,225,0.27
35,65535,225,0.31
35,1,255,0.31
35,2732,255,0.32
35,5463,255,0.37
35,8194,255,0.51
35,10925,255,0.61
35,13656,255,0.51
35,16387,255,0.44
35,19118,255,0.41
35,21849,255,0.46
35,24580,255,0.38
35,27311,255,0.44
35,30042,255,0.46
35,32773,255,0.57
35,35504,255,0.59
35,38235,255,0.47
35,40966,255,0.31
35,43697,255,0.35
35,46428,255,0.27
35,49159,255,0.46
35,51890,255,0.57
35,54621,255,0.44
35,57352,255,0.35
35,60083,255,0.4
35,62814,255,0.39
35,65535,255,0.37
67,1,1,4.32
67,2732,1,4.55
67,5463,1,4.9
67,8194,1,5.02
67,10925,1,5.03
67,13656,1,5.1
67,16387,1,5.12
67,19118,1,5.07
67,21849,1,5.1
67,24580,1,5.15
67,27311,1,5.11
67,30042,1,5.05
67,32773,1,5.11
67,35504,1,5.02
67,38235,1,5.04
67,40966,1,5.03
67,43697,1,5.09
67,46428,1,5.04
67,49159,1,5.02
67,51890,1,5.05
67,54621,1,5.04
67,57352,1,5.04
67,60083,1,5.09
67,62814,1,5.1
67,65535,1,5.15
67,1,33,3.64
67,2732,33,5.07
67,5463,33,4.96
67,8194,33,4.98
67,10925,33,4.97
67,13656,33,5.0
67,16387,33,4.55
67,19118,33,4.07
67,21849,33,3.61
67,24580,33,4.01
67,27311,33,4.58
67,30042,33,5.03
67,32773,33,5.01
67,35504,33,5.13
67,38235,33,5.07
67,40966,33,5.08
67,43697,33,5.08
67,46428,33,5.17
67,49159,33,4.45
67,51890,33,3.53
67,54621,33,3.0
67,57352,33,2.97
67,60083,33,2.96
67,62814,33,2.96
67,65535,33,3.58
67,1,65,1.95
67,2732,65,3.68
67,5463,65,4.77
67,8194,65,4.72
67,10925,65,4.22
67,13656,65,3.37
67,16387,65,2.85
67,19118,65,2.47
67,21849,65,2.22
67,24580,65,2.37
67,27311,65,2.59
67,30042,65,2.61
67,32773,65,2.83
67,35504,65,3.43
67,38235,65,4.8
67,40966,65,4.04
67,43697,65,3.27
67,46428,65,3.63
67,49159,65,3.02
67,51890,65,2.43
67,54621,65,2.06
67,57352,65,1.93
67,60083,65,1.86
67,62814,65,1.77
67,65535,65,1.82
67,1,97,1.34
67,2732,97,2.21
67,5463,97,4.45
67,8194,97,4.28
67,10925,97,3.08
67,13656,97,2.53
67,16387,97,2.17
67,19118,97,1.88
67,21849,97,1.68
67,24580,97,1.81
67,27311,97,1.87
67,30042,97,1.98
67,32773,97,2.07
67,35504,97,2.61
67,38235,97,3.1
67,40966,97,2.42
67,43697,97,1.94
67,46428,97,2.26
67,49159,97,2.4
67,51890,97,1.97
67,54621,97,1.64
67,57352,97,1.63
67,60083,97,1.57
67,62814,97,1.45
67,65535,97,1.48
67,1,129,1.21
67,2732,129,1.76
67,5463,129,4.43
67,8194,129,4.25
67,10925,129,2.72
67,13656,129,2.26
67,16387,129,1.96
67,19118,129,1.7
67,21849,129,1.5
67,24580,129,1.61
67,27311,129,1.76
67,30042,129,1.78
67,32773,129,1.94
67,35504,129,2.28
67,38235,129,2.5
67,40966,129,1.75
67,43697,129,1.44
67,46428,129,1.8
67,49159,129,2.23
67,51890,129,1.79
67,54621,129,1.54
67,57352,129,1.43
67,60083,129,1.34
67,62814,129,1.27
67,65535,129,1.2
67,1,161,1.11
67,2732,161,1.51
67,5463,161,4.4
67,8194,161,4.28
67,10925,161,2.31
67,13656,161,2.06
67,16387,161,1.79
67,19118,161,1.52
67,21849,161,1.39
67,24580,161,1.46
67,27311,161,1.53
67,30042,161,1.65
67,32773,161,1.78
67,35504,161,2.08
67,38235,161,2.0
67,40966,161,1.48
67,43697,161,1.19
67,46428,161,1.44
67,49159,161,1.8
67,51890,161,1.63
67,54621,161,1.4
67,57352,161,1.25
67,60083,161,1.19
67,62814,161,1.11
67,65535,161,1.1
67,1,193,0.95
67,2732,193,1.21
67,5463,193,1.84
67,8194,193,1.76
67,10925,193,2.1
67,13656,193,1.84
67,16387,193,1.54
67,19118,193,1.38
67,21849,193,1.39
67,24580,193,1.33
67,27311,193,1.4
67,30042,193,1.51
67,32773,193,1.65
67,35504,193,1.93
67,38235,193,1.69
67,40966,193,1.23
67,43697,193,0.96
67,46428,193,1.17
67,49159,193,1.48
67,51890,193,1.53
67,54621,193,1.35
67,57352,193,1.26
67,60083,193,1.04
67,62814,193,0.99
67,65535,193,0.99
67,1,225,0.96
67,2732,225,1.13
67,5463,225,1.32
67,8194,225,1.61
67,10925,225,2.09
67,13656,225,1.74
67,16387,225,1.44
67,19118,225,1.36
67,21849,225,1.33
67,24580,225,1.28
67,27311,225,1.3
67,30042,225,1.41
67,32773,225,1.67
67,35504,225,1.92
67,38235,225,1.47
67,40966,225,1.02
67,43697,225,0.96
67,46428,225,1.06
67,49159,225,1.44
67,51890,225,1.58
67,54621,225,1.3
67,57352,225,1.12
67,60083,225,0.97
67,62814,225,0.97
67,65535,225,0.92
67,1,255,0.94
67,2732,255,0.97
67,5463,255,1.15
67,8194,255,1.45
67,10925,255,2.05
67,13656,255,1.68
67,16387,255,1.36
67,19118,255,1.24
67,21849,255,1.22
67,24580,255,1.25
67,27311,255,1.29
67,30042,255,1.36
67,32773,255,1.65
67,35504,255,2.04
67,38235,255,1.21
67,40966,255,0.94
67,43697,255,0.9
67,46428,255,0.96
67,49159,255,1.29
67,51890,255,1.63
67,54621,255,1.28
67,57352,255,1.11
67,60083,255,0.98
67,62814,255,0.95
67,65535,255,0.87
99,1,1,8.4
99,2732,1,8.98
99,5463,1,9.52
99,8194,1,9.72
99,10925,1,9.79
99,13656,1,9.81
99,16387,1,9.79
99,19118,1,9.8
99,21849,1,9.78
99,24580,1,9.8
99,27311,1,9.79
99,30042,1,9.74
99,32773,1,9.79
99,35504,1,9.81
99,38235,1,9.82
99,40966,1,9.79
99,43697,1,9.77
99,46428,1,9.78
99,49159,1,9.79
99,51890,1,9.78
99,54621,1,9.81
99,57352,1,9.79
99,60083,1,9.84
99,62814,1,9.85
99,65535,1,9.79
99,1,33,7.01
99,2732,33,9.68
99,5463,33,9.41
99,8194,33,9.53
99,10925,33,9.65
99,13656,33,9.76
99,16387,33,8.83
99,19118,33,7.99
99,21849,33,7.06
99,24580,33,7.79
99,27311,33,8.82
99,30042,33,9.68
99,32773,33,9.79
99,35504,33,9.8
99,38235,33,9.66
99,40966,33,9.83
99,43697,33,9.7
99,46428,33,9.91
99,49159,33,8.51
99,51890,33,6.99
99,54621,33,6.05
99,57352,33,5.99
99,60083,33,5.86
99,62814,33,5.87
99,65535,33,7.05
99,1,65,4.03
99,2732,65,7.29
99,5463,65,9.19
99,8194,65,9.2
99,10925,65,8.23
99,13656,65,6.82
99,16387,65,5.82
99,19118,65,5.12
99,21849,65,4.6
99,24580,65,5.01
99,27311,65,5.29
99,30042,65,5.37
99,32773,65,5.64
99,35504,65,6.78
99,38235,65,9.36
99,40966,65,7.8
99,43697,65,6.48
99,46428,65,7.24
99,49159,65,6.02
99,51890,65,4.93
99,54621,65,4.17
99,57352,65,4.03
99,60083,65,3.89
99,62814,65,3.75
99,65535,65,3.96
99,1,97,2.92
99,2732,97,4.73
99,5463,97,8.7
99,8194,97,8.28
99,10925,97,6.21
99,13656,97,5.28
99,16387,97,4.61
99,19118,97,4.03
99,21849,97,3.62
99,24580,97,3.82
99,27311,97,4.05
99,30042,97,4.24
99,32773,97,4.48
99,35504,97,5.3
99,38235,97,6.3
99,40966,97,5.02
99,43697,97,4.11
99,46428,97,4.82
99,49159,97,5.07
99,51890,97,4.13
99,54621,97,3.49
99,57352,97,3.32
99,60083,97,3.11
99,62814,97,2.96
99,65535,97,2.93
99,1,129,2.37
99,2732,129,3.7
99,5463,129,8.44
99,8194,129,8.02
99,10925,129,5.41
99,13656,129,4.56
99,16387,129,3.98
99,19118,129,3.43
99,21849,129,3.07
99,24580,129,3.27
99,27311,129,3.43
99,30042,129,3.75
99,32773,129,3.93
99,35504,129,4.59
99,38235,129,4.9
99,40966,129,3.7
99,43697,129,2.92
99,46428,129,3.55
99,49159,129,4.45
99,51890,129,3.56
99,54621,129,3.07
99,57352,129,2.83
99,60083,129,2.58
99,62814,129,2.44
99,65535,129,2.37
99,1,161,2.17
99,2732,161,2.98
99,5463,161,8.36
99,8194,161,8.02
99,10925,161,4.77
99,13656,161,4.09
99,16387,161,3.53
99,19118,161,3.12
99,21849,161,2.84
99,24580,161,2.93
99,27311,161,3.12
99,30042,161,3.37
99,32773,161,3.65
99,35504,161,4.28
99,38235,161,4.11
99,40966,161,2.99
99,43697,161,2.28
99,46428,161,2.77
99,49159,161,3.7
99,51890,161,3.33
99,54621,161,2.81
99,57352,161,2.61
99,60083,161,2.34
99,62814,161,2.25
99,65535,161,2.07
99,1,193,1.92
99,2732,193,2.46
99,5463,193,3.88
99,8194,193,3.76
99,10925,193,4.32
99,13656,193,3.79
99,16387,193,3.22
99,19118,193,2.88
99,21849,193,2.72
99,24580,193,2.79
99,27311,193,2.87
99,30042,193,3.13
99,32773,193,3.45
99,35504,193,4.07
99,38235,193,3.52
99,40966,193,2.38
99,43697,193,1.94
99,46428,193,2.37
99,49159,193,3.16
99,51890,193,3.18
99,54621,193,2.68
99,57352,193,2.38
99,60083,193,2.22
99,62814,193,2.1
99,65535,193,2.03
99,1,225,1.9
99,2732,225,2.29
99,5463,225,2.55
99,8194,225,3.32
99,10925,225,4.34
99,13656,225,3.65
99,16387,225,3.15
99,19118,225,2.74
99,21849,225,2.73
99,24580,225,2.71
99,27311,225,2.87
99,30042,225,3.1
99,32773,225,3.47
99,35504,225,4.17
99,38235,225,3.04
99,40966,225,2.01
99,43697,225,1.84
99,46428,225,2.02
99,49159,225,2.86
99,51890,225,3.27
99,54621,225,2.67
99,57352,225,2.32
99,60083,225,2.1
99,62814,225,2.02
99,65535,225,1.83
99,1,255,1.97
99,2732,255,1.96
99,5463,255,2.36
99,8194,255,3.17
99,10925,255,4.33
99,13656,255,3.54
99,16387,255,2.89
99,19118,255,2.63
99,21849,255,2.63
99,24580,255,2.61
99,27311,255,2.81
99,30042,255,3.06
99,32773,255,3.5
99,35504,255,4.38
99,38235,255,2.71
99,40966,255,1.93
99,43697,255,1.83
99,46428,255,1.95
99,49159,255,2.57
99,51890,255,3.43
99,54621,255,2.72
99,57352,255,2.34
99,60083,255,2.1
99,62814,255,1.91
99,65535,255,1.96
131,1,1,14.06
