effect,bri,watt
off,5,0.64
off,45,0.81
off,85,1.22
off,125,1.76
off,165,2.58
off,205,3.9
off,245,6.36
off,255,7.2
candle,5,0.66
candle,45,0.82
candle,85,1.04
candle,125,1.37
candle,165,1.73
candle,205,2.14
candle,245,2.62
candle,255,2.71
fire,5,0.65
fire,45,0.75
fire,85,0.98
fire,125,1.21
fire,165,1.49
fire,205,1.83
fire,245,2.17
fire,255,2.33
prism,5,0.64
prism,45,0.79
prism,85,1.09
prism,125,1.49
prism,165,1.99
prism,205,2.62
prism,245,3.51
prism,255,3.73
sparkle,5,0.64
sparkle,45,0.67
sparkle,85,0.71
sparkle,125,0.83
sparkle,165,0.96
sparkle,205,1.07
sparkle,245,1.27
sparkle,255,1.29
opal,5,0.64
opal,45,0.83
opal,85,1.26
opal,125,1.77
opal,165,2.57
opal,205,3.55
opal,245,4.77
opal,255,5.08
glisten,5,0.65
glisten,45,0.68
glisten,85,0.8
glisten,125,1.0
glisten,165,1.2
glisten,205,1.48
glisten,245,1.76
glisten,255,1.84
underwater,5,0.61
underwater,45,0.69
underwater,85,0.85
underwater,125,1.11
underwater,165,1.4
underwater,205,1.72
underwater,245,2.06
underwater,255,2.15
cosmos,5,0.6
cosmos,45,0.65
cosmos,85,0.7
cosmos,125,0.83
cosmos,165,0.98
cosmos,205,1.13
cosmos,245,1.32
cosmos,255,1.27
sunbeam,5,0.6
sunbeam,45,0.82
sunbeam,85,1.29
sunbeam,125,1.93
sunbeam,165,2.78
sunbeam,205,3.86
sunbeam,245,5.45
sunbeam,255,5.74
enchant,5,0.61
enchant,45,0.68
enchant,85,0.81
enchant,125,0.99
enchant,165,1.22
enchant,205,1.54
enchant,245,1.98
enchant,255,2.13
sunrise,5,0.59
sunrise,45,0.63
sunrise,85,0.64
sunrise,125,0.65
sunrise,165,0.67
sunrise,205,0.65
sunrise,245,0.67
sunrise,255,0.67
sunset,5,0.65
sunset,45,0.74
sunset,85,0.93
sunset,125,1.21
sunset,165,1.52
sunset,205,1.93
sunset,245,2.45
sunset,255,2.6
