bri,mired,watt
1,153,0.12
1,163,0.2
1,173,0.29
1,183,0.3
1,193,0.28
1,203,0.22
1,213,0.23
1,223,0.22
1,233,0.23
1,243,0.25
1,253,0.25
1,263,0.25
1,273,0.23
1,283,0.23
1,293,0.26
1,303,0.23
1,313,0.33
1,323,0.22
1,333,0.35
1,343,0.25
1,353,0.26
1,363,0.25
1,373,0.26
1,383,0.26
1,393,0.24
1,403,0.28
1,413,0.18
1,423,0.28
1,433,0.18
1,443,0.18
1,453,0.18
1,463,0.29
1,473,0.19
1,483,0.19
1,493,0.19
1,500,0.26
6,153,0.28
6,163,0.28
6,173,0.28
6,183,0.18
6,193,0.28
6,203,0.26
6,213,0.26
6,223,0.16
6,233,0.28
6,243,0.18
6,253,0.18
6,263,0.28
6,273,0.28
6,283,0.29
6,293,0.29
6,303,0.29
6,313,0.26
6,323,0.28
6,333,0.16
6,343,0.28
6,353,0.33
6,363,0.23
6,373,0.33
6,383,0.3
6,393,0.3
6,403,0.32
6,413,0.22
6,423,0.22
6,433,0.33
6,443,0.4
6,453,0.32
6,463,0.32
6,473,0.23
6,483,0.32
6,493,0.32
6,500,0.32
11,153,0.3
11,163,0.32
11,173,0.3
11,183,0.29
11,193,0.5
11,203,0.29
11,213,0.29
11,223,0.2
11,233,0.33
11,243,0.32
11,253,0.23
11,263,0.32
11,273,0.32
11,283,0.32
11,293,0.32
11,303,0.33
11,313,0.33
11,323,0.2
11,333,0.32
11,343,0.33
11,353,0.4
11,363,0.33
11,373,0.33
11,383,0.22
11,393,0.32
11,403,0.34
11,413,0.34
11,423,0.28
11,433,0.28
11,443,0.28
11,453,0.37
11,463,0.38
11,473,0.3
11,483,0.28
11,493,0.28
11,500,0.31
16,153,0.18
16,163,0.29
16,173,0.29
16,183,0.29
16,193,0.3
16,203,0.2
16,213,0.29
16,223,0.29
16,233,0.2
16,243,0.31
16,253,0.29
16,263,0.2
16,273,0.3
16,283,0.28
16,293,0.3
16,303,0.3
16,313,0.3
16,323,0.3
16,333,0.3
16,343,0.22
16,353,0.3
16,363,0.2
16,373,0.29
16,383,0.28
16,393,0.28
16,403,0.2
16,413,0.36
16,423,0.28
16,433,0.28
16,443,0.26
16,453,0.26
16,463,0.15
16,473,0.26
16,483,0.28
16,493,0.25
16,500,0.16
21,153,0.16
21,163,0.26
21,173,0.26
21,183,0.26
21,193,0.15
21,203,0.35
21,213,0.25
21,223,0.26
21,233,0.25
21,243,0.38
21,253,0.28
21,263,0.28
21,273,0.3
21,283,0.31
21,293,0.3
21,303,0.29
21,313,0.18
21,323,0.25
21,333,0.25
21,343,0.25
21,353,0.26
21,363,0.28
21,373,0.28
21,383,0.28
21,393,0.28
21,403,0.29
21,413,0.15
21,423,0.28
21,433,0.33
21,443,0.31
21,453,0.2
21,463,0.31
21,473,0.3
21,483,0.31
21,493,0.2
21,500,0.2
26,153,0.33
26,163,0.3
26,173,0.21
26,183,0.3
26,193,0.31
26,203,0.42
26,213,0.3
26,223,0.29
26,233,0.31
26,243,0.3
26,253,0.32
26,263,0.32
26,273,0.41
26,283,0.41
26,293,0.42
26,303,0.41
26,313,0.42
26,323,0.4
26,333,0.4
26,343,0.4
26,353,0.3
26,363,0.32
26,373,0.31
26,383,0.32
26,393,0.31
26,403,0.32
26,413,0.31
26,423,0.42
26,433,0.33
26,443,0.33
26,453,0.3
26,463,0.3
26,473,0.21
26,483,0.32
26,493,0.32
26,500,0.32
31,153,0.3
31,163,0.32
31,173,0.42
31,183,0.32
31,193,0.41
31,203,0.42
31,213,0.42
31,223,0.41
31,233,0.41
31,243,0.41
31,253,0.42
31,263,0.43
31,273,0.33
31,283,0.4
31,293,0.33
31,303,0.41
31,313,0.41
31,323,0.4
31,333,0.4
31,343,0.31
31,353,0.42
31,363,0.31
31,373,0.31
31,383,0.31
31,393,0.31
31,403,0.31
31,413,0.2
31,423,0.4
31,433,0.29
31,443,0.29
31,453,0.4
31,463,0.3
31,473,0.3
31,483,0.3
31,493,0.41
31,500,0.4
36,153,0.3
36,163,0.3
36,173,0.39
36,183,0.3
36,193,0.41
36,203,0.42
36,213,0.5
36,223,0.51
36,233,0.41
36,243,0.41
36,253,0.49
36,263,0.39
36,273,0.5
36,283,0.4
36,293,0.53
36,303,0.63
36,313,0.54
36,323,0.65
36,333,0.66
36,343,0.65
36,353,0.64
36,363,0.65
36,373,0.55
36,383,0.65
36,393,0.54
36,403,0.65
36,413,0.55
36,423,0.43
36,433,0.54
36,443,0.63
36,453,0.61
36,463,0.51
36,473,0.53
36,483,0.52
36,493,0.59
36,500,0.48
41,153,0.59
41,163,0.59
41,173,0.59
41,183,0.62
41,193,0.73
41,203,0.63
41,213,0.73
41,223,0.63
41,233,0.63
41,243,0.73
41,253,0.73
41,263,0.83
41,273,0.63
41,283,0.63
41,293,0.73
41,303,0.75
41,313,0.6
41,323,0.7
41,333,0.69
41,343,0.62
41,353,0.64
41,363,0.63
41,373,0.64
41,383,0.64
41,393,0.77
41,403,0.66
41,413,0.58
41,423,0.66
41,433,0.58
41,443,0.66
41,453,0.67
41,463,0.78
41,473,0.77
41,483,0.66
41,493,0.65
41,500,0.64
46,153,0.64
46,163,0.64
46,173,0.74
46,183,0.75
46,193,0.66
46,203,0.64
46,213,0.64
46,223,0.75
46,233,0.75
46,243,0.85
46,253,0.73
46,263,0.74
46,273,0.81
46,283,0.71
46,293,0.82
46,303,0.71
46,313,0.7
46,323,0.81
46,333,0.71
46,343,0.7
46,353,0.71
46,363,0.6
46,373,0.6
46,383,0.68
46,393,0.78
46,403,0.64
46,413,0.76
46,423,0.67
46,433,0.67
46,443,0.68
46,453,0.67
46,463,0.68
46,473,0.69
46,483,0.69
46,493,0.68
46,500,0.67
51,153,0.68
51,163,0.77
51,173,0.81
51,183,0.84
51,193,0.71
51,203,0.81
51,213,0.8
51,223,0.82
51,233,0.9
51,243,0.92
51,253,0.91
51,263,0.92
51,273,0.81
51,283,0.92
51,293,0.92
51,303,0.92
51,313,0.84
51,323,0.91
51,333,0.81
51,343,0.81
51,353,0.82
51,363,0.82
51,373,0.81
51,383,0.82
51,393,0.72
51,403,0.84
51,413,0.74
51,423,0.82
51,433,0.72
51,443,0.72
51,453,0.72
51,463,0.71
51,473,0.7
51,483,0.71
51,493,0.81
51,500,0.69
56,153,0.84
56,163,0.8
56,173,0.81
56,183,0.82
56,193,0.95
56,203,0.84
56,213,0.91
56,223,0.91
56,233,0.92
56,243,0.94
56,253,0.92
56,263,0.92
56,273,0.91
56,283,0.95
56,293,1.04
56,303,1.0
56,313,0.9
56,323,0.84
56,333,0.92
56,343,0.81
56,353,0.79
56,363,0.79
56,373,0.84
56,383,0.82
56,393,0.9
56,403,0.8
56,413,0.8
56,423,0.84
56,433,0.92
56,443,0.8
56,453,0.81
56,463,0.76
56,473,0.82
56,483,0.8
56,493,0.81
56,500,0.8
61,153,0.81
61,163,0.81
61,173,0.91
61,183,0.92
61,193,0.92
61,203,0.9
61,213,0.91
61,223,0.92
61,233,0.91
61,243,1.11
61,253,1.0
61,263,1.02
61,273,0.91
61,283,1.02
61,293,1.04
61,303,0.94
61,313,1.02
61,323,0.82
61,333,0.99
61,343,1.01
61,353,1.01
61,363,0.9
61,373,0.9
61,383,0.82
61,393,0.79
61,403,0.9
61,413,0.88
61,423,0.87
61,433,0.87
61,443,0.89
61,453,0.77
61,463,0.87
61,473,0.76
61,483,0.76
61,493,0.87
61,500,0.78
66,153,0.77
66,163,0.86
66,173,0.87
66,183,0.87
66,193,0.87
66,203,0.96
66,213,0.98
66,223,0.97
66,233,1.07
66,243,0.98
66,253,0.98
66,263,1.08
66,273,0.99
66,283,1.08
66,293,0.99
66,303,1.0
66,313,1.08
66,323,0.98
66,333,1.08
66,343,0.99
66,353,0.89
66,363,0.89
66,373,0.99
66,383,0.9
66,393,0.9
66,403,0.88
66,413,0.89
66,423,0.87
66,433,0.88
66,443,0.88
66,453,0.89
66,463,1.0
66,473,0.88
66,483,0.87
66,493,0.87
66,500,0.78
71,153,0.87
71,163,0.97
71,173,0.97
71,183,0.96
71,193,0.96
71,203,1.07
71,213,1.17
71,223,1.17
71,233,1.06
71,243,1.06
71,253,1.16
71,263,1.16
71,273,1.26
71,283,1.14
71,293,1.04
71,303,1.18
71,313,1.06
71,323,0.97
71,333,1.07
71,343,1.08
71,353,0.97
71,363,1.09
71,373,0.97
71,383,1.06
71,393,0.88
71,403,0.87
71,413,0.98
71,423,0.99
71,433,0.98
71,443,0.96
71,453,0.87
71,463,0.87
71,473,0.98
71,483,0.88
71,493,0.89
71,500,0.89
76,153,0.88
76,163,1.06
76,173,0.97
76,183,1.08
76,193,1.09
76,203,1.08
76,213,1.08
76,223,1.17
76,233,1.19
76,243,1.2
76,253,1.19
76,263,1.19
76,273,1.21
76,283,1.19
76,293,1.19
76,303,1.21
76,313,1.15
76,323,1.09
76,333,1.09
76,343,1.09
76,353,1.1
76,363,1.09
76,373,1.0
76,383,0.99
76,393,1.1
76,403,1.09
76,413,0.98
76,423,0.98
76,433,1.08
76,443,0.98
76,453,0.98
76,463,0.99
76,473,0.98
76,483,0.97
76,493,0.98
76,500,0.9
81,153,0.98
81,163,1.08
81,173,1.07
81,183,1.08
81,193,1.18
81,203,1.18
81,213,1.27
81,223,1.27
81,233,1.28
81,243,1.37
81,253,1.27
81,263,1.28
81,273,1.18
81,283,1.27
81,293,1.28
81,303,1.27
81,313,1.29
81,323,1.18
81,333,1.17
81,343,1.26
81,353,1.16
81,363,1.07
81,373,1.14
81,383,1.07
81,393,1.07
81,403,1.07
81,413,1.02
81,423,0.92
81,433,0.93
81,443,1.02
81,453,0.83
81,463,1.03
81,473,1.03
81,483,0.93
81,493,0.94
81,500,0.94
86,153,0.94
86,163,0.94
86,173,1.34
86,183,1.13
86,193,1.13
86,203,1.13
86,213,1.14
86,223,1.23
86,233,1.22
86,243,1.34
86,253,1.33
86,263,1.35
86,273,1.26
86,283,1.36
86,293,1.25
86,303,1.24
86,313,1.23
86,323,1.24
86,333,1.24
86,343,1.14
86,353,1.24
86,363,1.05
86,373,1.15
86,383,1.14
86,393,1.15
86,403,1.05
86,413,1.06
86,423,1.16
86,433,1.05
86,443,1.06
86,453,1.16
86,463,1.16
86,473,1.04
86,483,0.93
86,493,1.03
86,500,0.93
91,153,1.02
91,163,1.02
91,173,1.13
91,183,1.23
91,193,1.22
91,203,1.22
91,213,1.32
91,223,1.42
91,233,1.32
91,243,1.42
91,253,1.52
91,263,1.42
91,273,1.42
91,283,1.42
91,293,1.32
91,303,1.32
91,313,1.4
91,323,1.31
91,333,1.3
91,343,1.29
91,353,1.21
91,363,1.2
91,373,1.2
91,383,1.11
91,393,1.21
91,403,1.21
91,413,1.21
91,423,1.11
91,433,1.11
91,443,1.11
91,453,1.18
91,463,1.16
91,473,1.06
91,483,1.16
91,493,0.96
91,500,1.08
96,153,1.18
96,163,1.19
96,173,1.29
96,183,1.28
96,193,1.28
96,203,1.28
96,213,1.38
96,223,1.48
96,233,1.58
96,243,1.58
96,253,1.58
96,263,1.56
96,273,1.56
96,283,1.56
96,293,1.46
96,303,1.48
96,313,1.48
96,323,1.38
96,333,1.39
96,343,1.29
96,353,1.39
96,363,1.18
96,373,1.28
96,383,1.16
96,393,1.23
96,403,1.22
96,413,1.33
96,423,1.24
96,433,1.14
96,443,1.14
96,453,1.16
96,463,1.24
96,473,1.24
96,483,1.14
96,493,1.23
96,500,1.13
101,153,1.23
101,163,1.22
101,173,1.33
101,183,1.37
101,193,1.44
101,203,1.56
101,213,1.56
101,223,1.64
101,233,1.66
101,243,1.63
101,253,1.76
101,263,1.73
101,273,1.63
101,283,1.64
101,293,1.57
101,303,1.54
101,313,1.66
101,323,1.66
101,333,1.53
101,343,1.54
101,353,1.36
101,363,1.44
101,373,1.43
101,383,1.36
101,393,1.33
101,403,1.34
101,413,1.34
101,423,1.26
101,433,1.32
101,443,1.24
101,453,1.26
101,463,1.36
101,473,1.24
101,483,1.24
101,493,1.24
101,500,1.14
106,153,1.34
106,163,1.27
106,173,1.34
106,183,1.47
106,193,1.56
106,203,1.57
106,213,1.66
106,223,1.66
106,233,1.73
106,243,1.82
106,253,1.83
106,263,1.72
106,273,1.83
106,283,1.73
106,293,1.74
106,303,1.74
106,313,1.64
106,323,1.54
106,333,1.66
106,343,1.54
106,353,1.56
106,363,1.54
106,373,1.34
106,383,1.46
106,393,1.46
106,403,1.37
106,413,1.37
106,423,1.44
106,433,1.34
106,443,1.36
106,453,1.39
106,463,1.26
106,473,1.36
106,483,1.37
106,493,1.29
106,500,1.29
111,153,1.38
111,163,1.38
111,173,1.48
111,183,1.58
111,193,1.67
111,203,1.67
111,213,1.78
111,223,1.77
111,233,1.86
111,243,1.96
111,253,1.89
111,263,1.9
111,273,1.99
111,283,1.88
111,293,1.88
111,303,1.79
111,313,1.79
111,323,1.78
111,333,1.68
111,343,1.68
111,353,1.58
111,363,1.59
111,373,1.58
111,383,1.58
111,393,1.57
111,403,1.48
111,413,1.48
111,423,1.49
111,433,1.48
111,443,1.39
111,453,1.49
111,463,1.49
111,473,1.39
111,483,1.39
111,493,1.38
111,500,1.38
116,153,1.39
116,163,1.5
116,173,1.59
116,183,1.59
116,193,1.69
116,203,1.79
116,213,1.89
116,223,1.89
116,233,2.09
116,243,1.99
116,253,1.99
116,263,2.1
116,273,1.99
116,283,1.99
116,293,1.86
116,303,1.96
116,313,1.86
116,323,1.86
116,333,1.77
116,343,1.77
116,353,1.78
116,363,1.68
116,373,1.67
116,383,1.66
116,393,1.56
116,403,1.57
116,413,1.64
116,423,1.63
116,433,1.53
116,443,1.53
116,453,1.53
116,463,1.53
116,473,1.54
116,483,1.47
116,493,1.37
116,500,1.37
121,153,1.47
121,163,1.54
121,173,1.64
121,183,1.74
121,193,1.83
121,203,1.74
121,213,1.96
121,223,2.04
121,233,2.04
121,243,2.16
121,253,2.24
121,263,2.26
121,273,2.16
121,283,2.13
121,293,2.03
121,303,1.93
121,313,2.03
121,323,1.94
121,333,1.84
121,343,1.84
121,353,1.74
121,363,1.76
121,373,1.73
121,383,1.73
121,393,1.72
121,403,1.63
121,413,1.63
121,423,1.63
121,433,1.62
121,443,1.53
121,453,1.63
121,463,1.62
121,473,1.63
121,483,1.5
121,493,1.5
121,500,1.4
126,153,1.61
126,163,1.71
126,173,1.71
126,183,1.91
126,193,1.91
126,203,1.91
126,213,2.01
126,223,2.02
126,233,2.31
126,243,2.3
126,253,2.41
126,263,2.31
126,273,2.31
126,283,2.21
126,293,2.2
126,303,2.11
126,313,2.11
126,323,2.0
126,333,1.89
126,343,1.89
126,353,2.0
126,363,1.9
126,373,1.8
126,383,1.7
126,393,1.7
126,403,1.7
126,413,1.71
126,423,1.7
126,433,1.7
126,443,1.7
126,453,1.7
126,463,1.6
126,473,1.71
126,483,1.61
126,493,1.6
126,500,1.51
131,153,1.7
131,163,1.71
131,173,1.71
131,183,1.71
131,193,2.01
131,203,2.0
131,213,2.21
131,223,2.21
131,233,2.41
131,243,2.51
131,253,2.52
131,263,2.51
131,273,2.41
131,283,2.41
131,293,2.31
131,303,2.21
131,313,2.21
131,323,2.02
131,333,2.2
131,343,2.02
131,353,2.01
131,363,1.91
131,373,1.91
131,383,1.82
131,393,1.81
131,403,1.81
131,413,1.82
131,423,1.82
131,433,1.82
131,443,1.82
131,453,1.72
131,463,1.82
131,473,1.82
131,483,1.71
131,493,1.72
131,500,1.62
136,153,1.62
136,163,1.92
136,173,1.92
136,183,1.92
136,193,2.12
136,203,2.12
136,213,2.32
136,223,2.43
136,233,2.43
136,243,2.53
136,253,2.73
136,263,2.53
136,273,2.64
136,283,2.54
136,293,2.54
136,303,2.44
136,313,2.32
136,323,2.33
136,333,2.26
136,343,2.17
136,353,2.16
136,363,1.96
136,373,2.06
136,383,1.96
136,393,2.07
136,403,1.97
136,413,1.97
136,423,1.88
136,433,1.97
136,443,1.87
136,453,1.87
136,463,1.87
136,473,1.88
136,483,1.86
136,493,1.76
136,500,1.67
141,153,1.77
141,163,1.88
141,173,2.06
141,183,2.06
141,193,2.26
141,203,2.37
141,213,2.36
141,223,2.56
141,233,2.69
141,243,2.68
141,253,2.89
141,263,2.89
141,273,2.69
141,283,2.69
141,293,2.58
141,303,2.59
141,313,2.49
141,323,2.48
141,333,2.26
141,343,2.36
141,353,2.27
141,363,2.26
141,373,2.16
141,383,2.07
141,393,2.07
141,403,1.96
141,413,1.96
141,423,2.06
141,433,1.96
141,443,1.86
141,453,1.98
141,463,1.87
141,473,1.87
141,483,1.87
141,493,1.88
141,500,1.88
146,153,1.88
146,163,1.99
146,173,2.18
146,183,2.17
146,193,2.28
146,203,2.49
146,213,2.58
146,223,2.78
146,233,2.78
146,243,2.98
146,253,3.09
146,263,2.98
146,273,2.87
146,283,2.78
146,293,2.77
146,303,2.78
146,313,2.67
146,323,2.68
146,333,2.57
146,343,2.47
146,353,2.37
146,363,2.23
146,373,2.34
146,383,2.23
146,393,2.12
146,403,2.23
146,413,2.13
146,423,2.03
146,433,2.03
146,443,1.93
146,453,2.04
146,463,2.03
146,473,2.04
146,483,2.03
146,493,1.96
146,500,1.83
151,153,1.96
151,163,2.16
151,173,2.26
151,183,2.36
151,193,2.43
151,203,2.64
151,213,2.74
151,223,2.84
151,233,2.94
151,243,3.06
151,253,3.06
151,263,3.16
151,273,3.06
151,283,2.96
151,293,2.97
151,303,2.87
151,313,2.77
151,323,2.76
151,333,2.66
151,343,2.56
151,353,2.57
151,363,2.46
151,373,2.37
151,383,2.36
151,393,2.37
151,403,2.27
151,413,2.26
151,423,2.24
151,433,2.16
151,443,2.06
151,453,2.14
151,463,2.21
151,473,2.21
151,483,2.01
151,493,2.01
151,500,2.01
156,153,2.11
156,163,2.21
156,173,2.32
156,183,2.41
156,193,2.57
156,203,2.66
156,213,2.84
156,223,2.96
156,233,3.06
156,243,3.26
156,253,3.46
156,263,3.36
156,273,3.17
156,283,3.16
156,293,3.03
156,303,2.97
156,313,2.96
156,323,2.84
156,333,2.81
156,343,2.6
156,353,2.71
156,363,2.62
156,373,2.52
156,383,2.41
156,393,2.42
156,403,2.42
156,413,2.31
156,423,2.28
156,433,2.27
156,443,2.27
156,453,2.27
156,463,2.28
156,473,2.26
156,483,2.14
156,493,2.26
156,500,2.17
161,153,2.17
161,163,2.34
161,173,2.34
161,183,2.66
161,193,2.76
161,203,2.96
161,213,2.96
161,223,3.16
161,233,3.26
161,243,3.47
161,253,3.54
161,263,3.42
161,273,3.29
161,283,3.12
161,293,3.12
161,303,3.22
161,313,3.02
161,323,2.83
161,333,2.92
161,343,2.73
161,353,2.74
161,363,2.74
161,373,2.62
161,383,2.53
161,393,2.44
161,403,2.44
161,413,2.44
161,423,2.34
161,433,2.32
161,443,2.31
161,453,2.31
161,463,2.32
161,473,2.31
161,483,2.21
161,493,2.14
161,500,2.12
166,153,2.21
166,163,2.31
166,173,2.52
166,183,2.62
166,193,2.82
166,203,3.01
166,213,3.02
166,223,3.22
166,233,3.42
166,243,3.51
166,253,3.72
166,263,3.62
166,273,3.52
166,283,3.42
166,293,3.42
166,303,3.22
166,313,3.11
166,323,3.11
166,333,3.01
166,343,2.92
166,353,2.81
166,363,2.81
166,373,2.71
166,383,2.71
166,393,2.52
166,403,2.51
166,413,2.51
166,423,2.51
166,433,2.41
166,443,2.42
166,453,2.51
166,463,2.41
166,473,2.39
166,483,2.29
166,493,2.31
166,500,2.21
171,153,2.21
171,163,2.39
171,173,2.71
171,183,2.81
171,193,2.99
171,203,2.99
171,213,3.31
171,223,3.41
171,233,3.58
171,243,3.68
171,253,3.78
171,263,3.81
171,273,3.71
171,283,3.61
171,293,3.49
171,303,3.39
171,313,3.31
171,323,3.31
171,333,3.11
171,343,3.01
171,353,2.91
171,363,2.91
171,373,2.91
171,383,2.71
171,393,2.59
171,403,2.71
171,413,2.59
171,423,2.61
171,433,2.52
171,443,2.52
171,453,2.63
171,463,2.53
171,473,2.43
171,483,2.53
171,493,2.33
171,500,2.32
176,153,2.42
176,163,2.54
176,173,2.63
176,183,2.92
176,193,3.13
176,203,3.32
176,213,3.31
176,223,3.62
176,233,3.82
176,243,3.92
176,253,4.13
176,263,3.92
176,273,3.94
176,283,3.83
176,293,3.73
176,303,3.62
176,313,3.54
176,323,3.43
176,333,3.44
176,343,3.23
176,353,3.02
176,363,2.93
176,373,2.93
176,383,2.93
176,393,2.73
176,403,2.83
176,413,2.83
176,423,2.72
176,433,2.72
176,443,2.71
176,453,2.62
176,463,2.61
176,473,2.72
176,483,2.63
176,493,2.42
176,500,2.44
181,153,2.54
181,163,2.73
181,173,2.84
181,183,3.12
181,193,3.22
181,203,3.32
181,213,3.52
181,223,3.81
181,233,3.91
181,243,4.11
181,253,4.31
181,263,4.21
181,273,4.01
181,283,3.99
181,293,3.91
181,303,3.79
181,313,3.59
181,323,3.61
181,333,3.41
181,343,3.41
181,353,3.21
181,363,3.11
181,373,3.11
181,383,3.01
181,393,2.99
181,403,2.99
181,413,2.91
181,423,2.91
181,433,2.81
181,443,2.79
181,453,2.79
181,463,2.79
181,473,2.81
181,483,2.72
181,493,2.59
181,500,2.58
186,153,2.68
186,163,2.78
186,173,2.98
186,183,3.28
186,193,3.38
186,203,3.59
186,213,3.79
186,223,3.99
186,233,4.09
186,243,4.29
186,253,4.39
186,263,4.31
186,273,4.31
186,283,4.19
186,293,4.09
186,303,3.89
186,313,3.87
186,323,3.79
186,333,3.67
186,343,3.47
186,353,3.37
186,363,3.28
186,373,3.18
186,383,3.18
186,393,3.08
186,403,2.99
186,413,2.99
186,423,2.99
186,433,2.89
186,443,2.89
186,453,2.91
186,463,2.88
186,473,2.92
186,483,2.82
186,493,2.71
