effect,bri,watt
off,5,0.38
off,45,0.41
off,85,0.55
off,125,0.78
off,165,1.02
off,205,1.34
off,245,1.79
off,255,1.95
candle,5,0.38
candle,45,0.48
candle,85,0.7
candle,125,0.95
candle,165,1.27
candle,205,1.66
candle,245,2.25
candle,255,2.4
fire,5,0.36
fire,45,0.41
fire,85,0.54
fire,125,0.7
fire,165,0.89
fire,205,1.14
fire,245,1.4
fire,255,1.49
prism,5,0.34
prism,45,0.41
prism,85,0.53
prism,125,0.74
prism,165,0.96
prism,205,1.24
prism,245,1.56
prism,255,1.68
sparkle,5,0.34
sparkle,45,0.38
sparkle,85,0.42
sparkle,125,0.49
sparkle,165,0.6
sparkle,205,0.75
sparkle,245,0.92
sparkle,255,0.92
opal,5,0.35
opal,45,0.51
opal,85,0.85
opal,125,1.33
opal,165,1.94
opal,205,2.94
opal,245,4.07
opal,255,4.41
glisten,5,0.36
glisten,45,0.41
glisten,85,0.52
glisten,125,0.71
glisten,165,0.94
glisten,205,1.19
glisten,245,1.56
glisten,255,1.61
underwater,5,0.35
underwater,45,0.39
underwater,85,0.43
underwater,125,0.54
underwater,165,0.69
underwater,205,0.82
underwater,245,1.05
underwater,255,1.09
cosmos,5,0.36
cosmos,45,0.35
cosmos,85,0.4
cosmos,125,0.45
cosmos,165,0.48
cosmos,205,0.56
cosmos,245,0.6
cosmos,255,0.65
sunbeam,5,0.35
sunbeam,45,0.49
sunbeam,85,0.83
sunbeam,125,1.35
sunbeam,165,2.1
sunbeam,205,2.82
sunbeam,245,4.2
sunbeam,255,4.22
enchant,5,0.29
enchant,45,0.3
enchant,85,0.41
enchant,125,0.58
enchant,165,0.74
enchant,205,1.14
enchant,245,1.59
enchant,255,1.69
sunrise,5,0.33
sunrise,45,0.34
sunrise,85,0.33
sunrise,125,0.33
sunrise,165,0.35
sunrise,205,0.35
sunrise,245,0.34
sunrise,255,0.35
sunset,5,0.35
sunset,45,0.38
sunset,85,0.47
sunset,125,0.64
sunset,165,0.84
sunset,205,1.06
sunset,245,1.37
sunset,255,1.45
