bri,hue,sat,watt
1,1,1,1.24
1,2732,1,1.24
1,5463,1,1.24
1,8194,1,1.29
1,10925,1,1.19
1,13656,1,1.19
1,16387,1,1.24
1,19118,1,1.19
1,21849,1,1.19
1,24580,1,0.39
1,27311,1,1.19
1,30042,1,1.19
1,32773,1,1.64
1,35504,1,0.84
1,38235,1,1.19
1,40966,1,1.19
1,43697,1,1.19
1,46428,1,1.19
1,49159,1,0.69
1,51890,1,1.19
1,54621,1,0.39
1,57352,1,1.09
1,60083,1,0.19
1,62814,1,0.39
1,65535,1,1.19
1,1,33,1.19
1,2732,33,0.79
1,5463,33,1.14
1,8194,33,0.79
1,10925,33,1.19
1,13656,33,0.39
1,16387,33,1.09
1,19118,33,1.19
1,21849,33,1.14
1,24580,33,1.24
1,27311,33,2.19
1,30042,33,2.09
1,32773,33,1.29
1,35504,33,2.09
1,38235,33,1.24
1,40966,33,1.64
1,43697,33,1.24
1,46428,33,1.09
1,49159,33,0.39
1,51890,33,0.39
1,54621,33,1.19
1,57352,33,1.19
1,60083,33,1.19
1,62814,33,1.19
1,65535,33,1.24
1,1,65,1.24
1,2732,65,1.24
1,5463,65,1.19
1,8194,65,1.19
1,10925,65,1.19
1,13656,65,2.19
1,16387,65,1.19
1,19118,65,1.29
1,21849,65,1.64
1,24580,65,1.24
1,27311,65,1.69
1,30042,65,1.69
1,32773,65,1.69
1,35504,65,1.19
1,38235,65,1.69
1,40966,65,1.69
1,43697,65,2.09
1,46428,65,1.19
1,49159,65,2.09
1,51890,65,1.69
1,54621,65,1.24
1,57352,65,1.64
1,60083,65,1.69
1,62814,65,2.09
1,65535,65,1.19
1,1,97,1.24
1,2732,97,1.69
1,5463,97,2.29
1,8194,97,2.19
1,10925,97,2.19
1,13656,97,1.74
1,16387,97,2.09
1,19118,97,2.09
1,21849,97,1.69
1,24580,97,1.74
1,27311,97,2.19
1,30042,97,1.19
1,32773,97,2.14
1,35504,97,2.19
1,38235,97,3.09
1,40966,97,3.19
1,43697,97,2.19
1,46428,97,2.19
1,49159,97,2.19
1,51890,97,2.19
1,54621,97,2.19
1,57352,97,1.29
1,60083,97,1.29
1,62814,97,2.19
1,65535,97,1.29
1,1,129,2.29
1,2732,129,2.19
1,5463,129,2.19
1,8194,129,1.19
1,10925,129,2.19
1,13656,129,1.69
1,16387,129,1.69
1,19118,129,1.69
1,21849,129,1.34
1,24580,129,1.19
1,27311,129,1.19
1,30042,129,1.19
1,32773,129,1.69
1,35504,129,1.24
1,38235,129,1.19
1,40966,129,1.69
1,43697,129,1.69
1,46428,129,2.19
1,49159,129,2.19
1,51890,129,2.19
1,54621,129,2.19
1,57352,129,1.69
1,60083,129,1.69
1,62814,129,1.69
1,65535,129,2.19
1,1,161,1.19
1,2732,161,1.29
1,5463,161,1.64
1,8194,161,1.69
1,10925,161,2.19
1,13656,161,1.69
1,16387,161,1.24
1,19118,161,1.19
1,21849,161,1.19
1,24580,161,1.19
1,27311,161,1.19
1,30042,161,1.69
1,32773,161,1.24
1,35504,161,1.69
1,38235,161,1.69
1,40966,161,1.69
1,43697,161,2.19
1,46428,161,2.19
1,49159,161,2.19
1,51890,161,2.19
1,54621,161,1.59
1,57352,161,1.69
1,60083,161,1.74
1,62814,161,1.74
1,65535,161,2.14
1,1,193,1.74
1,2732,193,2.19
1,5463,193,2.19
1,8194,193,2.19
1,10925,193,2.19
1,13656,193,3.09
1,16387,193,2.19
1,19118,193,2.19
1,21849,193,2.19
1,24580,193,2.19
1,27311,193,2.19
1,30042,193,2.19
1,32773,193,1.74
1,35504,193,1.69
1,38235,193,2.19
1,40966,193,2.19
1,43697,193,1.74
1,46428,193,2.14
1,49159,193,1.69
1,51890,193,1.69
1,54621,193,2.19
1,57352,193,1.29
1,60083,193,2.09
1,62814,193,1.69
1,65535,193,1.69
1,1,225,1.69
1,2732,225,1.69
1,5463,225,1.74
1,8194,225,2.19
1,10925,225,2.19
1,13656,225,2.19
1,16387,225,2.09
1,19118,225,1.64
1,21849,225,1.69
1,24580,225,1.24
1,27311,225,1.69
1,30042,225,1.69
1,32773,225,1.19
1,35504,225,1.69
1,38235,225,1.64
1,40966,225,1.24
1,43697,225,1.19
1,46428,225,1.69
1,49159,225,1.24
1,51890,225,1.19
1,54621,225,1.19
1,57352,225,1.19
1,60083,225,2.19
1,62814,225,1.29
1,65535,225,1.29
1,1,255,1.69
1,2732,255,1.19
1,5463,255,1.19
1,8194,255,1.29
1,10925,255,1.74
1,13656,255,2.14
1,16387,255,1.74
1,19118,255,1.69
1,21849,255,2.19
1,24580,255,2.19
1,27311,255,2.19
1,30042,255,2.19
1,32773,255,2.19
1,35504,255,1.69
1,38235,255,1.69
1,40966,255,1.69
1,43697,255,1.19
1,46428,255,1.19
1,49159,255,1.64
1,51890,255,1.69
1,54621,255,1.69
1,57352,255,1.24
1,60083,255,2.19
1,62814,255,1.19
1,65535,255,1.29
33,1,1,1.34
33,2732,1,1.29
33,5463,1,2.09
33,8194,1,1.69
33,10925,1,1.69
33,13656,1,1.24
33,16387,1,1.69
33,19118,1,1.69
33,21849,1,1.69
33,24580,1,1.29
33,27311,1,1.29
33,30042,1,1.19
33,32773,1,1.69
33,35504,1,2.19
33,38235,1,1.69
33,40966,1,2.19
33,43697,1,2.19
33,46428,1,2.19
33,49159,1,2.19
33,51890,1,2.19
33,54621,1,2.19
33,57352,1,2.19
33,60083,1,2.24
33,62814,1,2.19
33,65535,1,2.19
33,1,33,2.19
33,2732,33,2.19
33,5463,33,2.19
33,8194,33,2.19
33,10925,33,1.29
33,13656,33,1.29
33,16387,33,2.19
33,19118,33,2.19
33,21849,33,2.19
33,24580,33,2.19
33,27311,33,2.19
33,30042,33,2.29
33,32773,33,2.19
33,35504,33,2.19
33,38235,33,2.19
33,40966,33,2.19
33,43697,33,2.19
33,46428,33,2.09
33,49159,33,2.09
33,51890,33,1.74
33,54621,33,1.49
33,57352,33,2.19
33,60083,33,2.19
33,62814,33,2.19
33,65535,33,1.69
33,1,65,2.19
33,2732,65,1.29
33,5463,65,1.69
33,8194,65,2.14
33,10925,65,1.74
33,13656,65,2.19
33,16387,65,1.74
33,19118,65,2.19
33,21849,65,2.19
33,24580,65,2.19
33,27311,65,2.19
33,30042,65,2.19
33,32773,65,2.24
33,35504,65,2.19
33,38235,65,2.19
33,40966,65,2.19
33,43697,65,1.29
33,46428,65,2.09
33,49159,65,1.69
33,51890,65,2.19
33,54621,65,2.19
33,57352,65,1.69
33,60083,65,2.19
33,62814,65,2.19
33,65535,65,2.19
33,1,97,1.74
33,2732,97,1.74
33,5463,97,1.19
33,8194,97,2.09
33,10925,97,2.09
33,13656,97,2.09
33,16387,97,2.19
33,19118,97,2.19
33,21849,97,1.69
33,24580,97,1.69
33,27311,97,2.19
33,30042,97,2.19
33,32773,97,2.19
33,35504,97,2.19
33,38235,97,1.69
33,40966,97,1.69
33,43697,97,2.19
33,46428,97,1.69
33,49159,97,1.74
33,51890,97,2.19
33,54621,97,1.19
33,57352,97,1.19
33,60083,97,1.29
33,62814,97,2.14
33,65535,97,2.19
33,1,129,2.19
33,2732,129,2.19
33,5463,129,2.19
