bri,mired,watt
1,150,0.7
1,160,0.68
1,170,0.65
1,180,0.68
1,190,0.65
1,200,0.68
1,210,0.7
1,220,0.65
1,230,0.68
1,240,0.68
1,250,0.68
1,260,0.68
1,270,0.7
1,280,0.68
1,290,0.65
1,300,0.68
1,310,0.68
1,320,0.7
1,330,0.65
1,340,0.68
1,350,0.68
1,360,0.68
1,370,0.68
1,380,0.68
1,390,0.68
1,400,0.68
1,410,0.68
1,420,0.68
1,430,0.68
1,440,0.68
1,450,0.62
1,460,0.68
1,470,0.65
1,480,0.62
1,490,0.65
1,500,0.65
6,150,0.65
6,160,0.65
6,170,0.68
6,180,0.68
6,190,0.68
6,200,0.65
6,210,0.68
6,220,0.68
6,230,0.68
6,240,0.68
6,250,0.68
6,260,0.65
6,270,0.65
6,280,0.68
6,290,0.65
6,300,0.68
6,310,0.68
6,320,0.68
6,330,0.68
6,340,0.68
6,350,0.68
6,360,0.68
6,370,0.65
6,380,0.7
6,390,0.65
6,400,0.62
6,410,0.65
6,420,0.65
6,430,0.68
6,440,0.68
6,450,0.7
6,460,0.65
6,470,0.65
6,480,0.65
6,490,0.62
6,500,0.65
11,150,0.68
11,160,0.68
11,170,0.65
11,180,0.68
11,190,0.68
11,200,0.68
11,210,0.68
11,220,0.68
11,230,0.68
11,240,0.68
11,250,0.7
11,260,0.65
11,270,0.68
11,280,0.68
11,290,0.68
11,300,0.68
11,310,0.7
11,320,0.65
11,330,0.68
11,340,0.68
11,350,0.7
11,360,0.68
11,370,0.68
11,380,0.68
11,390,0.68
11,400,0.7
11,410,0.65
11,420,0.7
11,430,0.65
11,440,0.68
11,450,0.68
11,460,0.68
11,470,0.68
11,480,0.7
11,490,0.65
11,500,0.68
16,150,0.68
16,160,0.68
16,170,0.7
16,180,0.68
16,190,0.65
16,200,0.7
16,210,0.65
16,220,0.7
16,230,0.68
16,240,0.68
16,250,0.68
16,260,0.68
16,270,0.68
16,280,0.7
16,290,0.68
16,300,0.68
16,310,0.68
16,320,0.68
16,330,0.68
16,340,0.7
16,350,0.65
16,360,0.68
16,370,0.7
16,380,0.7
16,390,0.68
16,400,0.68
16,410,0.65
16,420,0.68
16,430,0.7
16,440,0.65
16,450,0.65
16,460,0.68
16,470,0.68
16,480,0.68
16,490,0.68
16,500,0.68
21,150,0.7
21,160,0.68
21,170,0.68
21,180,0.68
21,190,0.7
21,200,0.7
21,210,0.7
21,220,0.7
21,230,0.7
21,240,0.68
21,250,0.7
21,260,0.7
21,270,0.7
21,280,0.7
21,290,0.68
21,300,0.7
21,310,0.68
21,320,0.7
21,330,0.68
21,340,0.68
21,350,0.7
21,360,0.7
21,370,0.7
21,380,0.7
21,390,0.7
21,400,0.68
21,410,0.68
21,420,0.68
21,430,0.68
21,440,0.7
21,450,0.68
21,460,0.68
21,470,0.65
21,480,0.7
21,490,0.65
21,500,0.7
26,150,0.7
26,160,0.7
26,170,0.7
26,180,0.7
26,190,0.7
26,200,0.7
26,210,0.7
26,220,0.7
26,230,0.7
26,240,0.7
26,250,0.7
26,260,0.72
26,270,0.7
26,280,0.7
26,290,0.7
