bri,mired,watt
1,153,0.5
1,163,0.6
1,173,0.5
1,183,0.6
1,193,0.6
1,203,0.6
1,213,0.6
1,223,0.5
1,233,0.6
1,243,0.5
1,253,0.6
1,263,0.6
1,273,0.5
1,283,0.5
1,293,0.5
1,303,0.5
1,313,0.6
1,323,0.6
1,333,0.5
1,343,0.6
1,353,0.6
1,363,0.6
1,373,0.6
1,383,0.6
1,393,0.5
1,403,0.5
1,413,0.5
1,423,0.5
1,433,0.6
1,443,0.5
1,453,0.5
1,463,0.5
1,473,0.6
1,483,0.5
1,493,0.5
1,500,0.6
6,153,0.6
6,163,0.6
6,173,0.6
6,183,0.6
6,193,0.6
6,203,0.6
6,213,0.6
6,223,0.6
6,233,0.6
6,243,0.6
6,253,0.5
6,263,0.6
6,273,0.6
6,283,0.6
6,293,0.6
6,303,0.6
6,313,0.5
6,323,0.6
6,333,0.6
6,343,0.6
6,353,0.6
6,363,0.6
6,373,0.6
6,383,0.6
6,393,0.5
6,403,0.5
6,413,0.6
6,423,0.5
6,433,0.6
6,443,0.6
6,453,0.6
6,463,0.5
6,473,0.6
6,483,0.6
6,493,0.5
6,500,0.5
11,153,0.6
11,163,0.6
11,173,0.6
11,183,0.7
11,193,0.6
11,203,0.6
11,213,0.6
11,223,0.7
11,233,0.6
11,243,0.7
11,253,0.6
11,263,0.6
11,273,0.7
11,283,0.7
11,293,0.6
11,303,0.7
11,313,0.6
11,323,0.6
11,333,0.6
11,343,0.6
11,353,0.6
11,363,0.7
11,373,0.6
11,383,0.6
11,393,0.6
11,403,0.6
11,413,0.6
11,423,0.5
11,433,0.6
11,443,0.5
11,453,0.6
11,463,0.6
11,473,0.6
11,483,0.6
11,493,0.6
11,500,0.6
16,153,0.7
16,163,0.6
16,173,0.7
16,183,0.7
16,193,0.8
16,203,0.7
16,213,0.7
16,223,0.8
16,233,0.8
16,243,0.7
16,253,0.8
16,263,0.7
16,273,0.7
16,283,0.8
16,293,0.7
16,303,0.7
16,313,0.7
16,323,0.7
16,333,0.7
16,343,0.7
16,353,0.7
16,363,0.7
16,373,0.6
16,383,0.7
16,393,0.6
16,403,0.7
16,413,0.6
16,423,0.7
16,433,0.6
16,443,0.6
16,453,0.6
16,463,0.7
16,473,0.6
16,483,0.6
16,493,0.6
16,500,0.6
21,153,0.7
21,163,0.8
21,173,0.7
21,183,0.8
21,193,0.8
21,203,0.8
21,213,0.9
21,223,0.9
21,233,0.9
21,243,0.9
21,253,0.9
21,263,0.9
21,273,0.8
21,283,0.9
21,293,0.8
21,303,0.8
21,313,0.8
21,323,0.7
21,333,0.8
21,343,0.8
21,353,0.7
21,363,0.7
21,373,0.7
21,383,0.7
21,393,0.8
21,403,0.7
21,413,0.7
21,423,0.7
21,433,0.7
21,443,0.8
21,453,0.7
21,463,0.7
21,473,0.7
21,483,0.7
21,493,0.7
21,500,0.6
26,153,0.8
26,163,0.8
26,173,0.9
26,183,0.9
26,193,1.0
26,203,1.0
26,213,1.1
26,223,1.0
26,233,1.0
26,243,1.0
26,253,1.0
26,263,1.0
26,273,1.0
26,283,1.0
26,293,0.9
26,303,0.9
26,313,0.9
26,323,0.9
26,333,0.8
26,343,0.9
26,353,0.9
26,363,0.8
26,373,0.8
26,383,0.8
26,393,0.8
26,403,0.8
26,413,0.8
26,423,0.7
26,433,0.8
26,443,0.8
26,453,0.8
26,463,0.9
26,473,0.8
26,483,0.7
26,493,0.7
26,500,0.7
31,153,1.0
31,163,1.0
31,173,1.0
31,183,1.1
31,193,1.1
31,203,1.2
31,213,0.6
31,223,1.3
31,233,1.2
31,243,1.3
31,253,1.2
31,263,1.1
31,273,1.2
31,283,1.1
31,293,1.1
31,303,1.1
31,313,1.0
31,323,1.0
31,333,1.0
31,343,1.0
31,353,1.0
31,363,1.0
31,373,0.9
31,383,0.9
31,393,0.9
31,403,0.9
31,413,0.9
31,423,0.9
31,433,0.9
31,443,0.9
31,453,0.9
31,463,1.0
31,473,0.9
31,483,0.8
31,493,0.7
31,500,0.8
36,153,1.1
36,163,1.2
36,173,1.2
36,183,1.2
36,193,1.3
36,203,1.4
36,213,1.4
36,223,1.5
36,233,1.5
36,243,1.5
36,253,1.5
36,263,1.4
36,273,1.3
36,283,1.3
36,293,1.3
36,303,1.2
36,313,1.2
36,323,1.2
36,333,1.2
36,343,1.1
36,353,1.1
36,363,1.1
36,373,1.0
36,383,1.1
36,393,1.1
36,403,1.1
36,413,1.0
36,423,1.0
36,433,1.1
36,443,1.0
36,453,1.1
36,463,1.2
36,473,1.0
36,483,0.9
36,493,0.9
36,500,0.8
41,153,1.3
41,163,1.3
41,173,1.4
41,183,1.5
41,193,1.5
41,203,1.6
41,213,1.7
41,223,1.7
41,233,1.8
41,243,1.7
41,253,1.7
41,263,1.6
41,273,1.5
41,283,1.5
41,293,1.5
41,303,1.5
41,313,1.4
41,323,1.3
41,333,1.4
41,343,1.3
41,353,1.3
41,363,1.2
41,373,1.3
41,383,1.2
41,393,1.1
41,403,1.2
41,413,1.2
41,423,1.2
41,433,1.2
41,443,1.1
41,453,1.2
41,463,1.3
41,473,1.1
41,483,1.0
41,493,0.9
41,500,0.8
46,153,1.4
46,163,1.5
46,173,1.6
46,183,1.7
46,193,1.8
46,203,1.9
46,213,2.1
46,223,2.0
46,233,2.1
46,243,2.1
46,253,2.1
46,263,1.9
46,273,1.9
46,283,1.8
46,293,1.7
46,303,1.7
46,313,1.6
46,323,1.5
46,333,1.5
46,343,1.5
46,353,1.5
46,363,1.5
46,373,1.4
46,383,1.4
46,393,1.4
46,403,1.4
46,413,1.4
46,423,1.3
46,433,1.3
46,443,1.3
46,453,1.4
46,463,1.5
46,473,1.2
46,483,0.5
46,493,1.0
46,500,1.0
51,153,1.6
51,163,1.7
51,173,1.8
51,183,1.9
51,193,2.1
51,203,2.2
51,213,2.3
51,223,2.3
51,233,2.4
51,243,2.3
51,253,2.3
51,263,2.2
51,273,2.1
51,283,2.1
51,293,2.0
51,303,1.9
51,313,1.9
51,323,1.8
51,333,1.7
51,343,1.8
51,353,1.7
51,363,1.6
51,373,1.6
51,383,1.6
51,393,1.6
51,403,1.5
51,413,1.5
51,423,1.5
51,433,1.5
51,443,1.4
51,453,1.6
51,463,1.7
51,473,1.4
51,483,1.2
51,493,1.1
51,500,1.1
56,153,1.8
56,163,1.9
56,173,2.1
56,183,2.2
56,193,2.3
56,203,2.5
56,213,2.6
56,223,2.7
56,233,2.6
56,243,2.7
56,253,2.6
56,263,2.5
56,273,2.4
56,283,2.3
56,293,2.2
56,303,2.1
56,313,2.1
56,323,2.1
56,333,2.0
56,343,1.9
56,353,1.9
56,363,1.9
56,373,1.8
56,383,1.8
56,393,1.8
56,403,1.7
56,413,1.7
56,423,1.7
56,433,1.7
56,443,1.6
56,453,1.8
56,463,2.0
56,473,1.6
56,483,1.4
56,493,1.3
56,500,1.2
61,153,2.1
61,163,2.1
61,173,2.3
61,183,2.5
61,193,2.6
61,203,2.8
61,213,3.0
61,223,3.0
61,233,3.0
61,243,3.0
61,253,3.0
61,263,2.8
61,273,2.7
61,283,2.6
61,293,2.5
61,303,2.4
61,313,2.4
61,323,2.3
61,333,2.2
61,343,2.2
61,353,2.1
61,363,2.1
61,373,2.1
61,383,2.0
61,393,2.0
61,403,2.0
61,413,1.9
61,423,1.8
61,433,1.8
61,443,1.8
61,453,2.1
61,463,2.2
61,473,1.8
61,483,1.5
61,493,1.4
61,500,1.3
66,153,2.2
66,163,2.2
66,173,2.5
66,183,2.7
66,193,2.9
66,203,3.1
66,213,3.3
66,223,3.4
66,233,3.4
66,243,3.3
66,253,3.2
66,263,3.1
66,273,3.0
66,283,2.8
66,293,2.7
66,303,2.6
66,313,2.6
66,323,2.5
66,333,2.4
66,343,2.3
66,353,2.3
66,363,2.3
66,373,2.2
66,383,2.2
66,393,2.2
66,403,2.1
66,413,2.1
66,423,2.1
66,433,2.0
66,443,2.0
66,453,2.3
66,463,2.4
66,473,1.9
66,483,1.6
66,493,1.5
66,500,1.4
71,153,2.5
71,163,2.6
71,173,2.8
71,183,3.0
71,193,3.2
71,203,3.4
71,213,3.7
71,223,3.8
71,233,3.7
71,243,3.7
71,253,3.6
71,263,3.4
71,273,3.3
71,283,3.1
71,293,3.0
71,303,2.9
71,313,2.8
71,323,2.7
71,333,2.7
71,343,2.6
71,353,2.6
71,363,2.6
71,373,2.5
71,383,2.4
71,393,2.4
71,403,2.4
71,413,2.3
71,423,2.3
71,433,2.2
71,443,2.2
71,453,2.5
71,463,2.6
71,473,2.1
71,483,1.9
71,493,1.6
71,500,1.6
76,153,2.7
76,163,2.9
76,173,3.1
76,183,3.3
76,193,3.5
76,203,3.8
76,213,4.1
76,223,4.2
76,233,4.1
76,243,4.1
76,253,4.0
76,263,3.8
76,273,3.7
76,283,3.5
76,293,3.4
76,303,3.3
76,313,3.1
76,323,3.0
76,333,2.9
76,343,2.9
76,353,2.8
76,363,2.8
76,373,2.7
76,383,2.7
76,393,2.6
76,403,2.6
76,413,2.5
76,423,2.5
76,433,2.5
76,443,2.4
76,453,2.7
76,463,2.9
76,473,2.3
76,483,2.0
76,493,1.8
76,500,1.7
81,153,3.0
81,163,3.2
81,173,3.4
81,183,3.6
81,193,3.9
81,203,4.2
81,213,4.5
81,223,4.6
81,233,4.6
81,243,4.6
81,253,4.5
81,263,4.2
81,273,4.1
81,283,3.9
81,293,3.7
81,303,3.6
81,313,3.5
81,323,3.4
81,333,3.3
81,343,3.2
81,353,3.1
81,363,3.0
81,373,3.0
81,383,3.0
81,393,2.8
81,403,2.8
81,413,2.8
81,423,2.7
81,433,2.6
81,443,2.6
81,453,3.0
81,463,3.1
81,473,2.5
81,483,2.2
81,493,2.0
81,500,1.9
86,153,3.3
86,163,3.5
86,173,3.8
86,183,4.0
86,193,4.3
86,203,4.6
86,213,5.1
86,223,5.1
86,233,5.1
86,243,5.2
86,253,5.0
86,263,4.7
86,273,4.5
86,283,4.3
86,293,4.1
86,303,4.0
86,313,3.8
86,323,3.7
86,333,3.6
86,343,3.5
86,353,3.4
86,363,3.3
86,373,3.3
86,383,3.2
86,393,3.2
86,403,3.0
86,413,3.0
86,423,2.9
86,433,3.0
86,443,2.9
86,453,3.3
86,463,3.5
86,473,2.7
86,483,2.4
86,493,2.1
86,500,2.0
91,153,3.6
91,163,3.8
91,173,4.2
91,183,4.4
91,193,4.8
91,203,5.2
91,213,5.6
91,223,5.7
91,233,5.7
91,243,5.7
91,253,5.5
91,263,5.2
91,273,5.0
91,283,4.7
91,293,4.6
91,303,4.4
91,313,4.2
91,323,4.1
91,333,4.0
91,343,3.8
91,353,3.8
91,363,3.7
91,373,3.6
91,383,3.5
91,393,3.5
91,403,3.4
91,413,3.3
91,423,3.2
91,433,3.1
91,443,3.1
91,453,3.5
91,463,3.8
91,473,2.9
91,483,2.6
91,493,2.3
91,500,2.2
96,153,3.9
96,163,4.2
96,173,4.5
96,183,4.9
96,193,5.3
96,203,5.7
96,213,6.3
96,223,6.4
96,233,6.4
96,243,6.4
96,253,6.2
96,263,5.8
96,273,5.5
96,283,5.2
