bri,mired,watt
1,150,1.89
1,160,1.88
1,170,1.88
1,180,1.88
1,190,1.89
1,200,1.88
1,210,1.88
1,220,1.87
1,230,1.88
1,240,1.88
1,250,1.87
1,260,1.87
1,270,1.87
1,280,1.87
1,290,1.86
1,300,1.87
1,310,1.86
1,320,1.86
1,330,1.85
1,340,1.85
1,350,1.86
1,360,1.86
1,370,1.86
1,380,1.86
1,390,1.85
1,400,1.85
1,410,1.85
1,420,1.85
1,430,1.86
1,440,1.86
1,450,1.85
1,460,1.86
1,470,1.86
1,480,1.86
1,490,1.85
1,500,1.85
6,150,1.86
6,160,1.86
6,170,1.86
6,180,1.86
6,190,1.86
6,200,1.86
6,210,1.85
6,220,1.86
6,230,1.86
6,240,1.86
6,250,1.86
6,260,1.86
6,270,1.86
6,280,1.85
6,290,1.86
6,300,1.85
6,310,1.86
6,320,1.86
6,330,1.85
6,340,1.85
6,350,1.86
6,360,1.85
6,370,1.86
6,380,1.85
6,390,1.86
6,400,1.85
6,410,1.86
6,420,1.85
6,430,1.85
6,440,1.85
6,450,1.86
6,460,1.85
6,470,1.86
6,480,1.86
6,490,1.86
6,500,1.85
11,150,1.85
11,160,1.86
11,170,1.86
11,180,1.86
11,190,1.86
11,200,1.86
11,210,1.87
11,220,1.87
11,230,1.88
11,240,1.86
11,250,1.88
11,260,1.87
11,270,1.86
11,280,1.86
11,290,1.86
11,300,1.86
11,310,1.86
11,320,1.86
11,330,1.86
11,340,1.86
11,350,1.85
11,360,1.86
11,370,1.86
11,380,1.85
11,390,1.85
11,400,1.85
11,410,1.86
11,420,1.85
11,430,1.85
11,440,1.86
11,450,1.85
11,460,1.85
11,470,1.85
11,480,1.86
11,490,1.85
11,500,1.85
16,150,1.86
16,160,1.88
16,170,1.88
16,180,1.88
16,190,1.88
16,200,1.88
16,210,1.88
16,220,1.89
16,230,1.88
16,240,1.88
16,250,1.87
16,260,1.87
16,270,1.87
16,280,1.87
16,290,1.87
16,300,1.88
16,310,1.88
16,320,1.87
16,330,1.86
16,340,1.87
16,350,1.86
16,360,1.86
16,370,1.86
16,380,1.85
16,390,1.85
16,400,1.85
16,410,1.85
16,420,1.86
16,430,1.85
16,440,1.85
16,450,1.85
16,460,1.85
16,470,1.86
16,480,1.85
16,490,1.85
16,500,1.86
21,150,1.86
21,160,1.9
21,170,1.9
21,180,1.89
21,190,1.9
21,200,1.9
21,210,1.89
21,220,1.89
21,230,1.89
21,240,1.9
21,250,1.9
21,260,1.89
21,270,1.9
21,280,1.9
21,290,1.89
21,300,1.89
21,310,1.89
21,320,1.89
21,330,1.89
21,340,1.88
21,350,1.88
21,360,1.88
