bri,mired,watt
1,153,0.57
1,159,0.5
1,165,0.5
1,171,0.5
1,177,0.5
1,183,0.5
1,189,0.5
1,195,0.5
1,201,0.57
1,207,0.57
1,213,0.57
1,219,0.57
1,225,0.57
1,231,0.57
1,237,0.57
1,243,0.5
1,249,0.5
1,255,0.5
1,261,0.5
1,267,0.5
1,273,0.5
1,279,0.57
1,285,0.57
1,291,0.57
1,297,0.57
1,303,0.57
1,309,0.57
1,315,0.57
1,321,0.5
1,327,0.5
1,333,0.5
1,339,0.5
1,345,0.57
1,351,0.57
1,357,0.57
1,363,0.5
1,369,0.5
1,375,0.5
1,381,0.5
1,387,0.5
1,393,0.5
1,399,0.5
1,405,0.57
1,411,0.57
1,417,0.57
1,423,0.57
1,429,0.57
1,435,0.57
1,441,0.57
1,447,0.57
1,453,0.57
1,459,0.57
1,465,0.5
1,471,0.5
1,477,0.5
1,483,0.5
1,489,0.5
1,495,0.5
6,153,0.5
6,159,0.5
6,165,0.5
6,171,0.5
6,177,0.57
6,183,0.57
6,189,0.57
6,195,0.57
6,201,0.5
6,207,0.5
6,213,0.5
6,219,0.5
6,225,0.5
6,231,0.5
6,237,0.5
6,243,0.57
6,249,0.57
6,255,0.57
6,261,0.57
6,267,0.57
6,273,0.57
6,279,0.57
6,285,0.57
6,291,0.57
6,297,0.57
6,303,0.57
6,309,0.57
6,315,0.57
6,321,0.57
6,327,0.57
6,333,0.57
6,339,0.57
6,345,0.57
6,351,0.57
6,357,0.57
6,363,0.57
6,369,0.57
6,375,0.57
6,381,0.5
6,387,0.5
6,393,0.5
6,399,0.5
6,405,0.57
6,411,0.57
6,417,0.57
6,423,0.57
6,429,0.57
6,435,0.57
6,441,0.57
6,447,0.57
6,453,0.57
6,459,0.57
6,465,0.57
6,471,0.57
6,477,0.57
6,483,0.57
6,489,0.5
6,495,0.5
11,153,0.5
11,159,0.57
11,165,0.57
11,171,0.57
11,177,0.57
11,183,0.57
11,189,0.57
11,195,0.57
11,201,0.5
11,207,0.5
11,213,0.5
11,219,0.5
11,225,0.5
11,231,0.5
11,237,0.5
11,243,0.57
11,249,0.57
11,255,0.57
11,261,0.57
11,267,0.57
11,273,0.57
11,279,0.5
11,285,0.5
11,291,0.5
11,297,0.5
11,303,0.57
11,309,0.57
11,315,0.57
11,321,0.57
11,327,0.57
11,333,0.57
11,339,0.57
11,345,0.57
11,351,0.57
11,357,0.57
11,363,0.5
11,369,0.5
11,375,0.5
11,381,0.5
11,387,0.57
11,393,0.57
11,399,0.57
11,405,0.5
11,411,0.5
11,417,0.5
11,423,0.5
11,429,0.5
11,435,0.5
11,441,0.5
11,447,0.5
11,453,0.5
11,459,0.5
11,465,0.57
11,471,0.57
11,477,0.57
11,483,0.5
11,489,0.5
11,495,0.5
16,153,0.5
16,159,0.5
16,165,0.5
16,171,0.5
16,177,0.5
16,183,0.57
16,189,0.57
16,195,0.57
16,201,0.57
16,207,0.57
16,213,0.57
16,219,0.57
16,225,0.57
16,231,0.57
16,237,0.57
16,243,0.57
16,249,0.57
16,255,0.57
16,261,0.57
16,267,0.57
16,273,0.57
16,279,0.57
16,285,0.57
16,291,0.57
16,297,0.57
16,303,0.5
16,309,0.5
16,315,0.5
16,321,0.57
16,327,0.57
16,333,0.57
16,339,0.57
16,345,0.57
16,351,0.57
16,357,0.57
16,363,0.5
16,369,0.5
16,375,0.5
16,381,0.5
16,387,0.57
16,393,0.57
16,399,0.57
16,405,0.57
16,411,0.57
16,417,0.57
16,423,0.57
16,429,0.57
16,435,0.57
16,441,0.57
16,447,0.5
16,453,0.5
16,459,0.5
16,465,0.57
16,471,0.57
16,477,0.57
16,483,0.57
16,489,0.57
16,495,0.57
21,153,0.57
21,159,0.57
21,165,0.57
21,171,0.57
21,177,0.57
21,183,0.57
21,189,0.57
21,195,0.57
21,201,0.57
21,207,0.57
21,213,0.57
21,219,0.57
21,225,0.57
21,231,0.57
21,237,0.57
21,243,0.57
21,249,0.57
21,255,0.57
21,261,0.57
21,267,0.57
21,273,0.57
21,279,0.57
21,285,0.57
21,291,0.57
21,297,0.57
21,303,0.57
21,309,0.57
21,315,0.57
21,321,0.57
21,327,0.57
21,333,0.57
21,339,0.57
21,345,0.57
21,351,0.57
21,357,0.57
21,363,0.57
21,369,0.57
21,375,0.57
21,381,0.57
21,387,0.57
21,393,0.57
21,399,0.57
21,405,0.5
21,411,0.5
21,417,0.5
21,423,0.57
21,429,0.57
21,435,0.57
21,441,0.57
21,447,0.57
21,453,0.57
21,459,0.57
21,465,0.57
21,471,0.57
21,477,0.57
21,483,0.57
21,489,0.57
21,495,0.57
26,153,0.57
26,159,0.57
26,165,0.57
26,171,0.57
26,177,0.57
26,183,0.57
26,189,0.57
26,195,0.57
26,201,0.57
26,207,0.57
26,213,0.57
26,219,0.57
26,225,0.57
26,231,0.57
26,237,0.57
26,243,0.57
26,249,0.57
26,255,0.57
26,261,0.57
26,267,0.57
26,273,0.57
26,279,0.57
26,285,0.57
26,291,0.57
26,297,0.57
26,303,0.57
26,309,0.57
26,315,0.57
26,321,0.57
26,327,0.57
26,333,0.57
26,339,0.57
26,345,0.57
26,351,0.57
26,357,0.57
26,363,0.57
26,369,0.57
26,375,0.57
26,381,0.57
26,387,0.57
26,393,0.57
26,399,0.57
26,405,0.57
26,411,0.57
26,417,0.57
26,423,0.5
26,429,0.5
26,435,0.5
26,441,0.57
26,447,0.57
26,453,0.57
26,459,0.57
26,465,0.57
26,471,0.57
26,477,0.57
26,483,0.57
26,489,0.57
26,495,0.57
31,153,0.57
31,159,0.57
31,165,0.57
31,171,0.57
31,177,0.57
31,183,0.57
31,189,0.57
31,195,0.57
31,201,0.57
31,207,0.57
31,213,0.57
31,219,0.57
31,225,0.57
31,231,0.57
31,237,0.57
31,243,0.57
31,249,0.57
31,255,0.57
31,261,0.57
31,267,0.57
31,273,0.57
31,279,0.57
31,285,0.57
31,291,0.57
31,297,0.57
31,303,0.57
31,309,0.57
31,315,0.57
31,321,0.57
31,327,0.57
31,333,0.57
31,339,0.57
31,345,0.57
31,351,0.57
31,357,0.57
31,363,0.57
31,369,0.57
31,375,0.57
31,381,0.57
31,387,0.57
31,393,0.57
31,399,0.57
31,405,0.57
31,411,0.57
31,417,0.57
31,423,0.57
31,429,0.57
31,435,0.57
31,441,0.57
31,447,0.57
31,453,0.57
31,459,0.57
31,465,0.57
31,471,0.57
31,477,0.57
31,483,0.57
31,489,0.57
31,495,0.57
36,153,0.57
36,159,0.57
36,165,0.57
36,171,0.57
36,177,0.57
36,183,0.57
36,189,0.57
36,195,0.57
36,201,0.57
36,207,0.57
36,213,0.57
36,219,0.64
36,225,0.64
36,231,0.64
36,237,0.64
36,243,0.64
36,249,0.64
36,255,0.64
36,261,0.64
36,267,0.64
36,273,0.64
36,279,0.64
36,285,0.57
36,291,0.57
36,297,0.57
36,303,0.57
36,309,0.57
36,315,0.57
36,321,0.64
36,327,0.64
36,333,0.64
36,339,0.64
36,345,0.57
36,351,0.57
36,357,0.57
36,363,0.57
36,369,0.57
36,375,0.57
36,381,0.57
36,387,0.57
36,393,0.57
36,399,0.57
36,405,0.57
36,411,0.57
36,417,0.57
36,423,0.57
36,429,0.57
36,435,0.57
36,441,0.57
36,447,0.57
36,453,0.57
36,459,0.57
36,465,0.57
36,471,0.57
36,477,0.57
36,483,0.57
36,489,0.57
36,495,0.57
41,153,0.57
41,159,0.57
41,165,0.57
41,171,0.57
41,177,0.57
41,183,0.57
41,189,0.57
41,195,0.57
41,201,0.64
41,207,0.64
41,213,0.64
41,219,0.57
41,225,0.57
41,231,0.57
41,237,0.64
41,243,0.64
41,249,0.64
41,255,0.64
41,261,0.64
41,267,0.64
41,273,0.64
41,279,0.64
41,285,0.64
41,291,0.64
41,297,0.64
41,303,0.64
41,309,0.64
41,315,0.64
41,321,0.64
41,327,0.64
41,333,0.64
41,339,0.64
41,345,0.64
41,351,0.64
41,357,0.64
41,363,0.57
41,369,0.57
41,375,0.57
41,381,0.64
41,387,0.64
41,393,0.64
41,399,0.64
41,405,0.64
41,411,0.64
41,417,0.64
41,423,0.57
41,429,0.57
41,435,0.57
41,441,0.57
41,447,0.64
41,453,0.64
41,459,0.64
41,465,0.57
41,471,0.57
41,477,0.57
41,483,0.57
41,489,0.57
41,495,0.57
46,153,0.57
46,159,0.64
46,165,0.64
46,171,0.64
46,177,0.64
46,183,0.64
46,189,0.64
46,195,0.64
46,201,0.64
46,207,0.64
46,213,0.64
46,219,0.64
46,225,0.64
46,231,0.64
46,237,0.64
46,243,0.64
46,249,0.64
46,255,0.64
46,261,0.64
46,267,0.64
46,273,0.64
46,279,0.71
46,285,0.71
46,291,0.71
46,297,0.71
46,303,0.64
46,309,0.64
46,315,0.64
46,321,0.64
46,327,0.64
46,333,0.64
46,339,0.64
46,345,0.64
46,351,0.64
46,357,0.64
46,363,0.64
46,369,0.64
46,375,0.64
46,381,0.64
46,387,0.64
46,393,0.64
46,399,0.57
46,405,0.57
46,411,0.57
46,417,0.57
46,423,0.64
46,429,0.64
46,435,0.64
46,441,0.64
46,447,0.57
46,453,0.57
46,459,0.64
46,465,0.64
46,471,0.64
46,477,0.64
46,483,0.57
46,489,0.57
46,495,0.57
51,153,0.57
51,159,0.64
51,165,0.64
51,171,0.64
51,177,0.64
51,183,0.64
51,189,0.64
51,195,0.71
51,201,0.71
51,207,0.71
51,213,0.71
51,219,0.64
51,225,0.64
51,231,0.64
51,237,0.64
51,243,0.71
51,249,0.71
51,255,0.71
51,261,0.71
51,267,0.71
51,273,0.71
51,279,0.71
51,285,0.71
51,291,0.71
51,297,0.71
51,303,0.71
51,309,0.71
51,315,0.71
51,321,0.71
51,327,0.71
51,333,0.71
51,339,0.71
51,345,0.71
51,351,0.71
51,357,0.71
51,363,0.64
51,369,0.64
51,375,0.64
51,381,0.64
51,387,0.64
51,393,0.64
51,399,0.64
51,405,0.64
51,411,0.64
51,417,0.64
51,423,0.64
51,429,0.64
51,435,0.64
51,441,0.64
51,447,0.64
51,453,0.64
51,459,0.64
51,465,0.64
51,471,0.64
51,477,0.64
51,483,0.57
51,489,0.57
51,495,0.57
56,153,0.57
56,159,0.71
56,165,0.71
56,171,0.71
56,177,0.71
56,183,0.71
56,189,0.71
56,195,0.71
56,201,0.71
56,207,0.71
56,213,0.71
56,219,0.71
56,225,0.71
56,231,0.71
56,237,0.71
56,243,0.71
56,249,0.71
56,255,0.71
56,261,0.71
56,267,0.71
56,273,0.71
56,279,0.71
56,285,0.71
56,291,0.71
56,297,0.71
56,303,0.71
56,309,0.71
56,315,0.71
56,321,0.71
56,327,0.71
56,333,0.71
56,339,0.71
56,345,0.71
56,351,0.71
56,357,0.64
56,363,0.64
56,369,0.64
56,375,0.64
56,381,0.71
56,387,0.71
56,393,0.71
56,399,0.71
56,405,0.64
56,411,0.64
56,417,0.64
56,423,0.64
56,429,0.64
56,435,0.64
56,441,0.64
56,447,0.64
56,453,0.64
56,459,0.64
56,465,0.64
56,471,0.64
56,477,0.64
56,483,0.64
56,489,0.64
56,495,0.64
61,153,0.71
61,159,0.71
61,165,0.71
61,171,0.71
61,177,0.71
61,183,0.71
61,189,0.71
61,195,0.71
61,201,0.71
61,207,0.71
61,213,0.71
61,219,0.71
61,225,0.71
61,231,0.71
61,237,0.71
61,243,0.71
61,249,0.71
61,255,0.78
61,261,0.78
61,267,0.78
61,273,0.78
61,279,0.71
61,285,0.71
61,291,0.71
61,297,0.71
61,303,0.71
61,309,0.71
61,315,0.71
61,321,0.71
61,327,0.71
61,333,0.71
61,339,0.71
61,345,0.71
61,351,0.71
61,357,0.71
61,363,0.71
61,369,0.71
61,375,0.71
61,381,0.71
61,387,0.71
61,393,0.71
61,399,0.64
61,405,0.64
61,411,0.64
61,417,0.64
61,423,0.71
61,429,0.71
61,435,0.71
61,441,0.71
61,447,0.64
61,453,0.64
61,459,0.64
61,465,0.64
61,471,0.64
61,477,0.64
61,483,0.64
61,489,0.64
61,495,0.64
66,153,0.64
66,159,0.71
66,165,0.71
66,171,0.71
66,177,0.71
66,183,0.71
66,189,0.71
66,195,0.78
66,201,0.78
66,207,0.78
66,213,0.78
66,219,0.78
66,225,0.78
66,231,0.78
66,237,0.78
66,243,0.78
66,249,0.78
66,255,0.78
66,261,0.78
66,267,0.78
66,273,0.78
66,279,0.78
66,285,0.78
66,291,0.78
66,297,0.78
66,303,0.78
66,309,0.78
66,315,0.78
66,321,0.71
66,327,0.71
66,333,0.71
66,339,0.71
66,345,0.71
66,351,0.71
