bri,hue,sat,watt
1,0,0,1.85
1,0,26,1.85
1,0,51,1.85
1,0,77,0.5
1,0,102,0.5
1,0,128,0.5
1,0,153,0.5
1,0,179,0.57
1,0,204,0.57
1,0,230,0.57
1,0,255,0.57
1,1820,0,0.57
1,1820,26,0.57
1,1820,51,0.57
1,1820,77,0.57
1,1820,102,0.57
1,1820,128,0.57
1,1820,153,0.57
1,1820,179,0.57
1,1820,204,0.57
1,1820,230,0.57
1,1820,255,0.57
1,3641,0,0.57
1,3641,26,0.57
1,3641,51,0.57
1,3641,77,0.57
1,3641,102,0.5
1,3641,128,0.5
1,3641,153,0.5
1,3641,179,0.5
1,3641,204,0.5
1,3641,230,0.5
1,3641,255,0.5
1,5461,0,0.5
1,5461,26,0.5
1,5461,51,0.57
1,5461,77,0.57
1,5461,102,0.57
1,5461,128,0.57
1,5461,153,0.57
1,5461,179,0.57
1,5461,204,0.57
1,5461,230,0.57
1,5461,255,0.57
1,7282,0,0.57
1,7282,26,0.5
1,7282,51,0.5
1,7282,77,0.5
1,7282,102,0.5
1,7282,128,0.5
1,7282,153,0.57
1,7282,179,0.57
1,7282,204,0.57
1,7282,230,0.57
1,7282,255,0.57
1,9102,0,0.57
1,9102,26,0.57
1,9102,51,0.57
1,9102,77,0.57
1,9102,102,0.57
1,9102,128,0.57
1,9102,153,0.57
1,9102,179,0.57
1,9102,204,0.57
1,9102,230,0.57
1,9102,255,0.57
1,10922,0,0.57
1,10922,26,0.57
1,10922,51,0.57
1,10922,77,0.57
1,10922,102,0.57
1,10922,128,0.57
1,10922,153,0.57
1,10922,179,0.57
1,10922,204,0.5
1,10922,230,0.5
1,10922,255,0.5
1,12743,0,0.5
1,12743,26,0.5
1,12743,51,0.5
1,12743,77,0.5
1,12743,102,0.5
1,12743,128,0.5
1,12743,153,0.5
1,12743,179,0.5
1,12743,204,0.5
1,12743,230,0.5
1,12743,255,0.5
1,14563,0,0.57
1,14563,26,0.57
1,14563,51,0.57
1,14563,77,0.57
1,14563,102,0.57
1,14563,128,0.57
1,14563,153,0.57
1,14563,179,0.57
1,14563,204,0.57
1,14563,230,0.57
1,14563,255,0.57
1,16384,0,0.57
1,16384,26,0.57
1,16384,51,0.57
1,16384,77,0.57
1,16384,102,0.57
1,16384,128,0.57
1,16384,153,0.57
1,16384,179,0.57
1,16384,204,0.5
1,16384,230,0.5
1,16384,255,0.5
1,18204,0,0.5
1,18204,26,0.5
1,18204,51,0.57
1,18204,77,0.57
1,18204,102,0.57
1,18204,128,0.57
1,18204,153,0.57
1,18204,179,0.57
1,18204,204,0.57
1,18204,230,0.57
1,18204,255,0.57
1,20024,0,0.5
1,20024,26,0.5
1,20024,51,0.5
1,20024,77,0.5
1,20024,102,0.5
1,20024,128,0.5
1,20024,153,0.5
1,20024,179,0.5
1,20024,204,0.5
1,20024,230,0.5
1,20024,255,0.5
1,21845,0,0.5
1,21845,26,0.5
1,21845,51,0.5
1,21845,77,0.5
1,21845,102,0.5
1,21845,128,0.5
1,21845,153,0.5
1,21845,179,0.5
1,21845,204,0.5
1,21845,230,0.5
1,21845,255,0.5
1,23665,0,0.5
1,23665,26,0.5
1,23665,51,0.5
1,23665,77,0.5
1,23665,102,0.5
1,23665,128,0.5
1,23665,153,0.5
1,23665,179,0.5
1,23665,204,0.5
1,23665,230,0.5
1,23665,255,0.5
1,25486,0,0.5
1,25486,26,0.5
1,25486,51,0.5
1,25486,77,0.5
1,25486,102,0.5
1,25486,128,0.5
1,25486,153,0.5
1,25486,179,0.5
1,25486,204,0.5
1,25486,230,0.5
1,25486,255,0.5
1,27306,0,0.5
1,27306,26,0.5
1,27306,51,0.5
1,27306,77,0.5
1,27306,102,0.5
1,27306,128,0.5
1,27306,153,0.5
1,27306,179,0.5
1,27306,204,0.5
1,27306,230,0.57
1,27306,255,0.57
1,29126,0,0.57
1,29126,26,0.57
1,29126,51,0.5
1,29126,77,0.5
1,29126,102,0.5
1,29126,128,0.5
1,29126,153,0.5
1,29126,179,0.57
1,29126,204,0.57
1,29126,230,0.57
1,29126,255,0.57
1,30947,0,0.57
