bri,mired,watt
1,153,0.42
1,163,0.43
1,173,0.43
1,183,0.44
1,193,0.41
1,213,0.43
1,223,0.47
1,243,0.42
1,253,0.42
1,263,0.43
1,293,0.46
1,313,0.42
1,323,0.43
1,343,0.41
1,353,0.45
1,363,0.44
1,383,0.41
1,393,0.41
1,403,0.46
1,423,0.45
1,433,0.44
1,463,0.43
1,493,0.43
6,153,0.45
6,183,0.44
6,193,0.44
6,203,0.42
6,223,0.42
6,233,0.43
6,273,0.46
6,283,0.44
6,293,0.44
6,303,0.43
6,343,0.44
6,373,0.42
6,393,0.46
6,403,0.45
6,413,0.44
6,423,0.42
6,433,0.42
6,453,0.42
6,473,0.43
6,483,0.44
6,493,0.41
6,500,0.45
11,173,0.43
11,183,0.44
11,203,0.41
11,213,0.45
11,223,0.44
11,233,0.43
11,243,0.43
11,253,0.43
11,263,0.44
11,293,0.44
11,333,0.42
11,343,0.46
11,353,0.45
11,363,0.42
11,383,0.43
11,393,0.41
11,403,0.43
11,413,0.46
11,423,0.43
11,433,0.42
11,453,0.44
11,463,0.41
11,473,0.46
11,483,0.42
11,500,0.41
16,153,0.44
16,163,0.44
16,193,0.43
16,233,0.48
16,243,0.43
16,253,0.43
16,273,0.46
16,313,0.42
16,323,0.46
16,343,0.4
16,353,0.43
16,363,0.47
16,373,0.44
16,383,0.43
16,393,0.45
16,403,0.42
16,413,0.46
16,433,0.4
16,443,0.41
16,453,0.42
16,473,0.43
16,483,0.44
16,493,0.41
16,500,0.42
21,153,0.44
21,163,0.46
21,173,0.45
21,183,0.47
21,203,0.45
21,213,0.47
21,223,0.43
21,233,0.44
21,243,0.45
21,273,0.42
21,283,0.45
21,293,0.43
21,323,0.45
21,343,0.45
21,353,0.42
21,363,0.45
21,383,0.4
21,393,0.44
21,403,0.45
21,413,0.43
21,433,0.46
21,443,0.45
21,463,0.47
21,493,0.49
21,500,0.45
26,153,0.46
26,173,0.46
26,193,0.46
26,213,0.45
26,223,0.51
26,233,0.46
26,243,0.46
26,253,0.43
26,263,0.46
26,273,0.44
26,283,0.48
26,293,0.45
26,303,0.46
26,313,0.48
26,323,0.46
26,333,0.46
26,353,0.42
26,363,0.44
26,383,0.45
26,393,0.45
26,413,0.47
26,423,0.43
26,433,0.45
26,443,0.44
26,453,0.46
26,463,0.43
26,493,0.43
26,500,0.47
31,153,0.47
31,163,0.45
31,183,0.48
31,193,0.5
31,203,0.48
31,233,0.49
31,243,0.44
31,253,0.49
31,263,0.47
31,283,0.47
31,293,0.48
31,303,0.48
31,313,0.52
31,333,0.49
31,343,0.48
31,353,0.45
31,383,0.48
31,393,0.48
31,403,0.42
31,413,0.46
31,443,0.46
31,453,0.47
31,463,0.43
31,483,0.46
31,500,0.48
36,153,0.45
36,173,0.53
36,203,0.48
36,213,0.48
36,223,0.5
36,233,0.49
36,243,0.48
36,253,0.46
36,293,0.52
36,303,0.49
36,323,0.53
36,333,0.51
36,343,0.5
36,353,0.53
36,373,0.49
36,383,0.46
36,393,0.48
36,403,0.46
36,413,0.46
36,423,0.45
36,433,0.495
36,463,0.42
36,473,0.44
36,483,0.44
36,500,0.4
41,163,0.48
41,193,0.49
41,203,0.55
41,223,0.49
41,233,0.47
41,273,0.52
41,283,0.51
41,293,0.53
41,313,0.54
41,333,0.5
41,343,0.49
41,363,0.54
41,383,0.4
