bri,hue,sat,watt
1,1,1,0.72
1,2001,1,0.6
1,4001,1,0.66
1,6001,1,0.64
1,8001,1,0.63
1,10001,1,0.62
1,12001,1,0.67
1,14001,1,0.73
1,16001,1,0.63
1,18001,1,0.67
1,20001,1,0.66
1,22001,1,0.66
1,24001,1,0.6
1,26001,1,0.7
1,28001,1,0.65
1,30001,1,0.67
1,32001,1,0.68
1,34001,1,0.63
1,36001,1,0.64
1,38001,1,0.63
1,40001,1,0.65
1,42001,1,0.64
1,44001,1,0.65
1,46001,1,0.65
1,48001,1,0.69
1,50001,1,0.62
1,52001,1,0.63
1,54001,1,0.6
1,56001,1,0.66
1,58001,1,0.64
1,60001,1,0.65
1,62001,1,0.68
1,64001,1,0.63
1,65535,1,0.67
1,1,11,0.64
1,2001,11,0.65
1,4001,11,0.62
1,6001,11,0.62
1,8001,11,0.63
1,10001,11,0.69
1,12001,11,0.63
1,14001,11,0.64
1,16001,11,0.64
1,18001,11,0.68
1,20001,11,0.68
1,22001,11,0.65
1,24001,11,0.67
1,26001,11,0.67
1,28001,11,0.6
1,30001,11,0.69
1,32001,11,0.58
1,34001,11,0.69
1,36001,11,0.64
1,38001,11,0.64
1,40001,11,0.62
1,42001,11,0.64
1,44001,11,0.64
1,46001,11,0.61
1,48001,11,0.67
1,50001,11,0.64
1,52001,11,0.63
1,54001,11,0.67
1,56001,11,0.68
1,58001,11,0.69
1,60001,11,0.62
1,62001,11,0.61
1,64001,11,0.65
1,65535,11,0.62
1,1,21,0.59
1,2001,21,0.61
1,4001,21,0.62
1,6001,21,0.66
1,8001,21,0.63
1,10001,21,0.67
1,12001,21,0.64
1,14001,21,0.64
1,16001,21,0.58
1,18001,21,0.64
1,20001,21,0.63
1,22001,21,0.64
1,24001,21,0.68
1,26001,21,0.63
1,28001,21,0.65
1,30001,21,0.64
1,32001,21,0.61
1,34001,21,0.61
1,36001,21,0.62
1,38001,21,0.71
1,40001,21,0.62
1,42001,21,0.65
1,44001,21,0.66
1,46001,21,0.66
1,48001,21,0.64
1,50001,21,0.63
1,52001,21,0.64
1,54001,21,0.69
1,56001,21,0.58
1,58001,21,0.6
1,60001,21,0.66
1,62001,21,0.68
1,64001,21,0.63
1,65535,21,0.58
1,1,31,0.64
1,2001,31,0.68
1,4001,31,0.59
1,6001,31,0.67
1,8001,31,0.6
1,10001,31,0.61
1,12001,31,0.66
1,14001,31,0.63
1,16001,31,0.62
1,18001,31,0.65
1,20001,31,0.58
1,22001,31,0.7
1,24001,31,0.61
1,26001,31,0.6
1,28001,31,0.6
1,30001,31,0.68
1,32001,31,0.62
1,34001,31,0.65
1,36001,31,0.62
1,38001,31,0.7
1,40001,31,0.65
1,42001,31,0.65
1,44001,31,0.66
1,46001,31,0.66
1,48001,31,0.66
1,50001,31,0.61
1,52001,31,0.63
1,54001,31,0.64
1,56001,31,0.63
1,58001,31,0.6
1,60001,31,0.63
1,62001,31,0.62
1,64001,31,0.68
1,65535,31,0.65
1,1,41,0.66
1,2001,41,0.62
1,4001,41,0.59
1,6001,41,0.62
1,8001,41,0.58
1,10001,41,0.6
