bri,mired,watt
1,153,1.45
1,163,1.53
1,173,1.48
1,183,1.79
1,193,1.57
1,203,1.94
1,213,1.82
1,223,1.75
1,233,1.67
1,243,1.66
1,253,1.71
1,263,1.76
1,273,1.86
1,283,1.74
1,293,1.73
1,303,1.6
1,313,1.66
1,323,1.52
1,333,1.57
1,343,1.5
1,353,1.61
1,363,1.7
1,373,1.75
1,383,1.9
1,393,1.94
1,403,1.53
1,413,1.82
1,423,1.48
1,433,1.68
1,443,1.56
1,453,1.76
1,463,1.72
1,473,1.52
1,483,1.74
1,493,1.69
1,500,1.4
6,153,1.89
6,163,1.66
6,173,1.62
6,183,1.8
6,193,1.84
6,203,1.73
6,213,1.85
6,223,1.58
6,233,1.89
6,243,1.8
6,253,1.85
6,263,1.63
6,273,1.91
6,283,1.78
6,293,1.38
6,303,1.71
6,313,1.87
6,323,1.78
6,333,1.54
6,343,1.66
6,353,1.66
6,363,1.64
6,373,1.54
6,383,1.72
6,393,1.86
6,403,1.77
6,413,1.66
6,423,1.52
6,433,1.67
6,443,1.45
6,453,1.59
6,463,1.62
6,473,1.6
6,483,1.73
6,493,1.74
6,500,1.61
11,153,1.7
11,163,1.76
11,173,1.83
11,183,1.64
11,193,1.78
11,203,1.63
11,213,1.67
11,223,1.65
11,233,1.77
11,243,1.8
11,253,1.64
11,263,1.64
11,273,1.78
11,283,1.7
11,293,1.7
11,303,1.62
11,313,1.74
11,323,1.67
11,333,1.58
11,343,1.54
11,353,1.61
11,363,1.63
11,373,1.7
11,383,1.69
11,393,1.53
11,403,1.63
11,413,1.77
11,423,1.43
11,433,1.72
11,443,1.7
11,453,1.97
11,463,1.45
11,473,1.73
11,483,1.6
11,493,1.58
11,500,1.46
16,153,1.62
16,163,1.69
16,173,1.62
16,183,1.68
16,193,1.7
16,203,1.68
16,213,1.64
16,223,1.71
16,233,1.72
16,243,1.63
16,253,1.6
16,263,1.71
16,273,1.71
16,283,1.64
16,293,1.6
16,303,1.61
16,313,1.68
16,323,1.71
16,333,1.79
16,343,1.6
16,353,1.61
16,363,1.71
16,373,1.63
16,383,1.53
16,393,1.76
16,403,1.54
16,413,1.72
16,423,1.59
16,433,1.64
16,443,1.66
16,453,1.68
16,463,1.63
16,473,1.54
16,483,1.74
16,493,1.64
16,500,1.62
21,153,1.55
21,163,1.87
21,173,1.6
21,183,1.68
21,193,1.45
21,203,1.66
21,213,1.66
21,223,1.7
21,233,1.54
21,243,1.75
21,253,1.76
21,263,1.77
21,273,1.66
21,283,1.67
21,293,1.93
21,303,1.81
21,313,1.82
21,323,1.77
21,333,1.74
21,343,1.58
21,353,1.91
21,363,1.51
21,373,1.77
21,383,1.72
21,393,1.65
21,403,1.78
21,413,1.77
21,423,1.54
21,433,1.7
21,443,1.62
21,453,1.74
21,463,1.73
21,473,1.75
21,483,1.67
21,493,1.51
21,500,1.58
26,153,1.71
26,163,1.6
26,173,1.72
26,183,1.6
26,193,1.8
26,203,1.65
26,213,1.61
26,223,1.77
26,233,1.77
26,243,1.78
26,253,1.72
26,263,1.86
26,273,1.94
26,283,1.61
26,293,1.64
26,303,1.59
26,313,1.75
26,323,1.8
26,333,1.59
26,343,1.7
26,353,1.76
26,363,1.82
26,373,1.72
26,383,1.51
26,393,1.69
26,403,1.72
26,413,1.68
26,423,1.64
26,433,1.59
26,443,1.79
26,453,1.51
26,463,1.69
26,473,1.52
26,483,1.56
26,493,1.6
26,500,1.69
31,153,1.68
31,163,1.74
31,173,1.72
31,183,1.59
31,193,1.72
31,203,1.71
31,213,1.8
31,223,1.68
31,233,1.73
31,243,1.73
31,253,1.97
31,263,1.94
31,273,1.75
31,283,1.6
31,293,1.92
31,303,1.8
31,313,1.8
31,323,1.68
31,333,1.79
31,343,1.78
31,353,1.85
31,363,1.89
31,373,1.78
31,383,1.7
31,393,1.58
31,403,1.8
31,413,1.59
31,423,1.83
31,433,1.44
31,443,1.75
31,453,1.74
31,463,1.78
31,473,1.63
31,483,1.57
31,493,1.65
31,500,1.75
36,153,1.64
36,163,1.85
36,173,1.57
36,183,1.51
36,193,1.68
36,203,1.66
36,213,1.85
36,223,1.92
36,233,1.87
36,243,1.75
36,253,1.78
36,263,1.79
36,273,1.73
36,283,1.83
36,293,1.87
36,303,1.7
36,313,1.68
36,323,1.85
36,333,1.82
36,343,1.53
36,353,1.79
36,363,1.87
36,373,1.79
36,383,1.78
36,393,1.7
36,403,1.64
36,413,1.85
36,423,1.69
36,433,1.66
36,443,1.86
36,453,1.67
36,463,1.83
36,473,1.67
36,483,1.68
36,493,1.7
36,500,1.48
41,153,1.92
41,163,1.82
41,173,1.84
41,183,1.74
41,193,1.85
41,203,1.81
41,213,1.84
41,223,1.92
41,233,1.9
41,243,1.71
41,253,1.84
41,263,1.71
41,273,1.66
41,283,1.88
41,293,1.72
41,303,1.76
41,313,1.8
41,323,1.81
41,333,1.68
41,343,1.77
41,353,1.72
41,363,1.55
41,373,1.79
41,383,1.78
41,393,1.85
41,403,1.78
41,413,1.63
41,423,1.71
41,433,1.61
41,443,1.75
41,453,1.62
41,463,1.51
41,473,1.76
41,483,1.7
41,493,1.56
41,500,1.57
46,153,1.62
46,163,1.85
46,173,1.8
46,183,1.64
46,193,1.93
46,203,1.77
46,213,1.91
46,223,1.66
46,233,1.86
46,243,1.82
46,253,2.14
46,263,1.75
46,273,1.77
46,283,1.98
46,293,1.77
46,303,1.76
46,313,1.91
46,323,1.83
46,333,1.74
46,343,1.76
46,353,1.71
46,363,1.72
46,373,1.86
46,383,1.79
46,393,1.79
46,403,1.92
46,413,1.93
46,423,1.7
46,433,1.69
46,443,1.71
46,453,1.77
46,463,1.75
46,473,1.85
46,483,1.64
46,493,1.54
46,500,1.74
51,153,1.92
51,163,1.89
51,173,1.78
51,183,1.9
51,193,1.91
51,203,1.82
51,213,1.95
51,223,2.11
51,233,1.91
51,243,2.17
51,253,1.7
51,263,1.9
51,273,1.97
51,283,1.96
51,293,2.05
51,303,1.92
51,313,1.9
51,323,1.78
51,333,1.9
51,343,1.67
51,353,1.65
51,363,1.95
51,373,1.75
51,383,1.6
51,393,1.67
51,403,1.87
51,413,1.8
51,423,1.69
51,433,1.94
51,443,1.75
51,453,1.79
51,463,1.72
51,473,1.75
51,483,1.76
51,493,1.73
51,500,1.77
56,153,1.87
56,163,1.87
56,173,1.74
56,183,1.86
56,193,1.84
56,203,1.86
56,213,1.91
56,223,2.02
56,233,2.02
56,243,2.08
56,253,2.03
56,263,2.09
56,273,1.78
56,283,1.87
56,293,1.96
56,303,1.62
56,313,1.81
56,323,1.82
56,333,1.89
56,343,1.89
56,353,1.92
56,363,1.75
56,373,1.83
56,383,1.73
56,393,1.88
56,403,1.85
56,413,1.86
