effect,bri,watt
off,5,0.46
off,45,0.56
off,85,0.79
off,125,1.21
off,165,1.82
off,205,2.59
off,245,3.59
off,255,3.9
candle,5,0.47
candle,45,0.53
candle,85,0.63
candle,125,0.8
candle,165,1.02
candle,205,1.32
candle,245,1.64
candle,255,1.71
fire,5,0.44
fire,45,0.49
fire,85,0.55
fire,125,0.61
fire,165,0.7
fire,205,0.82
fire,245,1.01
fire,255,1.01
prism,5,0.46
prism,45,0.5
prism,85,0.55
prism,125,0.62
prism,165,0.74
prism,205,0.9
prism,245,1.11
prism,255,1.14
sparkle,5,0.47
sparkle,45,0.47
sparkle,85,0.49
sparkle,125,0.54
sparkle,165,0.62
sparkle,205,0.7
sparkle,245,0.81
sparkle,255,0.84
opal,5,0.47
opal,45,0.55
opal,85,0.75
opal,125,1.13
opal,165,1.66
opal,205,2.31
opal,245,2.99
opal,255,3.15
glisten,5,0.49
glisten,45,0.49
glisten,85,0.59
glisten,125,0.69
glisten,165,0.88
glisten,205,1.05
glisten,245,1.28
glisten,255,1.38
underwater,5,0.48
underwater,45,0.5
underwater,85,0.5
underwater,125,0.55
underwater,165,0.62
underwater,205,0.71
underwater,245,0.82
underwater,255,0.85
cosmos,5,0.43
cosmos,45,0.45
cosmos,85,0.47
cosmos,125,0.49
cosmos,165,0.53
cosmos,205,0.54
cosmos,245,0.61
cosmos,255,0.64
sunbeam,5,0.41
sunbeam,45,0.53
sunbeam,85,0.71
sunbeam,125,1.07
sunbeam,165,1.57
sunbeam,205,2.3
sunbeam,245,3.19
sunbeam,255,3.49
enchant,5,0.36
enchant,45,0.39
enchant,85,0.45
enchant,125,0.61
enchant,165,0.78
enchant,205,0.96
enchant,245,1.26
enchant,255,1.42
sunrise,5,0.41
sunrise,45,0.42
sunrise,85,0.41
sunrise,125,0.43
sunrise,165,0.43
sunrise,205,0.43
sunrise,245,0.43
sunrise,255,0.42
sunset,5,0.4
sunset,45,0.42
sunset,85,0.47
sunset,125,0.55
sunset,165,0.65
sunset,205,0.78
sunset,245,0.93
sunset,255,0.95
