bri,mired,watt
1,153,16.23
1,163,16.28
1,173,16.27
1,183,16.22
1,193,16.22
1,203,16.37
1,213,16.27
1,223,16.37
1,233,16.33
1,243,16.23
1,253,16.18
1,263,16.18
1,273,16.27
1,283,16.23
1,293,16.23
1,303,16.23
1,313,16.28
1,323,16.28
1,333,16.28
1,343,16.28
1,353,16.28
1,363,16.32
1,373,16.23
1,383,16.33
1,393,16.27
1,403,16.27
1,413,16.27
1,423,16.18
1,433,16.23
1,443,16.23
1,453,16.28
1,463,16.38
1,473,16.33
1,483,16.33
1,493,16.47
1,500,16.37
6,153,16.27
6,163,16.27
6,173,16.22
6,183,16.22
6,193,16.22
6,203,16.27
6,213,16.23
6,223,16.27
6,233,16.23
6,243,16.27
6,253,16.17
6,263,16.17
6,273,16.17
6,283,16.17
6,293,16.22
6,303,16.18
6,313,16.27
6,323,16.23
6,333,16.27
6,343,16.35
6,353,16.36
6,363,16.35
6,373,16.4
6,383,16.4
6,393,16.35
6,403,16.35
6,413,16.32
6,423,16.35
6,433,16.35
6,443,16.35
6,453,16.45
6,463,16.46
6,473,16.41
6,483,16.46
6,493,16.41
6,500,16.41
11,153,16.26
11,163,16.26
11,173,16.25
11,183,16.3
11,193,16.26
11,203,16.31
11,213,16.36
11,223,16.31
11,233,16.26
11,243,16.36
11,253,16.31
11,263,16.26
11,273,16.26
11,283,16.31
11,293,16.26
11,303,16.26
11,313,16.26
11,323,16.35
11,333,16.35
11,343,16.35
11,353,16.35
11,363,16.35
11,373,16.35
11,383,16.35
11,393,16.3
11,403,16.45
11,413,16.35
11,423,16.35
11,433,16.35
11,443,16.35
11,453,16.35
11,463,16.45
11,473,16.5
11,483,16.5
11,493,16.45
11,500,16.5
16,153,16.25
16,163,16.26
16,173,16.3
16,183,16.3
16,193,16.26
16,203,16.26
16,213,16.31
16,223,16.27
16,233,16.27
16,243,16.27
16,253,16.18
16,263,16.23
16,273,16.27
16,283,16.18
16,293,16.08
16,303,16.18
16,313,16.13
16,323,16.17
16,333,16.22
16,343,16.27
16,353,16.22
16,363,16.22
16,373,16.27
16,383,16.14
16,393,16.14
16,403,16.1
16,413,16.09
16,423,16.19
16,433,16.19
16,443,16.01
16,453,16.01
16,463,16.06
16,473,16.11
16,483,16.11
16,493,16.16
16,500,16.11
21,153,15.9
21,163,16.0
21,173,16.0
21,183,16.0
21,193,16.0
21,203,16.0
21,213,15.96
21,223,15.96
21,233,16.0
21,243,16.01
21,253,16.01
21,263,15.96
21,273,16.01
21,283,16.01
21,293,16.01
21,303,15.96
21,313,15.96
21,323,15.96
21,333,15.91
21,343,15.96
21,353,16.01
21,363,16.01
21,373,16.01
21,383,16.01
21,393,16.01
21,403,15.96
21,413,16.01
21,423,16.01
21,433,16.01
21,443,16.09
21,453,16.1
21,463,16.09
21,473,16.1
21,483,16.15
21,493,16.15
21,500,16.2
26,153,16.0
26,163,15.85
26,173,15.95
26,183,15.9
26,193,15.9
26,203,15.95
26,213,15.95
26,223,15.95
26,233,15.95
26,243,16.0
26,253,15.95
26,263,16.0
26,273,16.1
26,283,16.05
26,293,16.1
26,303,16.0
26,313,16.1
26,323,16.09
26,333,16.09
26,343,16.05
26,353,16.0
26,363,16.0
26,373,16.05
26,383,16.1
26,393,16.1
26,403,16.1
26,413,16.1
26,423,16.0
26,433,16.0
26,443,16.0
26,453,16.1
26,463,16.05
26,473,16.14
26,483,16.19
26,493,16.14
26,500,16.19
31,153,16.0
31,163,16.09
31,173,16.09
31,183,16.09
31,193,16.09
31,203,16.09
31,213,16.15
31,223,16.14
31,233,16.2
31,243,16.2
31,253,16.15
31,263,16.1
31,273,16.1
31,283,16.19
31,293,16.15
31,303,16.2
31,313,16.2
31,323,16.25
31,333,16.25
31,343,15.96
31,353,16.01
31,363,16.01
31,373,16.06
31,383,16.01
31,393,16.01
31,403,16.11
31,413,16.06
31,423,16.11
31,433,16.06
31,443,16.01
31,453,16.01
31,463,16.06
31,473,15.91
31,483,15.91
31,493,15.96
31,500,15.96
36,153,15.91
36,163,15.91
36,173,15.86
36,183,15.91
36,193,15.91
36,203,16.01
36,213,15.91
36,223,15.91
36,233,15.96
36,243,16.01
36,253,15.96
36,263,16.01
36,273,15.96
36,283,15.96
36,293,15.96
36,303,16.01
36,313,15.96
36,323,16.06
36,333,16.01
36,343,16.01
36,353,16.11
36,363,16.02
36,373,15.92
36,383,15.96
36,393,16.02
36,403,15.96
36,413,15.96
36,423,15.92
36,433,15.96
36,443,15.97
36,453,15.97
36,463,16.01
36,473,15.97
36,483,15.97
36,493,16.06
36,500,16.12
41,153,15.82
41,163,15.92
41,173,15.97
41,183,15.82
41,193,15.82
41,203,15.87
41,213,15.82
41,223,15.82
41,233,15.91
41,243,15.86
41,253,15.91
41,263,15.97
41,273,15.92
41,283,15.97
41,293,15.87
41,303,15.87
