effect,bri,watt
off,5,3.85
off,45,4.44
off,85,6.05
off,125,8.38
off,165,12.34
off,205,17.12
off,245,24.42
off,255,26.94
candle,5,3.92
candle,45,4.28
candle,85,5.25
candle,125,6.58
candle,165,8.57
candle,205,11.16
candle,245,14.21
candle,255,15.25
fire,5,3.85
fire,45,4.19
fire,85,4.74
fire,125,5.66
fire,165,7.01
fire,205,8.25
fire,245,10.57
fire,255,11.42
prism,5,3.86
prism,45,4.15
prism,85,5.21
prism,125,6.8
prism,165,9.05
prism,205,11.69
prism,245,15.7
prism,255,16.48
sparkle,5,3.85
sparkle,45,4.08
sparkle,85,4.44
sparkle,125,4.84
sparkle,165,5.25
sparkle,205,5.76
sparkle,245,6.28
sparkle,255,6.53
opal,5,3.83
opal,45,4.37
opal,85,5.76
opal,125,8.27
opal,165,11.3
opal,205,15.52
opal,245,20.8
opal,255,22.18
glisten,5,3.82
glisten,45,4.09
glisten,85,4.54
glisten,125,5.28
glisten,165,6.23
glisten,205,6.99
glisten,245,8.37
glisten,255,8.83
underwater,5,3.8
underwater,45,4.07
underwater,85,4.64
underwater,125,5.4
underwater,165,7.04
underwater,205,8.44
underwater,245,10.39
underwater,255,10.86
cosmos,5,3.83
cosmos,45,3.88
cosmos,85,4.01
cosmos,125,4.25
cosmos,165,4.51
cosmos,205,4.93
cosmos,245,5.52
cosmos,255,5.58
sunbeam,5,3.83
sunbeam,45,4.16
sunbeam,85,4.96
sunbeam,125,6.2
sunbeam,165,7.87
sunbeam,205,10.02
sunbeam,245,13.15
sunbeam,255,13.63
enchant,5,3.8
enchant,45,4.1
enchant,85,4.76
enchant,125,5.85
enchant,165,7.55
enchant,205,9.33
enchant,245,11.78
enchant,255,12.71
sunrise,5,3.75
sunrise,45,3.81
sunrise,85,3.85
sunrise,125,3.49
sunrise,165,3.85
sunrise,205,3.27
sunrise,245,3.13
sunrise,255,3.14
sunset,5,3.82
sunset,45,4.4
sunset,85,5.81
sunset,125,8.3
sunset,165,11.55
sunset,205,15.4
sunset,245,21.22
sunset,255,22.8
