bri,mired,watt
1,153,1.47
1,163,1.47
1,173,1.44
1,183,1.48
1,193,1.56
1,203,1.46
1,213,1.51
1,223,1.47
1,233,1.53
1,243,1.6
1,253,1.5
1,263,1.5
1,273,1.48
1,283,1.53
1,293,1.46
1,303,1.48
1,313,1.45
1,323,1.47
1,333,1.45
1,343,1.47
1,353,1.47
1,363,1.45
1,373,1.52
1,383,1.46
1,393,1.45
1,403,1.42
1,413,1.48
1,423,1.49
1,433,1.43
1,443,1.47
1,453,1.41
1,454,1.4
6,153,1.42
6,163,1.39
6,173,1.44
6,183,1.48
6,193,1.45
6,203,1.42
6,213,1.46
6,223,1.38
6,233,1.47
6,243,1.48
6,253,1.4
6,263,1.41
6,273,1.42
6,283,1.41
6,293,1.39
6,303,1.44
6,313,1.43
6,323,1.45
6,333,1.46
6,343,1.45
6,353,1.47
6,363,1.41
6,373,1.49
6,383,1.37
6,393,1.47
6,403,1.37
6,413,1.49
6,423,1.39
6,433,1.42
6,443,1.38
6,453,1.4
6,454,1.4
11,153,1.37
11,163,1.42
11,173,1.44
11,183,1.45
11,193,1.37
11,203,1.42
11,213,1.45
11,223,1.42
11,233,1.43
11,243,1.4
11,253,1.45
11,263,1.43
11,273,1.43
11,283,1.37
11,293,1.37
11,303,1.42
11,313,1.41
11,323,1.39
11,333,1.4
11,343,1.42
11,353,1.39
11,363,1.38
11,373,1.35
11,383,1.41
11,393,1.36
11,403,1.44
11,413,1.38
11,423,1.35
11,433,1.42
11,443,1.35
11,453,1.44
11,454,1.34
16,153,1.4
16,163,1.37
16,173,1.33
16,183,1.37
16,193,1.4
16,203,1.35
16,213,1.4
16,223,1.43
16,233,1.37
16,243,1.42
16,253,1.42
16,263,1.45
16,273,1.38
16,283,1.35
16,293,1.35
16,303,1.4
16,313,1.37
16,323,1.42
16,333,1.37
16,343,1.39
16,353,1.37
16,363,1.35
16,373,1.3
16,383,1.33
16,393,1.37
16,403,1.37
16,413,1.28
16,423,1.35
16,433,1.37
16,443,1.33
16,453,1.31
16,454,1.3
21,153,1.35
21,163,1.36
21,173,1.35
21,183,1.39
21,193,1.35
21,203,1.37
21,213,1.35
21,223,1.35
21,233,1.29
21,243,1.35
21,253,1.42
21,263,1.33
21,273,1.4
21,283,1.42
21,293,1.36
21,303,1.42
21,313,1.35
21,323,1.37
21,333,1.35
21,343,1.4
21,353,1.34
21,363,1.34
21,373,1.36
21,383,1.35
21,393,1.37
21,403,1.3
21,413,1.35
21,423,1.32
21,433,1.32
21,443,1.3
21,453,1.29
21,454,1.3
26,153,1.3
26,163,1.35
26,173,1.37
26,183,1.34
26,193,1.35
26,203,1.31
26,213,1.41
26,223,1.4
26,233,1.35
26,243,1.36
26,253,1.44
