bri,mired,watt
1,153,0.377
1,163,0.377
1,173,0.383
1,183,0.39
1,193,0.39
1,203,0.39
1,213,0.36
1,223,0.36
1,233,0.36
1,243,0.35
1,253,0.35
1,263,0.35
1,273,0.35
1,283,0.35
1,293,0.37
1,303,0.37
1,313,0.37
1,323,0.34
1,333,0.34
1,343,0.34
1,353,0.36
1,363,0.36
1,373,0.36
1,383,0.4
1,393,0.4
1,403,0.4
1,413,0.37
1,423,0.37
1,433,0.37
1,443,0.35
1,453,0.35
1,463,0.35
1,473,0.35
1,483,0.35
1,493,0.35
1,500,0.34
6,153,0.4
6,163,0.4
6,173,0.4
6,183,0.38
6,193,0.38
6,203,0.38
6,213,0.36
6,223,0.36
6,233,0.36
6,243,0.36
6,253,0.36
6,263,0.36
6,273,0.41
6,283,0.41
6,293,0.41
6,303,0.39
6,313,0.39
6,323,0.39
6,333,0.41
6,343,0.41
6,353,0.36
6,363,0.36
6,373,0.36
6,383,0.36
6,393,0.38
6,403,0.38
6,413,0.38
6,423,0.38
6,433,0.38
6,443,0.38
6,453,0.38
6,463,0.42
6,473,0.42
6,483,0.42
6,493,0.38
6,500,0.38
11,153,0.39
11,163,0.39
11,173,0.39
11,183,0.39
11,193,0.39
11,203,0.39
11,213,0.39
11,223,0.39
11,233,0.38
11,243,0.38
11,253,0.38
11,263,0.41
11,273,0.41
11,283,0.41
11,293,0.38
11,303,0.38
11,313,0.4
11,323,0.4
11,333,0.4
11,343,0.4
11,353,0.4
11,363,0.4
11,373,0.42
11,383,0.42
11,393,0.42
11,403,0.42
11,413,0.42
11,423,0.38
11,433,0.38
11,443,0.38
11,453,0.4
11,463,0.4
11,473,0.4
11,483,0.4
11,493,0.39
11,500,0.39
16,153,0.43
16,163,0.43
16,173,0.42
16,183,0.42
16,193,0.46
16,203,0.46
16,213,0.46
16,223,0.41
16,233,0.41
16,243,0.4
16,253,0.4
16,263,0.43
16,273,0.43
16,283,0.43
16,293,0.43
16,303,0.43
16,313,0.43
16,323,0.43
16,333,0.43
16,343,0.43
16,353,0.43
16,363,0.43
16,373,0.43
16,383,0.46
16,393,0.46
16,403,0.46
16,413,0.4
16,423,0.4
16,433,0.4
16,443,0.42
16,453,0.42
16,463,0.42
16,473,0.42
16,483,0.42
16,493,0.42
16,500,0.42
21,153,0.47
21,163,0.47
21,173,0.46
21,183,0.46
21,193,0.46
21,203,0.48
21,213,0.48
21,223,0.46
21,233,0.46
21,243,0.46
21,253,0.46
21,263,0.46
21,273,0.46
21,283,0.45
21,293,0.45
21,303,0.46
21,313,0.46
21,323,0.46
21,333,0.46
21,343,0.46
21,353,0.46
21,363,0.49
21,373,0.49
21,383,0.49
21,393,0.43
21,403,0.43
21,413,0.43
21,423,0.46
21,433,0.46
21,443,0.43
21,453,0.43
21,463,0.43
21,473,0.43
21,483,0.41
21,493,0.41
21,500,0.42
26,153,0.49
26,163,0.49
26,173,0.49
26,183,0.52
26,193,0.52
26,203,0.52
26,213,0.47
26,223,0.47
26,233,0.48
26,243,0.48
26,253,0.48
26,263,0.5
26,273,0.5
26,283,0.53
26,293,0.53
26,303,0.5
26,313,0.5
26,323,0.5
26,333,0.48
26,343,0.48
26,353,0.51
26,363,0.51
26,373,0.51
26,383,0.48
26,393,0.48
26,403,0.48
26,413,0.47
26,423,0.47
26,433,0.53
26,443,0.53
26,453,0.53
26,463,0.47
26,473,0.47
26,483,0.47
26,493,0.46
26,500,0.46
31,153,0.54
31,163,0.54
31,173,0.52
31,183,0.52
31,193,0.52
31,203,0.55
31,213,0.55
31,223,0.58
31,233,0.58
31,243,0.56
31,253,0.56
31,263,0.56
31,273,0.58
31,283,0.58
31,293,0.52
31,303,0.52
31,313,0.55
31,323,0.55
31,333,0.55
31,343,0.54
31,353,0.54
31,363,0.54
31,373,0.54
31,383,0.57
31,393,0.57
31,403,0.54
31,413,0.54
31,423,0.54
31,433,0.56
31,443,0.56
31,453,0.51
31,463,0.51
31,473,0.51
31,483,0.48
31,493,0.48
31,500,0.48
36,153,0.55
36,163,0.55
36,173,0.55
36,183,0.63
36,193,0.63
36,203,0.59
36,213,0.59
36,223,0.6
36,233,0.6
36,243,0.6
36,253,0.63
36,263,0.63
36,273,0.62
36,283,0.62
36,293,0.64
36,303,0.64
36,313,0.64
36,323,0.64
36,333,0.64
36,343,0.6
36,353,0.6
36,363,0.6
36,373,0.6
36,383,0.6
36,393,0.6
36,403,0.63
36,413,0.63
36,423,0.57
36,433,0.57
36,443,0.57
36,453,0.57
36,463,0.57
36,473,0.59
36,483,0.59
36,493,0.55
36,500,0.55
41,153,0.66
41,163,0.67
41,173,0.67
41,183,0.66
41,193,0.66
41,203,0.66
41,213,0.64
41,223,0.64
41,233,0.66
41,243,0.66
41,253,0.68
41,263,0.68
41,273,0.68
41,283,0.68
41,293,0.68
41,303,0.68
41,313,0.68
41,323,0.68
41,333,0.68
41,343,0.68
41,353,0.66
41,363,0.66
41,373,0.66
41,383,0.66
41,393,0.66
41,403,0.7
41,413,0.7
41,423,0.6
41,433,0.6
41,443,0.6
41,453,0.65
41,463,0.65
41,473,0.62
41,483,0.62
41,493,0.58
41,500,0.58
46,153,0.71
46,163,0.68
46,173,0.68
46,183,0.73
46,193,0.73
46,203,0.73
46,213,0.73
46,223,0.73
46,233,0.73
46,243,0.73
46,253,0.77
46,263,0.77
46,273,0.72
46,283,0.72
46,293,0.72
46,303,0.76
46,313,0.76
46,323,0.76
46,333,0.76
46,343,0.76
46,353,0.73
46,363,0.73
46,373,0.76
46,383,0.76
46,393,0.73
46,403,0.73
46,413,0.69
46,423,0.69
46,433,0.69
46,443,0.68
46,453,0.68
46,463,0.68
46,473,0.68
46,483,0.62
46,493,0.62
46,500,0.62
51,153,0.79
51,163,0.79
51,173,0.79
51,183,0.78
51,193,0.78
51,203,0.78
51,213,0.83
51,223,0.83
51,233,0.83
51,243,0.83
51,253,0.83
51,263,0.83
51,273,0.83
51,283,0.84
51,293,0.84
51,303,0.84
51,313,0.81
51,323,0.81
51,333,0.82
51,343,0.82
51,353,0.81
51,363,0.81
51,373,0.81
51,383,0.83
51,393,0.83
51,403,0.81
51,413,0.81
51,423,0.77
51,433,0.77
51,443,0.77
51,453,0.72
51,463,0.77
51,473,0.77
51,483,0.77
51,493,0.75
51,500,0.75
56,153,0.87
56,163,0.86
56,173,0.86
56,183,0.89
56,193,0.89
56,203,0.89
56,213,0.93
56,223,0.93
56,233,0.91
56,243,0.91
56,253,0.91
56,263,0.94
56,273,0.94
56,283,0.94
56,293,0.95
56,303,0.95
56,313,0.89
56,323,0.89
56,333,0.89
56,343,0.92
56,353,0.92
56,363,0.94
56,373,0.94
56,383,0.94
56,393,0.88
56,403,0.88
56,413,0.88
56,423,0.87
56,433,0.87
56,443,0.85
56,453,0.85
56,463,0.85
56,473,0.85
56,483,0.85
56,493,0.74
56,500,0.74
61,153,0.98
61,163,0.99
61,173,0.99
61,183,0.97
61,193,0.97
61,203,1.02
61,213,1.02
61,223,1.02
61,233,1.04
61,243,1.04
61,253,1.01
61,263,1.01
61,273,1.05
61,283,1.05
61,293,1.05
61,303,1.02
61,313,1.02
61,323,1.05
61,333,1.05
61,343,1.04
61,353,1.04
61,363,1.03
61,373,1.03
61,383,1.03
61,393,1.04
61,403,1.04
61,413,1.0
61,423,1.0
61,433,0.97
61,443,0.97
61,453,0.97
61,463,0.93
61,473,0.93
61,483,0.87
61,493,0.87
61,500,0.87
66,153,1.03
66,163,1.03
66,173,1.05
66,183,1.05
66,193,1.08
66,203,1.08
66,213,1.08
66,223,1.11
66,233,1.11
66,243,1.16
66,253,1.16
66,263,1.1
66,273,1.1
66,283,1.11
66,293,1.11
66,303,1.09
66,313,1.09
66,323,1.09
66,333,1.13
66,343,1.13
66,353,1.11
66,363,1.11
66,373,1.07
66,383,1.07
66,393,1.08
66,403,1.08
66,413,1.04
66,423,1.04
66,433,1.06
66,443,1.06
66,453,1.06
66,463,1.02
66,473,1.02
66,483,0.93
66,493,0.93
66,500,0.93
71,153,1.18
71,163,1.18
71,173,1.15
71,183,1.15
71,193,1.21
71,203,1.21
71,213,1.19
71,223,1.19
71,233,1.22
71,243,1.22
71,253,1.22
71,263,1.26
71,273,1.26
71,283,1.25
71,293,1.25
71,303,1.24
71,313,1.24
71,323,1.24
71,333,1.28
71,343,1.28
71,353,1.26
71,363,1.26
71,373,1.25
71,383,1.25
71,393,1.25
71,403,1.19
71,413,1.19
71,423,1.16
71,433,1.16
71,443,1.13
71,453,1.13
71,463,1.13
71,473,1.09
71,483,1.09
71,493,1.0
71,500,1.0
76,153,1.28
76,163,1.28
76,173,1.28
76,183,1.33
76,193,1.33
76,203,1.34
76,213,1.34
76,223,1.34
76,233,1.33
76,243,1.33
76,253,1.36
76,263,1.36
76,273,1.42
76,283,1.42
76,293,1.42
76,303,1.37
76,313,1.37
76,323,1.38
76,333,1.38
76,343,1.39
76,353,1.39
76,363,1.39
76,373,1.37
76,383,1.37
76,393,1.33
76,403,1.33
76,413,1.29
76,423,1.29
76,433,1.29
76,443,1.23
76,453,1.23
76,463,1.21
76,473,1.21
76,483,1.12
76,493,1.12
76,500,1.12
81,153,1.43
81,163,1.43
81,173,1.45
81,183,1.45
81,193,1.48
81,203,1.48
81,213,1.48
81,223,1.46
81,233,1.46
81,243,1.52
81,253,1.52
81,263,1.48
81,273,1.48
81,283,1.48
81,293,1.54
81,303,1.54
81,313,1.53
81,323,1.53
81,333,1.51
81,343,1.51
81,353,1.51
81,363,1.5
81,373,1.5
81,383,1.45
81,393,1.45
81,403,1.42
81,413,1.42
81,423,1.42
81,433,1.34
81,443,1.34
81,453,1.34
81,463,1.34
81,473,1.25
81,483,1.25
81,493,1.25
81,500,1.16
86,153,1.59
86,163,1.59
86,173,1.59
86,183,1.61
86,193,1.61
86,203,1.61
86,213,1.63
86,223,1.63
86,233,1.61
86,243,1.61
86,253,1.68
86,263,1.68
86,273,1.65
86,283,1.65
86,293,1.64
86,303,1.64
86,313,1.66
86,323,1.66
86,333,1.66
86,343,1.68
86,353,1.68
86,363,1.65
86,373,1.65
86,383,1.66
86,393,1.66
86,403,1.66
86,413,1.58
86,423,1.58
86,433,1.52
86,443,1.52
86,453,1.5
86,463,1.5
86,473,1.5
86,483,1.34
86,493,1.34
86,500,1.24
91,153,1.72
91,163,1.67
91,173,1.67
91,183,1.67
91,193,1.72
91,203,1.72
91,213,1.76
91,223,1.76
91,233,1.81
91,243,1.81
91,253,1.81
91,263,1.8
91,273,1.8
91,283,1.8
91,293,1.8
91,303,1.78
91,313,1.78
91,323,1.78
91,333,1.8
91,343,1.8
91,353,1.8
91,363,1.8
91,373,1.82
91,383,1.82
91,393,1.82
91,403,1.74
91,413,1.74
91,423,1.69
91,433,1.69
91,443,1.64
91,453,1.64
91,463,1.64
91,473,1.57
91,483,1.57
91,493,1.43
91,500,1.43
96,153,1.84
96,163,1.84
96,173,1.84
96,183,1.89
96,193,1.89
96,203,1.92
96,213,1.92
96,223,1.94
96,233,1.94
96,243,1.94
96,253,1.99
96,263,1.99
96,273,1.94
96,283,1.94
96,293,1.97
96,303,1.97
96,313,1.97
96,323,1.96
96,333,1.96
96,343,1.97
96,353,1.97
96,363,1.98
96,373,1.98
96,383,1.91
96,393,1.91
96,403,1.91
96,413,1.83
96,423,1.83
96,433,1.81
96,443,1.81
96,453,1.77
96,463,1.77
96,473,1.77
96,483,1.6
96,493,1.6
96,500,1.48
101,153,1.98
101,163,2.06
101,173,2.06
101,183,2.06
101,193,2.02
101,203,2.02
101,213,2.06
101,223,2.06
101,233,2.09
101,243,2.09
101,253,2.09
101,263,2.1
101,273,2.1
101,283,2.13
101,293,2.13
101,303,2.12
101,313,2.12
101,323,2.12
101,333,2.16
101,343,2.16
101,353,2.12
101,363,2.12
101,373,2.13
101,383,2.13
101,393,2.04
101,403,2.04
101,413,1.99
101,423,1.99
101,433,1.99
101,443,1.92
101,453,1.92
101,463,1.81
101,473,1.81
101,483,1.69
101,493,1.69
101,500,1.69
106,153,2.16
106,163,2.16
106,173,2.17
106,183,2.17
106,193,2.25
106,203,2.25
106,213,2.25
106,223,2.26
106,233,2.26
106,243,2.3
106,253,2.3
106,263,2.3
106,273,2.3
106,283,2.31
106,293,2.31
106,303,2.29
106,313,2.29
106,323,2.29
106,333,2.29
106,343,2.3
106,353,2.3
106,363,2.32
106,373,2.32
106,383,2.24
106,393,2.24
106,403,2.19
106,413,2.19
106,423,2.12
106,433,2.12
106,443,2.12
106,453,2.05
106,463,2.05
106,473,1.96
106,483,1.96
106,493,1.79
106,500,1.79
111,153,2.33
111,163,2.33
111,173,2.32
111,183,2.32
111,193,2.34
111,203,2.34
111,213,2.34
111,223,2.38
111,233,2.38
111,243,2.46
111,253,2.46
111,263,2.47
111,273,2.47
111,283,2.47
111,293,2.44
111,303,2.5
111,313,2.5
111,323,2.5
111,333,2.49
111,343,2.49
111,353,2.48
111,363,2.48
111,373,2.47
111,383,2.47
111,393,2.44
111,403,2.44
111,413,2.3
111,423,2.3
111,433,2.3
111,443,2.23
111,453,2.23
111,463,2.18
111,473,2.18
111,483,1.97
111,493,1.97
111,500,1.76
116,153,2.51
116,163,2.51
116,173,2.49
116,183,2.49
116,193,2.56
116,203,2.56
116,213,2.59
116,223,2.59
116,233,2.59
116,243,2.61
116,253,2.61
116,263,2.64
116,273,2.64
116,283,2.69
116,293,2.69
116,303,2.69
116,313,2.68
116,323,2.68
116,333,2.64
116,343,2.64
116,353,2.67
116,363,2.67
116,373,2.67
116,383,2.69
116,393,2.69
116,403,2.57
116,413,2.57
116,423,2.42
116,433,2.42
116,443,2.42
116,453,2.4
116,463,2.26
116,473,2.26
116,483,2.26
116,493,2.12
116,500,2.12
121,153,2.64
121,163,2.64
121,173,2.7
121,183,2.7
121,193,2.7
121,203,2.76
121,213,2.76
121,223,2.76
121,233,2.76
121,243,2.85
121,253,2.85
121,263,2.83
121,273,2.83
121,283,2.84
121,293,2.84
121,303,2.84
121,313,2.83
121,323,2.83
121,333,2.91
121,343,2.91
121,353,2.89
121,363,2.89
121,373,2.89
121,383,2.84
121,393,2.84
121,403,2.74
121,413,2.74
121,423,2.65
121,433,2.65
121,443,2.56
121,453,2.56
121,463,2.4
121,473,2.4
121,483,2.26
121,493,2.26
121,500,2.26
126,153,2.87
126,163,2.89
126,173,2.89
126,183,2.89
126,193,2.89
126,203,2.89
126,213,3.01
126,223,3.01
126,233,3.04
126,243,3.04
126,253,3.07
126,263,3.07
126,273,3.07
126,283,3.07
126,293,3.04
126,303,3.04
126,313,3.12
126,323,3.12
126,333,3.12
126,343,3.08
126,353,3.08
126,363,3.04
126,373,3.04
126,383,3.04
126,393,3.04
126,403,2.95
126,413,2.95
126,423,2.84
126,433,2.84
126,443,2.66
126,453,2.66
126,463,2.66
126,473,2.63
126,483,2.63
126,493,2.36
126,500,2.36
131,153,3.04
131,163,3.04
131,173,3.04
131,183,3.1
131,193,3.1
131,203,3.18
131,213,3.18
131,223,3.18
131,233,3.18
131,243,3.18
131,253,3.29
131,263,3.29
131,273,3.27
131,283,3.27
131,293,3.24
131,303,3.24
131,313,3.24
131,323,3.32
131,333,3.32
131,343,3.27
131,353,3.27
131,363,3.31
131,373,3.31
131,383,3.31
131,393,3.22
131,403,3.07
131,413,3.07
131,423,3.07
131,433,3.02
131,443,3.02
131,453,2.92
131,463,2.92
131,473,2.78
131,483,2.78
131,493,2.44
131,500,2.44
136,153,3.3
136,163,3.25
136,173,3.25
136,183,3.33
136,193,3.33
136,203,3.37
136,213,3.37
136,223,3.37
136,233,3.46
136,243,3.46
136,253,3.46
136,263,3.46
136,273,3.56
136,283,3.56
136,293,3.56
136,303,3.52
136,313,3.52
136,323,3.54
136,333,3.54
136,343,3.59
136,353,3.59
136,363,3.49
136,373,3.49
136,383,3.49
136,393,3.4
136,403,3.4
136,413,3.32
136,423,3.32
136,433,3.15
136,443,3.15
136,453,3.04
136,463,3.04
136,473,2.81
136,483,2.81
136,493,2.81
136,500,2.6
141,153,3.46
141,163,3.52
141,173,3.52
141,183,3.53
141,193,3.53
141,203,3.64
141,213,3.64
141,223,3.65
141,233,3.73
141,243,3.73
141,253,3.74
141,263,3.74
141,273,3.74
141,283,3.74
141,293,3.75
141,303,3.75
141,313,3.76
141,323,3.76
141,333,3.77
141,343,3.77
141,353,3.72
141,363,3.72
141,373,3.76
141,383,3.76
141,393,3.57
141,403,3.57
141,413,3.57
141,423,3.44
141,433,3.44
141,443,3.3
141,453,3.3
141,463,3.2
141,473,3.2
141,483,3.2
141,493,2.95
141,500,2.95
146,153,3.7
146,163,3.7
146,173,3.78
146,183,3.78
146,193,3.84
146,203,3.84
146,213,3.84
146,223,3.84
146,233,3.84
146,243,3.96
146,253,3.96
146,263,3.98
146,273,3.98
146,283,3.98
146,293,4.04
146,303,4.04
146,313,3.94
146,323,3.94
146,333,3.96
146,343,3.96
146,353,4.0
146,363,4.0
146,373,4.0
146,383,4.0
146,393,3.82
146,403,3.82
146,413,3.67
146,423,3.67
146,433,3.51
146,443,3.51
146,453,3.52
146,463,3.52
146,473,3.52
146,483,3.24
146,493,3.24
146,500,2.85
151,153,3.98
151,163,3.97
151,173,3.97
151,183,3.97
151,193,4.03
151,203,4.03
151,213,4.12
151,223,4.12
151,233,4.17
151,243,4.17
151,253,4.28
151,263,4.28
151,273,4.28
151,283,4.24
151,293,4.24
151,303,4.24
151,313,4.24
151,323,4.25
151,333,4.25
151,343,4.25
151,353,4.27
151,363,4.27
151,373,4.28
151,383,4.28
151,393,4.15
151,403,4.15
151,413,3.98
151,423,3.98
151,433,3.79
151,443,3.79
151,453,3.79
151,463,3.72
151,473,3.72
151,483,3.48
151,493,3.48
151,500,3.12
156,153,4.19
156,163,4.19
156,173,4.23
156,183,4.33
156,193,4.33
156,203,4.36
156,213,4.36
156,223,4.36
156,233,4.42
156,243,4.42
156,253,4.45
156,263,4.45
156,273,4.51
156,283,4.51
156,293,4.51
156,303,4.51
156,313,4.51
156,323,4.51
156,333,4.58
156,343,4.58
156,353,4.58
156,363,4.55
156,373,4.55
156,383,4.52
156,393,4.52
156,403,4.23
156,413,4.23
156,423,4.23
156,433,4.1
156,443,4.1
156,453,3.97
156,463,3.97
156,473,3.87
156,483,3.87
156,493,3.48
156,500,3.48
161,153,4.5
161,163,4.5
161,173,4.53
161,183,4.53
161,193,4.56
161,203,4.56
161,213,4.56
161,223,4.66
161,233,4.66
161,243,4.74
161,253,4.74
161,263,4.82
161,273,4.82
161,283,4.82
161,293,4.81
161,303,4.81
161,313,4.77
161,323,4.77
161,333,4.81
161,343,4.81
161,353,4.81
161,363,4.8
161,373,4.8
161,383,4.76
161,393,4.76
161,403,4.52
161,413,4.52
161,423,4.38
161,433,4.38
161,443,4.22
161,453,4.22
161,463,4.22
161,473,4.06
161,483,4.06
161,493,3.76
161,500,3.76
166,153,4.69
166,163,4.69
166,173,4.77
166,183,4.77
166,193,4.77
166,203,4.87
166,213,4.87
166,223,4.93
166,233,4.93
166,243,4.98
166,253,4.98
166,263,5.01
166,273,5.01
166,283,5.05
166,293,5.05
166,303,5.08
166,313,5.08
166,323,5.12
166,333,5.12
166,343,5.08
166,353,5.08
166,363,5.13
166,373,5.04
166,383,5.04
166,393,4.95
166,403,4.95
166,413,4.72
166,423,4.72
166,433,4.52
166,443,4.52
166,453,4.47
166,463,4.47
166,473,4.26
166,483,4.26
166,493,3.78
166,500,3.78
171,153,4.97
171,163,4.97
171,173,4.97
171,183,5.04
171,193,5.14
171,203,5.14
171,213,5.22
171,223,5.22
171,233,5.22
171,243,5.26
171,253,5.26
171,263,5.33
171,273,5.36
171,283,5.36
171,293,5.33
171,303,5.33
171,313,5.35
171,323,5.38
171,333,5.38
171,343,5.37
171,353,5.37
171,363,5.38
171,373,5.32
171,383,5.32
171,393,5.14
171,403,5.14
171,413,5.14
171,423,4.89
171,433,4.89
171,443,4.74
171,453,4.74
171,463,4.61
171,473,4.61
171,483,4.27
171,493,4.27
171,500,3.84
176,153,5.21
176,163,5.21
176,173,5.29
176,183,5.4
176,193,5.4
176,203,5.4
176,213,5.46
176,223,5.46
176,233,5.53
176,243,5.53
176,253,5.62
176,263,5.62
176,273,5.65
176,283,5.65
176,293,5.67
176,303,5.67
176,313,5.64
176,323,5.64
176,333,5.71
176,343,5.71
176,353,5.71
176,363,5.69
176,373,5.69
176,383,5.68
176,393,5.68
176,403,5.43
176,413,5.43
176,423,5.19
176,433,5.19
176,443,5.0
176,453,5.0
176,463,5.02
176,473,5.02
176,483,4.58
176,493,4.58
176,500,4.21
181,153,5.59
181,163,5.56
181,173,5.6
181,183,5.6
181,193,5.6
