bri,hue,sat,watt
1,1,1,2
1,2001,1,2
1,4001,1,1.99
1,6001,1,1.99
1,8001,1,1.97
1,10001,1,1.97
1,12001,1,2.05
1,14001,1,1.99
1,16001,1,1.95
1,18001,1,1.95
1,20001,1,1.92
1,22001,1,1.98
1,24001,1,1.95
1,26001,1,1.95
1,28001,1,1.98
1,30001,1,1.97
1,32001,1,1.95
1,34001,1,1.97
1,36001,1,1.98
1,38001,1,2
1,40001,1,1.93
1,42001,1,1.92
1,44001,1,1.97
1,46001,1,2.02
1,48001,1,1.96
1,50001,1,1.93
1,52001,1,1.95
1,54001,1,1.96
1,56001,1,1.97
1,58001,1,1.94
1,60001,1,2.04
1,62001,1,1.98
1,64001,1,1.94
1,65535,1,1.93
1,1,11,2
1,2001,11,2
1,4001,11,1.99
1,6001,11,1.98
1,8001,11,1.97
1,10001,11,1.98
1,12001,11,2.05
1,14001,11,1.98
1,16001,11,1.94
1,18001,11,1.95
1,20001,11,1.94
1,22001,11,1.98
1,24001,11,1.96
1,26001,11,1.95
1,28001,11,1.98
1,30001,11,1.97
1,32001,11,1.95
1,34001,11,1.96
1,36001,11,1.98
1,38001,11,2
1,40001,11,1.94
1,42001,11,1.93
1,44001,11,1.96
1,46001,11,2.01
1,48001,11,1.95
1,50001,11,1.94
1,52001,11,1.95
1,54001,11,1.96
1,56001,11,1.97
1,58001,11,1.94
1,60001,11,2.02
1,62001,11,1.98
1,64001,11,1.95
1,65535,11,1.93
1,1,21,1.99
1,2001,21,2
1,4001,21,1.99
1,6001,21,1.97
1,8001,21,1.97
1,10001,21,1.98
1,12001,21,2.06
1,14001,21,1.96
1,16001,21,1.93
1,18001,21,1.96
1,20001,21,1.96
1,22001,21,1.98
1,24001,21,1.96
1,26001,21,1.96
1,28001,21,1.98
1,30001,21,1.97
1,32001,21,1.94
1,34001,21,1.96
1,36001,21,1.99
1,38001,21,1.99
1,40001,21,1.95
1,42001,21,1.94
1,44001,21,1.95
1,46001,21,2.01
1,48001,21,1.93
1,50001,21,1.95
1,52001,21,1.95
1,54001,21,1.96
1,56001,21,1.97
1,58001,21,1.95
1,60001,21,2.01
1,62001,21,1.98
1,64001,21,1.95
1,65535,21,1.93
1,1,31,1.99
1,2001,31,1.99
1,4001,31,1.98
1,6001,31,1.96
1,8001,31,1.97
1,10001,31,1.99
1,12001,31,2.06
1,14001,31,1.94
1,16001,31,1.93
