bri,mired,watt
1,153,1.38
1,163,1.39
1,173,1.41
1,183,1.42
1,193,1.43
1,203,1.44
1,213,1.45
1,223,1.46
1,233,1.47
1,243,1.48
1,253,1.45
1,263,1.43
1,273,1.4
1,283,1.43
1,293,1.47
1,303,1.5
1,313,1.47
1,323,1.45
1,333,1.42
1,343,1.43
1,353,1.44
1,363,1.46
1,373,1.46
1,383,1.47
1,393,1.48
1,403,1.46
1,413,1.44
1,423,1.42
1,433,1.42
1,443,1.43
1,453,1.43
1,463,1.42
1,473,1.42
1,483,1.42
1,493,1.43
1,500,1.43
6,153,1.39
6,163,1.41
6,173,1.42
6,183,1.43
6,193,1.44
6,203,1.45
6,213,1.46
6,223,1.46
6,233,1.47
6,243,1.48
6,253,1.47
6,263,1.44
6,273,1.41
6,283,1.44
6,293,1.48
6,303,1.5
6,313,1.49
6,323,1.46
6,333,1.43
6,343,1.44
6,353,1.45
6,363,1.46
6,373,1.47
6,383,1.48
6,393,1.48
6,403,1.47
6,413,1.46
6,423,1.44
6,433,1.43
6,443,1.43
6,453,1.43
6,463,1.43
6,473,1.42
6,483,1.42
6,493,1.44
6,500,1.44
11,153,1.41
11,163,1.42
11,173,1.43
11,183,1.44
11,193,1.45
11,203,1.46
11,213,1.48
11,223,1.45
11,233,1.47
11,243,1.48
11,253,1.48
11,263,1.45
11,273,1.42
11,283,1.46
11,293,1.49
11,303,1.49
11,313,1.5
11,323,1.47
11,333,1.44
11,343,1.45
11,353,1.47
11,363,1.47
11,373,1.48
11,383,1.48
11,393,1.48
11,403,1.49
11,413,1.47
11,423,1.45
11,433,1.43
11,443,1.43
11,453,1.43
11,463,1.43
11,473,1.43
11,483,1.42
11,493,1.45
11,500,1.45
16,153,1.42
16,163,1.43
16,173,1.44
16,183,1.46
16,193,1.47
16,203,1.48
16,213,1.49
16,223,1.47
16,233,1.46
16,243,1.48
16,253,1.48
16,263,1.46
16,273,1.43
16,283,1.47
16,293,1.48
16,303,1.48
16,313,1.49
16,323,1.48
16,333,1.45
16,343,1.47
16,353,1.47
16,363,1.48
16,373,1.49
16,383,1.48
16,393,1.48
16,403,1.49
16,413,1.48
16,423,1.47
16,433,1.45
16,443,1.44
16,453,1.44
16,463,1.43
16,473,1.43
16,483,1.43
16,493,1.46
16,500,1.46
21,153,1.43
21,163,1.44
21,173,1.46
21,183,1.47
21,193,1.48
21,203,1.49
21,213,1.51
21,223,1.48
21,233,1.46
21,243,1.48
21,253,1.47
21,263,1.47
21,273,1.44
21,283,1.48
21,293,1.48
21,303,1.48
21,313,1.48
21,323,1.49
21,333,1.46
21,343,1.48
21,353,1.48
21,363,1.49
21,373,1.49
21,383,1.48
21,393,1.48
21,403,1.49
21,413,1.5
21,423,1.48
21,433,1.46
21,443,1.44
21,453,1.44
21,463,1.43
21,473,1.43
21,483,1.43
21,493,1.46
21,500,1.47
26,153,1.44
26,163,1.46
26,173,1.47
26,183,1.48
26,193,1.49
26,203,1.51
26,213,1.52
26,223,1.5
26,233,1.48
26,243,1.47
26,253,1.47
26,263,1.47
26,273,1.46
26,283,1.47
26,293,1.47
26,303,1.47
26,313,1.48
26,323,1.49
26,333,1.48
26,343,1.48
26,353,1.49
26,363,1.49
26,373,1.49
26,383,1.49
26,393,1.48
26,403,1.49
26,413,1.5
26,423,1.49
26,433,1.47
26,443,1.45
26,453,1.44
26,463,1.44
26,473,1.43
26,483,1.43
26,493,1.46
26,500,1.48
31,153,1.45
31,163,1.47
31,173,1.48
31,183,1.49
31,193,1.51
31,203,1.52
31,213,1.54
31,223,1.51
31,233,1.49
31,243,1.47
31,253,1.47
31,263,1.47
31,273,1.47
31,283,1.47
31,293,1.46
31,303,1.46
31,313,1.47
31,323,1.48
31,333,1.49
31,343,1.49
31,353,1.5
31,363,1.5
31,373,1.49
31,383,1.49
31,393,1.48
31,403,1.49
31,413,1.5
31,423,1.51
31,433,1.49
31,443,1.47
31,453,1.45
31,463,1.44
31,473,1.43
31,483,1.43
31,493,1.46
31,500,1.49
36,153,1.49
36,163,1.5
36,173,1.51
36,183,1.51
36,193,1.52
36,203,1.53
36,213,1.54
36,223,1.52
36,233,1.5
36,243,1.5
36,253,1.5
36,263,1.49
36,273,1.49
36,283,1.49
36,293,1.49
36,303,1.49
36,313,1.5
36,323,1.51
36,333,1.51
36,343,1.49
36,353,1.49
36,363,1.5
36,373,1.49
36,383,1.48
36,393,1.49
36,403,1.5
36,413,1.51
36,423,1.53
36,433,1.51
36,443,1.49
36,453,1.47
36,463,1.46
36,473,1.46
36,483,1.45
36,493,1.49
36,500,1.5
41,153,1.52
41,163,1.53
41,173,1.54
41,183,1.53
41,193,1.53
41,203,1.54
41,213,1.55
41,223,1.53
41,233,1.51
41,243,1.52
41,253,1.52
41,263,1.52
41,273,1.52
41,283,1.52
41,293,1.52
41,303,1.52
41,313,1.52
41,323,1.53
41,333,1.52
41,343,1.49
41,353,1.49
41,363,1.5
41,373,1.49
41,383,1.48
41,393,1.51
41,403,1.52
41,413,1.53
41,423,1.56
41,433,1.54
41,443,1.52
41,453,1.49
41,463,1.48
41,473,1.48
41,483,1.48
41,493,1.51
41,500,1.51
46,153,1.55
46,163,1.56
46,173,1.56
46,183,1.55
46,193,1.54
46,203,1.55
46,213,1.56
46,223,1.54
46,233,1.54
46,243,1.55
46,253,1.55
46,263,1.55
46,273,1.55
46,283,1.54
46,293,1.54
46,303,1.54
46,313,1.55
46,323,1.55
46,333,1.54
46,343,1.5
46,353,1.49
46,363,1.49
46,373,1.48
46,383,1.49
46,393,1.52
46,403,1.53
46,413,1.55
46,423,1.59
46,433,1.57
46,443,1.54
46,453,1.51
46,463,1.51
46,473,1.5
46,483,1.5
46,493,1.53
46,500,1.52
51,153,1.58
51,163,1.59
51,173,1.58
51,183,1.57
51,193,1.56
51,203,1.56
51,213,1.57
51,223,1.55
51,233,1.56
51,243,1.57
51,253,1.57
51,263,1.57
51,273,1.57
51,283,1.57
51,293,1.57
51,303,1.57
51,313,1.57
51,323,1.57
51,333,1.56
51,343,1.52
51,353,1.48
51,363,1.49
51,373,1.48
51,383,1.51
51,393,1.54
51,403,1.55
51,413,1.58
51,423,1.61
51,433,1.59
51,443,1.56
51,453,1.53
51,463,1.53
51,473,1.53
51,483,1.53
51,493,1.54
51,500,1.53
56,153,1.61
56,163,1.61
56,173,1.6
56,183,1.59
56,193,1.58
56,203,1.57
56,213,1.58
56,223,1.57
56,233,1.59
56,243,1.6
56,253,1.6
56,263,1.6
56,273,1.6
56,283,1.6
56,293,1.59
56,303,1.59
56,313,1.59
56,323,1.58
56,333,1.58
56,343,1.54
