bri,mired,watt
1,153,1.07
1,159,1.07
1,165,1.07
1,171,1.07
1,177,1.07
1,183,1.07
1,189,1.07
1,195,1.07
1,201,1.07
1,207,1.07
1,213,1.07
1,219,1.07
1,225,1.07
1,231,1.07
1,237,1.07
1,243,1.07
1,249,1.07
1,255,1.07
1,261,1.07
1,267,1.07
1,273,1.07
1,279,1.07
1,285,1.07
1,291,1.07
1,297,1.07
1,303,1.07
1,309,1.07
1,315,1.14
1,321,1.14
1,327,1.14
1,333,1.14
1,339,1.07
1,345,1.07
1,351,1.07
1,357,1.07
1,363,1.07
1,369,1.07
1,375,1.07
1,381,1.07
1,387,1.07
1,393,1.07
1,399,1.07
1,405,1.07
1,411,1.07
1,417,1.07
1,423,1.07
1,429,1.07
1,435,1.07
1,441,1.07
1,447,1.07
1,453,1.07
1,459,1.07
1,465,1.07
1,471,1.07
1,477,1.07
1,483,1.07
1,489,1.07
1,495,1.07
6,153,1.07
6,159,1.07
6,165,1.07
6,171,1.07
6,177,1.07
6,183,1.07
6,189,1.07
6,195,1.07
6,201,1.07
6,207,1.07
6,213,1.14
6,219,1.14
6,225,1.14
6,231,1.14
6,237,1.07
6,243,1.07
6,249,1.07
6,255,1.07
6,261,1.07
6,267,1.07
6,273,1.07
6,279,1.14
6,285,1.14
6,291,1.14
6,297,1.07
6,303,1.07
6,309,1.07
6,315,1.07
6,321,1.07
6,327,1.07
6,333,1.07
6,339,1.07
6,345,1.07
6,351,1.07
6,357,1.07
6,363,1.07
6,369,1.07
6,375,1.07
6,381,1.07
6,387,1.07
6,393,1.07
6,399,1.07
6,405,1.07
6,411,1.07
6,417,1.14
6,423,1.14
6,429,1.14
6,435,1.14
6,441,1.07
6,447,1.07
6,453,1.07
6,459,1.14
6,465,1.14
6,471,1.14
6,477,1.14
6,483,1.14
6,489,1.14
6,495,1.14
11,153,1.14
11,159,1.14
11,165,1.14
11,171,1.14
11,177,1.14
11,183,1.14
11,189,1.14
11,195,1.14
11,201,1.14
11,207,1.14
11,213,1.14
11,219,1.14
11,225,1.14
11,231,1.14
11,237,1.14
11,243,1.14
11,249,1.14
11,255,1.14
11,261,1.14
11,267,1.14
11,273,1.14
11,279,1.14
11,285,1.14
11,291,1.14
11,297,1.14
11,303,1.14
11,309,1.14
11,315,1.14
11,321,1.14
11,327,1.14
11,333,1.14
11,339,1.14
11,345,1.14
11,351,1.14
11,357,1.14
11,363,1.14
11,369,1.14
11,375,1.07
11,381,1.07
11,387,1.07
11,393,1.07
11,399,1.14
11,405,1.14
11,411,1.14
11,417,1.07
11,423,1.07
11,429,1.07
11,435,1.14
11,441,1.14
11,447,1.14
11,453,1.14
11,459,1.07
11,465,1.07
11,471,1.07
11,477,1.07
11,483,1.07
11,489,1.07
11,495,1.07
16,153,1.07
16,159,1.07
16,165,1.07
16,171,1.14
16,177,1.14
16,183,1.14
16,189,1.14
16,195,1.14
16,201,1.14
16,207,1.14
16,213,1.21
16,219,1.21
16,225,1.21
16,231,1.21
16,237,1.21
16,243,1.21
16,249,1.21
16,255,1.21
16,261,1.21
16,267,1.21
16,273,1.21
16,279,1.21
16,285,1.21
16,291,1.21
16,297,1.21
16,303,1.21
16,309,1.21
16,315,1.21
16,321,1.21
16,327,1.21
16,333,1.21
16,339,1.21
16,345,1.21
16,351,1.21
16,357,1.21
16,363,1.21
16,369,1.21
16,375,1.14
16,381,1.14
16,387,1.14
16,393,1.14
16,399,1.14
16,405,1.14
16,411,1.14
16,417,1.21
16,423,1.21
16,429,1.21
16,435,1.14
16,441,1.14
16,447,1.14
16,453,1.14
16,459,1.14
16,465,1.14
16,471,1.14
16,477,1.14
16,483,1.14
16,489,1.14
16,495,1.14
21,153,1.14
21,159,1.14
21,165,1.14
21,171,1.21
21,177,1.21
21,183,1.21
21,189,1.21
21,195,1.28
21,201,1.28
21,207,1.28
21,213,1.28
21,219,1.28
21,225,1.28
21,231,1.28
21,237,1.28
21,243,1.28
21,249,1.28
21,255,1.28
21,261,1.28
21,267,1.28
21,273,1.28
21,279,1.28
21,285,1.28
21,291,1.35
21,297,1.35
21,303,1.35
21,309,1.35
21,315,1.28
21,321,1.28
21,327,1.28
21,333,1.28
21,339,1.28
21,345,1.28
21,351,1.28
21,357,1.28
21,363,1.28
21,369,1.28
21,375,1.21
21,381,1.21
21,387,1.21
21,393,1.21
21,399,1.21
21,405,1.21
21,411,1.21
21,417,1.21
21,423,1.21
21,429,1.21
21,435,1.21
21,441,1.21
21,447,1.21
21,453,1.21
21,459,1.21
21,465,1.21
21,471,1.21
21,477,1.21
21,483,1.21
21,489,1.21
21,495,1.14
26,153,1.14
26,159,1.14
26,165,1.14
26,171,1.28
26,177,1.28
26,183,1.28
26,189,1.28
26,195,1.35
26,201,1.35
26,207,1.35
26,213,1.35
26,219,1.35
26,225,1.35
26,231,1.43
26,237,1.43
26,243,1.43
26,249,1.43
26,255,1.35
26,261,1.35
26,267,1.35
26,273,1.43
26,279,1.43
26,285,1.43
26,291,1.35
26,297,1.35
26,303,1.35
26,309,1.35
26,315,1.35
26,321,1.35
26,327,1.35
26,333,1.43
26,339,1.43
26,345,1.43
26,351,1.43
26,357,1.28
26,363,1.28
26,369,1.28
26,375,1.35
26,381,1.35
26,387,1.35
26,393,1.28
26,399,1.28
26,405,1.28
26,411,1.28
26,417,1.28
26,423,1.28
26,429,1.28
26,435,1.28
26,441,1.28
26,447,1.28
26,453,1.28
26,459,1.28
26,465,1.28
26,471,1.28
26,477,1.28
26,483,1.28
26,489,1.28
26,495,1.28
31,153,1.21
31,159,1.21
31,165,1.21
31,171,1.43
31,177,1.43
31,183,1.43
31,189,1.43
31,195,1.43
31,201,1.43
31,207,1.43
31,213,1.5
31,219,1.5
31,225,1.5
31,231,1.5
31,237,1.5
31,243,1.5
31,249,1.5
31,255,1.5
31,261,1.5
31,267,1.5
31,273,1.5
31,279,1.5
31,285,1.5
31,291,1.5
31,297,1.57
31,303,1.57
31,309,1.57
31,315,1.5
31,321,1.5
31,327,1.5
31,333,1.5
31,339,1.5
31,345,1.5
31,351,1.5
31,357,1.43
31,363,1.43
31,369,1.43
31,375,1.43
31,381,1.43
31,387,1.43
31,393,1.43
31,399,1.43
31,405,1.43
31,411,1.43
31,417,1.35
31,423,1.35
31,429,1.35
31,435,1.35
31,441,1.35
31,447,1.35
31,453,1.35
31,459,1.35
