effect,bri,watt
off,5,0.19
off,45,0.29
off,85,0.57
off,125,1.01
off,165,1.64
off,205,2.38
off,245,3.33
off,255,3.59
candle,5,0.22
candle,45,0.32
candle,85,0.45
candle,125,0.86
candle,165,1.3
candle,205,1.87
candle,245,2.58
candle,255,2.75
sparkle,5,0.24
sparkle,45,0.26
sparkle,85,0.31
sparkle,125,0.41
sparkle,165,0.55
sparkle,205,0.69
sparkle,245,0.95
sparkle,255,1.02
glisten,5,0.24
glisten,45,0.29
glisten,85,0.43
glisten,125,0.66
glisten,165,0.97
glisten,205,1.27
glisten,245,1.79
glisten,255,1.84
sunrise,5,0.18
sunrise,45,0.18
sunrise,85,0.18
sunrise,125,0.18
sunrise,165,0.19
sunrise,205,0.18
sunrise,245,0.18
sunrise,255,0.18
sunset,5,0.18
sunset,45,0.23
sunset,85,0.32
sunset,125,0.48
sunset,165,0.72
sunset,205,1.0
sunset,245,1.34
sunset,255,1.45
