bri,mired,watt
1,150,0.7
1,160,0.7
1,170,0.6
1,180,0.7
1,190,0.7
1,200,0.7
1,210,0.6
1,220,0.6
1,230,0.7
1,240,0.75
1,250,0.7
1,260,0.65
1,270,0.65
1,280,0.65
1,290,0.6
1,300,0.7
1,310,0.6
1,320,0.6
1,330,0.7
1,340,0.7
1,350,0.6
1,360,0.7
1,370,0.7
1,380,0.7
1,390,0.8
1,400,0.65
1,410,0.7
1,420,0.7
1,430,0.7
1,440,0.7
1,450,0.7
1,460,0.7
1,470,0.7
1,480,0.6
1,490,0.6
1,500,0.6
6,150,0.65
6,160,0.65
6,170,0.65
6,180,0.7
6,190,0.7
6,200,0.65
6,210,0.6
6,220,0.6
6,230,0.6
6,240,0.7
6,250,0.65
6,260,0.65
6,270,0.65
6,280,0.6
6,290,0.8
6,300,0.75
6,310,0.7
6,320,0.7
6,330,0.7
6,340,0.65
6,350,0.7
6,360,0.7
6,370,0.75
6,380,0.6
6,390,0.7
6,400,0.75
6,410,0.75
6,420,0.65
6,430,0.65
6,440,0.65
6,450,0.75
6,460,0.8
6,470,0.7
6,480,0.7
6,490,0.7
6,500,0.55
11,150,0.7
11,160,0.7
11,170,0.65
11,180,0.65
11,190,0.65
11,200,0.6
11,210,0.75
11,220,0.7
11,230,0.7
11,240,0.75
11,250,0.75
11,260,0.75
11,270,0.65
11,280,0.65
11,290,0.7
11,300,0.7
11,310,0.7
11,320,0.75
11,330,0.7
11,340,0.7
11,350,0.65
11,360,0.6
11,370,0.7
11,380,0.7
11,390,0.7
11,400,0.65
11,410,0.75
11,420,0.65
11,430,0.75
11,440,0.75
11,450,0.6
11,460,0.75
11,470,0.65
11,480,0.7
11,490,0.75
11,500,0.55
16,150,0.75
16,160,0.7
16,170,0.6
16,180,0.75
16,190,0.75
16,200,0.65
16,210,0.6
16,220,0.8
16,230,0.65
16,240,0.65
16,250,0.7
16,260,0.75
16,270,0.75
16,280,0.7
16,290,0.75
16,300,0.7
16,310,0.8
16,320,0.75
16,330,0.75
16,340,0.75
16,350,0.65
16,360,0.7
16,370,0.65
16,380,0.65
16,390,0.7
16,400,0.7
16,410,0.6
16,420,0.75
16,430,0.75
16,440,0.75
16,450,0.75
16,460,0.65
16,470,0.7
16,480,0.7
16,490,0.7
16,500,0.7
21,150,0.7
21,160,0.65
21,170,0.7
21,180,0.7
21,190,0.7
21,200,0.65
21,210,0.7
21,220,0.75
21,230,0.7
21,240,0.65
21,250,0.65
21,260,0.7
21,270,0.7
21,280,0.7
21,290,0.75
21,300,0.75
21,310,0.6
21,320,0.75
21,330,0.75
21,340,0.8
21,350,0.8
21,360,0.8
21,370,0.7
21,380,0.7
21,390,0.65
21,400,0.65
21,410,0.7
21,420,0.7
21,430,0.7
21,440,0.7
21,450,0.7
21,460,0.75
21,470,0.7
21,480,0.8
21,490,0.75
21,500,0.7
26,150,0.65
26,160,0.7
26,170,0.7
26,180,0.75
26,190,0.75
26,200,0.75
26,210,0.8
26,220,0.75
26,230,0.9
26,240,0.75
26,250,0.75
26,260,0.75
26,270,0.65
26,280,0.7
26,290,0.65
26,300,0.75
26,310,0.75
26,320,0.75
26,330,0.7
26,340,0.8
26,350,0.75
26,360,0.75
26,370,0.7
26,380,0.7
26,390,0.7
26,400,0.65
26,410,0.75
26,420,0.75
26,430,0.65
26,440,0.75
26,450,0.7
26,460,0.7
26,470,0.7
26,480,0.6
26,490,0.7
26,500,0.75
31,150,0.8
31,160,0.8
31,170,0.75
31,180,0.6
31,190,0.75
31,200,0.75
31,210,0.75
31,220,0.8
31,230,0.8
31,240,0.8
31,250,0.75
31,260,0.75
31,270,0.75
31,280,0.8
31,290,0.75
31,300,0.8
31,310,0.7
31,320,0.7
31,330,0.8
31,340,0.75
31,350,0.75
31,360,0.75
31,370,0.7
31,380,0.7
31,390,0.7
31,400,0.8
31,410,0.8
31,420,0.8
31,430,0.75
31,440,0.75
31,450,0.8
31,460,0.7
31,470,0.7
31,480,0.8
31,490,0.75
31,500,0.7
36,150,0.75
36,160,0.7
36,170,0.7
36,180,0.7
36,190,0.75
36,200,0.75
36,210,0.7
36,220,0.7
36,230,0.8
36,240,0.7
36,250,0.75
36,260,0.85
36,270,0.85
36,280,0.85
36,290,0.75
36,300,0.8
36,310,0.8
36,320,0.85
36,330,0.8
36,340,0.85
36,350,0.8
36,360,0.75
36,370,0.7
36,380,0.7
36,390,0.85
36,400,0.75
36,410,0.7
36,420,0.7
36,430,0.75
36,440,0.85
36,450,0.8
36,460,0.8
36,470,0.8
36,480,0.7
36,490,0.75
36,500,0.75
41,150,0.75
41,160,0.75
41,170,0.75
41,180,0.75
41,190,0.8
41,200,0.85
41,210,0.8
41,220,0.75
41,230,0.75
41,240,0.8
41,250,0.9
41,260,0.85
41,270,0.85
41,280,0.85
41,290,0.75
41,300,0.75
41,310,0.9
41,320,0.8
41,330,0.8
41,340,0.75
41,350,0.75
41,360,0.75
41,370,0.85
41,380,0.85
41,390,0.7
41,400,0.85
41,410,0.8
41,420,0.9
41,430,0.85
41,440,0.9
41,450,0.85
41,460,0.7
41,470,0.75
41,480,0.75
41,490,0.8
41,500,0.8
46,150,0.8
46,160,0.75
46,170,0.75
46,180,0.85
46,190,1.0
46,200,0.75
46,210,0.8
46,220,0.85
46,230,0.9
46,240,0.9
46,250,0.9
46,260,0.85
46,270,0.75
46,280,0.75
46,290,0.85
46,300,0.85
46,310,0.95
46,320,0.85
46,330,0.85
46,340,0.85
46,350,0.85
46,360,0.9
46,370,0.8
46,380,0.8
46,390,0.8
46,400,0.75
46,410,0.9
46,420,0.9
46,430,0.95
46,440,0.9
46,450,0.8
46,460,0.75
46,470,0.85
46,480,0.7
46,490,0.7
46,500,0.75
51,150,0.8
51,160,0.8
51,170,0.8
51,180,0.8
51,190,0.75
51,200,0.95
51,210,0.85
51,220,0.85
51,230,0.9
51,240,0.9
51,250,0.9
51,260,0.95
51,270,1.0
51,280,1.0
51,290,0.9
51,300,0.9
51,310,0.9
51,320,0.85
51,330,0.9
51,340,0.9
51,350,0.95
51,360,1.05
51,370,0.9
51,380,0.95
51,390,0.95
51,400,0.85
51,410,0.95
51,420,0.85
51,430,0.85
51,440,0.85
51,450,0.85
51,460,0.8
51,470,0.75
51,480,0.9
51,490,0.8
51,500,0.8
56,150,0.75
56,160,0.9
56,170,0.85
56,180,0.85
56,190,0.85
56,200,0.9
56,210,0.95
56,220,0.9
56,230,1.05
56,240,0.95
56,250,0.95
56,260,1.0
56,270,1.0
56,280,1.0
56,290,1.0
56,300,0.85
56,310,1.05
56,320,0.95
56,330,0.85
56,340,1.1
56,350,1.1
56,360,0.9
56,370,1.0
56,380,0.9
56,390,0.9
56,400,0.9
56,410,1.0
56,420,1.0
56,430,0.9
56,440,0.9
56,450,0.9
56,460,0.95
56,470,0.9
56,480,0.9
56,490,0.9
56,500,0.9
61,150,0.9
61,160,0.9
61,170,0.9
61,180,0.95
61,190,0.9
61,200,0.9
61,210,0.9
61,220,0.9
61,230,1.0
61,240,1.0
61,250,1.0
61,260,1.0
61,270,1.15
61,280,0.95
61,290,1.1
61,300,1.1
61,310,1.0
61,320,1.1
61,330,1.0
61,340,1.15
61,350,1.05
61,360,0.95
61,370,0.9
61,380,0.9
61,390,0.95
61,400,0.95
61,410,0.95
61,420,1.0
61,430,1.0
61,440,1.0
61,450,0.9
61,460,0.9
61,470,0.85
61,480,0.9
61,490,0.9
61,500,0.85
66,150,0.9
66,160,0.85
66,170,1.0
66,180,1.0
66,190,1.0
66,200,1.0
66,210,1.0
66,220,1.15
66,230,1.15
66,240,1.15
66,250,1.05
66,260,1.05
66,270,1.15
66,280,1.0
66,290,1.1
66,300,1.1
66,310,1.1
66,320,1.1
66,330,1.0
66,340,1.1
66,350,1.1
66,360,1.1
66,370,1.0
66,380,1.15
66,390,0.95
66,400,1.0
66,410,1.0
66,420,1.0
66,430,1.0
66,440,1.0
66,450,1.0
66,460,0.85
66,470,0.85
66,480,1.0
66,490,1.0
66,500,0.85
71,150,0.9
71,160,0.9
71,170,0.9
71,180,1.05
71,190,0.95
71,200,1.1
71,210,1.2
71,220,1.2
71,230,1.05
71,240,1.2
71,250,1.2
71,260,1.2
71,270,1.2
71,280,1.05
71,290,1.25
71,300,1.05
71,310,1.25
71,320,1.1
71,330,1.1
71,340,1.1
71,350,1.25
71,360,1.1
71,370,1.1
71,380,1.1
71,390,1.0
71,400,1.1
71,410,1.1
71,420,1.1
71,430,1.1
71,440,1.1
71,450,1.0
71,460,1.0
71,470,1.0
71,480,1.0
71,490,1.0
71,500,0.9
76,150,0.95
76,160,1.0
76,170,1.0
76,180,1.0
76,190,1.15
76,200,1.05
76,210,1.05
76,220,1.05
76,230,1.25
76,240,1.25
76,250,1.35
76,260,1.35
76,270,1.35
76,280,1.25
76,290,1.25
76,300,1.25
76,310,1.35
76,320,1.15
76,330,1.15
76,340,1.35
76,350,1.2
76,360,1.2
76,370,1.2
76,380,1.2
76,390,1.2
76,400,1.05
76,410,1.15
76,420,1.15
76,430,1.15
76,440,1.15
76,450,1.05
76,460,1.05
76,470,1.05
76,480,0.9
76,490,0.9
76,500,1.1
81,150,1.1
81,160,1.1
81,170,1.1
81,180,1.1
81,190,1.2
81,200,1.2
81,210,1.2
81,220,1.35
81,230,1.25
81,240,1.25
81,250,1.35
81,260,1.35
81,270,1.45
81,280,1.45
81,290,1.45
81,300,1.3
81,310,1.4
81,320,1.25
81,330,1.35
81,340,1.35
81,350,1.2
81,360,1.3
81,370,1.1
81,380,1.1
81,390,1.1
81,400,1.3
81,410,1.3
81,420,1.1
81,430,1.1
81,440,1.1
81,450,1.25
81,460,1.15
81,470,1.15
81,480,1.15
81,490,1.15
81,500,1.15
86,150,1.15
86,160,1.05
86,170,1.05
86,180,1.15
86,190,1.15
86,200,1.15
86,210,1.15
86,220,1.35
86,230,1.35
86,240,1.35
86,250,1.35
86,260,1.5
86,270,1.4
86,280,1.4
86,290,1.4
86,300,1.4
86,310,1.5
86,320,1.35
86,330,1.35
86,340,1.5
86,350,1.5
86,360,1.5
86,370,1.3
86,380,1.4
86,390,1.25
86,400,1.25
86,410,1.25
86,420,1.4
86,430,1.1
86,440,1.2
86,450,1.15
86,460,1.15
86,470,1.15
86,480,1.25
86,490,1.25
86,500,1.25
91,150,1.1
91,160,1.1
91,170,1.2
91,180,1.3
91,190,1.15
91,200,1.15
91,210,1.4
91,220,1.25
91,230,1.55
91,240,1.55
91,250,1.55
91,260,1.65
91,270,1.65
91,280,1.65
91,290,1.4
91,300,1.4
91,310,1.4
91,320,1.3
91,330,1.3
91,340,1.3
91,350,1.4
91,360,1.4
91,370,1.4
91,380,1.4
91,390,1.4
91,400,1.5
91,410,1.5
91,420,1.4
91,430,1.25
91,440,1.35
91,450,1.35
91,460,1.35
91,470,1.2
91,480,1.3
91,490,1.3
91,500,1.3
96,150,1.15
96,160,1.25
96,170,1.25
96,180,1.25
96,190,1.35
96,200,1.35
96,210,1.45
96,220,1.55
96,230,1.55
96,240,1.55
96,250,1.65
96,260,1.65
96,270,1.65
96,280,1.45
96,290,1.6
96,300,1.6
96,310,1.75
96,320,1.55
96,330,1.55
96,340,1.55
96,350,1.45
