bri,mired,watt
1,153,0.38
1,163,0.39
1,173,0.39
1,183,0.4
1,193,0.45
1,203,0.52
1,213,0.46
1,223,0.4
1,233,0.46
1,243,0.43
1,253,0.4
1,263,0.44
1,273,0.42
1,283,0.43
1,293,0.46
1,303,0.38
1,313,0.42
1,323,0.43
1,333,0.41
1,343,0.42
1,353,0.43
1,363,0.43
1,373,0.35
1,383,0.43
1,393,0.42
1,403,0.4
1,413,0.39
1,423,0.4
1,433,0.4
1,443,0.35
1,453,0.4
1,454,0.41
6,153,0.45
6,163,0.37
6,173,0.42
6,183,0.42
6,193,0.41
6,203,0.37
6,213,0.42
6,223,0.48
6,233,0.41
6,243,0.46
6,253,0.48
6,263,0.52
6,273,0.41
6,283,0.46
6,293,0.43
6,303,0.44
6,313,0.46
6,323,0.43
6,333,0.41
6,343,0.46
6,353,0.41
6,363,0.4
6,373,0.44
6,383,0.42
6,393,0.45
6,403,0.45
6,413,0.4
6,423,0.44
6,433,0.42
6,443,0.41
6,453,0.46
6,454,0.4
11,153,0.42
11,163,0.51
11,173,0.49
11,183,0.47
11,193,0.45
11,203,0.54
11,213,0.51
11,223,0.55
11,233,0.5
11,243,0.54
11,253,0.55
11,263,0.57
11,273,0.56
11,283,0.55
11,293,0.52
11,303,0.52
11,313,0.54
11,323,0.51
11,333,0.49
11,343,0.51
11,353,0.48
11,363,0.46
11,373,0.47
11,383,0.47
11,393,0.48
11,403,0.46
11,413,0.47
11,423,0.43
11,433,0.47
11,443,0.5
11,453,0.46
11,454,0.48
16,153,0.56
16,163,0.56
16,173,0.54
16,183,0.57
16,193,0.6
16,203,0.61
16,213,0.62
16,223,0.67
16,233,0.68
16,243,0.75
16,253,0.76
16,263,0.72
16,273,0.73
16,283,0.71
16,293,0.67
16,303,0.68
16,313,0.68
16,323,0.71
16,333,0.64
16,343,0.59
16,353,0.56
16,363,0.54
16,373,0.55
16,383,0.54
16,393,0.53
16,403,0.55
16,413,0.52
16,423,0.55
16,433,0.56
16,443,0.56
16,453,0.58
16,454,0.56
21,153,0.65
21,163,0.74
21,173,0.73
21,183,0.73
21,193,0.78
21,203,0.79
21,213,0.8
21,223,0.82
21,233,0.83
21,243,0.89
21,253,0.92
21,263,0.94
21,273,0.93
21,283,0.88
21,293,0.84
21,303,0.84
21,313,0.77
21,323,0.82
21,333,0.77
21,343,0.76
21,353,0.74
21,363,0.74
21,373,0.76
21,383,0.71
21,393,0.69
21,403,0.7
21,413,0.74
21,423,0.71
21,433,0.7
21,443,0.69
21,453,0.69
21,454,0.67
26,153,0.76
26,163,0.86
26,173,0.86
26,183,0.9
26,193,0.9
26,203,0.95
26,213,1.0
26,223,1.05
26,233,1.14
26,243,1.15
26,253,1.19
26,263,1.15
26,273,1.15
26,283,1.08
26,293,1.01
26,303,0.99
26,313,0.96
26,323,0.98
26,333,0.95
26,343,0.92
26,353,0.92
26,363,0.86
26,373,0.81
26,383,0.87
26,393,0.84
26,403,0.85
26,413,0.83
26,423,0.78
26,433,0.78
26,443,0.81
26,453,0.83
26,454,0.82
31,153,0.96
31,163,0.95
31,173,1.0
31,183,1.12
31,193,1.15
31,203,1.17
31,213,1.26
31,223,1.32
31,233,1.33
31,243,1.44
31,253,1.48
31,263,1.46
31,273,1.44
31,283,1.35
31,293,1.28
31,303,1.25
31,313,1.22
31,323,1.15
31,333,1.15
31,343,1.12
31,353,1.08
31,363,1.02
31,373,1.01
31,383,1.02
31,393,0.99
31,403,1.01
31,413,0.89
31,423,0.95
31,433,0.95
31,443,0.93
31,453,0.98
31,454,0.99
36,153,1.19
36,163,1.21
36,173,1.27
36,183,1.34
36,193,1.31
36,203,1.4
36,213,1.48
36,223,1.56
36,233,1.61
36,243,1.71
36,253,1.84
36,263,1.73
36,273,1.67
36,283,1.65
36,293,1.6
36,303,1.52
36,313,1.44
36,323,1.4
36,333,1.38
36,343,1.34
36,353,1.31
36,363,1.27
36,373,1.26
36,383,1.23
36,393,1.21
36,403,1.29
36,413,1.21
36,423,1.15
36,433,1.15
36,443,1.15
36,453,1.14
36,454,1.15
41,153,1.37
41,163,1.41
41,173,1.47
41,183,1.51
41,193,1.54
41,203,1.65
41,213,1.71
41,223,1.79
41,233,1.81
41,243,2.06
41,253,2.09
41,263,2.08
41,273,1.98
41,283,1.85
41,293,1.88
41,303,1.76
41,313,1.74
41,323,1.62
41,333,1.65
41,343,1.5
41,353,1.51
41,363,1.46
41,373,1.47
41,383,1.42
41,393,1.4
41,403,1.4
41,413,1.35
41,423,1.37
41,433,1.31
41,443,1.31
41,453,1.35
41,454,1.32
46,153,1.59
46,163,1.63
46,173,1.68
46,183,1.75
46,193,1.75
46,203,1.89
46,213,1.95
46,223,2.09
46,233,2.3
46,243,2.42
46,253,2.56
46,263,2.5
46,273,2.33
46,283,2.13
46,293,2.13
46,303,1.98
46,313,2.0
46,323,1.94
46,333,1.79
46,343,1.8
46,353,1.84
46,363,1.71
46,373,1.71
46,383,1.69
46,393,1.65
46,403,1.6
46,413,1.62
46,423,1.58
46,433,1.54
46,443,1.56
46,453,1.52
46,454,1.49
51,153,1.69
51,163,1.81
51,173,1.9
51,183,1.96
51,193,2.02
51,203,2.21
51,213,2.33
51,223,2.47
51,233,2.6
51,243,2.92
51,253,3.04
51,263,2.93
51,273,2.78
51,283,2.65
51,293,2.48
51,303,2.37
51,313,2.27
51,323,2.27
51,333,2.05
51,343,1.96
51,353,1.94
51,363,1.94
51,373,1.91
51,383,1.95
51,393,1.81
51,403,1.77
51,413,1.85
51,423,1.81
51,433,1.76
51,443,1.75
51,453,1.79
51,454,1.82
56,153,2.06
56,163,2.13
56,173,2.25
56,183,2.42
56,193,2.49
56,203,2.62
56,213,2.73
56,223,2.91
56,233,3.09
56,243,3.25
56,253,3.5
56,263,3.4
56,273,3.2
56,283,3.02
56,293,2.88
56,303,2.79
56,313,2.7
56,323,2.54
56,333,2.49
56,343,2.46
56,353,2.38
56,363,2.26
56,373,2.19
56,383,2.16
56,393,2.08
56,403,2.09
56,413,2.06
56,423,1.96
56,433,1.99
56,443,1.94
56,453,2.02
56,454,1.92
61,153,2.4
61,163,2.42
61,173,2.5
61,183,2.65
61,193,2.77
61,203,2.93
61,213,3.16
61,223,3.38
61,233,3.54
61,243,3.81
61,253,3.96
61,263,3.9
61,273,3.65
61,283,3.49
61,293,3.33
61,303,3.17
61,313,3.06
61,323,2.88
61,333,2.84
61,343,2.73
61,353,2.61
61,363,2.54
61,373,2.48
61,383,2.52
61,393,2.45
61,403,2.44
61,413,2.31
61,423,2.29
61,433,2.26
61,443,2.23
61,453,2.19
61,454,2.26
66,153,2.72
66,163,2.84
66,173,2.85
66,183,3.05
66,193,3.19
66,203,3.35
66,213,3.58
66,223,3.77
66,233,4.01
66,243,4.29
66,253,4.58
66,263,4.43
66,273,4.15
66,283,3.94
66,293,3.74
66,303,3.54
66,313,3.42
66,323,3.31
66,333,3.18
66,343,3.13
66,353,2.99
66,363,2.9
66,373,2.94
66,383,2.79
66,393,2.76
66,403,2.71
66,413,2.65
66,423,2.64
66,433,2.55
66,443,2.53
66,453,2.54
66,454,2.5
71,153,3.06
71,163,3.05
71,173,3.25
71,183,3.39
71,193,3.55
71,203,3.77
71,213,3.93
71,223,4.2
71,233,4.43
71,243,4.68
71,253,5.22
71,263,5.0
71,273,4.67
71,283,4.38
71,293,4.17
71,303,4.04
71,313,3.86
71,323,3.75
71,333,3.62
71,343,3.48
71,353,3.38
71,363,3.29
71,373,3.23
71,383,3.15
71,393,3.1
71,403,3.04
71,413,3.0
71,423,2.95
71,433,2.88
71,443,2.88
71,453,2.87
71,454,2.83
76,153,3.42
76,163,3.5
76,173,3.62
76,183,3.79
76,193,4.06
76,203,4.22
76,213,4.48
76,223,4.76
76,233,5.06
76,243,5.32
76,253,5.67
76,263,5.64
76,273,5.35
76,283,5.08
76,293,4.66
76,303,4.42
76,313,4.29
76,323,4.15
76,333,4.0
76,343,3.89
76,353,3.78
76,363,3.67
76,373,3.59
76,383,3.51
76,393,3.45
76,403,3.38
76,413,3.29
76,423,3.29
76,433,3.19
76,443,3.17
76,453,3.17
76,454,3.22
81,153,3.73
81,163,3.93
81,173,4.06
81,183,4.21
81,193,4.52
81,203,4.77
81,213,5.0
81,223,5.23
81,233,5.6
81,243,5.95
81,253,6.5
81,263,6.21
81,273,5.73
81,283,5.44
81,293,5.23
81,303,4.99
81,313,4.76
81,323,4.58
81,333,4.45
81,343,4.25
81,353,4.18
81,363,4.03
81,373,4.04
81,383,3.87
81,393,3.87
81,403,3.73
81,413,3.66
81,423,3.67
81,433,3.57
81,443,3.52
81,453,3.5
81,454,3.52
86,153,4.15
86,163,4.32
86,173,4.49
86,183,4.71
86,193,4.97
86,203,5.23
86,213,5.57
86,223,5.89
86,233,6.26
86,243,6.67
86,253,7.12
86,263,6.92
86,273,6.55
86,283,6.22
86,293,5.81
86,303,5.58
86,313,5.39
86,323,5.08
86,333,4.94
86,343,4.75
86,353,4.56
86,363,4.43
86,373,4.36
86,383,4.3
86,393,4.23
86,403,4.17
86,413,4.06
86,423,4.0
86,433,3.92
86,443,3.9
86,453,3.86
86,454,3.85
91,153,4.58
91,163,4.57
91,173,4.83
91,183,5.12
91,193,5.42
91,203,5.74
91,213,6.14
91,223,6.54
91,233,6.95
91,243,7.36
91,253,7.89
91,263,7.52
91,273,7.18
91,283,6.79
91,293,6.39
91,303,6.06
91,313,5.8
91,323,5.5
91,333,5.33
91,343,5.2
91,353,5.09
91,363,5.0
91,373,4.79
91,383,4.74
91,393,4.62
91,403,4.54
91,413,4.5
91,423,4.38
91,433,4.36
91,443,4.25
91,453,4.28
91,454,4.28
96,153,4.97
96,163,5.15
96,173,5.35
96,183,5.62
96,193,6.04
96,203,6.36
96,213,6.75
96,223,7.13
96,233,7.51
96,243,8.11
96,253,8.65
96,263,8.31
96,273,7.82
96,283,7.45
96,293,7.02
96,303,6.77
96,313,6.47
96,323,6.19
96,333,5.97
96,343,5.76
96,353,5.54
96,363,5.36
96,373,5.24
96,383,5.17
96,393,5.1
96,403,4.96
96,413,4.9
96,423,4.78
96,433,4.79
96,443,4.63
96,453,4.65
96,454,4.63
101,153,5.36
101,163,5.57
101,173,5.82
101,183,6.11
101,193,6.48
101,203,6.79
101,213,7.2
101,223,7.72
101,233,8.26
101,243,8.82
101,253,9.41
101,263,9.01
101,273,8.5
101,283,7.98
101,293,7.66
101,303,7.28
101,313,7.02
101,323,6.72
101,333,6.46
101,343,6.28
101,353,6.15
101,363,5.92
101,373,5.71
101,383,5.59
101,393,5.46
101,403,5.38
101,413,5.27
101,423,5.21
101,433,5.16
101,443,5.03
101,453,5.07
101,454,5.08
106,153,5.86
106,163,6.11
106,173,6.43
106,183,6.71
106,193,7.11
106,203,7.5
106,213,7.97
106,223,8.43
106,233,8.89
106,243,9.53
106,253,10.16
106,263,9.71
106,273,9.07
106,283,8.63
106,293,8.23
106,303,7.92
106,313,7.62
106,323,7.34
106,333,7.08
106,343,6.89
106,353,6.64
106,363,6.47
