bri,mired,watt
1,153,1.07
1,163,1.06
1,173,1.08
1,183,1.08
1,193,1.08
1,203,1.08
1,213,1.08
1,223,1.08
1,233,1.09
1,243,1.08
1,253,1.09
1,263,1.09
1,273,1.08
1,283,1.09
1,293,1.09
1,303,1.09
1,313,1.09
1,323,1.09
1,333,1.08
1,343,1.09
1,353,1.08
1,363,1.09
1,373,1.09
1,383,1.08
1,393,1.09
1,403,1.09
1,413,1.08
1,423,1.08
1,433,1.09
1,443,1.09
1,453,1.09
1,463,1.09
1,473,1.09
1,483,1.09
1,493,1.09
1,500,1.09
6,153,1.09
6,163,1.09
6,173,1.09
6,183,1.09
6,193,1.09
6,203,1.09
6,213,1.09
6,223,1.09
6,233,1.09
6,243,1.1
6,253,1.1
6,263,1.1
6,273,1.09
6,283,1.09
6,293,1.09
6,303,1.1
6,313,1.09
6,323,1.1
6,333,1.09
6,343,1.09
6,353,1.09
6,363,1.09
6,373,1.09
6,383,1.1
6,393,1.09
6,403,1.09
6,413,1.09
6,423,1.1
6,433,1.1
6,443,1.09
6,453,1.09
6,463,1.09
6,473,1.09
6,483,1.08
6,493,1.1
6,500,1.09
11,153,1.09
11,163,1.09
11,173,1.09
11,183,1.1
11,193,1.11
11,203,1.1
11,213,1.1
11,223,1.12
11,233,1.1
11,243,1.1
11,253,1.12
11,263,1.12
11,273,1.11
11,283,1.1
11,293,1.11
11,303,1.11
11,313,1.1
11,323,1.11
11,333,1.11
11,343,1.1
11,353,1.1
11,363,1.1
11,373,1.11
11,383,1.1
11,393,1.1
11,403,1.11
11,413,1.1
11,423,1.1
11,433,1.1
11,443,1.09
11,453,1.1
11,463,1.1
11,473,1.09
11,483,1.1
11,493,1.09
11,500,1.1
16,153,1.1
16,163,1.1
16,173,1.11
16,183,1.11
16,193,1.11
16,203,1.11
16,213,1.12
16,223,1.12
16,233,1.12
16,243,1.14
16,253,1.13
16,263,1.13
16,273,1.13
16,283,1.13
16,293,1.13
16,303,1.12
16,313,1.12
16,323,1.12
16,333,1.12
16,343,1.12
16,353,1.12
16,363,1.12
16,373,1.11
16,383,1.12
16,393,1.11
16,403,1.11
16,413,1.11
16,423,1.12
16,433,1.11
16,443,1.11
16,453,1.11
16,463,1.11
16,473,1.11
16,483,1.1
16,493,1.1
16,500,1.1
21,153,1.12
21,163,1.12
21,173,1.12
21,183,1.13
21,193,1.13
21,203,1.14
21,213,1.14
21,223,1.15
21,233,1.15
21,243,1.15
21,253,1.15
21,263,1.15
21,273,1.15
21,283,1.15
21,293,1.16
21,303,1.15
21,313,1.14
21,323,1.14
21,333,1.14
21,343,1.13
21,353,1.13
21,363,1.13
21,373,1.14
21,383,1.14
21,393,1.13
21,403,1.13
21,413,1.13
21,423,1.13
21,433,1.13
21,443,1.13
21,453,1.13
21,463,1.12
21,473,1.12
21,483,1.1
21,493,1.11
21,500,1.11
26,153,1.14
26,163,1.15
26,173,1.14
26,183,1.14
26,193,1.16
26,203,1.16
26,213,1.17
26,223,1.18
26,233,1.18
26,243,1.19
26,253,1.19
26,263,1.19
26,273,1.18
26,283,1.18
26,293,1.18
26,303,1.17
26,313,1.17
26,323,1.16
26,333,1.16
26,343,1.16
26,353,1.16
26,363,1.16
26,373,1.16
26,383,1.16
26,393,1.16
26,403,1.15
26,413,1.15
26,423,1.15
26,433,1.15
26,443,1.16
26,453,1.15
26,463,1.14
26,473,1.14
26,483,1.13
26,493,1.13
26,500,1.12
31,153,1.15
31,163,1.16
31,173,1.17
31,183,1.19
31,193,1.2
31,203,1.21
31,213,1.2
31,223,1.22
31,233,1.23
31,243,1.23
31,253,1.24
31,263,1.23
31,273,1.22
31,283,1.22
31,293,1.2
31,303,1.21
31,313,1.2
31,323,1.19
31,333,1.2
31,343,1.2
31,353,1.19
31,363,1.18
31,373,1.18
31,383,1.19
31,393,1.17
31,403,1.18
31,413,1.18
31,423,1.18
31,433,1.18
31,443,1.18
31,453,1.17
31,463,1.17
31,473,1.17
31,483,1.16
31,493,1.15
31,500,1.14
36,153,1.23
36,163,1.25
36,173,1.26
36,183,1.28
36,193,1.29
36,203,1.29
36,213,1.32
36,223,1.32
36,233,1.33
36,243,1.33
36,253,1.33
36,263,1.3
36,273,1.27
36,283,1.27
36,293,1.25
36,303,1.25
36,313,1.26
36,323,1.25
36,333,1.26
36,343,1.24
36,353,1.25
36,363,1.25
36,373,1.25
36,383,1.25
36,393,1.24
36,403,1.24
36,413,1.25
36,423,1.24
36,433,1.24
36,443,1.24
36,453,1.24
36,463,1.21
36,473,1.18
36,483,1.17
36,493,1.17
36,500,1.17
41,153,1.31
41,163,1.33
41,173,1.36
41,183,1.38
41,193,1.39
41,203,1.41
41,213,1.42
41,223,1.43
41,233,1.45
41,243,1.45
41,253,1.45
41,263,1.41
41,273,1.37
41,283,1.37
41,293,1.36
41,303,1.35
41,313,1.34
41,323,1.35
41,333,1.34
41,343,1.34
41,353,1.34
41,363,1.33
41,373,1.33
41,383,1.33
41,393,1.35
41,403,1.33
41,413,1.32
41,423,1.34
41,433,1.34
41,443,1.32
41,453,1.31
41,463,1.29
41,473,1.26
41,483,1.25
41,493,1.22
41,500,1.2
46,153,1.4
46,163,1.44
46,173,1.48
46,183,1.49
46,193,1.53
46,203,1.53
46,213,1.54
46,223,1.56
46,233,1.58
46,243,1.58
46,253,1.58
46,263,1.53
46,273,1.49
46,283,1.48
46,293,1.48
46,303,1.46
46,313,1.46
46,323,1.46
46,333,1.44
46,343,1.45
46,353,1.44
46,363,1.45
46,373,1.44
46,383,1.45
46,393,1.45
46,403,1.45
46,413,1.43
46,423,1.43
46,433,1.44
46,443,1.44
46,453,1.42
46,463,1.39
46,473,1.35
46,483,1.32
46,493,1.29
46,500,1.27
51,153,1.51
51,163,1.56
51,173,1.59
51,183,1.63
51,193,1.66
51,203,1.66
51,213,1.7
51,223,1.7
51,233,1.72
51,243,1.74
51,253,1.73
51,263,1.66
51,273,1.6
51,283,1.61
51,293,1.59
51,303,1.6
51,313,1.58
51,323,1.58
51,333,1.56
51,343,1.57
51,353,1.57
51,363,1.57
51,373,1.57
51,383,1.56
51,393,1.55
51,403,1.56
51,413,1.57
51,423,1.55
51,433,1.55
51,443,1.54
51,453,1.53
51,463,1.5
51,473,1.45
51,483,1.41
51,493,1.38
51,500,1.35
56,153,1.64
56,163,1.7
56,173,1.73
56,183,1.76
56,193,1.8
56,203,1.84
56,213,1.85
56,223,1.86
56,233,1.88
56,243,1.9
56,253,1.91
56,263,1.82
56,273,1.74
56,283,1.74
56,293,1.73
56,303,1.75
56,313,1.72
56,323,1.71
56,333,1.71
56,343,1.7
56,353,1.71
56,363,1.69
56,373,1.7
56,383,1.7
56,393,1.71
56,403,1.7
56,413,1.68
56,423,1.68
56,433,1.68
56,443,1.69
56,453,1.66
56,463,1.6
56,473,1.56
56,483,1.51
56,493,1.47
56,500,1.44
61,153,1.77
61,163,1.79
61,173,1.81
61,183,1.84
61,193,1.89
61,203,1.92
61,213,1.93
61,223,1.98
61,233,2.0
61,243,2.03
61,253,2.05
61,263,1.98
61,273,1.9
61,283,1.9
61,293,1.89
61,303,1.88
61,313,1.88
61,323,1.85
61,333,1.84
61,343,1.85
61,353,1.83
61,363,1.86
61,373,1.85
61,383,1.84
61,393,1.82
61,403,1.83
61,413,1.84
61,423,1.83
61,433,1.83
61,443,1.81
61,453,1.81
61,463,1.72
61,473,1.68
61,483,1.62
61,493,1.57
61,500,1.54
66,153,1.81
66,163,1.84
66,173,1.87
66,183,1.91
66,193,1.95
66,203,1.98
66,213,2.03
66,223,2.05
66,233,2.09
66,243,2.13
66,253,2.17
66,263,2.13
66,273,2.07
66,283,2.07
66,293,2.07
66,303,2.04
66,313,2.02
66,323,2.0
66,333,2.0
66,343,1.98
66,353,1.97
66,363,1.97
66,373,1.97
66,383,1.95
66,393,1.95
66,403,1.94
66,413,1.94
66,423,1.93
66,433,1.92
66,443,1.91
66,453,1.88
66,463,1.87
66,473,1.81
66,483,1.75
66,493,1.69
66,500,1.65
71,153,1.85
71,163,1.89
71,173,1.93
71,183,1.97
71,193,2.02
71,203,2.06
71,213,2.1
71,223,2.15
71,233,2.18
71,243,2.22
71,253,2.27
71,263,2.23
71,273,2.2
71,283,2.18
71,293,2.17
71,303,2.13
71,313,2.1
71,323,2.08
71,333,2.06
71,343,2.06
71,353,2.04
71,363,2.04
71,373,2.02
71,383,2.02
71,393,2.01
71,403,2.01
71,413,1.99
71,423,1.99
71,433,1.98
71,443,1.98
71,453,1.96
71,463,1.93
71,473,1.89
71,483,1.89
71,493,1.8
71,500,1.75
76,153,1.92
76,163,1.95
76,173,2.0
76,183,2.04
76,193,2.1
76,203,2.13
76,213,2.19
76,223,2.23
76,233,2.28
76,243,2.33
76,253,2.37
76,263,2.33
76,273,2.3
76,283,2.28
76,293,2.25
76,303,2.23
76,313,2.2
76,323,2.18
76,333,2.15
76,343,2.15
76,353,2.13
76,363,2.12
76,373,2.12
76,383,2.1
76,393,2.09
76,403,2.07
76,413,2.07
76,423,2.05
76,433,2.03
76,443,2.03
76,453,2.03
76,463,1.99
76,473,1.94
76,483,1.93
76,493,1.89
76,500,1.88
81,153,1.97
81,163,2.01
81,173,2.05
81,183,2.12
81,193,2.17
81,203,2.22
81,213,2.27
81,223,2.33
81,233,2.38
81,243,2.46
81,253,2.48
81,263,2.44
81,273,2.41
81,283,2.38
81,293,2.35
81,303,2.33
81,313,2.29
81,323,2.25
81,333,2.23
81,343,2.22
81,353,2.21
81,363,2.2
81,373,2.17
81,383,2.16
81,393,2.15
81,403,2.14
81,413,2.14
81,423,2.13
81,433,2.12
81,443,2.12
81,453,2.08
81,463,2.04
81,473,2.02
81,483,1.99
81,493,1.93
81,500,1.93
86,153,2.03
86,163,2.07
86,173,2.13
86,183,2.19
86,193,2.24
86,203,2.31
86,213,2.37
86,223,2.42
86,233,2.5
86,243,2.55
86,253,2.6
86,263,2.57
86,273,2.53
86,283,2.5
86,293,2.46
86,303,2.42
86,313,2.38
86,323,2.35
86,333,2.34
86,343,2.33
86,353,2.29
86,363,2.29
86,373,2.27
86,383,2.27
86,393,2.25
86,403,2.23
86,413,2.23
86,423,2.21
86,433,2.18
86,443,2.17
86,453,2.17
86,463,2.12
86,473,2.07
86,483,2.04
86,493,1.99
86,500,1.97
91,153,2.09
91,163,2.15
91,173,2.22
91,183,2.27
91,193,2.35
91,203,2.42
91,213,2.47
91,223,2.55
91,233,2.62
91,243,2.69
91,253,2.75
91,263,2.7
91,273,2.65
91,283,2.61
91,293,2.57
91,303,2.52
91,313,2.5
91,323,2.47
91,333,2.43
91,343,2.42
91,353,2.41
91,363,2.39
91,373,2.37
91,383,2.35
91,393,2.32
91,403,2.3
91,413,2.29
91,423,2.27
91,433,2.27
91,443,2.27
91,453,2.24
91,463,2.17
91,473,2.13
91,483,2.1
91,493,2.06
91,500,2.02
96,153,2.16
96,163,2.22
96,173,2.28
96,183,2.36
96,193,2.45
96,203,2.52
96,213,2.58
96,223,2.66
96,233,2.75
96,243,2.81
96,253,2.88
96,263,2.83
96,273,2.77
96,283,2.74
96,293,2.69
96,303,2.64
96,313,2.6
96,323,2.57
96,333,2.52
96,343,2.51
96,353,2.49
96,363,2.47
96,373,2.46
96,383,2.43
96,393,2.42
96,403,2.4
96,413,2.4
96,423,2.38
96,433,2.37
96,443,2.36
96,453,2.32
96,463,2.26
96,473,2.21
96,483,2.16
96,493,2.12
96,500,2.08
101,153,2.23
101,163,2.29
101,173,2.37
101,183,2.45
101,193,2.54
101,203,2.63
101,213,2.71
101,223,2.78
101,233,2.86
101,243,2.95
101,253,3.03
101,263,2.97
101,273,2.92
101,283,2.87
101,293,2.81
101,303,2.77
101,313,2.72
101,323,2.67
101,333,2.65
101,343,2.62
101,353,2.6
101,363,2.59
101,373,2.56
101,383,2.54
101,393,2.52
101,403,2.5
101,413,2.48
101,423,2.48
101,433,2.47
101,443,2.45
101,453,2.41
101,463,2.35
101,473,2.27
101,483,2.23
101,493,2.17
101,500,2.15
106,153,2.29
106,163,2.38
106,173,2.46
106,183,2.55
106,193,2.64
106,203,2.73
106,213,2.83
106,223,2.92
106,233,3.01
106,243,3.1
106,253,3.19
106,263,3.12
106,273,3.07
106,283,3.01
106,293,2.96
106,303,2.9
106,313,2.85
106,323,2.79
106,333,2.76
106,343,2.73
106,353,2.72
106,363,2.69
106,373,2.67
106,383,2.65
106,393,2.63
106,403,2.6
106,413,2.58
106,423,2.55
106,433,2.55
106,443,2.55
106,453,2.5
106,463,2.42
106,473,2.36
106,483,2.32
106,493,2.24
106,500,2.22
111,153,2.38
111,163,2.47
111,173,2.55
111,183,2.65
111,193,2.75
111,203,2.85
111,213,2.95
111,223,3.05
111,233,3.17
111,243,3.27
111,253,3.35
111,263,3.28
111,273,3.21
111,283,3.15
111,293,3.1
111,303,3.03
111,313,2.97
111,323,2.93
111,333,2.88
111,343,2.85
111,353,2.83
111,363,2.81
111,373,2.79
111,383,2.75
111,393,2.72
111,403,2.7
111,413,2.7
111,423,2.67
111,433,2.65
111,443,2.64
111,453,2.6
111,463,2.5
111,473,2.45
111,483,2.4
111,493,2.31
111,500,2.26
116,153,2.47
116,163,2.55
116,173,2.65
116,183,2.75
116,193,2.88
116,203,2.98
116,213,3.09
116,223,3.2
116,233,3.31
116,243,3.44
116,253,3.53
116,263,3.44
116,273,3.37
116,283,3.31
116,293,3.23
116,303,3.18
116,313,3.12
116,323,3.04
116,333,3.02
116,343,2.98
116,353,2.95
116,363,2.93
116,373,2.9
116,383,2.88
116,393,2.86
116,403,2.82
116,413,2.79
116,423,2.77
116,433,2.75
116,443,2.75
116,453,2.7
116,463,2.59
116,473,2.54
116,483,2.47
116,493,2.4
116,500,2.35
121,153,2.56
121,163,2.65
121,173,2.75
121,183,2.88
121,193,2.99
121,203,3.11
121,213,3.23
121,223,3.36
121,233,3.47
121,243,3.59
121,253,3.71
121,263,3.63
121,273,3.54
121,283,3.47
121,293,3.39
121,303,3.32
121,313,3.25
121,323,3.19
121,333,3.14
121,343,3.11
121,353,3.08
121,363,3.05
121,373,3.02
121,383,3.0
121,393,2.96
121,403,2.95
121,413,2.92
121,423,2.89
121,433,2.87
121,443,2.83
121,453,2.82
121,463,2.7
121,473,2.62
121,483,2.55
121,493,2.48
121,500,2.41
126,153,2.65
126,163,2.74
126,173,2.86
126,183,2.99
126,193,3.13
126,203,3.26
126,213,3.38
126,223,3.51
126,233,3.64
126,243,3.77
126,253,3.89
