bri,mired,watt
1,153,0.27
1,203,0.27
1,253,0.27
1,303,0.27
1,353,0.27
1,403,0.27
1,453,0.27
1,454,0.27
16,153,0.42
16,203,0.42
16,253,0.42
16,303,0.42
16,353,0.42
16,403,0.42
16,453,0.41
16,454,0.41
31,153,0.45
31,203,0.45
31,253,0.46
31,303,0.46
31,353,0.46
31,403,0.44
31,453,0.43
31,454,0.43
46,153,0.51
46,203,0.51
46,253,0.52
46,303,0.52
46,353,0.53
46,403,0.49
46,453,0.45
46,454,0.45
61,153,0.59
61,203,0.6
61,253,0.61
61,303,0.62
61,353,0.62
61,403,0.56
61,453,0.49
61,454,0.49
76,153,0.69
76,203,0.71
76,253,0.74
76,303,0.74
76,353,0.75
76,403,0.65
76,453,0.54
76,454,0.54
91,153,0.82
91,203,0.85
91,253,0.89
91,303,0.9
91,353,0.91
91,403,0.76
91,453,0.6
91,454,0.6
106,153,0.97
106,203,1.02
106,253,1.08
106,303,1.09
106,353,1.1
106,403,0.9
106,453,0.67
106,454,0.67
121,153,1.15
121,203,1.22
121,253,1.3
121,303,1.31
121,353,1.32
121,403,1.05
121,453,0.76
121,454,0.76
136,153,1.36
136,203,1.45
136,253,1.56
136,303,1.56
136,353,1.57
136,403,1.23
136,453,0.86
136,454,0.85
151,153,1.59
151,203,1.7
151,253,1.85
151,303,1.85
151,353,1.86
151,403,1.43
151,453,0.97
151,454,0.96
166,153,1.84
166,203,1.99
166,253,2.17
166,303,2.17
166,353,2.17
166,403,1.66
166,453,1.09
166,454,1.09
181,153,2.12
181,203,2.3
181,253,2.53
181,303,2.52
181,353,2.53
181,403,1.9
181,453,1.23
181,454,1.22
196,153,2.43
196,203,2.63
196,253,2.9
196,303,2.88
196,353,2.89
196,403,2.17
196,453,1.37
196,454,1.37
211,153,2.73
211,203,2.99
211,253,3.27
211,303,3.25
211,353,3.26
211,403,2.47
211,453,1.53
211,454,1.52
226,153,3.08
226,203,3.32
226,253,3.68
226,303,3.65
226,353,3.66
226,403,2.76
226,453,1.7
226,454,1.69
241,153,3.38
241,203,3.74
241,253,4.15
241,303,4.12
241,353,4.13
241,403,3.1
241,453,1.89
241,454,1.88
255,153,3.74
255,203,4.12
255,253,4.55
255,303,4.52
255,353,4.53
255,403,3.34
255,453,2.06
255,454,2.05
