bri,mired,watt
1,222,0.25
1,232,0.1
1,242,0.1
1,252,0.1
1,262,0.2
1,272,0.2
1,282,0.15
1,292,0.1
1,302,0.1
1,312,0.15
1,322,0.1
1,332,0.2
1,342,0.15
1,352,0.15
1,362,0.25
1,372,0.2
1,382,0.1
1,392,0.15
1,402,0.15
1,412,0.2
1,422,0.15
1,432,0.2
1,442,0.15
1,452,0.2
1,454,0.15
6,222,0.35
6,232,0.25
6,242,0.25
6,252,0.3
6,262,0.25
6,272,0.25
6,282,0.35
6,292,0.3
6,302,0.25
6,312,0.35
6,322,0.3
6,332,0.25
6,342,0.3
6,352,0.3
6,362,0.3
6,372,0.35
6,382,0.2
6,392,0.25
6,402,0.3
6,412,0.2
6,422,0.25
6,432,0.3
6,442,0.2
6,452,0.2
6,454,0.25
11,222,0.3
11,232,0.3
11,242,0.3
11,252,0.35
11,262,0.35
11,272,0.25
11,282,0.25
11,292,0.35
11,302,0.3
11,312,0.3
11,322,0.35
11,332,0.25
11,342,0.35
11,352,0.25
11,362,0.4
11,372,0.35
11,382,0.3
11,392,0.35
11,402,0.15
11,412,0.25
11,422,0.4
11,432,0.25
11,442,0.25
11,452,0.3
11,454,0.2
16,222,0.25
16,232,0.25
16,242,0.3
16,252,0.3
16,262,0.35
16,272,0.35
16,282,0.3
16,292,0.3
16,302,0.3
16,312,0.35
16,322,0.35
16,332,0.4
16,342,0.3
16,352,0.2
16,362,0.25
16,372,0.35
16,382,0.35
16,392,0.35
16,402,0.3
16,412,0.25
16,422,0.3
16,432,0.2
16,442,0.25
16,452,0.3
16,454,0.2
21,222,0.35
21,232,0.25
21,242,0.4
21,252,0.3
21,262,0.3
21,272,0.4
21,282,0.25
21,292,0.35
21,302,0.3
21,312,0.3
21,322,0.3
21,332,0.35
21,342,0.35
21,352,0.35
21,362,0.35
21,372,0.35
21,382,0.25
21,392,0.3
21,402,0.25
21,412,0.25
21,422,0.15
21,432,0.2
21,442,0.2
21,452,0.25
21,454,0.3
26,222,0.35
26,232,0.35
26,242,0.3
26,252,0.65
26,262,0.4
26,272,0.3
26,282,0.4
26,292,0.35
26,302,0.35
26,312,0.35
26,322,0.45
26,332,0.35
26,342,0.35
26,352,0.35
26,362,0.5
26,372,0.35
26,382,0.4
26,392,0.35
26,402,0.3
26,412,0.35
26,422,0.15
26,432,0.2
26,442,0.35
26,452,0.25
26,454,0.3
31,222,0.4
31,232,0.4
31,242,0.4
31,252,0.3
31,262,0.4
31,272,0.4
31,282,0.5
31,292,0.5
31,302,0.35
31,312,0.45
31,322,0.4
31,332,0.45
31,342,0.4
31,352,0.45
31,362,0.35
31,372,0.35
31,382,0.4
31,392,0.4
31,402,0.35
31,412,0.3
31,422,0.3
31,432,0.2
31,442,0.3
31,452,0.25
31,454,0.3
36,222,0.45
36,232,0.4
36,242,0.45
36,252,0.35
36,262,0.4
36,272,0.4
36,282,0.4
36,292,0.4
36,302,0.45
36,312,0.35
36,322,0.35
36,332,0.4
36,342,0.5
36,352,0.55
36,362,0.45
36,372,0.4
36,382,0.4
36,392,0.35
36,402,0.3
36,412,0.35
36,422,0.35
36,432,0.35
36,442,0.35
36,452,0.3
36,454,0.3
41,222,0.45
41,232,0.45
41,242,0.5
41,252,0.45
41,262,0.45
41,272,0.4
41,282,0.4
41,292,0.5
41,302,0.45
41,312,0.6
41,322,1.15
41,332,0.4
41,342,0.5
41,352,0.45
41,362,0.55
41,372,0.45
41,382,0.45
41,392,0.35
41,402,0.3
41,412,0.45
41,422,0.35
41,432,0.35
41,442,0.25
41,452,0.45
41,454,0.35
46,222,0.5
46,232,0.45
46,242,0.55
46,252,0.5
46,262,0.55
46,272,0.45
46,282,0.5
46,292,0.45
46,302,0.5
46,312,0.6
46,322,0.6
46,332,0.5
46,342,0.55
46,352,0.45
46,362,0.55
46,372,0.6
46,382,0.55
46,392,0.45
46,402,0.45
46,412,0.45
46,422,0.35
46,432,0.45
46,442,0.35
46,452,0.35
46,454,0.35
51,222,0.5
51,232,0.6
51,242,0.45
51,252,0.65
51,262,0.55
51,272,0.6
51,282,0.6
51,292,0.55
51,302,0.6
51,312,0.5
51,322,0.6
51,332,0.6
51,342,0.6
51,352,0.65
51,362,0.55
51,372,0.55
51,382,0.55
51,392,0.45
51,402,0.55
51,412,0.5
51,422,0.4
51,432,0.45
51,442,0.35
51,452,0.4
51,454,0.4
56,222,0.6
56,232,0.6
56,242,0.6
56,252,0.6
56,262,0.7
56,272,0.65
56,282,0.6
56,292,0.75
56,302,0.6
56,312,0.65
56,322,0.7
56,332,0.7
56,342,0.65
56,352,0.75
56,362,0.55
56,372,0.6
56,382,0.85
56,392,0.55
56,402,0.55
56,412,0.55
56,422,0.5
56,432,0.45
56,442,0.4
56,452,0.4
56,454,0.5
61,222,0.75
61,232,0.65
61,242,0.65
61,252,0.7
61,262,0.7
61,272,0.75
61,282,0.75
61,292,0.7
61,302,0.8
61,312,0.75
61,322,0.75
61,332,0.65
61,342,0.7
61,352,0.8
61,362,0.65
61,372,0.7
61,382,0.6
61,392,0.65
61,402,0.65
61,412,0.55
61,422,0.6
61,432,0.55
61,442,0.45
61,452,0.4
61,454,0.45
66,222,0.8
66,232,0.75
66,242,0.7
66,252,0.7
66,262,0.75
66,272,0.75
66,282,0.75
66,292,0.75
66,302,0.85
66,312,0.75
66,322,0.65
66,332,0.7
66,342,0.7
66,352,0.75
66,362,0.8
66,372,0.75
66,382,0.65
66,392,0.65
66,402,0.65
66,412,0.6
66,422,0.65
66,432,0.6
66,442,0.5
66,452,0.5
66,454,0.45
71,222,0.85
71,232,0.75
71,242,0.75
71,252,0.8
71,262,0.8
71,272,0.85
71,282,0.85
71,292,0.85
71,302,0.9
71,312,0.85
71,322,0.95
71,332,0.9
71,342,0.85
71,352,0.8
71,362,0.75
71,372,0.85
71,382,0.85
71,392,0.8
71,402,0.65
71,412,0.6
71,422,0.6
71,432,0.7
71,442,0.6
71,452,0.7
71,454,0.85
76,222,0.8
76,232,0.85
76,242,0.9
76,252,0.85
76,262,1.0
76,272,0.9
76,282,0.85
76,292,0.9
76,302,0.85
76,312,1.05
76,322,0.95
76,332,0.95
76,342,1.0
76,352,0.95
76,362,0.9
76,372,0.95
76,382,0.9
76,392,0.85
76,402,0.8
76,412,0.7
76,422,0.65
76,432,0.6
76,442,0.55
76,452,0.65
76,454,0.6
81,222,1.0
81,232,0.95
81,242,1.0
81,252,0.95
81,262,1.1
81,272,0.95
81,282,1.0
81,292,1.05
81,302,1.0
81,312,0.95
81,322,1.0
81,332,1.05
81,342,1.1
81,352,1.05
