bri,mired,watt
1,153,0.83
1,163,0.8
1,173,0.75
1,183,0.74
1,193,0.89
1,203,0.73
1,213,0.74
1,223,0.82
1,233,0.86
1,243,0.92
1,253,0.95
1,263,1.01
1,273,1.0
1,283,0.94
1,293,0.95
1,303,0.91
1,313,0.86
1,323,0.89
1,333,0.86
1,343,0.81
1,353,0.7
1,363,0.75
1,373,0.75
1,383,0.65
1,393,0.74
1,403,0.69
1,413,0.72
1,423,0.74
1,433,0.69
1,443,0.71
1,453,0.73
1,454,0.63
6,153,0.76
6,163,0.74
6,173,0.68
6,183,0.68
6,193,0.8
6,203,0.84
6,213,0.89
6,223,0.84
6,233,0.87
6,243,0.91
6,253,0.94
6,263,0.93
6,273,1.07
6,283,1.04
6,293,0.95
6,303,0.95
6,313,0.9
6,323,0.91
6,333,0.9
6,343,0.83
6,353,0.79
6,363,0.84
6,373,0.76
6,383,0.72
6,393,0.76
6,403,0.72
6,413,0.72
6,423,0.74
6,433,0.73
6,443,0.73
6,453,0.62
6,454,0.71
11,153,0.79
11,163,0.82
11,173,0.79
11,183,0.78
11,193,0.86
11,203,0.89
11,213,0.89
11,223,0.61
11,233,0.94
11,243,1.11
11,253,0.99
11,263,1.11
11,273,1.09
11,283,1.18
11,293,1.0
11,303,0.98
11,313,0.89
11,323,0.94
11,333,0.85
11,343,0.87
11,353,0.86
11,363,0.88
11,373,0.87
11,383,0.8
11,393,0.8
11,403,0.74
11,413,0.83
11,423,0.81
11,433,0.75
11,443,0.67
11,453,0.67
11,454,0.75
16,153,0.8
16,163,0.87
16,173,0.88
16,183,0.81
16,193,0.96
16,203,0.96
16,213,1.02
16,223,1.01
16,233,1.12
16,243,1.16
16,253,1.21
16,263,1.07
16,273,1.15
16,283,1.06
16,293,1.16
16,303,1.08
16,313,1.07
16,323,1.05
16,333,0.95
16,343,0.92
16,353,0.91
16,363,0.84
16,373,0.87
16,383,0.9
16,393,0.86
16,403,0.95
16,413,0.84
16,423,0.75
16,433,0.81
16,443,0.7
16,453,0.82
16,454,0.73
21,153,0.86
21,163,0.83
21,173,0.92
21,183,0.89
21,193,0.94
21,203,1.07
21,213,1.04
21,223,1.1
21,233,1.21
21,243,1.22
21,253,1.22
21,263,1.37
21,273,1.37
21,283,1.34
21,293,1.22
21,303,1.23
21,313,1.11
21,323,1.18
21,333,1.03
