bri,mired,watt
1,153,0.35
1,163,0.35
1,173,0.35
1,183,0.3
1,193,0.4
1,203,0.35
1,213,0.35
1,223,0.3
1,233,0.3
1,243,0.3
1,253,0.3
1,263,0.3
1,273,0.35
1,283,0.3
1,293,0.25
1,303,0.35
1,313,0.35
1,323,0.3
1,333,0.3
1,343,0.35
1,353,0.35
1,363,0.3
1,373,0.35
1,383,0.3
1,393,0.3
1,403,0.3
1,413,0.35
1,423,0.3
1,433,0.3
1,443,0.3
1,453,0.3
1,454,0.3
6,153,0.3
6,163,0.3
6,173,0.3
6,183,0.35
6,193,0.25
6,203,0.25
6,213,0.3
6,223,0.3
6,233,0.25
6,243,0.3
6,253,0.3
6,263,0.3
6,273,0.4
6,283,0.35
6,293,0.3
6,303,0.35
6,313,0.3
6,323,0.25
6,333,0.3
6,343,0.25
6,353,0.3
6,363,0.25
6,373,0.35
6,383,0.3
6,393,0.3
6,403,0.3
6,413,0.3
6,423,0.3
6,433,0.3
6,443,0.35
6,453,0.3
6,454,0.3
11,153,0.35
11,163,0.3
11,173,0.35
11,183,0.3
11,193,0.3
11,203,0.3
11,213,0.3
11,223,0.3
11,233,0.35
11,243,0.3
11,253,0.3
11,263,0.35
11,273,0.3
11,283,0.3
11,293,0.35
11,303,0.3
11,313,0.35
11,323,0.3
11,333,0.3
11,343,0.35
11,353,0.3
11,363,0.3
11,373,0.3
11,383,0.3
11,393,0.3
11,403,0.3
11,413,0.3
11,423,0.35
11,433,0.3
11,443,0.3
11,453,0.3
11,454,0.4
16,153,0.35
16,163,0.35
16,173,0.3
16,183,0.35
16,193,0.35
16,203,0.4
16,213,0.35
16,223,0.35
16,233,0.3
16,243,0.3
16,253,0.3
16,263,0.35
16,273,0.35
16,283,0.35
16,293,0.3
16,303,0.35
16,313,0.3
16,323,0.3
16,333,0.3
16,343,0.3
16,353,0.3
16,363,0.35
16,373,0.35
16,383,0.3
16,393,0.35
16,403,0.35
16,413,0.35
16,423,0.35
16,433,0.35
16,443,0.3
16,453,0.3
16,454,0.3
21,153,0.3
21,163,0.35
21,173,0.3
21,183,0.35
21,193,0.35
21,203,0.35
21,213,0.4
21,223,0.3
21,233,0.35
21,243,0.4
21,253,0.35
21,263,0.3
21,273,0.35
21,283,0.35
21,293,0.35
21,303,0.4
21,313,0.35
21,323,0.35
21,333,0.35
21,343,0.35
21,353,0.35
21,363,0.35
21,373,0.3
21,383,0.4
21,393,0.3
21,403,0.4
21,413,0.3
21,423,0.35
21,433,0.35
21,443,0.35
21,453,0.4
21,454,0.4
26,153,0.4
26,163,0.35
26,173,0.35
26,183,0.3
26,193,0.4
26,203,0.3
26,213,0.35
26,223,0.4
26,233,0.35
26,243,0.35
26,253,0.35
26,263,0.35
26,273,0.4
26,283,0.35
26,293,0.35
26,303,0.35
26,313,0.4
26,323,0.4
26,333,0.35
26,343,0.4
26,353,0.4
26,363,0.4
26,373,0.4
26,383,0.4
26,393,0.4
26,403,0.4
26,413,0.4
26,423,0.35
26,433,0.3
26,443,0.35
26,453,0.3
26,454,0.35
31,153,0.4
31,163,0.4
31,173,0.4
31,183,0.35
31,193,0.35
31,203,0.35
31,213,0.45
31,223,0.35
31,233,0.35
31,243,0.35
31,253,0.35
31,263,0.35
31,273,0.4
31,283,0.4
31,293,0.4
31,303,0.35
31,313,0.4
31,323,0.4
31,333,0.4
31,343,0.4
31,353,0.4
31,363,0.4
31,373,0.35
31,383,0.4
31,393,0.4
31,403,0.45
31,413,0.4
31,423,0.4
31,433,0.4
31,443,0.4
31,453,0.4
31,454,0.4
36,153,0.4
36,163,0.4
36,173,0.4
36,183,0.4
36,193,0.4
36,203,0.4
36,213,0.45
36,223,0.45
36,233,0.35
36,243,0.4
36,253,0.45
36,263,0.4
36,273,0.4
36,283,0.35
36,293,0.4
36,303,0.45
36,313,0.45
36,323,0.4
36,333,0.45
36,343,0.4
36,353,0.45
36,363,0.4
36,373,0.4
36,383,0.4
36,393,0.4
36,403,0.4
36,413,0.4
36,423,0.4
36,433,0.4
36,443,0.4
36,453,0.4
36,454,0.4
41,153,0.4
41,163,0.4
41,173,0.5
41,183,0.4
41,193,0.45
41,203,0.4
41,213,0.45
41,223,0.4
41,233,0.4
41,243,0.4
41,253,0.45
41,263,0.4
41,273,0.4
41,283,0.45
41,293,0.4
41,303,0.4
41,313,0.5
41,323,0.45
41,333,0.45
41,343,0.4
41,353,0.4
41,363,0.4
41,373,0.45
41,383,0.45
41,393,0.35
41,403,0.4
41,413,0.4
41,423,0.4
41,433,0.4
41,443,0.4
41,453,0.45
41,454,0.4
46,153,0.4
46,163,0.5
46,173,0.45
46,183,0.4
46,193,0.5
46,203,0.45
46,213,0.5
46,223,0.45
46,233,0.4
46,243,0.5
46,253,0.4
46,263,0.5
46,273,0.45
46,283,0.45
46,293,0.5
46,303,0.5
46,313,0.5
46,323,0.45
46,333,0.5
46,343,0.45
46,353,0.5
46,363,0.45
46,373,0.5
46,383,0.5
46,393,0.45
46,403,0.4
46,413,0.45
46,423,0.45
46,433,0.45
46,443,0.5
46,453,0.5
46,454,0.45
51,153,0.5
51,163,0.45
51,173,0.5
51,183,0.5
51,193,0.5
51,203,0.45
51,213,0.45
51,223,0.5
51,233,0.5
51,243,0.5
51,253,0.5
51,263,0.45
51,273,0.5
51,283,0.45
51,293,0.5
51,303,0.5
51,313,0.55
51,323,0.5
51,333,0.5
51,343,0.5
51,353,0.45
51,363,0.45
51,373,0.5
51,383,0.5
51,393,0.45
51,403,0.45
51,413,0.45
51,423,0.45
51,433,0.45
51,443,0.45
51,453,0.45
51,454,0.45
56,153,0.5
56,163,0.5
56,173,0.5
56,183,0.5
56,193,0.5
56,203,0.5
56,213,0.5
56,223,0.5
56,233,0.5
56,243,0.55
56,253,0.5
56,263,0.5
56,273,0.5
56,283,0.45
56,293,0.5
56,303,0.5
56,313,0.5
56,323,0.6
56,333,0.55
56,343,0.45
56,353,0.55
56,363,0.5
56,373,0.5
56,383,0.45
56,393,0.5
56,403,0.5
56,413,0.4
56,423,0.5
56,433,0.5
56,443,0.5
56,453,0.5
56,454,0.45
61,153,0.5
61,163,0.6
61,173,0.55
61,183,0.6
61,193,0.55
61,203,0.6
61,213,0.5
61,223,0.6
61,233,0.55
61,243,0.55
61,253,0.6
61,263,0.5
61,273,0.6
61,283,0.55
61,293,0.55
61,303,0.6
61,313,0.65
61,323,0.6
61,333,0.6
61,343,0.55
61,353,0.5
61,363,0.6
61,373,0.6
61,383,0.5
61,393,0.55
61,403,0.55
61,413,0.55
61,423,0.55
61,433,0.5
61,443,0.55
61,453,0.5
61,454,0.55
66,153,0.6
66,163,0.55
66,173,0.6
66,183,0.55
66,193,0.6
66,203,0.6
66,213,0.6
66,223,0.6
66,233,0.65
66,243,0.6
66,253,0.6
66,263,0.55
66,273,0.6
66,283,0.6
66,293,0.55
66,303,0.6
66,313,0.6
66,323,0.6
66,333,0.6
66,343,0.6
66,353,0.55
66,363,0.6
66,373,0.55
66,383,0.55
66,393,0.55
66,403,0.55
66,413,0.6
66,423,0.55
66,433,0.6
66,443,0.5
66,453,0.5
66,454,0.55
71,153,0.6
71,163,0.6
71,173,0.65
71,183,0.6
71,193,0.65
71,203,0.6
71,213,0.6
71,223,0.65
71,233,0.6
71,243,0.6
71,253,0.6
71,263,0.6
71,273,0.6
71,283,0.65
71,293,0.6
71,303,0.65
71,313,0.6
71,323,0.7
71,333,0.65
71,343,0.65
71,353,0.55
71,363,0.65
71,373,0.6
71,383,0.6
71,393,0.6
71,403,0.6
71,413,0.65
71,423,0.55
71,433,0.6
71,443,0.6
71,453,0.5
71,454,0.6
76,153,0.65
76,163,0.6
76,173,0.7
76,183,0.65
76,193,0.7
76,203,0.6
76,213,0.65
76,223,0.65
76,233,0.7
76,243,0.7
76,253,0.7
76,263,0.7
76,273,0.7
76,283,0.7
76,293,0.7
76,303,0.7
76,313,0.7
76,323,0.75
76,333,0.7
76,343,0.65
76,353,0.7
76,363,0.65
76,373,0.65
76,383,0.65
76,393,0.7
76,403,0.65
76,413,0.6
76,423,0.7
76,433,0.65
76,443,0.65
76,453,0.65
76,454,0.6
81,153,0.7
81,163,0.7
81,173,0.7
81,183,0.7
81,193,0.7
81,203,0.7
81,213,0.7
81,223,0.7
81,233,0.7
81,243,0.7
81,253,0.75
81,263,0.7
81,273,0.7
81,283,0.75
81,293,0.75
81,303,0.8
81,313,0.75
81,323,0.65
81,333,0.75
81,343,0.7
81,353,0.7
81,363,0.7
81,373,0.7
81,383,0.7
81,393,0.65
81,403,0.7
81,413,0.7
81,423,0.7
81,433,0.65
81,443,0.65
81,453,0.6
81,454,0.7
86,153,0.75
86,163,0.7
86,173,0.75
86,183,0.75
86,193,0.75
86,203,0.75
86,213,0.75
86,223,0.8
86,233,0.8
86,243,0.8
86,253,0.8
86,263,0.8
86,273,0.8
86,283,0.8
86,293,0.8
86,303,0.8
86,313,0.75
86,323,0.8
86,333,0.8
86,343,0.75
86,353,0.75
86,363,0.75
86,373,0.75
86,383,0.7
86,393,0.7
86,403,0.7
86,413,0.7
86,423,0.7
86,433,0.7
86,443,0.75
86,453,0.7
86,454,0.7
91,153,0.8
91,163,0.8
91,173,0.8
91,183,0.8
91,193,0.8
91,203,0.85
91,213,0.8
91,223,0.8
91,233,0.8
91,243,0.9
91,253,0.8
91,263,0.8
91,273,0.85
91,283,0.85
91,293,0.8
91,303,0.8
91,313,0.85
91,323,0.85
91,333,0.8
91,343,0.8
91,353,0.8
91,363,0.8
91,373,0.8
91,383,0.8
91,393,0.8
91,403,0.8
91,413,0.8
91,423,0.75
91,433,0.75
91,443,0.7
91,453,0.75
91,454,0.75
96,153,0.8
