bri,mired,watt
1,222,0.23
1,232,0.25
1,242,0.23
1,252,0.24
1,262,0.24
1,272,0.24
1,282,0.23
1,292,0.24
1,322,0.24
1,332,0.24
1,372,0.23
1,402,0.18
1,412,0.17
1,422,0.18
1,432,0.17
1,442,0.17
1,452,0.17
6,252,0.24
6,292,0.23
6,302,0.22
6,312,0.23
6,322,0.25
6,332,0.24
6,362,0.23
6,382,0.22
6,412,0.18
6,422,0.18
6,432,0.18
6,442,0.17
6,452,0.18
6,454,0.17
11,222,0.25
11,232,0.25
11,242,0.24
11,252,0.25
11,262,0.25
11,272,0.24
11,292,0.23
11,302,0.24
11,312,0.24
11,322,0.25
11,332,0.25
11,342,0.24
11,362,0.25
11,372,0.24
11,382,0.23
11,392,0.22
11,422,0.19
11,432,0.18
11,442,0.18
11,452,0.18
11,454,0.18
16,222,0.25
16,232,0.25
16,242,0.25
16,252,0.25
16,262,0.26
16,272,0.26
16,282,0.27
16,292,0.26
16,302,0.26
16,312,0.26
16,322,0.25
16,332,0.26
16,342,0.26
16,352,0.26
16,362,0.26
16,372,0.25
16,382,0.25
16,392,0.24
16,412,0.2
16,432,0.19
16,442,0.19
16,452,0.19
16,454,0.19
21,222,0.27
21,232,0.27
21,242,0.27
21,252,0.28
21,262,0.28
21,272,0.27
21,282,0.27
21,292,0.28
21,302,0.28
21,312,0.27
21,322,0.27
21,332,0.27
21,342,0.27
21,352,0.27
21,362,0.27
21,372,0.25
21,382,0.26
21,392,0.24
21,402,0.25
21,412,0.22
21,442,0.19
21,454,0.2
26,222,0.3
26,232,0.3
26,242,0.3
26,252,0.31
26,262,0.3
26,272,0.3
26,282,0.29
26,292,0.29
26,302,0.29
26,312,0.3
26,322,0.3
26,332,0.31
26,342,0.3
26,352,0.29
26,362,0.3
26,372,0.29
26,382,0.27
26,392,0.26
26,412,0.24
31,222,0.33
31,232,0.32
31,242,0.33
31,252,0.32
31,262,0.33
31,272,0.33
31,282,0.34
31,292,0.33
31,302,0.33
31,312,0.33
31,322,0.33
31,332,0.32
31,342,0.33
31,352,0.32
31,362,0.32
31,372,0.3
31,382,0.3
31,392,0.29
31,402,0.28
31,412,0.27
31,422,0.24
36,222,0.36
36,232,0.35
36,242,0.35
36,252,0.36
36,262,0.35
36,272,0.37
36,282,0.37
36,292,0.36
36,302,0.37
36,312,0.36
36,322,0.35
36,332,0.36
36,342,0.35
36,352,0.36
36,362,0.35
36,372,0.34
36,382,0.33
36,392,0.32
36,402,0.29
36,412,0.28
36,422,0.26
36,432,0.27
36,442,0.24
36,452,0.24
36,454,0.24
41,222,0.4
41,232,0.38
41,242,0.4
41,252,0.41
41,262,0.41
41,272,0.4
41,282,0.4
41,292,0.39
41,302,0.4
41,312,0.39
41,322,0.4
41,332,0.39
41,342,0.39
41,352,0.39
41,362,0.4
41,372,0.38
41,382,0.37
41,392,0.35
41,402,0.34
41,412,0.31
41,422,0.3
41,432,0.27
41,442,0.27
41,452,0.27
41,454,0.27
46,222,0.43
46,232,0.43
46,242,0.43
46,252,0.45
46,262,0.44
46,272,0.44
46,282,0.43
46,292,0.44
46,302,0.43
46,312,0.45
46,322,0.44
46,332,0.43
46,342,0.44
46,352,0.44
46,362,0.43
46,372,0.43
46,382,0.41
46,392,0.39
46,402,0.35
46,412,0.35
46,422,0.33
46,432,0.31
46,442,0.29
46,452,0.3
46,454,0.29
51,222,0.48
51,232,0.48
51,242,0.51
51,252,0.51
51,262,0.5
51,272,0.5
51,282,0.49
51,292,0.49
51,302,0.49
51,312,0.48
51,322,0.49
51,332,0.47
51,342,0.48
51,352,0.48
51,362,0.49
51,372,0.47
51,382,0.44
51,392,0.41
51,402,0.4
51,412,0.38
51,422,0.36
51,432,0.32
51,442,0.32
51,452,0.3
51,454,0.32
56,222,0.53
56,232,0.53
56,242,0.54
56,252,0.54
56,262,0.54
56,272,0.53
56,282,0.55
56,292,0.55
56,302,0.53
56,312,0.53
56,322,0.55
56,332,0.53
56,342,0.53
56,352,0.53
56,362,0.53
56,372,0.52
56,382,0.48
56,392,0.48
56,402,0.45
56,412,0.41
56,422,0.4
56,432,0.37
56,442,0.35
56,452,0.35
56,454,0.35
61,222,0.59
61,232,0.58
61,242,0.6
61,252,0.61
61,262,0.59
61,272,0.59
61,282,0.59
61,292,0.6
61,302,0.6
61,312,0.59
61,322,0.59
61,332,0.59
61,342,0.59
61,352,0.59
61,362,0.6
61,372,0.56
61,382,0.54
61,392,0.5
61,402,0.47
61,412,0.45
61,422,0.43
61,432,0.4
61,442,0.38
61,452,0.37
61,454,0.38
66,222,0.65
66,232,0.64
66,242,0.65
66,252,0.66
66,262,0.67
66,272,0.65
66,282,0.65
66,292,0.66
66,302,0.66
66,312,0.66
66,322,0.65
66,332,0.64
66,342,0.64
66,352,0.63
66,362,0.63
66,372,0.63
66,382,0.59
66,392,0.56
66,402,0.54
66,412,0.5
66,422,0.47
66,432,0.43
66,442,0.41
66,452,0.41
66,454,0.4
71,222,0.7
71,232,0.72
71,242,0.73
71,252,0.74
71,262,0.72
71,272,0.72
71,282,0.72
71,292,0.73
71,302,0.72
71,312,0.72
71,322,0.73
71,332,0.71
71,342,0.72
71,352,0.7
71,362,0.7
71,372,0.7
71,382,0.66
71,392,0.62
71,402,0.57
71,412,0.55
71,422,0.5
71,432,0.49
71,442,0.45
71,452,0.44
71,454,0.44
76,222,0.78
76,232,0.8
76,242,0.79
76,252,0.82
76,262,0.8
76,272,0.79
76,282,0.79
76,292,0.8
76,302,0.8
76,312,0.77
76,322,0.78
76,332,0.77
76,342,0.79
76,352,0.78
76,362,0.77
76,372,0.76
76,382,0.71
76,392,0.66
76,402,0.64
76,412,0.6
76,422,0.54
76,432,0.52
76,442,0.48
76,452,0.5
76,454,0.47
81,222,0.86
81,232,0.85
81,242,0.87
81,252,0.89
81,262,0.89
81,272,0.87
81,282,0.87
81,292,0.87
81,302,0.85
81,312,0.87
81,322,0.86
81,332,0.85
81,342,0.85
81,352,0.87
81,362,0.85
81,372,0.84
81,382,0.79
81,392,0.74
81,402,0.69
81,412,0.66
81,422,0.6
81,432,0.58
81,442,0.53
81,452,0.52
81,454,0.53
86,222,0.92
86,232,0.93
86,242,0.96
86,252,0.96
86,262,0.96
86,272,0.97
86,282,0.95
86,292,0.93
86,302,0.95
86,312,0.93
86,322,0.93
86,332,0.93
86,342,0.94
86,352,0.93
86,362,0.93
86,372,0.9
86,382,0.85
86,392,0.8
86,402,0.76
86,412,0.71
86,422,0.66
86,432,0.62
86,442,0.58
86,452,0.57
86,454,0.57
91,222,1.03
91,232,1.03
91,242,1.04
91,252,1.04
91,262,1.05
91,272,1.06
91,282,1.05
91,292,1.04
91,302,1.03
91,312,1.03
91,322,1.02
91,332,1.03
91,342,1.02
91,352,1.02
91,362,1.03
91,372,1.0
91,382,0.93
91,392,0.88
91,402,0.83
91,412,0.77
91,422,0.72
91,432,0.66
91,442,0.63
91,452,0.62
91,454,0.61
96,222,1.09
96,232,1.11
96,242,1.13
96,252,1.15
96,262,1.14
96,272,1.13
96,282,1.12
96,292,1.14
96,302,1.12
96,312,1.12
96,322,1.11
96,332,1.1
96,342,1.1
96,352,1.11
96,362,1.1
96,372,1.07
96,382,1.02
96,392,0.95
96,402,0.89
96,412,0.84
96,422,0.78
96,432,0.74
96,442,0.68
96,452,0.67
96,454,0.67
101,222,1.21
101,232,1.22
101,242,1.26
101,252,1.25
101,262,1.26
101,272,1.23
101,282,1.23
101,292,1.24
101,302,1.22
101,312,1.23
101,322,1.22
101,332,1.22
101,342,1.21
101,352,1.2
101,362,1.21
101,372,1.16
101,382,1.09
101,392,1.02
101,402,0.96
101,412,0.92
101,422,0.84
101,432,0.77
101,442,0.71
101,452,0.73
101,454,0.72
106,222,1.29
106,232,1.31
106,242,1.33
106,252,1.34
106,262,1.35
106,272,1.33
106,282,1.32
106,292,1.33
106,302,1.32
106,312,1.32
106,322,1.31
106,332,1.32
106,342,1.3
106,352,1.31
106,362,1.3
106,372,1.26
106,382,1.19
106,392,1.11
106,402,1.04
106,412,0.97
106,422,0.91
106,432,0.86
106,442,0.78
106,452,0.76
106,454,0.77
111,222,1.4
111,232,1.41
111,242,1.44
111,252,1.46
111,262,1.46
111,272,1.43
111,282,1.44
111,292,1.44
111,302,1.44
111,312,1.44
111,322,1.4
111,332,1.41
111,342,1.39
111,352,1.4
111,362,1.4
111,372,1.35
111,382,1.28
111,392,1.21
111,402,1.13
111,412,1.05
111,422,0.98
111,432,0.9
111,442,0.84
111,452,0.84
111,454,0.83
116,222,1.5
116,232,1.52
116,242,1.53
116,252,1.55
116,262,1.56
116,272,1.57
116,282,1.56
116,292,1.57
116,302,1.55
116,312,1.53
116,322,1.53
116,332,1.54
116,342,1.53
116,352,1.53
116,362,1.52
116,372,1.49
116,382,1.39
116,392,1.3
116,402,1.22
116,412,1.13
116,422,1.06
116,432,0.99
116,442,0.92
116,452,0.89
116,454,0.9
121,222,1.61
121,232,1.65
121,242,1.66
121,252,1.69
121,262,1.69
121,272,1.68
121,282,1.67
121,292,1.67
121,302,1.66
121,312,1.65
121,322,1.66
121,332,1.65
121,342,1.62
121,352,1.64
121,362,1.62
121,372,1.58
121,382,1.48
121,392,1.38
121,402,1.29
121,412,1.21
121,422,1.12
121,432,1.05
121,442,0.97
121,452,0.96
121,454,0.96
126,222,1.74
126,232,1.77
126,242,1.79
126,252,1.81
126,262,1.81
126,272,1.79
126,282,1.79
126,292,1.78
126,302,1.78
126,312,1.77
126,322,1.76
126,332,1.77
