bri,mired,watt
1,153,0.72
1,163,0.67
1,173,0.67
1,183,0.65
1,193,0.66
1,203,0.66
1,213,0.71
1,223,0.73
1,233,0.72
1,243,0.72
1,253,0.69
1,263,0.72
1,273,0.72
1,283,0.69
1,293,0.74
1,303,0.74
1,313,0.69
1,323,0.76
1,333,0.76
1,343,0.7
1,353,0.69
1,363,0.69
1,373,0.74
1,383,0.7
1,393,0.7
1,403,0.66
1,413,0.71
1,423,0.71
1,433,0.67
1,443,0.71
1,453,0.71
1,454,0.71
6,153,0.7
6,163,0.7
6,173,0.68
6,183,0.69
6,193,0.69
6,203,0.63
6,213,0.7
6,223,0.7
6,233,0.69
6,243,0.69
6,253,0.69
6,263,0.71
6,273,0.75
6,283,0.75
6,293,0.72
6,303,0.7
6,313,0.7
6,323,0.69
6,333,0.72
6,343,0.72
6,353,0.72
6,363,0.69
6,373,0.69
6,383,0.7
6,393,0.75
6,403,0.75
6,413,0.65
6,423,0.7
6,433,0.7
6,443,0.66
6,453,0.67
6,454,0.67
11,153,0.67
11,163,0.72
11,173,0.72
11,183,0.7
11,193,0.69
11,203,0.69
11,213,0.69
11,223,0.64
11,233,0.64
11,243,0.73
11,253,0.78
11,263,0.78
11,273,0.68
11,283,0.76
11,293,0.76
11,303,0.74
11,313,0.69
11,323,0.69
11,333,0.69
11,343,0.7
11,353,0.7
11,363,0.69
11,373,0.64
11,383,0.64
11,393,0.69
11,403,0.69
11,413,0.72
11,423,0.7
11,433,0.7
11,443,0.69
11,453,0.68
11,454,0.68
16,153,0.72
16,163,0.7
16,173,0.7
16,183,0.68
16,193,0.7
16,203,0.7
16,213,0.73
16,223,0.71
16,233,0.71
16,243,0.75
16,253,0.68
16,263,0.68
16,273,0.74
16,283,0.73
16,293,0.77
16,303,0.77
16,313,0.79
16,323,0.72
16,333,0.72
16,343,0.7
16,353,0.77
16,363,0.77
16,373,0.77
16,383,0.75
16,393,0.75
16,403,0.72
16,413,0.74
16,423,0.74
16,433,0.79
16,443,0.75
16,453,0.75
16,454,0.73
21,153,0.68
21,163,0.68
21,173,0.64
21,183,0.76
21,193,0.76
21,203,0.74
21,213,0.71
21,223,0.71
21,233,0.72
21,243,0.76
21,253,0.76
21,263,0.75
21,273,0.79
21,283,0.79
21,293,0.8
21,303,0.7
21,313,0.7
21,323,0.77
21,333,0.71
21,343,0.71
21,353,0.76
21,363,0.76
21,373,0.76
21,383,0.72
21,393,0.71
21,403,0.71
21,413,0.71
21,423,0.74
21,433,0.74
21,443,0.72
21,453,0.68
21,454,0.68
26,153,0.71
26,163,0.68
26,173,0.68
26,183,0.66
26,193,0.75
26,203,0.75
26,213,0.73
26,223,0.76
26,233,0.76
26,243,0.75
26,253,0.81
26,263,0.81
26,273,0.77
26,283,0.77
26,293,0.77
26,303,0.75
26,313,0.76
26,323,0.76
26,333,0.76
26,343,0.72
26,353,0.72
26,363,0.69
26,373,0.8
26,383,0.8
26,393,0.76
26,403,0.72
26,413,0.72
26,423,0.74
26,433,0.7
26,443,0.7
26,453,0.77
26,454,0.71
31,153,0.71
31,163,0.72
31,173,0.74
31,183,0.74
31,193,0.75
31,203,0.75
31,213,0.75
31,223,0.77
31,233,0.74
31,243,0.74
31,253,0.83
31,263,0.74
31,273,0.74
31,283,0.77
31,293,0.77
31,303,0.77
