bri,watt
1,0.38
2,0.38
3,0.37
4,0.37
5,0.37
6,0.41
7,0.39
8,0.39
9,0.4
10,0.4
11,0.4
12,0.41
13,0.44
14,0.42
15,0.42
16,0.47
17,0.44
18,0.44
19,0.44
20,0.49
21,0.49
22,0.47
23,0.4
24,0.4
25,0.51
26,0.48
27,0.48
28,0.56
29,0.54
30,0.54
31,0.53
32,0.51
33,0.51
34,0.56
35,0.52
36,0.52
37,0.52
38,0.63
39,0.63
40,0.57
41,0.61
42,0.61
43,0.56
44,0.62
45,0.62
46,0.56
47,0.7
48,0.7
49,0.7
50,0.7
51,0.7
52,0.64
53,0.7
54,0.7
55,0.72
56,0.72
57,0.72
58,0.74
59,0.81
60,0.81
61,0.75
62,0.84
63,0.84
64,0.88
65,0.88
66,0.88
67,0.88
68,0.89
69,0.89
70,0.89
71,0.85
72,0.85
73,0.85
74,0.98
75,0.97
76,0.97
77,0.99
78,0.99
79,0.99
80,1.0
81,1.1
82,1.1
83,1.08
84,1.08
85,1.08
86,1.2
87,1.19
88,1.19
89,1.2
90,1.2
91,1.2
92,1.2
93,1.2
94,1.2
95,1.16
96,1.25
97,1.25
98,1.28
99,1.32
100,1.32
101,1.37
102,1.41
103,1.41
104,1.41
105,1.52
106,1.52
107,1.52
108,1.55
109,1.55
110,1.46
111,1.52
112,1.52
113,1.52
114,1.56
115,1.56
116,1.66
117,1.62
118,1.72
119,1.72
120,1.76
121,1.76
122,1.76
123,1.78
124,1.79
125,1.79
126,1.79
127,1.96
128,1.96
129,1.99
130,1.98
131,1.98
132,1.97
133,1.99
134,2.09
135,2.09
136,2.06
137,2.09
138,2.09
139,2.29
140,2.22
141,2.22
142,2.29
143,2.3
144,2.3
145,2.29
146,2.43
147,2.43
148,2.44
149,2.49
150,2.49
151,2.48
152,2.57
153,2.57
154,2.56
155,2.6
156,2.6
157,2.63
158,2.72
159,2.72
160,2.72
161,2.79
162,2.83
163,2.83
164,2.85
165,2.89
166,2.89
167,2.92
168,3.14
169,3.14
170,3.14
171,3.12
172,3.12
173,3.17
174,3.22
175,3.22
176,3.36
177,3.31
178,3.31
179,3.3
180,3.39
181,3.44
182,3.44
183,3.4
184,3.4
185,3.4
186,3.64
187,3.65
188,3.65
189,3.84
190,3.84
191,3.84
192,3.77
193,3.88
194,3.88
195,4.01
196,4.01
197,4.01
198,4.09
199,4.17
200,4.17
201,4.06
202,4.06
203,4.06
204,4.26
205,4.15
206,4.15
207,4.49
208,4.49
209,4.49
210,4.49
211,4.5
212,4.5
213,4.51
214,4.51
215,4.51
216,4.68
217,4.61
218,4.61
219,4.89
220,4.89
221,4.89
222,4.98
223,5.05
224,5.05
225,5.08
226,5.08
227,5.08
228,5.31
229,5.4
230,5.4
231,5.41
232,5.41
233,5.41
234,5.6
235,5.64
236,5.64
237,5.76
238,5.74
239,5.74
240,5.99
241,5.83
242,5.83
243,6.08
244,6.08
245,6.08
246,6.1
247,6.08
248,6.08
249,6.26
250,6.26
251,6.26
252,6.44
253,6.42
