bri,watt
1,0.59
2,0.59
3,0.58
4,0.6
5,0.63
6,0.57
7,0.59
8,0.61
9,0.61
10,0.6
11,0.59
12,0.54
13,0.63
14,0.58
15,0.58
16,0.59
17,0.66
18,0.58
19,0.61
20,0.64
21,0.59
22,0.59
23,0.62
24,0.64
25,0.6
26,0.58
27,0.58
28,0.66
29,0.66
30,0.59
31,0.65
32,0.6
33,0.65
34,0.62
35,0.62
36,0.72
37,0.69
38,0.65
39,0.67
40,0.7
41,0.66
42,0.66
43,0.69
44,0.7
45,0.73
46,0.72
47,0.72
48,0.72
49,0.73
50,0.75
51,0.75
52,0.77
53,0.76
54,0.76
55,0.79
56,0.78
57,0.76
58,0.79
59,0.77
60,0.76
61,0.76
62,0.82
63,0.81
64,0.78
65,0.84
66,0.8
67,0.8
68,0.79
69,0.76
70,0.82
71,0.83
72,0.9
73,0.8
74,0.8
75,0.83
76,1.0
77,0.94
78,1.0
79,1.0
80,1.0
81,1.01
82,1.02
83,1.01
84,1.04
85,1.0
86,1.11
87,1.11
88,1.05
89,1.07
90,1.11
91,1.14
92,1.14
93,1.04
94,1.04
95,1.1
96,1.15
97,1.21
98,1.15
99,1.15
100,1.15
101,1.17
102,1.28
103,1.3
104,1.24
105,1.29
106,1.31
107,1.31
108,1.31
109,1.28
110,1.39
111,1.39
112,1.4
113,1.4
114,1.41
115,1.38
116,1.38
117,1.44
118,1.51
119,1.41
120,1.41
121,1.45
122,1.52
123,1.51
124,1.52
125,1.54
126,1.57
127,1.57
128,1.62
129,1.63
130,1.61
131,1.6
132,1.72
133,1.72
134,1.67
135,1.69
136,1.74
137,1.7
138,1.75
139,1.82
140,1.82
141,1.9
142,1.81
143,1.91
144,1.83
145,1.91
146,1.91
147,1.91
148,2.02
149,1.99
150,2.02
151,2.0
152,2.07
153,2.07
154,2.02
155,2.11
156,2.09
157,2.18
158,2.15
159,2.16
160,2.16
161,2.23
162,2.32
163,2.32
164,2.31
165,2.31
166,2.39
167,2.35
168,2.47
169,2.46
170,2.48
171,2.43
172,2.43
173,2.51
174,2.54
175,2.59
176,2.57
177,2.56
178,2.65
179,2.65
180,2.68
181,2.66
182,2.73
183,2.67
184,2.79
185,2.79
186,2.87
187,2.84
188,2.86
189,2.97
190,2.95
191,2.95
192,2.95
193,2.98
194,2.99
195,3.04
196,3.11
197,3.23
198,3.23
199,3.22
200,3.32
201,3.22
202,3.35
203,3.32
204,3.35
205,3.35
206,3.36
207,3.42
208,3.48
209,3.51
210,3.49
211,3.57
212,3.57
213,3.64
214,3.72
215,3.67
216,3.65
217,3.72
218,3.72
219,3.82
220,3.88
221,3.93
222,3.89
223,3.97
224,3.93
225,3.93
226,4.04
227,4.1
228,4.11
229,4.21
230,4.16
231,4.16
232,4.34
233,4.33
234,4.36
235,4.44
236,4.52
237,4.49
238,4.49
239,4.61
240,4.55
241,4.63
242,4.75
243,4.71
244,4.75
245,4.75
246,4.86
247,4.91
248,4.93
249,4.93
250,5.01
251,5.01
252,5.1
253,5.22
254,5.2
255,5.2
