bri,watt
1,0.47
2,0.43
3,0.4
4,0.35
5,0.42
6,0.47
7,0.43
8,0.41
9,0.44
10,0.47
11,0.48
12,0.47
13,0.4
14,0.4
15,0.4
16,0.51
17,0.53
18,0.6
19,0.48
20,0.54
21,0.51
22,0.48
23,0.48
24,0.5
25,0.48
26,0.47
27,0.48
28,0.47
29,0.48
30,0.52
31,0.51
32,0.61
33,0.56
34,0.52
35,0.6
36,0.51
37,0.58
38,0.56
39,0.65
40,0.59
41,0.64
42,0.61
43,0.6
44,0.55
45,0.66
46,0.62
47,0.64
48,0.65
49,0.68
50,0.74
51,0.73
52,0.67
53,0.68
54,0.73
55,0.72
56,0.75
57,0.69
58,0.79
59,0.75
60,0.76
61,0.8
62,0.84
63,0.87
64,0.79
65,0.84
66,0.81
67,0.84
68,0.85
69,0.93
70,0.88
71,0.92
72,0.92
73,0.88
74,0.86
75,0.9
76,0.97
77,0.96
78,0.9
79,1.04
80,0.97
81,0.94
82,1.01
83,1.06
84,1.04
85,1.06
86,1.1
87,1.11
88,1.15
89,1.14
90,1.16
91,1.22
92,1.25
93,1.25
94,1.28
95,1.22
96,1.28
97,1.27
98,1.18
99,1.34
100,1.29
101,1.3
102,1.39
103,1.4
104,1.4
105,1.47
106,1.41
107,1.42
108,1.45
109,1.53
110,1.45
111,1.5
112,1.54
113,1.5
114,1.55
115,1.59
116,1.62
117,1.69
118,1.63
119,1.64
120,1.7
121,1.68
122,1.72
123,1.74
124,1.74
125,1.9
126,1.86
127,1.89
128,1.79
129,1.91
130,1.91
131,1.9
132,1.99
133,2.02
134,1.99
135,2.06
136,2.05
137,2.17
138,2.05
139,2.1
140,2.15
141,2.3
142,2.19
143,2.24
144,2.3
145,2.28
146,2.31
147,2.35
148,2.46
149,2.38
150,2.36
151,2.47
152,2.53
153,2.46
154,2.64
155,2.5
156,2.58
157,2.68
158,2.73
159,2.67
160,2.68
161,2.83
162,2.81
163,2.8
164,2.83
165,2.89
166,2.89
167,2.97
168,2.93
169,3.03
170,3.01
171,3.12
172,3.16
173,3.15
174,3.12
175,3.16
176,3.24
177,3.21
178,3.32
179,3.36
180,3.35
181,3.37
182,3.38
183,3.43
184,3.43
185,3.49
186,3.56
187,3.56
188,3.64
189,3.62
190,3.69
191,3.72
192,3.77
193,3.81
194,3.82
195,3.77
196,3.85
197,3.84
198,3.94
199,3.94
200,3.99
201,4.0
202,4.09
203,4.11
204,4.21
205,4.23
206,4.12
207,4.31
208,4.23
209,4.42
210,4.38
211,4.34
212,4.47
213,4.45
214,4.59
215,4.54
216,4.61
217,4.63
218,4.74
219,4.74
220,4.79
221,4.83
222,4.78
223,4.91
224,4.97
225,4.97
226,5.05
227,5.09
228,5.15
229,5.17
230,5.23
231,5.24
232,5.24
233,5.32
234,5.33
235,5.39
236,5.39
237,5.54
238,5.63
239,5.7
240,5.72
241,5.73
242,5.74
243,5.81
244,5.88
245,5.9
246,5.94
247,5.98
248,5.98
249,6.14
250,6.15
251,6.24
252,6.28
253,6.3
254,6.3
255,6.41
