bri,watt
1,0.76
2,0.79
3,0.7
4,0.83
5,0.81
6,0.75
7,0.76
8,0.75
9,0.78
10,0.74
11,0.74
12,0.77
13,0.67
14,0.72
15,0.71
16,0.78
17,0.76
18,0.77
19,0.8
20,0.8
21,0.82
22,0.77
23,0.82
24,0.77
25,0.79
26,0.75
27,0.72
28,0.85
29,0.8
30,0.78
31,0.76
32,0.81
33,0.87
34,0.85
35,0.9
36,0.77
37,0.8
38,0.81
39,0.91
40,0.84
41,0.91
42,1.0
43,0.88
44,0.88
45,0.89
46,0.91
47,0.89
48,0.92
49,0.86
50,0.84
51,0.92
52,0.89
53,0.92
54,0.91
55,0.85
56,0.92
57,0.96
58,0.96
59,0.96
60,1.0
61,0.95
62,1.05
63,1.0
64,1.03
65,0.96
66,1.05
67,1.14
68,1.13
69,1.11
70,1.19
71,1.24
72,1.27
73,1.25
74,1.22
75,1.32
76,1.3
77,1.39
78,1.33
79,1.47
80,1.49
81,1.58
82,1.5
83,1.59
84,1.59
85,1.71
86,1.64
87,1.74
88,1.73
89,1.69
90,1.88
91,1.71
92,1.85
93,1.94
94,1.93
95,1.81
96,1.93
97,1.98
98,2.02
99,2.06
100,1.97
101,2.25
102,2.25
103,2.21
104,2.23
105,2.27
106,2.28
107,2.31
108,2.28
109,2.29
110,2.32
111,2.45
112,2.42
113,2.35
114,2.55
115,2.47
116,2.56
117,2.59
118,2.64
119,2.72
120,2.76
121,2.57
122,2.7
123,2.67
124,2.75
125,2.82
126,2.75
127,2.75
128,2.83
129,2.89
130,2.78
131,2.93
132,2.97
133,2.92
134,3.05
135,2.97
136,3.07
137,3.14
138,3.12
139,3.08
140,3.22
141,3.28
142,3.24
143,3.29
144,3.36
145,3.47
146,3.38
147,3.5
148,3.41
149,3.49
150,3.6
151,3.53
152,3.67
153,3.72
154,3.67
155,3.7
156,3.77
157,3.86
158,3.85
159,3.91
160,4.0
161,3.91
162,3.9
163,4.12
164,4.16
165,4.21
166,4.21
167,4.27
168,4.2
169,4.36
170,4.36
171,4.48
172,4.53
173,4.46
174,4.51
175,4.59
176,4.62
177,4.81
178,4.75
179,4.86
180,4.86
181,5.06
182,4.95
183,5.1
184,5.0
185,5.15
186,5.22
187,5.25
188,5.29
189,5.42
190,5.43
191,5.46
192,5.56
193,5.65
194,5.73
195,5.75
196,5.81
197,5.78
198,5.86
199,5.9
200,5.96
201,5.97
202,6.1
203,6.2
204,6.19
205,6.34
206,6.45
207,6.51
208,6.52
209,6.6
210,6.67
211,6.78
212,6.76
213,6.74
214,6.87
215,6.82
216,7.01
217,7.1
218,7.07
219,7.18
220,7.24
221,7.27
222,7.51
223,7.51
224,7.63
225,7.53
226,7.65
227,7.73
228,7.74
229,7.79
230,7.84
231,8.01
232,7.99
233,8.11
234,8.28
235,8.31
236,8.32
237,8.41
238,8.45
239,8.61
240,8.64
241,8.68
242,8.76
243,8.82
244,8.99
245,8.9
246,9.14
247,9.16
248,9.18
249,9.24
250,9.42
251,9.4
252,9.45
253,9.63
254,9.61
255,9.93
