bri,mired,watt
1,153,0.97
1,163,0.94
1,173,0.99
1,183,0.96
1,193,0.93
1,203,0.96
1,213,0.92
1,223,0.98
1,233,1.06
1,243,0.94
1,253,0.96
1,263,0.98
1,273,1.06
1,283,0.99
1,293,0.98
1,303,0.89
1,313,0.96
1,323,0.97
1,333,0.98
1,343,0.9
1,353,0.98
1,363,0.99
1,370,0.98
6,153,1.1
6,163,1.06
6,173,1.09
6,183,1.09
6,193,1.07
6,203,1.04
6,213,1.12
6,223,1.1
6,233,1.14
6,243,1.08
6,253,1.03
6,263,1.1
6,273,1.03
6,283,1.05
6,293,1.17
6,303,1.14
6,313,1.08
6,323,1.02
6,333,1.11
6,343,1.05
6,353,1.14
6,363,1.02
6,370,1.04
11,153,1.18
11,163,1.09
11,173,1.08
11,183,1.16
11,193,1.2
11,203,1.13
11,213,1.14
11,223,1.17
11,233,1.18
11,243,1.17
11,253,1.17
11,263,1.15
11,273,1.19
11,283,1.18
11,293,1.26
11,303,1.13
11,313,1.17
11,323,1.15
11,333,1.08
11,343,1.19
11,353,1.25
11,363,1.21
11,370,1.24
16,153,1.37
16,163,1.21
16,173,1.22
16,183,1.25
16,193,1.26
16,203,1.25
16,213,1.17
16,223,1.21
16,233,1.2
16,243,1.18
16,253,1.25
16,263,1.27
16,273,1.36
16,283,1.28
16,293,1.25
16,303,1.29
16,313,1.28
16,323,1.21
16,333,1.32
16,343,1.27
16,353,1.21
16,363,1.14
16,370,1.24
21,153,1.39
21,163,1.31
21,173,1.36
21,183,1.31
21,193,1.32
21,203,1.32
21,213,1.25
21,223,1.32
21,233,1.39
21,243,1.29
21,253,1.32
21,263,1.36
21,273,1.36
21,283,1.33
21,293,1.37
21,303,1.31
21,313,1.4
21,323,1.31
21,333,1.32
21,343,1.26
21,353,1.49
21,363,1.33
21,370,1.34
26,153,1.45
26,163,1.32
26,173,1.42
26,183,1.44
26,193,1.42
26,203,1.41
26,213,1.41
26,223,1.51
26,233,1.43
26,243,1.37
26,253,1.43
26,263,1.39
26,273,1.46
26,283,1.37
26,293,1.33
26,303,1.43
26,313,1.46
26,323,1.38
26,333,1.47
26,343,1.37
26,353,1.41
26,363,1.44
26,370,1.35
31,153,1.53
31,163,1.49
31,173,1.57
31,183,1.45
31,193,1.51
31,203,1.52
31,213,1.52
31,223,1.44
31,233,1.53
31,243,1.47
31,253,1.54
31,263,1.56
31,273,1.46
31,283,1.44
31,293,1.51
31,303,1.47
31,313,1.49
31,323,1.45
31,333,1.48
31,343,1.46
31,353,1.51
31,363,1.49
31,370,1.48
36,153,1.53
36,163,1.64
36,173,1.53
36,183,1.56
36,193,1.62
36,203,1.57
36,213,1.53
36,223,1.59
36,233,1.55
36,243,1.59
36,253,1.51
36,263,1.6
36,273,1.64
36,283,1.58
36,293,1.58
36,303,1.53
36,313,1.58
36,323,1.59
36,333,1.53
36,343,1.66
36,353,1.54
36,363,1.6
36,370,1.65
41,153,1.78
41,163,1.68
41,173,1.76
41,183,1.67
41,193,1.62
41,203,1.67
41,213,1.78
41,223,1.63
41,233,1.65
41,243,1.56
41,253,1.7
41,263,1.67
41,273,1.67
41,283,1.65
41,293,1.63
41,303,1.59
41,313,1.62
41,323,1.65
41,333,1.64
41,343,1.71
41,353,1.71
41,363,1.68
41,370,1.55
46,153,1.73
46,163,1.75
46,173,1.71
46,183,1.7
46,193,1.75
46,203,1.68
46,213,1.69
