bri,mired,watt
1,153,2.61
1,163,2.56
1,173,2.59
1,183,2.69
1,193,2.8
1,203,2.79
1,213,2.79
1,223,2.84
1,233,2.8
1,243,2.78
1,253,2.88
1,263,2.86
1,273,2.9
1,283,2.79
1,293,2.77
1,303,2.79
1,313,2.81
1,323,2.83
1,333,2.78
1,343,2.79
1,353,2.82
1,363,2.77
1,373,2.82
1,383,2.8
1,393,2.73
1,403,2.77
1,413,2.84
1,423,2.82
1,433,2.79
1,443,2.79
1,453,2.86
1,463,2.76
1,473,2.84
1,483,2.8
1,493,2.82
1,500,2.83
6,153,3.14
6,163,3.1
6,173,3.16
6,183,3.21
6,193,3.16
6,203,3.16
6,213,3.12
6,223,3.1
6,233,3.16
6,243,3.16
6,253,3.08
6,263,3.17
6,273,3.16
6,283,3.14
6,293,3.14
6,303,3.13
6,313,3.17
6,323,3.16
6,333,3.13
6,343,3.11
6,353,3.14
6,363,3.12
6,373,3.14
6,383,3.21
6,393,3.1
6,403,3.12
6,413,3.07
6,423,3.09
6,433,3.17
6,443,3.03
6,453,3.14
6,463,3.07
6,473,3.18
6,483,3.12
6,493,3.15
6,500,3.11
11,153,3.32
11,163,3.55
11,173,3.51
11,183,3.51
11,193,3.49
11,203,3.56
11,213,3.45
11,223,3.54
11,233,3.45
11,243,3.54
11,253,3.47
11,263,3.47
11,273,3.46
11,283,3.5
11,293,3.46
11,303,3.44
11,313,3.47
11,323,3.49
11,333,3.52
11,343,3.55
11,353,3.46
11,363,3.47
11,373,3.5
11,383,3.48
11,393,3.43
11,403,3.48
11,413,3.47
11,423,3.5
11,433,3.49
11,443,3.41
11,453,3.46
11,463,3.49
11,473,3.5
11,483,3.54
11,493,3.46
11,500,3.51
16,153,3.8
16,163,3.84
16,173,3.75
16,183,3.77
16,193,3.82
16,203,3.8
16,213,3.74
16,223,3.8
16,233,3.76
16,243,3.87
16,253,3.84
16,263,3.86
16,273,3.78
16,283,3.84
16,293,3.74
16,303,3.84
16,313,3.83
16,323,3.83
16,333,3.77
16,343,3.81
16,353,3.82
16,363,3.8
16,373,3.83
16,383,3.76
16,393,3.85
16,403,3.83
16,413,3.8
16,423,3.8
16,433,3.78
16,443,3.79
16,453,3.8
16,463,3.74
16,473,3.81
16,483,3.84
16,493,3.83
16,500,3.8
21,153,4.12
21,163,4.1
21,173,4.15
21,183,4.16
21,193,4.09
21,203,4.17
21,213,4.1
21,223,4.16
21,233,4.14
21,243,4.09
21,253,4.19
21,263,4.14
21,273,4.12
21,283,4.05
21,293,4.14
21,303,4.13
21,313,4.14
21,323,4.15
21,333,4.15
21,343,4.15
21,353,4.1
21,363,4.08
21,373,4.16
21,383,4.07
21,393,4.12
21,403,4.12
21,413,4.1
21,423,4.14
21,433,4.14
21,443,4.09
21,453,4.16
21,463,4.15
21,473,4.12
21,483,4.07
21,493,4.08
21,500,4.14
26,153,4.47
26,163,4.5
26,173,4.51
26,183,4.43
26,193,4.5
26,203,4.52
26,213,4.46
26,223,4.46
26,233,4.44
26,243,4.44
26,253,4.48
26,263,4.46
26,273,4.43
26,283,4.47
26,293,4.45
26,303,4.49
26,313,4.52
26,323,4.47
26,333,4.49
26,343,4.52
26,353,4.53
26,363,4.5
26,373,4.47
26,383,4.44
26,393,4.5
26,403,4.51
26,413,4.47
26,423,4.46
26,433,4.47
26,443,4.46
26,453,4.48
26,463,4.48
26,473,4.53
26,483,4.45
26,493,4.47
26,500,4.49
31,153,4.77
31,163,4.82
31,173,4.78
31,183,4.77
31,193,4.79
31,203,4.84
31,213,4.83
31,223,4.82
31,233,4.86
31,243,4.8
31,253,4.84
31,263,4.81
31,273,4.81
31,283,4.77
31,293,4.77
31,303,4.82
31,313,4.8
31,323,4.8
31,333,4.8
31,343,4.8
31,353,4.81
31,363,4.87
31,373,4.8
31,383,4.81
31,393,4.79
31,403,4.79
31,413,4.88
31,423,4.83
31,433,4.82
31,443,4.86
31,453,4.77
31,463,4.79
31,473,4.8
31,483,4.83
31,493,4.83
31,500,4.83
36,153,4.92
36,163,5.16
36,173,5.22
36,183,5.22
36,193,5.22
36,203,5.18
36,213,5.17
36,223,5.19
36,233,5.19
36,243,5.24
36,253,5.2
36,263,5.17
36,273,5.15
36,283,5.19
36,293,5.25
36,303,5.22
36,313,5.18
36,323,5.17
36,333,5.17
36,343,5.15
36,353,5.14
36,363,5.19
36,373,5.18
36,383,5.17
36,393,5.12
36,403,5.18
36,413,5.11
36,423,5.21
36,433,5.19
36,443,5.15
36,453,5.11
36,463,5.17
36,473,5.16
36,483,5.15
36,493,5.19
36,500,5.19
41,153,5.31
41,163,5.53
41,173,5.47
41,183,5.51
41,193,5.53
41,203,5.51
41,213,5.55
41,223,5.53
41,233,5.59
41,243,5.47
41,253,5.49
41,263,5.55
41,273,5.54
41,283,5.51
41,293,5.58
41,303,5.53
41,313,5.49
41,323,5.55
41,333,5.55
41,343,5.55
41,353,5.49
41,363,5.56
41,373,5.52
41,383,5.49
41,393,5.49
41,403,5.47
41,413,5.4
41,423,5.51
41,433,5.56
41,443,5.5
41,453,5.56
41,463,5.5
41,473,5.55
41,483,5.54
41,493,5.52
41,500,5.52
46,153,5.6
46,163,5.86
46,173,5.82
46,183,5.84
46,193,5.84
46,203,5.84
46,213,5.75
46,223,5.78
46,233,5.82
46,243,5.85
46,253,5.87
46,263,5.81
46,273,5.83
46,283,5.86
46,293,5.85
46,303,5.86
46,313,5.87
46,323,5.88
46,333,5.85
46,343,5.83
46,353,5.86
46,363,5.85
46,373,5.78
46,383,5.83
46,393,5.81
46,403,5.82
46,413,5.84
46,423,5.9
46,433,5.79
46,443,5.79
46,453,5.77
46,463,5.77
46,473,5.85
46,483,5.82
46,493,5.8
46,500,5.81
51,153,6.02
51,163,6.16
51,173,6.18
51,183,6.19
51,193,6.13
51,203,6.16
51,213,6.22
51,223,5.92
51,233,5.88
51,243,6.0
51,253,5.88
51,263,5.93
51,273,5.89
51,283,5.8
51,293,5.93
51,303,5.92
51,313,5.94
51,323,5.93
51,333,5.82
51,343,5.97
51,353,5.94
51,363,5.94
51,373,5.84
51,383,5.8
51,393,5.98
51,403,5.98
51,413,6.07
51,423,5.97
51,433,5.9
51,443,5.96
51,453,5.97
51,463,5.96
51,473,6.0
51,483,5.92
51,493,5.96
51,500,5.95
56,153,6.19
56,163,6.26
56,173,6.27
56,183,6.24
56,193,6.27
56,203,6.33
56,213,6.36
56,223,6.42
56,233,6.39
56,243,6.37
56,253,6.43
56,263,6.33
56,273,6.34
56,283,6.44
56,293,6.43
56,303,6.49
56,313,6.42
56,323,6.35
56,333,6.37
56,343,6.4
56,353,6.42
56,363,6.46
56,373,6.36
56,383,6.3
56,393,6.24
56,403,6.28
56,413,6.4
56,423,6.31
56,433,6.4
56,443,6.35
56,453,6.35
56,463,6.39
56,473,6.39
56,483,6.41
56,493,6.38
56,500,6.38
61,153,6.61
61,163,6.68
61,173,6.62
61,183,6.64
61,193,6.69
61,203,6.75
61,213,6.62
61,223,6.66
61,233,6.53
61,243,6.67
61,253,6.69
61,263,6.72
61,273,6.67
61,283,6.84
61,293,6.75
61,303,6.59
61,313,6.67
61,323,6.71
61,333,6.62
61,343,6.7
61,353,6.59
61,363,6.67
61,373,6.63
61,383,6.61
61,393,6.7
61,403,6.73
61,413,6.83
61,423,6.74
61,433,6.62
61,443,6.74
61,453,6.66
61,463,6.71
61,473,6.6
61,483,6.58
61,493,6.68
61,500,6.58
66,153,6.98
66,163,7.07
66,173,6.88
66,183,6.91
66,193,6.89
66,203,6.95
66,213,7.0
66,223,6.94
66,233,7.05
66,243,6.92
66,253,6.96
66,263,6.96
66,273,6.9
66,283,6.97
66,293,7.01
66,303,6.95
66,313,6.98
66,323,7.0
66,333,6.97
66,343,7.06
66,353,6.9
66,363,6.99
66,373,7.0
66,383,6.96
66,393,7.08
66,403,7.04
66,413,6.93
66,423,6.92
66,433,7.03
66,443,6.94
66,453,6.92
66,463,6.9
66,473,6.98
66,483,7.11
66,493,7.17
66,500,7.24
71,153,7.39
71,163,7.54
71,173,7.64
71,183,7.55
71,193,7.58
71,203,7.58
71,213,7.56
71,223,7.58
71,233,7.53
71,243,7.54
71,253,7.56
71,263,7.59
71,273,7.58
71,283,7.55
71,293,7.58
71,303,7.6
71,313,7.65
71,323,7.61
71,333,7.55
71,343,7.6
71,353,7.53
71,363,7.61
71,373,7.57
71,383,7.57
71,393,7.57
71,403,7.55
71,413,7.65
71,423,7.56
71,433,7.59
71,443,7.59
71,453,7.54
71,463,7.62
71,473,7.58
71,483,7.58
71,493,7.59
71,500,7.64
76,153,7.99
76,163,7.92
76,173,7.92
76,183,7.95
76,193,7.95
76,203,7.93
76,213,8.0
76,223,7.94
76,233,7.97
76,243,7.97
76,253,8.01
76,263,7.96
76,273,7.97
76,283,8.0
76,293,7.99
76,303,7.98
76,313,7.98
76,323,7.96
76,333,7.99
76,343,8.01
76,353,7.96
76,363,8.02
76,373,7.98
76,383,7.98
76,393,7.96
76,403,7.96
76,413,7.97
76,423,7.98
76,433,7.88
76,443,7.95
76,453,7.92
76,463,7.98
76,473,7.93
76,483,7.94
76,493,7.97
76,500,7.93
81,153,8.16
81,163,8.32
81,173,8.35
81,183,8.33
81,193,8.31
81,203,8.26
81,213,8.34
81,223,8.36
81,233,8.29
81,243,8.38
81,253,8.37
81,263,8.31
81,273,8.34
81,283,8.37
81,293,8.35
81,303,8.32
81,313,8.31
81,323,8.33
81,333,8.34
