bri,mired,watt
1,153,1.05
1,163,1.08
1,173,1.08
1,183,1.11
1,193,1.05
1,203,1.11
1,213,1.07
1,223,1.07
1,233,1.13
1,243,1.05
1,253,1.09
1,263,1.09
1,273,1.12
1,283,1.07
1,293,1.08
1,303,1.12
1,313,1.09
1,323,1.09
1,333,1.09
1,343,1.04
1,353,1.12
1,363,1.08
1,370,1.08
6,153,1.27
6,163,1.2
6,173,1.27
6,183,1.27
6,193,1.21
6,203,1.27
6,213,1.27
6,223,1.27
6,233,1.27
6,243,1.25
6,253,1.31
6,263,1.25
6,273,1.29
6,283,1.29
6,293,1.25
6,303,1.27
6,313,1.25
6,323,1.27
6,333,1.25
6,343,1.25
6,353,1.27
6,363,1.25
6,370,1.27
11,153,1.41
11,163,1.38
11,173,1.38
11,183,1.37
11,193,1.39
11,203,1.39
11,213,1.43
11,223,1.45
11,233,1.42
11,243,1.41
11,253,1.41
11,263,1.43
11,273,1.43
11,283,1.42
11,293,1.41
11,303,1.42
11,313,1.41
11,323,1.42
11,333,1.35
11,343,1.43
11,353,1.43
11,363,1.48
11,370,1.38
16,153,1.5
16,163,1.49
16,173,1.49
16,183,1.46
16,193,1.49
16,203,1.5
16,213,1.48
16,223,1.5
16,233,1.48
16,243,1.49
16,253,1.46
16,263,1.45
16,273,1.54
16,283,1.5
16,293,1.52
16,303,1.54
16,313,1.56
16,323,1.45
16,333,1.49
16,343,1.5
16,353,1.49
16,363,1.48
16,370,1.52
21,153,1.66
21,163,1.64
21,173,1.66
21,183,1.66
21,193,1.62
21,203,1.66
21,213,1.66
21,223,1.7
21,233,1.64
21,243,1.66
21,253,1.66
21,263,1.64
21,273,1.7
21,283,1.62
21,293,1.74
21,303,1.7
21,313,1.66
21,323,1.66
21,333,1.7
21,343,1.64
21,353,1.66
21,363,1.7
21,370,1.7
26,153,1.8
26,163,1.78
26,173,1.79
26,183,1.75
26,193,1.79
26,203,1.78
26,213,1.8
26,223,1.79
26,233,1.79
26,243,1.83
26,253,1.78
26,263,1.79
26,273,1.79
26,283,1.82
26,293,1.82
26,303,1.82
26,313,1.8
26,323,1.83
26,333,1.86
26,343,1.94
26,353,1.9
26,363,1.93
26,370,1.93
31,153,2.07
31,163,2.09
31,173,2.02
31,183,2.03
31,193,2.05
31,203,2.03
31,213,2.05
31,223,2.03
31,233,2.05
31,243,2.07
31,253,2.02
31,263,2.07
31,273,2.09
31,283,2.07
31,293,2.05
31,303,2.05
31,313,2.09
31,323,2.09
31,333,2.09
31,343,2.07
31,353,2.07
31,363,2.07
31,370,2.11
36,153,2.21
36,163,2.21
36,173,2.17
36,183,2.19
36,193,2.2
36,203,2.19
36,213,2.2
36,223,2.2
36,233,2.19
36,243,2.2
36,253,2.23
36,263,2.2
36,273,2.23
36,283,2.25
36,293,2.24
36,303,2.21
36,313,2.24
36,323,2.25
36,333,2.24
36,343,2.25
36,353,2.25
36,363,2.23
36,370,2.27
41,153,2.32
41,163,2.34
41,173,2.38
41,183,2.35
41,193,2.38
41,203,2.34
41,213,2.4
41,223,2.36
41,233,2.39
41,243,2.38
41,253,2.38
41,263,2.36
41,273,2.4
41,283,2.38
41,293,2.4
41,303,2.4
41,313,2.43
41,323,2.4
41,333,2.42
41,343,2.43
41,353,2.39
41,363,2.38
41,370,2.4
46,153,2.52
46,163,2.48
46,173,2.48
46,183,2.48
46,193,2.48
46,203,2.5
46,213,2.48
46,223,2.56
46,233,2.5
46,243,2.56
46,253,2.52
46,263,2.56
46,273,2.6
46,283,2.54
46,293,2.57
46,303,2.54
46,313,2.57
46,323,2.58
46,333,2.57
46,343,2.6
46,353,2.57
46,363,2.52
46,370,2.58
51,153,2.66
51,163,2.64
51,173,2.69
51,183,2.61
51,193,2.66
51,203,2.65
51,213,2.64
51,223,2.68
51,233,2.66
51,243,2.7
51,253,2.69
51,263,2.72
51,273,2.73
51,283,2.72
51,293,2.7
51,303,2.73
51,313,2.73
51,323,2.73
51,333,2.76
51,343,2.73
51,353,2.75
51,363,2.73
51,370,2.76
56,153,2.75
56,163,2.73
56,173,2.75
56,183,2.7
56,193,2.75
56,203,2.77
56,213,2.76
56,223,2.76
56,233,2.79
56,243,2.77
56,253,2.77
56,263,2.76
56,273,2.79
56,283,2.77
56,293,2.8
56,303,2.79
56,313,2.8
56,323,2.84
56,333,2.8
56,343,2.84
56,353,2.81
56,363,2.79
56,370,2.81
61,153,2.87
61,163,2.89
61,173,2.87
61,183,2.87
61,193,2.89
61,203,2.89
61,213,2.91
61,223,2.93
61,233,2.93
61,243,2.95
61,253,2.93
61,263,2.97
61,273,2.97
61,283,2.93
61,293,2.95
61,303,2.98
61,313,2.98
61,323,2.98
61,333,3.01
61,343,2.97
61,353,3.01
61,363,2.98
61,370,3.02
66,153,3.05
66,163,3.01
66,173,3.06
66,183,3.02
66,193,3.07
66,203,3.06
66,213,3.09
66,223,3.07
66,233,3.05
66,243,3.1
66,253,3.11
66,263,3.14
66,273,3.11
66,283,3.09
66,293,3.13
66,303,3.11
66,313,3.16
66,323,3.18
66,333,3.17
66,343,3.14
66,353,3.09
66,363,3.05
66,370,3.09
71,153,3.11
71,163,3.1
71,173,3.11
71,183,3.13
71,193,3.07
71,203,3.09
71,213,3.13
71,223,3.14
71,233,3.14
71,243,3.14
71,253,3.16
71,263,3.18
71,273,3.17
71,283,3.16
71,293,3.21
71,303,3.18
71,313,3.17
71,323,3.21
71,333,3.2
71,343,3.24
71,353,3.2
71,363,3.24
71,370,3.28
76,153,3.25
76,163,3.26
76,173,3.24
76,183,3.24
76,193,3.3
76,203,3.3
76,213,3.28
76,223,3.3
76,233,3.3
76,243,3.3
76,253,3.34
76,263,3.3
76,273,3.34
76,283,3.32
