bri,mired,watt
5,153,0.6
5,163,0.54
5,173,0.58
5,183,0.56
5,193,0.53
5,203,0.53
5,213,0.53
5,223,0.55
5,233,0.55
5,243,0.55
5,253,0.55
5,263,0.53
5,273,0.55
5,283,0.55
5,293,0.55
5,303,0.56
5,313,0.53
5,323,0.54
5,333,0.54
5,343,0.54
5,353,0.53
5,363,0.52
5,373,0.54
5,383,0.54
5,393,0.54
5,403,0.51
5,413,0.53
5,423,0.5
5,433,0.52
5,443,0.53
5,453,0.5
5,463,0.54
5,473,0.52
5,483,0.53
5,493,0.53
5,500,0.54
10,153,0.73
10,163,0.71
10,173,0.72
10,183,0.72
10,193,0.7
10,203,0.71
10,213,0.73
10,223,0.7
10,233,0.7
10,243,0.7
10,253,0.71
10,263,0.7
10,273,0.7
10,283,0.7
10,293,0.7
10,303,0.71
10,313,0.7
10,323,0.71
10,333,0.71
10,343,0.69
10,353,0.68
10,363,0.68
10,373,0.68
10,383,0.68
10,393,0.68
10,403,0.68
10,413,0.69
10,423,0.71
10,433,0.68
10,443,0.71
10,453,0.68
10,463,0.71
10,473,0.69
10,483,0.68
10,493,0.69
10,500,0.71
15,153,0.88
15,163,0.89
15,173,0.89
15,183,0.88
15,193,0.87
15,203,0.87
15,213,0.87
15,223,0.85
15,233,0.88
15,243,0.86
15,253,0.87
15,263,0.86
15,273,0.88
15,283,0.87
15,293,0.85
15,303,0.84
15,313,0.87
15,323,0.85
15,333,0.87
15,343,0.89
15,353,0.86
15,363,0.88
15,373,0.87
15,383,0.85
15,393,0.85
15,403,0.85
15,413,0.85
15,423,0.85
15,433,0.85
15,443,0.86
15,453,0.86
15,463,0.88
15,473,0.87
15,483,0.87
15,493,0.85
15,500,0.87
20,153,1.02
20,163,1.05
20,173,1.03
20,183,1.05
20,193,1.05
20,203,1.05
20,213,1.02
20,223,1.02
20,233,1.02
20,243,1.02
20,253,1.02
20,263,1.02
20,273,1.02
20,283,1.05
20,293,0.99
20,303,1.02
20,313,1.02
20,323,1.02
20,333,1.02
20,343,1.02
20,353,1.02
20,363,0.99
20,373,1.0
20,383,1.0
20,393,1.02
20,403,1.02
20,413,1.02
20,423,1.02
20,433,1.02
20,443,1.02
20,453,1.02
20,463,1.04
20,473,1.05
20,483,1.05
20,493,1.0
20,500,1.0
25,153,1.2
25,163,1.23
25,173,1.2
25,183,1.21
25,193,1.18
25,203,1.24
25,213,1.21
25,223,1.21
25,233,1.21
25,243,1.2
25,253,1.23
25,263,1.18
25,273,1.22
25,283,1.23
25,293,1.2
25,303,1.2
25,313,1.22
25,323,1.23
25,333,1.23
25,343,1.2
25,353,1.23
25,363,1.23
25,373,1.2
25,383,1.23
25,393,1.18
25,403,1.21
25,413,1.21
25,423,1.18
25,433,1.23
25,443,1.23
25,453,1.23
25,463,1.23
25,473,1.21
25,483,1.21
25,493,1.21
25,500,1.22
30,153,1.44
30,163,1.42
30,173,1.39
30,183,1.38
30,193,1.38
30,203,1.4
30,213,1.41
30,223,1.41
30,233,1.41
30,243,1.4
30,253,1.41
30,263,1.41
30,273,1.36
30,283,1.36
30,293,1.41
30,303,1.41
30,313,1.36
30,323,1.4
30,333,1.39
30,343,1.39
30,353,1.41
30,363,1.4
30,373,1.38
30,383,1.38
30,393,1.38
30,403,1.36
30,413,1.38
30,423,1.35
30,433,1.38
30,443,1.39
30,453,1.37
30,463,1.39
30,473,1.38
30,483,1.38
30,493,1.38
30,500,1.38
35,153,1.6
35,163,1.59
35,173,1.59
35,183,1.59
35,193,1.56
35,203,1.56
35,213,1.55
35,223,1.57
35,233,1.55
35,243,1.58
35,253,1.56
35,263,1.55
35,273,1.59
35,283,1.54
35,293,1.59
35,303,1.56
35,313,1.56
35,323,1.55
35,333,1.56
35,343,1.56
35,353,1.58
35,363,1.55
35,373,1.58
35,383,1.54
35,393,1.56
35,403,1.54
35,413,1.54
35,423,1.54
35,433,1.56
35,443,1.56
35,453,1.58
35,463,1.58
35,473,1.58
35,483,1.58
35,493,1.58
35,500,1.53
40,153,1.78
40,163,1.76
40,173,1.74
40,183,1.79
40,193,1.74
40,203,1.74
40,213,1.74
40,223,1.74
40,233,1.71
40,243,1.73
40,253,1.74
40,263,1.73
40,273,1.74
40,283,1.74
40,293,1.74
40,303,1.71
40,313,1.73
40,323,1.74
40,333,1.74
40,343,1.71
40,353,1.71
40,363,1.75
40,373,1.74
40,383,1.76
40,393,1.74
40,403,1.7
40,413,1.73
40,423,1.73
40,433,1.74
40,443,1.73
40,453,1.71
40,463,1.73
40,473,1.74
40,483,1.74
40,493,1.74
40,500,1.74
45,153,1.95
45,163,1.94
45,173,1.95
45,183,1.93
45,193,1.91
45,203,1.91
45,213,1.93
45,223,1.91
45,233,1.93
45,243,1.89
45,253,1.89
45,263,1.89
45,273,1.92
45,283,1.89
45,293,1.89
45,303,1.9
45,313,1.9
45,323,1.91
45,333,1.91
45,343,1.84
45,353,1.9
45,363,1.89
45,373,1.93
45,383,1.89
45,393,1.88
45,403,1.88
45,413,1.88
45,423,1.9
45,433,1.89
45,443,1.88
45,453,1.89
45,463,1.89
45,473,1.94
45,483,1.91
45,493,1.93
45,500,1.9
50,153,2.11
50,163,2.09
50,173,2.11
50,183,2.09
50,193,2.1
50,203,2.06
50,213,2.07
50,223,2.07
50,233,2.07
50,243,2.06
50,253,2.07
50,263,2.1
50,273,2.05
50,283,2.05
50,293,2.07
50,303,2.06
50,313,2.06
50,323,2.04
50,333,2.06
50,343,2.03
50,353,2.02
50,363,2.02
50,373,2.05
50,383,2.03
50,393,2.03
50,403,2.02
50,413,2.03
50,423,2.06
50,433,2.03
50,443,2.03
50,453,2.03
50,463,2.05
50,473,2.03
50,483,2.03
50,493,2.03
50,500,2.03
55,153,2.23
55,163,2.23
55,173,2.23
55,183,2.23
55,193,2.26
55,203,2.25
55,213,2.26
55,223,2.24
55,233,2.21
55,243,2.26
55,253,2.24
55,263,2.25
55,273,2.21
55,283,2.26
55,293,2.24
55,303,2.24
55,313,2.24
55,323,2.23
55,333,2.23
55,343,2.23
55,353,2.21
55,363,2.25
55,373,2.21
55,383,2.24
55,393,2.21
55,403,2.23
55,413,2.2
55,423,2.23
55,433,2.23
55,443,2.2
55,453,2.23
55,463,2.2
55,473,2.21
55,483,2.23
55,493,2.23
55,500,2.23
60,153,2.43
60,163,2.45
60,173,2.46
60,183,2.42
60,193,2.4
60,203,2.41
60,213,2.4
60,223,2.41
60,233,2.4
60,243,2.4
60,253,2.38
60,263,2.41
60,273,2.41
60,283,2.41
60,293,2.41
60,303,2.41
60,313,2.39
60,323,2.38
60,333,2.39
60,343,2.39
60,353,2.4
60,363,2.41
60,373,2.37
60,383,2.41
60,393,2.36
60,403,2.36
60,413,2.39
60,423,2.38
60,433,2.38
60,443,2.4
60,453,2.37
60,463,2.41
60,473,2.37
60,483,2.39
60,493,2.36
60,500,2.39
65,153,2.61
65,163,2.61
65,173,2.59
65,183,2.59
65,193,2.59
65,203,2.59
65,213,2.58
65,223,2.56
65,233,2.56
65,243,2.56
65,253,2.56
65,263,2.56
65,273,2.56
65,283,2.53
65,293,2.58
65,303,2.55
65,313,2.53
65,323,2.53
65,333,2.53
65,343,2.52
65,353,2.53
65,363,2.56
65,373,2.55
65,383,2.53
65,393,2.54
65,403,2.55
65,413,2.55
65,423,2.53
65,433,2.53
65,443,2.5
65,453,2.51
65,463,2.52
65,473,2.53
65,483,2.53
65,493,2.55
65,500,2.52
70,153,2.75
70,163,2.75
70,173,2.75
70,183,2.73
70,193,2.73
70,203,2.74
70,213,2.73
70,223,2.73
70,233,2.67
70,243,2.73
70,253,2.75
70,263,2.71
70,273,2.71
70,283,2.7
70,293,2.7
70,303,2.68
70,313,2.68
70,323,2.71
70,333,2.68
70,343,2.7
70,353,2.67
70,363,2.7
70,373,2.72
70,383,2.69
70,393,2.67
70,403,2.67
70,413,2.67
70,423,2.67
70,433,2.68
70,443,2.65
70,453,2.65
70,463,2.67
70,473,2.67
70,483,2.65
70,493,2.68
70,500,2.71
75,153,2.96
75,163,2.92
75,173,2.95
75,183,2.95
75,193,2.91
75,203,2.91
75,213,2.91
75,223,2.9
75,233,2.88
75,243,2.9
75,253,2.91
75,263,2.91
75,273,2.86
75,283,2.89
75,293,2.87
75,303,2.86
75,313,2.89
75,323,2.86
75,333,2.89
75,343,2.85
75,353,2.87
75,363,2.9
75,373,2.86
75,383,2.87
75,393,2.87
75,403,2.9
75,413,2.86
75,423,2.86
75,433,2.87
75,443,2.9
75,453,2.85
75,463,2.88
75,473,2.86
75,483,2.86
75,493,2.86
75,500,2.83
80,153,3.14
80,163,3.1
80,173,3.1
80,183,3.09
80,193,3.09
80,203,3.1
80,213,3.06
80,223,3.08
80,233,3.09
80,243,3.08
80,253,3.05
80,263,3.1
80,273,3.07
80,283,3.06
80,293,3.06
80,303,3.06
80,313,3.04
80,323,3.05
80,333,3.05
80,343,3.06
80,353,3.06
80,363,3.06
80,373,3.05
80,383,3.06
80,393,3.06
80,403,3.06
80,413,3.05
80,423,3.03
80,433,3.03
80,443,3.03
80,453,3.03
80,463,3.04
80,473,3.05
80,483,3.02
80,493,3.03
80,500,3.04
85,153,3.31
85,163,3.26
85,173,3.29
85,183,3.29
85,193,3.26
85,203,3.27
85,213,3.29
85,223,3.24
85,233,3.24
85,243,3.26
85,253,3.24
85,263,3.23
85,273,3.24
85,283,3.24
85,293,3.21
85,303,3.23
85,313,3.24
85,323,3.21
85,333,3.24
85,343,3.24
85,353,3.2
85,363,3.2
85,373,3.2
85,383,3.2
85,393,3.2
85,403,3.21
85,413,3.2
85,423,3.2
85,433,3.22
85,443,3.21
85,453,3.22
85,463,3.21
85,473,3.19
85,483,3.18
85,493,3.21
85,500,3.2
90,153,3.45
90,163,3.45
90,173,3.48
90,183,3.45
90,193,3.41
90,203,3.43
90,213,3.43
90,223,3.43
90,233,3.41
90,243,3.43
90,253,3.4
90,263,3.4
90,273,3.38
90,283,3.38
90,293,3.4
90,303,3.39
90,313,3.36
90,323,3.39
90,333,3.39
90,343,3.39
90,353,3.39
90,363,3.39
90,373,3.37
90,383,3.38
90,393,3.36
90,403,3.37
90,413,3.36
90,423,3.38
90,433,3.36
90,443,3.39
90,453,3.38
90,463,3.38
90,473,3.36
90,483,3.37
90,493,3.36
90,500,3.39
95,153,3.64
95,163,3.64
95,173,3.63
95,183,3.61
95,193,3.61
95,203,3.58
95,213,3.59
95,223,3.61
95,233,3.58
95,243,3.58
95,253,3.55
95,263,3.56
95,273,3.56
95,283,3.56
95,293,3.56
95,303,3.52
95,313,3.55
95,323,3.58
95,333,3.54
95,343,3.53
95,353,3.54
95,363,3.51
95,373,3.54
95,383,3.51
95,393,3.55
95,403,3.51
95,413,3.56
95,423,3.51
95,433,3.54
95,443,3.54
95,453,3.5
95,463,3.53
95,473,3.56
95,483,3.54
95,493,3.54
95,500,3.54
100,153,3.81
100,163,3.8
100,173,3.81
100,183,3.79
100,193,3.79
100,203,3.77
100,213,3.76
100,223,3.74
100,233,3.76
100,243,3.73
100,253,3.78
100,263,3.71
100,273,3.73
100,283,3.74
100,293,3.74
100,303,3.73
100,313,3.74
100,323,3.73
100,333,3.73
100,343,3.73
100,353,3.72
100,363,3.68
100,373,3.7
100,383,3.69
100,393,3.69
100,403,3.73
100,413,3.69
100,423,3.7
100,433,3.69
100,443,3.69
100,453,3.68
100,463,3.68
100,473,3.72
100,483,3.74
100,493,3.7
100,500,3.72
105,153,3.98
105,163,3.99
105,173,3.98
105,183,3.96
105,193,3.93
105,203,3.94
105,213,3.96
105,223,3.93
105,233,3.93
105,243,3.93
105,253,3.93
105,263,3.93
105,273,3.88
105,283,3.89
105,293,3.89
105,303,3.89
105,313,3.88
105,323,3.89
105,333,3.88
105,343,3.88
105,353,3.88
105,363,3.88
105,373,3.87
105,383,3.88
105,393,3.89
105,403,3.84
105,413,3.86
105,423,3.85
105,433,3.83
105,443,3.88
105,453,3.88
105,463,3.84
105,473,3.87
105,483,3.84
105,493,3.86
105,500,3.84
110,153,4.14
110,163,4.14
110,173,4.14
110,183,4.09
110,193,4.09
110,203,4.09
110,213,4.09
110,223,4.09
110,233,4.09
110,243,4.08
110,253,4.08
110,263,4.06
110,273,4.08
110,283,4.05
110,293,4.08
110,303,4.04
110,313,4.04
110,323,4.06
110,333,4.07
110,343,4.05
110,353,4.05
110,363,4.05
110,373,4.04
110,383,4.03
110,393,4.04
110,403,4.06
110,413,4.04
110,423,4.06
110,433,4.03
110,443,4.05
110,453,4.06
110,463,4.01
110,473,4.03
110,483,4.05
110,493,4.03
110,500,4.06
115,153,4.34
115,163,4.3
115,173,4.3
115,183,4.3
115,193,4.27
115,203,4.24
115,213,4.26
115,223,4.25
115,233,4.25
115,243,4.23
115,253,4.23
115,263,4.23
115,273,4.24
115,283,4.22
115,293,4.19
115,303,4.22
115,313,4.19
115,323,4.2
115,333,4.19
115,343,4.19
115,353,4.19
115,363,4.19
115,373,4.19
115,383,4.19
115,393,4.21
115,403,4.19
115,413,4.19
115,423,4.19
115,433,4.19
115,443,4.18
115,453,4.18
115,463,4.19
115,473,4.18
115,483,4.16
115,493,4.16
115,500,4.18
120,153,4.48
120,163,4.46
120,173,4.48
120,183,4.43
