bri,mired,watt
1,153,0.47
1,163,0.43
1,193,0.28
1,213,0.26
1,233,0.45
1,253,0.35
1,263,0.54
1,273,0.34
1,293,0.32
1,313,0.3
1,323,0.432
1,353,0.27
1,373,0.54
1,393,0.33
6,153,0.49
6,173,0.36
6,193,0.34
6,203,0.33
6,213,0.33
6,233,0.38
6,253,0.44
6,273,0.31
6,283,0.41
6,293,0.45
6,313,0.34
6,333,0.52
6,343,0.5
6,363,0.53
6,373,0.43
6,393,0.47
6,400,0.43
11,163,0.48
11,173,0.48
11,183,0.48
11,193,0.51
11,203,0.67
11,213,0.45
11,223,0.48
11,233,0.66
11,243,0.68
11,253,0.61
11,263,0.6
11,273,0.55
11,283,0.49
11,293,0.47
11,303,0.53
11,313,0.64
11,323,0.66
11,333,0.54
11,343,0.53
11,353,0.53
11,363,0.49
11,373,0.53
11,383,0.69
11,393,0.66
11,400,0.57
16,153,0.56
16,163,0.77
16,173,0.67
16,183,0.7
16,193,0.71
16,203,0.71
16,213,0.77
16,223,0.62
16,233,0.76
16,243,0.72
16,253,0.64
16,263,0.8
16,273,0.7
16,283,0.63
16,293,0.71
16,303,0.8
16,313,0.74
16,323,0.78
16,333,0.69
16,343,0.71
16,353,0.85
16,363,0.82
16,373,0.82
16,383,0.88
16,393,0.72
16,400,0.74
21,153,0.83
21,163,0.85
21,173,0.76
21,183,0.83
21,193,0.77
21,203,0.73
21,213,0.81
21,223,0.78
21,233,0.77
21,243,0.98
21,253,0.88
21,263,0.89
21,273,0.89
21,283,0.78
21,293,0.91
21,303,0.91
21,313,0.81
21,323,0.89
21,333,0.84
21,343,0.93
21,353,0.9
21,363,0.91
21,373,0.83
21,383,1.0
21,393,0.81
21,400,0.93
26,153,0.8
26,163,0.93
26,173,0.86
26,183,1.02
26,193,0.92
26,203,0.87
26,213,0.98
26,223,0.99
26,233,0.95
26,243,0.92
26,253,0.99
26,263,0.88
26,273,0.96
26,283,0.93
26,293,1.07
26,303,0.97
26,313,1.01
26,323,0.99
26,333,1.06
26,343,1.06
26,353,0.97
26,363,1.05
26,373,1.27
26,383,1.21
26,393,1.05
26,400,0.94
31,153,1.24
31,163,1.08
31,173,0.92
31,183,1.23
31,193,1.04
31,203,1.09
31,213,1.21
31,223,1.03
31,233,1.11
31,243,1.14
31,253,1.02
31,263,1.11
31,273,1.13
31,283,1.03
31,293,1.17
31,303,1.05
31,313,1.16
31,323,1.18
31,333,1.03
31,343,1.26
31,353,1.14
31,363,1.08
31,373,1.56
31,383,1.33
31,393,1.16
31,400,1.01
36,153,1.27
36,163,1.3
36,173,1.35
36,183,1.24
36,193,1.16
36,203,1.19
36,213,1.14
36,223,1.21
36,233,1.27
36,243,1.12
36,253,1.24
36,263,1.12
36,273,1.29
36,283,1.27
36,293,1.26
36,303,1.27
36,313,1.27
36,323,1.28
36,333,1.29
36,343,1.22
36,353,1.29
36,363,1.35
36,373,1.41
36,383,1.47
36,393,1.24
36,400,1.18
41,153,1.35
41,163,1.29
41,173,1.22
41,183,1.38
41,193,1.43
41,203,1.33
41,213,1.34
41,223,1.3
41,233,1.49
41,243,1.4
41,253,1.37
41,263,1.28
41,273,1.54
41,283,1.43
41,293,1.38
41,303,1.42
41,313,1.36
41,323,1.5
41,333,1.47
41,343,1.42
41,353,1.41
41,363,1.43
41,373,1.88
41,383,1.6
41,393,1.44
41,400,1.43
46,153,1.36
46,163,1.35
46,173,1.38
46,183,1.54
46,193,1.44
46,203,1.6
46,213,1.49
46,223,1.48
46,233,1.46
46,243,1.41
46,253,1.6
46,263,1.55
46,273,1.5
46,283,1.44
46,293,1.41
46,303,1.54
46,313,1.56
46,323,1.52
46,333,1.51
46,343,1.69
46,353,1.61
46,363,1.61
46,373,1.86
46,383,1.72
46,393,1.62
46,400,1.49
51,153,1.54
51,163,1.58
51,173,1.59
51,183,1.71
51,193,1.63
51,203,1.55
51,213,1.62
51,223,1.5
51,233,1.55
51,243,1.58
51,253,1.64
51,263,1.65
51,273,1.55
51,283,1.58
51,293,1.72
51,303,1.67
51,313,1.57
51,323,1.78
51,333,1.74
51,343,1.6
51,353,1.75
51,363,1.76
51,373,2.08
51,383,1.61
51,393,1.78
51,400,1.63
56,153,1.62
56,163,1.75
56,173,1.71
56,183,1.74
56,193,1.7
56,203,1.66
56,213,1.72
56,223,1.64
56,233,1.75
56,243,1.73
56,253,1.72
56,263,1.72
56,273,1.77
56,283,1.77
56,293,1.76
56,303,1.84
56,313,1.79
56,323,1.94
56,333,1.81
56,343,1.78
56,353,1.9
56,363,1.88
56,373,2.19
56,383,2.47
56,393,1.92
56,400,1.73
61,153,1.86
61,163,1.91
61,173,1.83
61,183,1.76
61,193,1.87
61,203,1.76
61,213,1.86
61,223,1.88
61,233,1.89
61,243,1.75
61,253,1.95
61,263,1.87
61,273,1.77
61,283,1.99
61,293,1.93
61,303,1.84
61,313,1.99
61,323,1.98
61,333,1.98
61,343,1.91
61,353,2.01
61,363,1.92
61,373,2.37
61,383,2.38
61,393,1.83
61,400,1.95
66,153,1.84
66,163,1.94
66,173,1.91
66,183,1.82
66,193,2.06
66,203,1.96
66,213,1.9
66,223,1.98
66,233,2.0
66,243,2.04
66,253,1.98
66,263,2.01
66,273,1.94
66,283,2.14
66,293,2.06
66,303,2.07
66,313,2.06
66,323,1.99
66,333,2.17
66,343,2.13
66,353,2.12
66,363,2.01
66,373,3.04
66,383,2.47
66,393,2.07
66,400,2.0
71,153,2.02
71,163,2.0
71,173,2.05
71,183,1.98
71,193,2.02
71,203,2.1
71,213,2.1
71,223,2.12
71,233,2.15
71,243,2.12
71,253,2.08
71,263,2.1
71,273,2.16
71,283,2.18
71,293,2.18
71,303,2.12
71,313,2.32
71,323,2.22
71,333,2.25
71,343,2.22
71,353,2.24
71,363,2.25
71,373,3.0
71,383,2.38
71,393,2.24
71,400,2.21
76,153,2.1
76,163,2.11
76,173,2.2
76,183,2.18
76,193,2.1
76,203,2.26
76,213,2.23
76,223,2.26
76,233,2.24
76,243,2.21
76,253,2.16
76,263,2.19
76,273,2.29
76,283,2.28
76,293,2.3
76,303,2.25
76,313,2.36
76,323,2.42
76,333,2.4
76,343,2.41
76,353,2.38
76,363,2.38
76,373,3.18
76,383,2.5
76,393,2.34
76,400,2.33
81,153,2.35
81,163,2.35
81,173,2.25
81,183,2.4
81,193,2.33
81,203,2.34
81,213,2.25
81,223,2.28
81,233,2.35
81,243,2.31
81,253,2.39
81,263,2.37
81,273,2.39
81,283,2.36
81,293,2.51
81,303,2.47
81,313,2.44
81,323,2.51
81,333,2.43
81,343,2.51
81,353,2.54
81,363,2.58
81,373,3.01
81,383,2.98
81,393,2.46
81,400,2.54
86,153,2.54
86,163,2.53
86,173,2.45
86,183,2.5
86,193,2.36
86,203,2.48
86,213,2.49
86,223,2.49
86,233,2.51
86,243,2.49
86,253,2.42
86,263,2.5
86,273,2.52
86,283,2.55
86,293,2.54
86,303,2.5
86,313,2.64
86,323,2.7
86,333,2.58
86,343,2.66
86,353,2.59
86,363,2.61
86,373,3.63
86,383,2.76
86,393,2.6
86,400,2.61
91,153,2.61
91,163,2.55
91,173,2.44
91,183,2.62
91,193,2.59
91,203,2.57
91,213,2.61
91,223,2.54
91,233,2.6
91,243,2.57
91,253,2.62
91,263,2.58
91,273,2.59
91,283,2.59
91,293,2.83
91,303,2.7
91,313,2.74
91,323,2.74
91,333,2.67
91,343,2.89
91,353,2.77
91,363,2.8
91,373,3.23
91,383,3.57
91,393,2.67
91,400,2.75
96,153,2.72
96,163,2.69
96,173,2.65
96,183,2.66
96,193,2.6
96,203,2.86
96,213,2.75
96,223,2.74
96,233,2.78
96,243,2.66
96,253,2.77
96,263,2.8
96,273,2.74
96,283,2.76
96,293,2.77
96,303,2.76
96,313,2.77
96,323,2.88
96,333,2.88
96,343,2.99
96,353,2.84
96,363,3.0
96,373,4.19
96,383,3.52
96,393,2.88
96,400,2.84
101,153,2.81
101,163,2.78
101,173,2.74
101,183,2.92
101,193,2.82
101,203,2.87
101,213,2.86
101,223,2.72
101,233,2.86
101,243,2.78
101,253,2.96
101,263,2.9
101,273,2.91
101,283,2.86
101,293,3.0
101,303,3.03
101,313,2.94
101,323,2.99
101,333,2.94
101,343,3.03
101,353,3.02
101,363,3.13
101,373,3.73
101,383,3.68
101,393,3.02
101,400,2.92
106,153,2.88
106,163,2.91
106,173,2.81
106,183,2.97
106,193,2.96
106,203,3.0
106,213,2.96
106,223,2.9
106,233,2.96
106,243,3.02
106,253,3.02
106,263,3.16
106,273,3.0
106,283,3.02
106,293,3.0
106,303,3.03
106,313,3.02
106,323,3.31
106,333,3.23
106,343,3.21
106,353,3.21
106,363,3.2
106,373,3.89
106,383,3.74
106,393,3.17
106,400,3.02
111,153,3.18
111,163,3.14
111,173,3.07
111,183,3.08
111,193,3.09
111,203,3.07
111,213,3.09
111,223,3.04
111,233,3.12
111,243,3.08
111,253,3.2
111,263,3.26
111,273,3.13
111,283,3.16
111,293,3.11
111,303,3.14
111,313,3.17
111,323,3.39
111,333,3.3
111,343,3.3
111,353,3.34
111,363,3.22
111,373,4.05
111,383,3.25
111,393,3.38
111,400,3.37
116,153,3.28
116,163,3.1
116,173,3.1
116,183,3.15
116,193,3.15
116,203,3.14
116,213,3.06
116,223,3.14
116,233,3.12
116,243,3.32
116,253,3.23
116,263,3.19
116,273,3.19
116,283,3.22
116,293,3.18
116,303,3.24
116,313,3.25
116,323,3.26
116,333,3.35
116,343,3.3
116,353,3.54
116,363,3.41
116,373,4.9
116,383,3.45
116,393,3.3
116,400,3.41
121,153,3.3
121,163,3.22
121,173,3.21
121,183,3.29
121,193,3.28
121,203,3.29
121,213,3.26
121,223,3.26
121,233,3.22
121,243,3.2
121,253,3.21
121,263,3.33
121,273,3.45
121,283,3.34
121,293,3.4
121,303,3.41
121,313,3.41
121,323,3.46
121,333,3.49
121,343,3.55
121,353,3.56
121,363,3.55
121,373,4.29
121,383,4.29
121,393,3.43
121,400,3.46
126,153,3.28
126,163,3.38
126,173,3.36
126,183,3.38
126,193,3.33
126,203,3.34
126,213,3.36
126,223,3.42
126,233,3.41
126,243,3.42
126,253,3.42
126,263,3.46
126,273,3.46
126,283,3.51
126,293,3.54
126,303,3.48
126,313,3.49
126,323,3.56
126,333,3.8
126,343,3.7
126,353,3.64
126,363,3.7
126,373,4.6
126,383,3.75
126,393,3.61
126,400,3.58
131,153,3.56
131,163,3.5
131,173,3.4
131,183,3.45
131,193,3.43
131,203,3.56
131,213,3.5
131,223,3.51
131,233,3.48
131,243,3.49
131,253,3.6
131,263,3.6
131,273,3.62
131,283,3.56
131,293,3.6
131,303,3.66
131,313,3.91
131,323,3.74
131,333,3.75
131,343,3.82
131,353,3.81
131,363,3.86
131,373,4.62
131,383,4.62
131,393,3.7
131,400,3.7
136,153,3.6
136,163,3.58
136,173,3.6
136,183,3.67
136,193,3.68
136,203,3.65
136,213,3.6
136,223,3.79
136,233,3.64
136,243,3.66
136,253,3.69
136,263,3.63
136,273,3.81
136,283,3.77
136,293,3.83
136,303,3.81
136,313,3.79
136,323,3.86
136,333,3.88
136,343,3.99
136,353,3.96
136,363,3.91
136,373,4.42
136,383,4.28
136,393,3.92
136,400,3.91
141,153,3.8
141,163,3.74
141,173,3.65
141,183,3.77
141,193,3.81
141,203,3.81
141,213,3.73
141,223,3.68
141,233,3.64
141,243,3.75
141,253,3.86
141,263,3.86
141,273,3.87
141,283,3.77
141,293,3.97
141,303,3.93
141,313,3.96
141,323,3.99
141,333,4.03
141,343,3.98
141,353,4.13
141,363,4.12
141,373,4.97
141,383,4.98
141,393,4.05
141,400,3.94
146,153,3.85
146,163,3.89
146,173,3.92
146,183,3.86
146,193,3.79
146,203,3.81
146,213,3.88
146,223,3.84
146,233,3.93
146,243,3.92
146,253,4.0
146,263,3.85
146,273,4.09
146,283,3.89
146,293,4.09
146,303,4.05
146,313,4.1
146,323,3.99
146,333,4.19
146,343,4.3
146,353,4.23
146,363,4.29
146,373,5.07
146,383,5.03
146,393,4.13
146,400,4.02
151,153,4.11
151,163,3.98
151,173,4.03
151,183,3.98
151,193,3.88
151,203,4.1
151,213,4.14
151,223,4.01
151,233,4.04
151,243,4.0
151,253,4.05
151,263,4.06
151,273,4.13
151,283,4.17
151,293,4.23
151,303,4.17
151,313,4.2
151,323,4.43
151,333,4.33
151,343,4.33
151,353,4.28
151,363,4.3
151,373,6.17
151,383,6.13
151,393,4.27
151,400,4.24
156,153,4.17
156,163,4.12
156,173,4.15
156,183,4.13
156,193,4.13
156,203,4.11
156,213,4.15
156,223,4.13
156,233,4.2
156,243,4.19
156,253,4.21
156,263,4.13
156,273,4.41
156,283,4.31
156,293,4.32
156,303,4.42
156,313,4.3
156,323,4.45
156,333,4.51
156,343,4.57
156,353,4.46
156,363,4.49
156,373,5.59
156,383,4.31
156,393,4.42
156,400,4.38
161,153,4.32
161,163,4.23
161,173,4.26
161,183,4.24
161,193,4.28
161,203,4.2
161,213,4.36
161,223,4.33
161,233,4.3
161,243,4.35
161,253,4.3
161,263,4.29
161,273,4.32
161,283,4.42
161,293,4.46
161,303,4.46
161,313,4.44
161,323,4.43
161,333,4.54
161,343,4.7
161,353,4.65
161,363,4.64
161,373,5.72
161,383,5.71
161,393,4.58
161,400,4.44
166,153,4.39
166,163,4.37
166,173,4.38
166,183,4.41
166,193,4.41
166,203,4.44
166,213,4.43
166,223,4.33
166,233,4.61
166,243,4.48
166,253,4.43
166,263,4.53
166,273,4.51
166,283,4.67
166,293,4.71
166,303,4.74
166,313,4.61
166,323,4.8
166,333,4.77
166,343,4.82
166,353,4.83
166,363,4.91
166,373,5.88
166,383,5.78
166,393,4.7
166,400,4.7
171,153,4.53
171,163,4.48
171,173,4.48
171,183,4.41
171,193,4.48
171,203,4.43
171,213,4.58
171,223,4.55
171,233,4.65
171,243,4.62
171,253,4.58
171,263,4.64
171,273,4.62
171,283,4.62
171,293,4.62
171,303,4.75
171,313,4.84
171,323,4.91
171,333,4.89
171,343,4.9
171,353,4.9
171,363,4.93
171,373,6.02
171,383,6.96
171,393,4.99
171,400,4.75
176,153,4.7
176,163,4.54
176,173,4.63
176,183,4.64
176,193,4.66
176,203,4.61
176,213,4.66
176,223,4.68
176,233,4.66
176,243,4.73
176,253,4.74
176,263,4.88
176,273,4.82
176,283,4.85
176,293,4.96
176,303,4.88
176,313,4.93
176,323,4.91
176,333,5.03
176,343,5.05
176,353,5.05
176,363,5.0
176,373,7.42
176,383,4.98
176,393,5.05
176,400,4.96
181,153,4.75
181,163,4.71
181,173,4.75
181,183,4.71
181,193,4.81
181,203,4.79
181,213,4.86
181,223,4.78
181,233,4.79
181,243,4.79
181,253,4.86
181,263,5.12
181,273,4.99
181,283,5.02
181,293,5.0
181,303,5.27
181,313,5.13
181,323,5.23
181,333,5.16
181,343,5.22
181,353,5.22
181,363,5.22
181,373,6.39
181,383,6.34
181,393,5.23
181,400,5.16
186,153,5.04
186,163,4.92
186,173,5.03
186,183,4.95
186,193,5.12
186,203,4.94
186,213,5.04
186,223,5.05
186,233,5.06
186,243,5.1
186,253,4.97
186,263,5.11
186,273,5.03
186,283,5.15
186,293,5.08
186,303,5.31
186,313,5.22
186,323,5.26
186,333,5.3
186,343,5.28
186,353,5.32
186,363,5.31
186,373,6.55
186,383,5.63
186,393,5.41
186,400,5.28
