bri,hue,sat,watt
2,1,1,1.83
2,2732,1,1.87
2,5463,1,1.87
2,8194,1,1.93
2,10925,1,1.9
2,13656,1,1.87
2,16387,1,1.9
2,19118,1,1.83
2,21849,1,1.8
2,24580,1,1.9
2,27311,1,1.87
2,30042,1,1.8
2,32773,1,1.87
2,35504,1,1.9
2,38235,1,1.83
2,40966,1,1.9
2,43697,1,1.9
2,46428,1,1.8
2,49159,1,1.8
2,51890,1,1.83
2,54621,1,1.77
2,57352,1,1.77
2,60083,1,1.8
2,62814,1,1.8
2,65535,1,1.8
2,1,33,1.77
2,2732,33,1.8
2,5463,33,1.83
2,8194,33,1.8
2,10925,33,1.77
2,13656,33,1.9
2,16387,33,1.87
2,19118,33,1.87
2,21849,33,1.77
2,24580,33,1.8
2,27311,33,1.7
2,30042,33,1.77
2,32773,33,1.8
2,35504,33,1.73
2,38235,33,1.87
2,40966,33,1.83
2,43697,33,1.9
2,46428,33,1.8
2,49159,33,1.83
2,51890,33,1.8
2,54621,33,1.83
2,57352,33,1.87
2,60083,33,1.87
2,62814,33,1.8
2,65535,33,1.8
2,1,65,1.73
2,2732,65,1.7
2,5463,65,1.7
2,8194,65,1.77
2,10925,65,1.7
2,13656,65,1.8
2,16387,65,1.67
2,19118,65,1.8
2,21849,65,1.9
2,24580,65,1.83
2,27311,65,1.77
2,30042,65,1.73
2,32773,65,1.77
2,35504,65,1.77
2,38235,65,1.7
2,40966,65,1.87
2,43697,65,1.87
2,46428,65,1.8
2,49159,65,1.8
2,51890,65,1.9
2,54621,65,1.87
2,57352,65,1.87
2,60083,65,1.83
2,62814,65,1.83
2,65535,65,1.83
2,1,97,1.87
2,2732,97,1.73
2,5463,97,1.83
2,8194,97,1.87
2,10925,97,1.87
2,13656,97,1.8
2,16387,97,1.87
2,19118,97,1.93
2,21849,97,1.93
2,24580,97,1.93
2,27311,97,1.97
2,30042,97,1.97
2,32773,97,1.87
2,35504,97,1.93
2,38235,97,1.87
2,40966,97,1.87
2,43697,97,1.87
2,46428,97,1.93
2,49159,97,1.87
2,51890,97,1.83
2,54621,97,1.87
2,57352,97,1.87
