bri,mired,watt
15,153,1.69
15,178,1.66
15,203,1.75
15,228,1.74
15,253,1.71
15,278,1.72
15,303,1.78
15,328,1.76
15,353,1.75
15,370,1.75
20,153,1.89
20,178,1.87
20,203,1.88
20,228,1.85
20,253,1.92
20,278,1.93
20,303,1.93
20,328,1.95
20,353,1.99
20,370,1.99
25,153,2.09
25,178,1.99
25,203,2.02
25,228,2.06
25,253,2.05
25,278,2.05
25,303,2.08
25,328,2.11
25,353,2.14
25,370,2.12
30,153,2.2
30,178,2.18
30,203,2.22
30,228,2.2
30,253,2.21
30,278,2.26
30,303,2.26
30,328,2.28
30,353,2.28
30,370,2.35
35,153,2.35
35,178,2.41
35,203,2.39
35,228,2.44
35,253,2.44
35,278,2.45
35,303,2.42
35,328,2.47
35,353,2.49
35,370,2.47
40,153,2.53
40,178,2.56
40,203,2.56
40,228,2.59
40,253,2.6
40,278,2.59
40,303,2.63
40,328,2.61
40,353,2.65
40,370,2.67
45,153,2.68
45,178,2.73
45,203,2.73
45,228,2.76
45,253,2.79
45,278,2.78
45,303,2.78
45,328,2.86
45,353,2.83
45,370,2.85
50,153,2.85
50,178,2.82
50,203,2.9
50,228,2.88
50,253,2.95
50,278,2.94
50,303,2.97
50,328,3.0
50,353,2.97
50,370,3.07
55,153,3.02
55,178,3.03
55,203,3.03
55,228,3.06
55,253,3.08
55,278,3.09
55,303,3.15
55,328,3.15
55,353,3.14
55,370,3.14
60,153,3.19
60,178,3.18
60,203,3.22
60,228,3.19
60,253,3.25
60,278,3.27
60,303,3.29
60,328,3.29
60,353,3.33
60,370,3.37
65,153,3.37
65,178,3.32
65,203,3.41
65,228,3.38
65,253,3.38
65,278,3.4
65,303,3.47
65,328,3.43
65,353,3.5
65,370,3.54
70,153,3.55
70,178,3.53
70,203,3.56
70,228,3.57
70,253,3.56
70,278,3.57
70,303,3.61
70,328,3.62
70,353,3.6
70,370,3.69
75,153,3.64
75,178,3.7
75,203,3.7
75,228,3.68
75,253,3.73
75,278,3.75
75,303,3.78
75,328,3.77
75,353,3.78
75,370,3.86
80,153,3.83
80,178,3.81
80,203,3.86
80,228,3.89
80,253,3.91
80,278,3.92
80,303,3.91
80,328,3.92
80,353,3.97
80,370,3.98
85,153,4.04
85,178,3.96
85,203,3.99
85,228,3.96
85,253,4.01
85,278,4.03
85,303,4.1
85,328,4.07
85,353,4.11
85,370,4.11
90,153,4.17
90,178,4.13
90,203,4.15
90,228,4.16
90,253,4.16
90,278,4.18
90,303,4.18
90,328,4.24
90,353,4.24
90,370,4.33
95,153,4.32
95,178,4.33
95,203,4.34
95,228,4.35
95,253,4.31
95,278,4.35
95,303,4.36
95,328,4.41
95,353,4.44
95,370,4.42
100,153,4.48
100,178,4.48
100,203,4.49
100,228,4.52
100,253,4.45
100,278,4.49
100,303,4.49
100,328,4.52
