bri,mired,watt
1,153,1.3
1,163,1.44
1,173,1.45
1,183,1.43
1,193,1.42
1,203,1.42
1,213,1.43
1,223,1.47
1,233,1.41
1,243,1.41
1,253,1.45
1,263,1.45
1,273,1.44
1,283,1.43
1,293,1.45
1,303,1.45
1,313,1.45
1,323,1.46
1,333,1.45
1,343,1.45
1,353,1.46
1,363,1.44
1,373,1.44
1,383,1.42
1,393,1.46
1,403,1.43
1,413,1.45
1,423,1.44
1,433,1.45
1,443,1.44
1,453,1.44
1,463,1.42
1,473,1.41
1,483,1.46
1,493,1.47
1,500,1.44
6,153,1.47
6,163,1.51
6,173,1.46
6,183,1.49
6,193,1.49
6,203,1.46
6,213,1.45
6,223,1.49
6,233,1.49
6,243,1.49
6,253,1.5
6,263,1.47
6,273,1.5
6,283,1.5
6,293,1.5
6,303,1.45
6,313,1.5
6,323,1.49
6,333,1.5
6,343,1.48
6,353,1.45
6,363,1.48
6,373,1.5
6,383,1.5
6,393,1.46
6,403,1.48
6,413,1.5
6,423,1.49
6,433,1.5
6,443,1.48
6,453,1.5
6,463,1.5
6,473,1.49
6,483,1.47
6,493,1.46
6,500,1.5
11,153,1.58
11,163,1.56
11,173,1.59
11,183,1.59
11,193,1.57
11,203,1.53
11,213,1.58
11,223,1.58
11,233,1.57
11,243,1.58
11,253,1.58
11,263,1.6
11,273,1.56
11,283,1.57
11,293,1.56
11,303,1.56
11,313,1.56
11,323,1.57
11,333,1.56
11,343,1.56
11,353,1.55
11,363,1.58
11,373,1.6
11,383,1.55
11,393,1.59
11,403,1.6
11,413,1.59
11,423,1.61
11,433,1.58
11,443,1.57
11,453,1.55
11,463,1.58
11,473,1.57
11,483,1.56
11,493,1.56
11,500,1.58
16,153,1.66
16,163,1.68
16,173,1.66
16,183,1.67
16,193,1.67
16,203,1.67
16,213,1.66
16,223,1.67
16,233,1.66
16,243,1.68
16,253,1.67
16,263,1.65
16,273,1.66
16,283,1.66
16,293,1.68
16,303,1.66
16,313,1.63
16,323,1.67
16,333,1.64
16,343,1.68
16,353,1.68
16,363,1.66
16,373,1.65
16,383,1.62
16,393,1.63
16,403,1.66
16,413,1.65
16,423,1.64
16,433,1.67
16,443,1.68
16,453,1.68
16,463,1.67
16,473,1.68
16,483,1.66
16,493,1.63
16,500,1.66
21,153,1.75
21,163,1.76
21,173,1.75
21,183,1.76
21,193,1.75
21,203,1.74
21,213,1.75
21,223,1.72
21,233,1.74
21,243,1.75
21,253,1.74
21,263,1.73
21,273,1.71
21,283,1.73
21,293,1.72
21,303,1.72
21,313,1.73
21,323,1.73
21,333,1.74
21,343,1.72
21,353,1.76
21,363,1.74
21,373,1.72
21,383,1.74
21,393,1.72
21,403,1.74
21,413,1.75
21,423,1.71
21,433,1.74
21,443,1.74
21,453,1.73
21,463,1.75
21,473,1.75
21,483,1.73
21,493,1.74
21,500,1.73
26,153,1.83
26,163,1.83
26,173,1.84
26,183,1.83
26,193,1.83
26,203,1.81
26,213,1.84
26,223,1.81
26,233,1.83
26,243,1.83
26,253,1.82
26,263,1.86
26,273,1.82
26,283,1.86
26,293,1.82
26,303,1.81
26,313,1.82
26,323,1.81
26,333,1.8
26,343,1.8
26,353,1.8
26,363,1.8
26,373,1.8
26,383,1.8
26,393,1.79
26,403,1.79
26,413,1.79
26,423,1.81
26,433,1.77
26,443,1.8
26,453,1.83
26,463,1.8
26,473,1.78
26,483,1.81
26,493,1.8
26,500,1.81
31,153,1.92
31,163,1.9
31,173,1.91
31,183,1.91
31,193,1.9
31,203,1.89
31,213,1.9
31,223,1.93
31,233,1.91
31,243,1.88
31,253,1.87
31,263,1.88
31,273,1.88
31,283,1.91
31,293,1.91
31,303,1.9
31,313,1.87
31,323,1.85
31,333,1.85
31,343,1.87
31,353,1.88
31,363,1.87
31,373,1.89
31,383,1.86
31,393,1.9
31,403,1.85
31,413,1.88
31,423,1.88
31,433,1.87
31,443,1.88
31,453,1.88
31,463,1.89
31,473,1.87
31,483,1.88
31,493,1.89
31,500,1.89
36,153,1.99
36,163,1.97
36,173,1.96
36,183,1.98
36,193,1.96
36,203,1.98
36,213,1.98
36,223,1.95
36,233,1.98
36,243,1.97
36,253,1.96
36,263,1.97
36,273,1.96
36,283,2
36,293,1.96
36,303,1.97
36,313,1.97
36,323,1.95
36,333,1.96
36,343,1.96
36,353,1.93
36,363,1.96
36,373,1.92
36,383,1.9
36,393,1.97
36,403,1.94
36,413,1.97
36,423,1.97
36,433,1.93
36,443,1.96
36,453,1.96
36,463,1.94
36,473,1.95
36,483,1.95
36,493,1.95
36,500,1.95
41,153,2.04
41,163,2.03
41,173,2.03
41,183,2.06
41,193,2.04
41,203,2.06
41,213,2.07
41,223,2.05
41,233,2.02
41,243,2.07
41,253,2.05
41,263,2.04
41,273,2.04
41,283,2.03
41,293,2.04
41,303,2.07
41,313,2.05
41,323,2.04
41,333,2.02
41,343,2.04
41,353,2.03
41,363,2.04
41,373,2.04
41,383,2
41,393,2.01
41,403,2.02
41,413,1.99
41,423,2.03
41,433,2.04
41,443,2
41,453,2.02
41,463,2.02
41,473,2.02
41,483,2.01
41,493,2.03
41,500,2.03
46,153,2.14
46,163,2.13
46,173,2.12
46,183,2.14
46,193,2.13
46,203,2.13
46,213,2.09
46,223,2.11
46,233,2.12
46,243,2.15
46,253,2.11
46,263,2.12
46,273,2.12
46,283,2.09
46,293,2.08
46,303,2.1
46,313,2.1
46,323,2.09
46,333,2.11
46,343,2.1
46,353,2.11
46,363,2.08
46,373,2.08
46,383,2.07
46,393,2.09
46,403,2.12
46,413,2.07
46,423,2.09
46,433,2.12
46,443,2.09
46,453,2.12
46,463,2.11
46,473,2.08
46,483,2.12
46,493,2.12
46,500,2.09
51,153,2.23
51,163,2.19
51,173,2.2
51,183,2.2
51,193,2.16
51,203,2.2
51,213,2.24
51,223,2.2
51,233,2.17
51,243,2.21
51,253,2.2
51,263,2.2
51,273,2.19
51,283,2.19
51,293,2.18
51,303,2.21
51,313,2.18
51,323,2.18
51,333,2.2
51,343,2.18
51,353,2.18
51,363,2.17
51,373,2.18
51,383,2.17
51,393,2.17
51,403,2.17
51,413,2.11
51,423,2.16
51,433,2.17
51,443,2.16
51,453,2.16
51,463,2.16
51,473,2.14
51,483,2.12
51,493,2.13
51,500,2.17
56,153,2.28
56,163,2.29
56,173,2.27
56,183,2.27
56,193,2.27
56,203,2.26
56,213,2.25
56,223,2.26
56,233,2.26
56,243,2.25
56,253,2.27
56,263,2.28
56,273,2.27
56,283,2.25
56,293,2.25
56,303,2.24
56,313,2.25
56,323,2.25
56,333,2.25
56,343,2.26
56,353,2.26
56,363,2.26
56,373,2.24
56,383,2.22
56,393,2.27
56,403,2.27
56,413,2.23
56,423,2.23
56,433,2.24
56,443,2.24
56,453,2.26
56,463,2.23
56,473,2.25
56,483,2.25
56,493,2.25
56,500,2.21
61,153,2.38
61,163,2.37
61,173,2.36
61,183,2.37
61,193,2.37
61,203,2.37
61,213,2.34
61,223,2.31
61,233,2.36
61,243,2.36
61,253,2.36
61,263,2.35
61,273,2.36
61,283,2.36
61,293,2.34
61,303,2.31
61,313,2.33
61,323,2.34
61,333,2.34
61,343,2.35
61,353,2.34
61,363,2.34
61,373,2.31
61,383,2.33
61,393,2.34
61,403,2.32
61,413,2.33
61,423,2.32
61,433,2.3
61,443,2.32
61,453,2.33
61,463,2.33
61,473,2.33
61,483,2.34
61,493,2.35
61,500,2.32
66,153,2.43
66,163,2.43
66,173,2.43
66,183,2.44
66,193,2.43
66,203,2.44
66,213,2.43
66,223,2.44
66,233,2.42
66,243,2.45
66,253,2.44
66,263,2.39
66,273,2.43
66,283,2.42
66,293,2.45
66,303,2.44
66,313,2.42
66,323,2.45
66,333,2.45
66,343,2.39
66,353,2.38
66,363,2.4
66,373,2.42
66,383,2.43
66,393,2.43
66,403,2.4
66,413,2.44
66,423,2.41
66,433,2.42
66,443,2.41
66,453,2.4
66,463,2.4
66,473,2.44
66,483,2.41
66,493,2.41
66,500,2.41
71,153,2.53
71,163,2.52
71,173,2.49
71,183,2.51
71,193,2.54
71,203,2.53
71,213,2.53
71,223,2.52
71,233,2.52
71,243,2.49
71,253,2.51
71,263,2.47
71,273,2.53
71,283,2.47
71,293,2.49
71,303,2.48
71,313,2.51
71,323,2.52
71,333,2.5
71,343,2.51
71,353,2.5
71,363,2.51
71,373,2.54
71,383,2.49
71,393,2.5
71,403,2.49
71,413,2.48
71,423,2.48
71,433,2.5
71,443,2.49
71,453,2.45
71,463,2.49
71,473,2.5
71,483,2.45
71,493,2.48
71,500,2.48
76,153,2.59
76,163,2.59
76,173,2.6
76,183,2.61
76,193,2.58
76,203,2.58
76,213,2.58
76,223,2.59
76,233,2.6
76,243,2.58
76,253,2.58
76,263,2.56
76,273,2.61
76,283,2.59
76,293,2.6
76,303,2.53
76,313,2.56
76,323,2.57
76,333,2.59
76,343,2.55
76,353,2.57
76,363,2.57
76,373,2.57
76,383,2.57
76,393,2.57
76,403,2.58
76,413,2.57
76,423,2.54
76,433,2.58
76,443,2.57
76,453,2.57
76,463,2.56
76,473,2.58
76,483,2.57
76,493,2.57
76,500,2.56
81,153,2.68
81,163,2.69
81,173,2.68
81,183,2.68
81,193,2.67
81,203,2.68
81,213,2.68
81,223,2.65
81,233,2.64
81,243,2.65
81,253,2.67
81,263,2.64
81,273,2.65
81,283,2.67
81,293,2.66
81,303,2.66
81,313,2.66
81,323,2.66
81,333,2.66
81,343,2.66
81,353,2.64
81,363,2.65
81,373,2.65
81,383,2.63
81,393,2.61
81,403,2.7
81,413,2.65
81,423,2.66
81,433,2.64
81,443,2.61
81,453,2.65
81,463,2.61
81,473,2.63
81,483,2.65
81,493,2.61
81,500,2.61
86,153,2.76
86,163,2.75
86,173,2.78
86,183,2.78
86,193,2.77
86,203,2.75
86,213,2.75
86,223,2.75
86,233,2.74
86,243,2.75
86,253,2.77
86,263,2.75
86,273,2.75
86,283,2.75
86,293,2.73
86,303,2.75
86,313,2.77
86,323,2.73
86,333,2.74
86,343,2.74
86,353,2.71
86,363,2.75
86,373,2.72
86,383,2.76
86,393,2.71
86,403,2.72
86,413,2.74
86,423,2.74
86,433,2.73
86,443,2.73
86,453,2.73
86,463,2.73
86,473,2.73
86,483,2.74
86,493,2.7
86,500,2.73
91,153,2.86
91,163,2.87
91,173,2.87
91,183,2.83
91,193,2.84
91,203,2.84
91,213,2.83
91,223,2.81
91,233,2.86
91,243,2.85
91,253,2.81
91,263,2.85
91,273,2.84
91,283,2.84
91,293,2.85
91,303,2.82
91,313,2.83
91,323,2.83
91,333,2.83
91,343,2.83
91,353,2.81
91,363,2.8
91,373,2.83
91,383,2.8
91,393,2.8
91,403,2.8
91,413,2.82
91,423,2.8
91,433,2.81
91,443,2.79
91,453,2.83
91,463,2.81
91,473,2.82
91,483,2.81
91,493,2.79
91,500,2.79
96,153,2.93
96,163,2.93
96,173,2.92
96,183,2.91
96,193,2.94
96,203,2.95
96,213,2.91
96,223,2.92
96,233,2.92
96,243,2.92
96,253,2.95
96,263,2.92
96,273,2.91
96,283,2.88
96,293,2.91
96,303,2.9
96,313,2.91
96,323,2.92
96,333,2.92
96,343,2.9
96,353,2.87
96,363,2.9
96,373,2.87
96,383,2.9
96,393,2.9
96,403,2.89
96,413,2.9
96,423,2.88
96,433,2.87
96,443,2.87
96,453,2.91
96,463,2.87
96,473,2.81
96,483,2.88
96,493,2.81
96,500,2.86
101,153,3.02
101,163,3
101,173,3
101,183,3.02
101,193,2.98
101,203,3
101,213,3
101,223,3.03
101,233,2.98
101,243,3
101,253,3.01
101,263,3.01
101,273,3
101,283,2.97
101,293,2.97
101,303,2.96
101,313,2.99
101,323,2.97
101,333,2.98
101,343,2.97
101,353,2.98
101,363,2.98
101,373,2.94
101,383,2.94
101,393,2.97
101,403,2.95
101,413,2.95
101,423,3
101,433,2.97
101,443,2.96
101,453,2.97
101,463,2.94
101,473,2.99
101,483,2.96
101,493,2.97
101,500,2.96
106,153,3.08
106,163,3.09
106,173,3.07
106,183,3.07
106,193,3.08
106,203,3.08
106,213,3.11
106,223,3.1
106,233,3.06
106,243,3.08
106,253,3.05
106,263,3.07
106,273,3.11
106,283,3.09
106,293,3.1
106,303,3.06
106,313,3.08
106,323,3.03
106,333,3.08
106,343,3.09
106,353,3.05
106,363,3.08
106,373,3.06
106,383,3.05
106,393,3.05
106,403,3.06
106,413,3.05
106,423,3.04
106,433,3.05
106,443,3.04
106,453,3.06
106,463,3.02
106,473,3.05
106,483,3.01
106,493,3.04
106,500,3
111,153,3.16
111,163,3.16
111,173,3.19
111,183,3.16
111,193,3.2
111,203,3.18
111,213,3.16
111,223,3.17
111,233,3.15
111,243,3.14
111,253,3.13
111,263,3.14
111,273,3.14
111,283,3.15
111,293,3.14
111,303,3.13
111,313,3.15
111,323,3.13
111,333,3.17
111,343,3.15
111,353,3.18
111,363,3.15
111,373,3.15
111,383,3.14
111,393,3.12
111,403,3.12
111,413,3.13
111,423,3.12
111,433,3.14
111,443,3.12
111,453,3.15
111,463,3.12
111,473,3.11
111,483,3.11
111,493,3.11
111,500,3.14
116,153,3.21
116,163,3.26
116,173,3.25
116,183,3.27
116,193,3.23
116,203,3.22
116,213,3.25
116,223,3.22
116,233,3.25
116,243,3.24
116,253,3.23
116,263,3.22
116,273,3.24
116,283,3.22
116,293,3.22
116,303,3.21
116,313,3.24
116,323,3.2
116,333,3.26
116,343,3.21
116,353,3.25
116,363,3.22
116,373,3.22
116,383,3.2
116,393,3.25
116,403,3.23
116,413,3.22
116,423,3.22
116,433,3.22
116,443,3.21
116,453,3.2
116,463,3.21
116,473,3.19
116,483,3.22
116,493,3.2
116,500,3.21
121,153,3.31
121,163,3.36
121,173,3.33
121,183,3.31
121,193,3.33
121,203,3.31
121,213,3.3
121,223,3.34
121,233,3.29
121,243,3.29
121,253,3.27
121,263,3.29
121,273,3.31
121,283,3.29
121,293,3.29
121,303,3.31
121,313,3.3
121,323,3.3
121,333,3.29
121,343,3.28
121,353,3.31
121,363,3.31
121,373,3.3
121,383,3.29
121,393,3.3
121,403,3.27
121,413,3.29
121,423,3.23
121,433,3.26
121,443,3.27
121,453,3.31
121,463,3.27
121,473,3.27
121,483,3.25
121,493,3.29
121,500,3.27
126,153,3.44
126,163,3.39
126,173,3.41
126,183,3.43
126,193,3.36
126,203,3.43
126,213,3.38
126,223,3.41
126,233,3.4
126,243,3.37
126,253,3.39
126,263,3.41
126,273,3.38
126,283,3.38
126,293,3.34
126,303,3.37
126,313,3.36
126,323,3.36
126,333,3.35
126,343,3.38
126,353,3.36
126,363,3.36
126,373,3.39
126,383,3.38
126,393,3.36
126,403,3.36
126,413,3.35
126,423,3.35
126,433,3.37
126,443,3.38
126,453,3.35
126,463,3.32
126,473,3.36
126,483,3.36
126,493,3.36
126,500,3.33
131,153,3.49
131,163,3.48
131,173,3.43
131,183,3.46
131,193,3.44
131,203,3.47
131,213,3.46
131,223,3.46
131,233,3.46
131,243,3.44
131,253,3.47
131,263,3.42
131,273,3.42
131,283,3.45
131,293,3.41
131,303,3.39
131,313,3.42
131,323,3.45
131,333,3.42
131,343,3.44
131,353,3.44
131,363,3.42
131,373,3.45
131,383,3.44
131,393,3.41
131,403,3.43
131,413,3.44
131,423,3.44
131,433,3.41
131,443,3.41
131,453,3.43
131,463,3.41
131,473,3.42
131,483,3.41
131,493,3.43
131,500,3.41
136,153,3.56
136,163,3.58
136,173,3.55
136,183,3.59
136,193,3.57
136,203,3.57
136,213,3.53
136,223,3.55
136,233,3.55
136,243,3.54
136,253,3.53
136,263,3.54
136,273,3.48
136,283,3.53
136,293,3.53
136,303,3.53
136,313,3.52
136,323,3.53
136,333,3.52
136,343,3.53
136,353,3.54
136,363,3.54
136,373,3.49
136,383,3.51
136,393,3.49
136,403,3.53
136,413,3.53
136,423,3.55
136,433,3.5
136,443,3.54
136,453,3.54
136,463,3.52
136,473,3.51
136,483,3.49
136,493,3.5
136,500,3.51
141,153,3.61
141,163,3.65
141,173,3.65
141,183,3.64
141,193,3.64
141,203,3.62
141,213,3.63
141,223,3.62
141,233,3.64
141,243,3.64
141,253,3.62
141,263,3.64
141,273,3.63
141,283,3.63
141,293,3.62
141,303,3.63
141,313,3.62
141,323,3.6
141,333,3.61
141,343,3.62
141,353,3.62
141,363,3.59
141,373,3.59
141,383,3.61
141,393,3.62
141,403,3.57
141,413,3.61
141,423,3.57
141,433,3.59
141,443,3.57
141,453,3.61
141,463,3.57
141,473,3.55
141,483,3.55
141,493,3.56
141,500,3.56
146,153,3.71
146,163,3.77
146,173,3.72
146,183,3.74
146,193,3.76
146,203,3.74
146,213,3.7
146,223,3.75
146,233,3.74
146,243,3.76
146,253,3.7
146,263,3.75
146,273,3.75
146,283,3.7
146,293,3.71
146,303,3.72
146,313,3.7
146,323,3.68
146,333,3.69
146,343,3.7
146,353,3.67
146,363,3.71
146,373,3.66
146,383,3.67
146,393,3.67
146,403,3.69
146,413,3.66
146,423,3.64
146,433,3.67
146,443,3.7
146,453,3.66
146,463,3.68
146,473,3.67
146,483,3.65
146,493,3.64
146,500,3.64
151,153,3.81
151,163,3.81
151,173,3.8
151,183,3.79
151,193,3.79
151,203,3.78
151,213,3.82
151,223,3.8
151,233,3.75
151,243,3.79
151,253,3.79
151,263,3.81
151,273,3.78
151,283,3.78
151,293,3.75
151,303,3.78
151,313,3.77
151,323,3.77
151,333,3.74
151,343,3.75
151,353,3.76
151,363,3.75
151,373,3.78
151,383,3.75
151,393,3.74
151,403,3.76
151,413,3.74
151,423,3.78
151,433,3.76
151,443,3.72
151,453,3.75
151,463,3.74
151,473,3.73
151,483,3.74
151,493,3.75
151,500,3.73
156,153,3.87
156,163,3.93
156,173,3.89
156,183,3.9
156,193,3.91
156,203,3.89
156,213,3.89
156,223,3.88
156,233,3.87
156,243,3.85
156,253,3.85
156,263,3.85
156,273,3.86
156,283,3.85
156,293,3.87
156,303,3.84
156,313,3.85
156,323,3.83
156,333,3.81
156,343,3.86
