bri,hue,sat,watt
1,1,1,1.74
1,2732,1,1.84
1,5463,1,1.9
1,8194,1,1.9
1,10925,1,1.85
1,13656,1,1.87
1,16387,1,1.88
1,19118,1,1.86
1,21849,1,1.87
1,24580,1,1.89
1,27311,1,1.87
1,30042,1,1.85
1,32773,1,1.87
1,35504,1,1.88
1,38235,1,1.88
1,40966,1,1.87
1,43697,1,1.88
1,46428,1,1.87
1,49159,1,1.88
1,51890,1,1.87
1,54621,1,1.85
1,57352,1,1.89
1,60083,1,1.87
1,62814,1,1.87
1,65535,1,1.87
1,1,21,1.88
1,2732,21,1.85
1,5463,21,1.81
1,8194,21,1.83
1,10925,21,1.87
1,13656,21,1.8
1,16387,21,1.82
1,19118,21,1.79
1,21849,21,1.79
1,24580,21,1.79
1,27311,21,1.82
1,30042,21,1.83
1,32773,21,1.83
1,35504,21,1.79
1,38235,21,1.83
1,40966,21,1.82
1,43697,21,1.82
1,46428,21,1.81
1,49159,21,1.8
1,51890,21,1.83
1,54621,21,1.86
1,57352,21,1.85
1,60083,21,1.88
1,62814,21,1.84
1,65535,21,1.87
1,1,41,1.83
1,2732,41,1.8
1,5463,41,1.83
1,8194,41,1.82
1,10925,41,1.84
1,13656,41,1.78
1,16387,41,1.74
1,19118,41,1.73
1,21849,41,1.71
1,24580,41,1.71
1,27311,41,1.76
1,30042,41,1.79
1,32773,41,1.78
1,35504,41,1.76
1,38235,41,1.75
1,40966,41,1.71
1,43697,41,1.71
1,46428,41,1.71
1,49159,41,1.74
1,51890,41,1.76
1,54621,41,1.79
1,57352,41,1.84
1,60083,41,1.82
1,62814,41,1.78
1,65535,41,1.78
1,1,61,1.77
1,2732,61,1.73
1,5463,61,1.79
1,8194,61,1.78
1,10925,61,1.82
1,13656,61,1.75
1,16387,61,1.7
1,19118,61,1.68
1,21849,61,1.64
1,24580,61,1.66
1,27311,61,1.68
1,30042,61,1.74
1,32773,61,1.72
1,35504,61,1.77
1,38235,61,1.73
1,40966,61,1.69
1,43697,61,1.64
1,46428,61,1.64
1,49159,61,1.65
1,51890,61,1.71
1,54621,61,1.76
1,57352,61,1.8
1,60083,61,1.79
1,62814,61,1.73
1,65535,61,1.73
1,1,81,1.7
1,2732,81,1.71
1,5463,81,1.73
1,8194,81,1.76
1,10925,81,1.77
1,13656,81,1.74
1,16387,81,1.65
1,19118,81,1.66
1,21849,81,1.59
1,24580,81,1.61
1,27311,81,1.67
1,30042,81,1.67
1,32773,81,1.74
1,35504,81,1.73
1,38235,81,1.67
1,40966,81,1.63
1,43697,81,1.59
1,46428,81,1.59
1,49159,81,1.63
1,51890,81,1.68
1,54621,81,1.71
1,57352,81,1.76
1,60083,81,1.75
1,62814,81,1.71
1,65535,81,1.69
1,1,101,1.62
1,2732,101,1.66
1,5463,101,1.69
1,8194,101,1.74
1,10925,101,1.74
1,13656,101,1.69
1,16387,101,1.66
1,19118,101,1.6
1,21849,101,1.59
1,24580,101,1.54
1,27311,101,1.58
1,30042,101,1.65
1,32773,101,1.72
1,35504,101,1.7
1,38235,101,1.6
1,40966,101,1.6
1,43697,101,1.5
1,46428,101,1.53
1,49159,101,1.59
1,51890,101,1.63
1,54621,101,1.71
1,57352,101,1.75
1,60083,101,1.71
1,62814,101,1.69
1,65535,101,1.62
1,1,121,1.62
1,2732,121,1.59
1,5463,121,1.67
1,8194,121,1.71
1,10925,121,1.73
1,13656,121,1.67
1,16387,121,1.61
1,19118,121,1.56
1,21849,121,1.51
1,24580,121,1.5
1,27311,121,1.55
1,30042,121,1.58
1,32773,121,1.66
1,35504,121,1.65
1,38235,121,1.58
1,40966,121,1.52
1,43697,121,1.48
1,46428,121,1.46
1,49159,121,1.56
1,51890,121,1.59
1,54621,121,1.68
1,57352,121,1.74
1,60083,121,1.7
1,62814,121,1.62
1,65535,121,1.6
1,1,141,1.56
1,2732,141,1.58
1,5463,141,1.58
1,8194,141,1.71
1,10925,141,1.7
1,13656,141,1.64
1,16387,141,1.6
1,19118,141,1.53
1,21849,141,1.5
1,24580,141,1.46
1,27311,141,1.53
1,30042,141,1.58
1,32773,141,1.64
1,35504,141,1.62
1,38235,141,1.6
1,40966,141,1.53
1,43697,141,1.48
1,46428,141,1.49
1,49159,141,1.49
1,51890,141,1.6
1,54621,141,1.64
1,57352,141,1.71
1,60083,141,1.64
1,62814,141,1.6
1,65535,141,1.58
1,1,161,1.54
1,2732,161,1.55
1,5463,161,1.63
1,8194,161,1.7
1,10925,161,1.7
1,13656,161,1.64
1,16387,161,1.57
1,19118,161,1.54
1,21849,161,1.5
1,24580,161,1.47
1,27311,161,1.51
1,30042,161,1.55
1,32773,161,1.62
1,35504,161,1.66
1,38235,161,1.56
1,40966,161,1.49
1,43697,161,1.44
1,46428,161,1.43
1,49159,161,1.43
1,51890,161,1.54
1,54621,161,1.62
1,57352,161,1.66
1,60083,161,1.64
1,62814,161,1.61
1,65535,161,1.56
1,1,181,1.5
1,2732,181,1.52
1,5463,181,1.57
1,8194,181,1.68
1,10925,181,1.69
1,13656,181,1.6
1,16387,181,1.53
1,19118,181,1.5
1,21849,181,1.46
1,24580,181,1.46
1,27311,181,1.48
1,30042,181,1.53
1,32773,181,1.66
1,35504,181,1.6
1,38235,181,1.53
1,40966,181,1.47
1,43697,181,1.47
1,46428,181,1.45
1,49159,181,1.45
1,51890,181,1.54
1,54621,181,1.58
1,57352,181,1.69
1,60083,181,1.64
1,62814,181,1.58
1,65535,181,1.51
1,1,201,1.48
1,2732,201,1.5
1,5463,201,1.58
1,8194,201,1.63
1,10925,201,1.63
1,13656,201,1.62
1,16387,201,1.54
1,19118,201,1.47
1,21849,201,1.45
1,24580,201,1.45
1,27311,201,1.48
1,30042,201,1.53
1,32773,201,1.65
1,35504,201,1.63
1,38235,201,1.5
1,40966,201,1.45
1,43697,201,1.43
1,46428,201,1.43
1,49159,201,1.45
1,51890,201,1.52
1,54621,201,1.6
1,57352,201,1.66
1,60083,201,1.61
1,62814,201,1.55
1,65535,201,1.5
1,1,221,1.49
1,2732,221,1.51
1,5463,221,1.54
1,8194,221,1.62
1,10925,221,1.69
1,13656,221,1.62
1,16387,221,1.52
1,19118,221,1.45
1,21849,221,1.46
1,24580,221,1.46
1,27311,221,1.45
1,30042,221,1.51
1,32773,221,1.6
1,35504,221,1.56
1,38235,221,1.49
1,40966,221,1.44
1,43697,221,1.4
1,46428,221,1.39
1,49159,221,1.48
1,51890,221,1.52
1,54621,221,1.62
1,57352,221,1.68
1,60083,221,1.61
1,62814,221,1.53
1,65535,221,1.5
1,1,241,1.51
1,2732,241,1.48
1,5463,241,1.52
1,8194,241,1.61
1,10925,241,1.65
1,13656,241,1.62
1,16387,241,1.53
1,19118,241,1.46
1,21849,241,1.44
1,24580,241,1.45
1,27311,241,1.46
1,30042,241,1.5
1,32773,241,1.59
1,35504,241,1.59
1,38235,241,1.5
1,40966,241,1.42
1,43697,241,1.41
1,46428,241,1.42
1,49159,241,1.46
1,51890,241,1.46
1,54621,241,1.63
1,57352,241,1.68
1,60083,241,1.61
1,62814,241,1.5
1,65535,241,1.5
1,1,254,1.48
1,2732,254,1.52
1,5463,254,1.55
1,8194,254,1.6
1,10925,254,1.64
1,13656,254,1.64
1,16387,254,1.52
1,19118,254,1.46
1,21849,254,1.44
1,24580,254,1.39
1,27311,254,1.43
1,30042,254,1.51
1,32773,254,1.63
1,35504,254,1.56
1,38235,254,1.49
1,40966,254,1.42
1,43697,254,1.41
1,46428,254,1.42
1,49159,254,1.45
1,51890,254,1.5
1,54621,254,1.64
1,57352,254,1.65
1,60083,254,1.55
1,62814,254,1.52
1,65535,254,1.47
21,1,1,1.99
21,2732,1,2.46
21,5463,1,2.46
21,8194,1,2.45
21,10925,1,2.44
21,13656,1,2.44
21,16387,1,2.46
21,19118,1,2.49
21,21849,1,2.45
21,24580,1,2.45
21,27311,1,2.47
21,30042,1,2.42
21,32773,1,2.45
21,35504,1,2.44
21,38235,1,2.44
21,40966,1,2.45
21,43697,1,2.45
21,46428,1,2.43
21,49159,1,2.45
21,51890,1,2.47
21,54621,1,2.45
21,57352,1,2.42
21,60083,1,2.41
21,62814,1,2.45
21,65535,1,2.45
21,1,21,2.44
21,2732,21,2.41
21,5463,21,2.41
21,8194,21,2.42
21,10925,21,2.4
21,13656,21,2.38
21,16387,21,2.35
21,19118,21,2.37
21,21849,21,2.35
21,24580,21,2.34
21,27311,21,2.3
21,30042,21,2.35
21,32773,21,2.35
21,35504,21,2.34
21,38235,21,2.35
21,40966,21,2.31
21,43697,21,2.3
21,46428,21,2.3
21,49159,21,2.34
21,51890,21,2.35
21,54621,21,2.36
21,57352,21,2.41
21,60083,21,2.43
21,62814,21,2.41
21,65535,21,2.42
21,1,41,2.32
21,2732,41,2.32
21,5463,41,2.34
21,8194,41,2.39
21,10925,41,2.36
21,13656,41,2.28
21,16387,41,2.25
21,19118,41,2.24
21,21849,41,2.2
21,24580,41,2.21
21,27311,41,2.24
21,30042,41,2.25
21,32773,41,2.36
21,35504,41,2.29
21,38235,41,2.24
21,40966,41,2.23
21,43697,41,2.2
21,46428,41,2.17
21,49159,41,2.21
21,51890,41,2.25
21,54621,41,2.28
21,57352,41,2.38
21,60083,41,2.35
21,62814,41,2.34
21,65535,41,2.3
21,1,61,2.23
21,2732,61,2.24
21,5463,61,2.26
21,8194,61,2.31
21,10925,61,2.29
21,13656,61,2.19
21,16387,61,2.19
21,19118,61,2.13
21,21849,61,2.12
21,24580,61,2.07
21,27311,61,2.16
21,30042,61,2.2
21,32773,61,2.27
21,35504,61,2.22
21,38235,61,2.18
21,40966,61,2.13
21,43697,61,2.06
21,46428,61,2.08
21,49159,61,2.15
21,51890,61,2.2
21,54621,61,2.22
21,57352,61,2.32
21,60083,61,2.31
21,62814,61,2.26
21,65535,61,2.2
21,1,81,2.14
21,2732,81,2.17
21,5463,81,2.2
21,8194,81,2.26
21,10925,81,2.25
21,13656,81,2.16
21,16387,81,2.11
21,19118,81,2.04
21,21849,81,1.99
21,24580,81,1.97
21,27311,81,2.03
21,30042,81,2.09
21,32773,81,2.18
21,35504,81,2.2
21,38235,81,2.08
21,40966,81,2.01
21,43697,81,1.97
21,46428,81,1.96
21,49159,81,2.04
21,51890,81,2.12
21,54621,81,2.21
21,57352,81,2.25
21,60083,81,2.2
21,62814,81,2.17
21,65535,81,2.14
21,1,101,2.07
21,2732,101,2.04
21,5463,101,2.12
21,8194,101,2.23
21,10925,101,2.22
21,13656,101,2.12
21,16387,101,2.01
21,19118,101,1.95
21,21849,101,1.9
21,24580,101,1.89
21,27311,101,1.95
21,30042,101,2.06
21,32773,101,2.14
21,35504,101,2.12
21,38235,101,2.02
21,40966,101,1.96
21,43697,101,1.87
21,46428,101,1.89
21,49159,101,1.95
21,51890,101,2.04
21,54621,101,2.1
21,57352,101,2.22
21,60083,101,2.17
21,62814,101,2.08
21,65535,101,2.05
21,1,121,1.98
21,2732,121,1.99
21,5463,121,2.07
21,8194,121,2.15
21,10925,121,2.19
21,13656,121,2.07
21,16387,121,1.98
21,19118,121,1.92
21,21849,121,1.83
21,24580,121,1.84
21,27311,121,1.89
21,30042,121,1.97
21,32773,121,2.1
21,35504,121,2.05
21,38235,121,1.97
21,40966,121,1.86
21,43697,121,1.78
21,46428,121,1.82
21,49159,121,1.88
21,51890,121,1.95
21,54621,121,2.07
21,57352,121,2.14
21,60083,121,2.09
21,62814,121,2.03
21,65535,121,1.93
21,1,141,1.92
21,2732,141,1.93
21,5463,141,2
21,8194,141,2.1
21,10925,141,2.09
21,13656,141,2.06
21,16387,141,1.91
21,19118,141,1.82
21,21849,141,1.75
21,24580,141,1.81
21,27311,141,1.86
21,30042,141,1.93
21,32773,141,2.02
21,35504,141,2.04
21,38235,141,1.87
21,40966,141,1.82
21,43697,141,1.75
21,46428,141,1.75
21,49159,141,1.84
21,51890,141,1.94
21,54621,141,2.04
21,57352,141,2.12
21,60083,141,2.08
21,62814,141,1.98
21,65535,141,1.93
21,1,161,1.88
21,2732,161,1.91
21,5463,161,1.96
21,8194,161,2.08
21,10925,161,2.14
21,13656,161,1.99
21,16387,161,1.93
21,19118,161,1.82
21,21849,161,1.74
21,24580,161,1.72
21,27311,161,1.81
21,30042,161,1.88
21,32773,161,2.02
21,35504,161,1.95
21,38235,161,1.85
21,40966,161,1.74
21,43697,161,1.66
21,46428,161,1.7
21,49159,161,1.79
21,51890,161,1.88
21,54621,161,2.05
21,57352,161,2.09
21,60083,161,2.03
21,62814,161,1.99
21,65535,161,1.91
21,1,181,1.82
21,2732,181,1.85
21,5463,181,1.92
21,8194,181,2.08
21,10925,181,2.1
21,13656,181,1.96
21,16387,181,1.87
21,19118,181,1.78
21,21849,181,1.7
21,24580,181,1.68
21,27311,181,1.75
21,30042,181,1.9
21,32773,181,2.03
21,35504,181,1.94
21,38235,181,1.81
21,40966,181,1.72
21,43697,181,1.62
21,46428,181,1.64
21,49159,181,1.75
21,51890,181,1.83
21,54621,181,2.02
21,57352,181,2.02
21,60083,181,1.99
21,62814,181,1.91
21,65535,181,1.83
21,1,201,1.79
21,2732,201,1.82
21,5463,201,1.88
21,8194,201,2
21,10925,201,2.09
21,13656,201,1.98
21,16387,201,1.87
21,19118,201,1.72
21,21849,201,1.66
21,24580,201,1.65
21,27311,201,1.74
21,30042,201,1.86
21,32773,201,1.96
21,35504,201,1.96
21,38235,201,1.81
21,40966,201,1.7
21,43697,201,1.62
21,46428,201,1.64
21,49159,201,1.73
21,51890,201,1.84
21,54621,201,1.96
21,57352,201,2.08
21,60083,201,1.97
21,62814,201,1.91
21,65535,201,1.83
21,1,221,1.78
21,2732,221,1.78
21,5463,221,1.87
21,8194,221,2
21,10925,221,2.04
21,13656,221,1.99
21,16387,221,1.79
21,19118,221,1.73
21,21849,221,1.66
21,24580,221,1.62
21,27311,221,1.7
21,30042,221,1.79
21,32773,221,1.96
21,35504,221,1.91
21,38235,221,1.74
21,40966,221,1.62
