bri,mired,watt
1,153,0.45
1,163,0.52
1,173,0.54
1,183,0.52
1,193,0.45
1,203,0.46
1,213,0.51
1,223,0.52
1,233,0.51
1,243,0.47
1,253,0.49
1,263,0.51
1,273,0.59
1,283,0.44
1,293,0.52
1,303,0.52
1,313,0.47
1,323,0.47
1,333,0.55
1,343,0.45
1,353,0.5
1,363,0.44
1,373,0.53
1,383,0.46
1,393,0.5
1,403,0.48
1,413,0.55
1,423,0.49
1,433,0.52
1,443,0.53
1,453,0.55
1,463,0.49
1,473,0.47
1,483,0.48
1,493,0.54
1,500,0.5
6,153,1.79
6,163,2.15
6,173,2.11
6,183,2.11
6,193,2.15
6,203,2.14
6,213,2.19
6,223,2.16
6,233,2.12
6,243,2.19
6,253,2.13
6,263,2.17
6,273,2.14
6,283,2.13
6,293,2.13
6,303,2.13
6,313,2.19
6,323,2.19
6,333,2.15
6,343,2.22
6,353,2.1
6,363,2.1
6,373,2.12
6,383,2.17
6,393,2.23
6,403,2.14
6,413,2.18
6,423,2.21
6,433,2.17
6,443,2.12
6,453,2.23
6,463,2.15
6,473,2.16
6,483,2.14
6,493,2.13
6,500,1.79
11,153,2.01
11,163,2.38
11,173,2.32
11,183,2.33
11,193,2.36
11,203,2.33
11,213,2.29
11,223,2.35
11,233,2.31
11,243,2.38
11,253,2.31
11,263,2.32
11,273,2.33
11,283,2.33
11,293,2.33
11,303,2.34
11,313,2.3
11,323,2.29
11,333,2.35
11,343,2.35
11,353,2.37
11,363,2.3
11,373,2.31
11,383,2.33
11,393,2.33
11,403,2.36
11,413,2.29
11,423,2.33
11,433,2.28
11,443,2.24
11,453,2.34
11,463,2.31
11,473,2.39
11,483,2.27
11,493,2.39
11,500,1.94
16,153,2.19
16,163,2.56
16,173,2.53
16,183,2.5
16,193,2.57
16,203,2.49
16,213,2.54
16,223,2.46
16,233,2.49
16,243,2.48
16,253,2.41
16,263,2.42
16,273,2.48
16,283,2.4
16,293,2.4
16,303,2.46
16,313,2.45
16,323,2.47
16,333,2.48
16,343,2.44
16,353,2.43
16,363,2.46
16,373,2.45
16,383,2.45
16,393,2.49
16,403,2.44
16,413,2.53
16,423,2.51
16,433,2.46
16,443,2.47
16,453,2.46
16,463,2.52
16,473,2.41
16,483,2.46
16,493,2.52
16,500,2.1
21,153,2.35
21,163,2.61
21,173,2.72
21,183,2.63
21,193,2.74
21,203,2.66
21,213,2.67
21,223,2.66
21,233,2.66
21,243,2.63
21,253,2.63
21,263,2.58
21,273,2.6
21,283,2.59
21,293,2.67
21,303,2.66
21,313,2.65
21,323,2.62
21,333,2.64
21,343,2.64
21,353,2.57
21,363,2.64
21,373,2.56
21,383,2.59
21,393,2.59
21,403,2.6
21,413,2.61
21,423,2.62
21,433,2.64
21,443,2.56
21,453,2.56
21,463,2.64
21,473,2.63
21,483,2.58
21,493,2.6
21,500,2.31
26,153,2.41
26,163,2.87
26,173,2.83
26,183,2.81
26,193,2.8
26,203,2.82
26,213,2.79
26,223,2.84
26,233,2.85
26,243,2.71
26,253,2.77
26,263,2.78
26,273,2.77
26,283,2.72
26,293,2.77
26,303,2.83
26,313,2.85
26,323,2.76
26,333,2.82
26,343,2.76
26,353,2.77
26,363,2.7
26,373,2.83
26,383,2.77
26,393,2.79
26,403,2.79
26,413,2.79
26,423,2.75
26,433,2.82
26,443,2.81
26,453,2.76
26,463,2.75
26,473,2.84
26,483,2.78
26,493,2.77
26,500,2.37
31,153,2.64
31,163,3.03
31,173,2.92
31,183,2.96
31,193,2.97
31,203,2.97
31,213,2.97
31,223,2.99
31,233,2.98
31,243,2.97
31,253,3.02
31,263,2.97
31,273,2.91
31,283,2.97
31,293,3.03
31,303,2.97
31,313,2.96
31,323,2.91
31,333,2.92
31,343,2.93
31,353,2.91
31,363,2.92
31,373,2.91
31,383,2.95
31,393,2.91
31,403,2.92
31,413,2.98
31,423,2.94
31,433,2.98
31,443,2.98
31,453,2.94
31,463,2.96
31,473,2.88
31,483,2.95
31,493,2.9
31,500,2.63
36,153,2.91
36,163,3.22
36,173,3.17
36,183,3.17
36,193,3.1
36,203,3.1
36,213,3.13
36,223,3.15
36,233,3.15
36,243,3.11
36,253,3.12
36,263,3.1
36,273,3.1
36,283,3.12
36,293,3.13
36,303,3.09
36,313,3.01
36,323,3.05
36,333,3.15
36,343,3.13
36,353,3.05
36,363,3.06
36,373,3.0
36,383,3.06
36,393,3.12
36,403,3.07
36,413,3.12
36,423,3.07
36,433,3.07
36,443,3.1
36,453,3.1
36,463,3.07
36,473,3.07
36,483,3.09
36,493,3.08
36,500,2.7
41,153,2.98
41,163,3.34
41,173,3.32
41,183,3.23
41,193,3.34
41,203,3.3
41,213,3.26
41,223,3.31
41,233,3.3
41,243,3.27
41,253,3.28
41,263,3.28
41,273,3.23
41,283,3.32
41,293,3.28
41,303,3.25
41,313,3.2
41,323,3.24
41,333,3.29
41,343,3.17
41,353,3.19
41,363,3.29
41,373,3.29
41,383,3.2
41,393,3.18
41,403,3.27
41,413,3.19
41,423,3.29
41,433,3.15
41,443,3.22
41,453,3.25
41,463,3.2
41,473,3.31
41,483,3.24
41,493,3.28
41,500,2.87
46,153,3.19
46,163,3.54
46,173,3.5
46,183,3.48
46,193,3.44
46,203,3.46
46,213,3.41
46,223,3.47
46,233,3.42
46,243,3.39
46,253,3.42
46,263,3.39
46,273,3.35
46,283,3.37
46,293,3.46
46,303,3.46
46,313,3.4
46,323,3.41
46,333,3.46
46,343,3.43
46,353,3.43
46,363,3.39
46,373,3.44
46,383,3.35
46,393,3.37
46,403,3.36
46,413,3.33
46,423,3.39
46,433,3.43
46,443,3.4
46,453,3.37
46,463,3.48
46,473,3.39
46,483,3.43
46,493,3.48
46,500,3.01
51,153,3.31
51,163,3.62
51,173,3.62
51,183,3.64
51,193,3.58
51,203,3.57
51,213,3.59
51,223,3.61
51,233,3.59
51,243,3.59
51,253,3.6
51,263,3.54
51,273,3.6
51,283,3.51
51,293,3.51
51,303,3.61
51,313,3.56
51,323,3.55
51,333,3.59
51,343,3.5
51,353,3.61
51,363,3.54
51,373,3.63
51,383,3.58
51,393,3.59
51,403,3.52
51,413,3.54
51,423,3.56
51,433,3.55
51,443,3.57
51,453,3.57
51,463,3.59
51,473,3.54
51,483,3.55
51,493,3.62
51,500,3.13
56,153,3.46
56,163,3.75
56,173,3.79
56,183,3.77
56,193,3.79
56,203,3.77
56,213,3.8
56,223,3.81
56,233,3.78
56,243,3.74
56,253,3.75
56,263,3.73
56,273,3.79
56,283,3.69
56,293,3.73
56,303,3.77
56,313,3.79
56,323,3.7
56,333,3.67
56,343,3.73
56,353,3.72
56,363,3.75
56,373,3.72
56,383,3.69
56,393,3.72
56,403,3.68
56,413,3.75
56,423,3.72
56,433,3.69
56,443,3.73
56,453,3.72
56,463,3.69
56,473,3.76
56,483,3.71
56,493,3.8
56,500,3.35
61,153,3.6
61,163,3.96
61,173,4.0
61,183,3.95
61,193,3.99
61,203,4.01
61,213,3.95
61,223,3.9
61,233,3.99
61,243,3.96
61,253,3.87
61,263,3.98
61,273,3.92
61,283,3.84
61,293,3.92
61,303,3.92
61,313,4.0
61,323,3.93
61,333,3.94
61,343,3.92
61,353,3.91
61,363,3.85
61,373,3.83
61,383,3.87
61,393,3.86
61,403,3.85
61,413,3.94
61,423,3.93
61,433,3.91
61,443,3.9
61,453,3.87
61,463,3.84
61,473,3.86
61,483,3.83
61,493,3.93
61,500,3.56
66,153,3.81
66,163,4.12
66,173,4.12
66,183,4.16
66,193,4.15
66,203,4.14
66,213,4.13
66,223,4.21
66,233,4.09
66,243,4.12
66,253,4.2
66,263,4.12
66,273,4.07
66,283,4.09
66,293,4.07
66,303,4.07
66,313,4.07
66,323,4.11
66,333,4.03
66,343,4.09
66,353,4.09
66,363,4.11
