bri,hue,sat,watt
1,1,1,0.51
1,2732,1,0.54
1,5463,1,0.54
1,8194,1,0.53
1,10925,1,0.51
1,13656,1,0.49
1,16387,1,0.61
1,19118,1,0.51
1,21849,1,0.52
1,24580,1,0.45
1,27311,1,0.5
1,30042,1,0.51
1,32773,1,0.54
1,35504,1,0.49
1,38235,1,0.48
1,40966,1,0.56
1,43697,1,0.51
1,46428,1,0.5
1,49159,1,0.54
1,51890,1,0.53
1,54621,1,0.53
1,57352,1,0.46
1,60083,1,0.49
1,62814,1,0.52
1,65535,1,0.48
1,1,33,0.5
1,2732,33,0.48
1,5463,33,0.51
1,8194,33,0.5
1,10925,33,0.5
1,13656,33,0.48
1,16387,33,0.51
1,19118,33,0.5
1,21849,33,0.56
1,24580,33,0.52
1,27311,33,0.52
1,30042,33,0.48
1,32773,33,0.45
1,35504,33,0.5
1,38235,33,0.49
1,40966,33,0.46
1,43697,33,0.57
1,46428,33,0.51
1,49159,33,0.39
1,51890,33,0.54
1,54621,33,0.56
1,57352,33,0.46
1,60083,33,0.55
1,62814,33,0.48
1,65535,33,0.57
1,1,65,0.58
1,2732,65,0.4
1,5463,65,0.48
1,8194,65,0.55
1,10925,65,0.54
1,13656,65,0.51
1,16387,65,0.54
1,19118,65,0.54
1,21849,65,0.52
1,24580,65,0.47
1,27311,65,0.46
1,30042,65,0.53
1,32773,65,0.48
1,35504,65,0.54
1,38235,65,0.48
1,40966,65,0.44
1,43697,65,0.52
1,46428,65,0.5
1,49159,65,0.51
1,51890,65,0.49
1,54621,65,0.49
1,57352,65,0.54
1,60083,65,0.52
1,62814,65,0.54
1,65535,65,0.48
1,1,97,0.48
1,2732,97,0.48
1,5463,97,0.51
1,8194,97,0.53
1,10925,97,0.51
1,13656,97,0.47
1,16387,97,0.58
1,19118,97,0.49
1,21849,97,0.5
1,24580,97,0.47
1,27311,97,0.45
1,30042,97,0.44
1,32773,97,0.44
1,35504,97,0.53
1,38235,97,0.53
1,40966,97,0.57
1,43697,97,0.49
1,46428,97,0.54
1,49159,97,0.51
1,51890,97,0.52
1,54621,97,0.41
1,57352,97,0.58
1,60083,97,0.5
1,62814,97,0.54
1,65535,97,0.5
1,1,129,0.5
1,2732,129,0.48
1,5463,129,0.5
1,8194,129,0.52
1,10925,129,0.54
1,13656,129,0.49
1,16387,129,0.54
1,19118,129,0.49
1,21849,129,0.48
1,24580,129,0.48
1,27311,129,0.56
1,30042,129,0.54
1,32773,129,0.46
1,35504,129,0.48
1,38235,129,0.5
1,40966,129,0.48
1,43697,129,0.47
1,46428,129,0.49
1,49159,129,0.44
1,51890,129,0.54
1,54621,129,0.55
1,57352,129,0.55
1,60083,129,0.58
1,62814,129,0.51
1,65535,129,0.45
1,1,161,0.49
1,2732,161,0.53
1,5463,161,0.54
1,8194,161,0.52
1,10925,161,0.49
1,13656,161,0.53
1,16387,161,0.47
1,19118,161,0.51
1,21849,161,0.58
1,24580,161,0.57
1,27311,161,0.51
1,30042,161,0.49
1,32773,161,0.56
1,35504,161,0.5
1,38235,161,0.52
1,40966,161,0.43
1,43697,161,0.53
1,46428,161,0.49
1,49159,161,0.51
1,51890,161,0.53
1,54621,161,0.49
1,57352,161,0.49
1,60083,161,0.45
1,62814,161,0.51
1,65535,161,0.51
1,1,193,0.48
1,2732,193,0.5
1,5463,193,0.54
1,8194,193,0.47
1,10925,193,0.54
1,13656,193,0.56
1,16387,193,0.53
1,19118,193,0.47
1,21849,193,0.51
1,24580,193,0.51
1,27311,193,0.5
1,30042,193,0.53
1,32773,193,0.52
1,35504,193,0.5
1,38235,193,0.46
1,40966,193,0.57
1,43697,193,0.53
1,46428,193,0.58
1,49159,193,0.5
1,51890,193,0.54
1,54621,193,0.54
1,57352,193,0.47
1,60083,193,0.55
1,62814,193,0.6
1,65535,193,0.58
1,1,225,0.47
1,2732,225,0.44
1,5463,225,0.58
1,8194,225,0.51
1,10925,225,0.53
1,13656,225,0.46
1,16387,225,0.5
1,19118,225,0.51
1,21849,225,0.51
1,24580,225,0.53
1,27311,225,0.49
1,30042,225,0.51
1,32773,225,0.48
1,35504,225,0.54
1,38235,225,0.51
1,40966,225,0.52
1,43697,225,0.54
1,46428,225,0.55
1,49159,225,0.55
1,51890,225,0.55
1,54621,225,0.48
1,57352,225,0.52
1,60083,225,0.55
1,62814,225,0.53
1,65535,225,0.49
1,1,255,0.55
1,2732,255,0.46
1,5463,255,0.57
1,8194,255,0.52
1,10925,255,0.5
1,13656,255,0.48
1,16387,255,0.54
1,19118,255,0.54
1,21849,255,0.54
1,24580,255,0.51
1,27311,255,0.56
1,30042,255,0.49
1,32773,255,0.51
1,35504,255,0.51
1,38235,255,0.54
1,40966,255,0.52
1,43697,255,0.52
1,46428,255,0.52
1,49159,255,0.54
1,51890,255,0.51
1,54621,255,0.5
1,57352,255,0.53
1,60083,255,0.52
1,62814,255,0.56
1,65535,255,0.53
33,1,1,0.78
33,2732,1,0.62
33,5463,1,0.77
33,8194,1,0.76
33,10925,1,0.74
33,13656,1,0.71
33,16387,1,0.67
33,19118,1,0.65
33,21849,1,0.73
33,24580,1,0.78
33,27311,1,0.71
33,30042,1,0.71
33,32773,1,0.72
33,35504,1,0.78
33,38235,1,0.75
33,40966,1,0.74
33,43697,1,0.65
33,46428,1,0.69
33,49159,1,0.74
33,51890,1,0.71
33,54621,1,0.76
33,57352,1,0.73
33,60083,1,0.69
33,62814,1,0.78
33,65535,1,0.69
33,1,33,0.72
33,2732,33,0.73
33,5463,33,0.7
33,8194,33,0.71
33,10925,33,0.72
33,13656,33,0.75
33,16387,33,0.76
33,19118,33,0.68
33,21849,33,0.77
33,24580,33,0.69
33,27311,33,0.64
33,30042,33,0.75
33,32773,33,0.71
33,35504,33,0.7
33,38235,33,0.76
33,40966,33,0.74
33,43697,33,0.72
33,46428,33,0.73
33,49159,33,0.69
33,51890,33,0.68
33,54621,33,0.73
33,57352,33,0.76
33,60083,33,0.7
33,62814,33,0.7
33,65535,33,0.76
33,1,65,0.76
33,2732,65,0.6
33,5463,65,0.7
33,8194,65,0.81
33,10925,65,0.77
33,13656,65,0.69
33,16387,65,0.71
33,19118,65,0.71
33,21849,65,0.74
33,24580,65,0.73
33,27311,65,0.72
33,30042,65,0.75
33,32773,65,0.67
33,35504,65,0.72
33,38235,65,0.74
33,40966,65,0.78
33,43697,65,0.72
33,46428,65,0.69
33,49159,65,0.73
33,51890,65,0.75
33,54621,65,0.75
33,57352,65,0.72
33,60083,65,0.72
33,62814,65,0.69
33,65535,65,0.68
33,1,97,0.67
33,2732,97,0.69
33,5463,97,0.76
33,8194,97,0.74
33,10925,97,0.71
33,13656,97,0.76
33,16387,97,0.74
33,19118,97,0.79
33,21849,97,0.71
33,24580,97,0.67
33,27311,97,0.74
33,30042,97,0.75
33,32773,97,0.68
33,35504,97,0.71
33,38235,97,0.74
33,40966,97,0.67
33,43697,97,0.62
33,46428,97,0.74
33,49159,97,0.71
33,51890,97,0.68
33,54621,97,0.67
33,57352,97,0.76
33,60083,97,0.72
33,62814,97,0.7
33,65535,97,0.7
33,1,129,0.66
33,2732,129,0.77
33,5463,129,0.82
33,8194,129,0.75
33,10925,129,0.76
33,13656,129,0.74
33,16387,129,0.72
33,19118,129,0.71
33,21849,129,0.7
33,24580,129,0.7
33,27311,129,0.76
33,30042,129,0.79
33,32773,129,0.77
33,35504,129,0.76
33,38235,129,0.75
33,40966,129,0.74
33,43697,129,0.71
33,46428,129,0.73
33,49159,129,0.71
33,51890,129,0.74
33,54621,129,0.7
33,57352,129,0.68
33,60083,129,0.8
33,62814,129,0.77
33,65535,129,0.7
33,1,161,0.68
33,2732,161,0.68
33,5463,161,0.76
33,8194,161,0.71
33,10925,161,0.69
33,13656,161,0.71
33,16387,161,0.68
33,19118,161,0.68
33,21849,161,0.77
33,24580,161,0.67
33,27311,161,0.77
33,30042,161,0.7
33,32773,161,0.77
33,35504,161,0.77
33,38235,161,0.77
33,40966,161,0.74
33,43697,161,0.67
33,46428,161,0.74
33,49159,161,0.74
33,51890,161,0.68
33,54621,161,0.72
33,57352,161,0.71
33,60083,161,0.69
33,62814,161,0.67
33,65535,161,0.72
33,1,193,0.73
33,2732,193,0.75
33,5463,193,0.74
33,8194,193,0.72
33,10925,193,0.66
33,13656,193,0.74
33,16387,193,0.67
33,19118,193,0.69
33,21849,193,0.7
33,24580,193,0.76
33,27311,193,0.72
33,30042,193,0.7
33,32773,193,0.73
33,35504,193,0.68
33,38235,193,0.73
33,40966,193,0.73
33,43697,193,0.72
33,46428,193,0.7
33,49159,193,0.67
33,51890,193,0.71
33,54621,193,0.71
33,57352,193,0.76
33,60083,193,0.68
33,62814,193,0.74
33,65535,193,0.78
33,1,225,0.69
33,2732,225,0.73
33,5463,225,0.69
33,8194,225,0.7
33,10925,225,0.69
33,13656,225,0.76
33,16387,225,0.7
33,19118,225,0.69
33,21849,225,0.8
33,24580,225,0.7
33,27311,225,0.76
33,30042,225,0.79
33,32773,225,0.66
33,35504,225,0.67
33,38235,225,0.75
33,40966,225,0.71
33,43697,225,0.74
33,46428,225,0.71
33,49159,225,0.69
33,51890,225,0.77
33,54621,225,0.74
33,57352,225,0.72
33,60083,225,0.74
33,62814,225,0.77
33,65535,225,0.72
33,1,255,0.7
33,2732,255,0.69
33,5463,255,0.71
33,8194,255,0.76
33,10925,255,0.71
33,13656,255,0.76
33,16387,255,0.7
33,19118,255,0.72
33,21849,255,0.77
33,24580,255,0.72
33,27311,255,0.76
33,30042,255,0.69
33,32773,255,0.73
33,35504,255,0.81
33,38235,255,0.77
33,40966,255,0.71
33,43697,255,0.78
33,46428,255,0.77
33,49159,255,0.74
33,51890,255,0.73
33,54621,255,0.7
33,57352,255,0.72
33,60083,255,0.72
33,62814,255,0.74
33,65535,255,0.72
65,1,1,0.86
65,2732,1,0.88
65,5463,1,0.77
65,8194,1,0.88
65,10925,1,0.82
65,13656,1,0.78
65,16387,1,0.86
65,19118,1,0.91
65,21849,1,0.81
65,24580,1,0.87
65,27311,1,0.83
65,30042,1,0.9
65,32773,1,0.88
65,35504,1,0.87
65,38235,1,0.84
65,40966,1,0.82
65,43697,1,0.87
65,46428,1,0.82
65,49159,1,0.81
65,51890,1,0.83
65,54621,1,0.91
65,57352,1,0.89
65,60083,1,0.8
65,62814,1,0.79
65,65535,1,0.79
65,1,33,0.82
65,2732,33,0.85
65,5463,33,0.89
65,8194,33,0.81
65,10925,33,0.83
65,13656,33,0.85
65,16387,33,0.77
65,19118,33,0.78
65,21849,33,0.85
65,24580,33,0.81
65,27311,33,0.84
65,30042,33,0.85
65,32773,33,0.81
65,35504,33,0.84
65,38235,33,0.8
65,40966,33,0.82
65,43697,33,0.88
65,46428,33,0.85
65,49159,33,0.79
65,51890,33,0.86
65,54621,33,0.8
65,57352,33,0.8
65,60083,33,0.83
65,62814,33,0.9
65,65535,33,0.87
65,1,65,0.83
65,2732,65,0.87
65,5463,65,0.86
65,8194,65,0.83
65,10925,65,0.88
65,13656,65,0.81
65,16387,65,0.88
65,19118,65,0.89
65,21849,65,0.81
65,24580,65,0.86
65,27311,65,0.81
65,30042,65,0.79
65,32773,65,0.87
65,35504,65,0.82
65,38235,65,0.83
65,40966,65,0.85
65,43697,65,0.9
65,46428,65,0.82
65,49159,65,0.81
65,51890,65,0.81
65,54621,65,0.8
65,57352,65,0.85
65,60083,65,0.82
65,62814,65,0.81
65,65535,65,0.85
65,1,97,0.85
65,2732,97,0.86
65,5463,97,0.83
65,8194,97,0.88
65,10925,97,0.85
65,13656,97,0.89
65,16387,97,0.82
65,19118,97,0.83
65,21849,97,0.88
65,24580,97,0.83
65,27311,97,0.82
65,30042,97,0.87
65,32773,97,0.83
65,35504,97,0.81
65,38235,97,0.81
65,40966,97,0.84
65,43697,97,0.84
65,46428,97,0.83
65,49159,97,0.8
65,51890,97,0.91
65,54621,97,0.85
65,57352,97,0.85
65,60083,97,0.81
65,62814,97,0.86
65,65535,97,0.87
65,1,129,0.84
65,2732,129,0.83
65,5463,129,0.85
65,8194,129,0.88
65,10925,129,0.85
65,13656,129,0.87
65,16387,129,0.83
65,19118,129,0.79
65,21849,129,0.81
65,24580,129,0.85
65,27311,129,0.84
65,30042,129,0.8
65,32773,129,0.81
65,35504,129,0.82
65,38235,129,0.84
65,40966,129,0.79
65,43697,129,0.85
65,46428,129,0.85
65,49159,129,0.85
65,51890,129,0.83
65,54621,129,0.84
65,57352,129,0.82
65,60083,129,0.8
65,62814,129,0.86
65,65535,129,0.9
65,1,161,0.86
65,2732,161,0.83
65,5463,161,0.82
65,8194,161,0.77
65,10925,161,0.79
65,13656,161,0.83
65,16387,161,0.76
65,19118,161,0.85
65,21849,161,0.81
65,24580,161,0.84
65,27311,161,0.89
65,30042,161,0.79
65,32773,161,0.89
65,35504,161,0.87
65,38235,161,0.87
65,40966,161,0.82
65,43697,161,0.84
65,46428,161,0.85
65,49159,161,0.82
65,51890,161,0.83
65,54621,161,0.86
65,57352,161,0.85
65,60083,161,0.85
65,62814,161,0.8
65,65535,161,0.85
65,1,193,0.79
65,2732,193,0.87
65,5463,193,0.87
65,8194,193,0.84
65,10925,193,0.86
65,13656,193,0.85
65,16387,193,0.84
65,19118,193,0.87
65,21849,193,0.79
65,24580,193,0.88
65,27311,193,0.89
65,30042,193,0.84
65,32773,193,0.8
65,35504,193,0.81
65,38235,193,0.73
65,40966,193,0.87
65,43697,193,0.76
65,46428,193,0.83
65,49159,193,0.83
65,51890,193,0.88
65,54621,193,0.85
65,57352,193,0.84
65,60083,193,0.83
65,62814,193,0.82
65,65535,193,0.88
65,1,225,0.87
65,2732,225,0.86
65,5463,225,0.87
65,8194,225,0.8
65,10925,225,0.84
65,13656,225,0.8
65,16387,225,0.84
65,19118,225,0.87
65,21849,225,0.83
65,24580,225,0.83
65,27311,225,0.82
65,30042,225,0.92
65,32773,225,0.92
65,35504,225,0.86
65,38235,225,0.82
65,40966,225,0.79
65,43697,225,0.79
65,46428,225,0.83
65,49159,225,0.85
65,51890,225,0.86
65,54621,225,0.84
65,57352,225,0.84
65,60083,225,0.78
65,62814,225,0.79
65,65535,225,0.86
65,1,255,0.9
65,2732,255,0.85
65,5463,255,0.88
65,8194,255,0.9
65,10925,255,0.89
65,13656,255,0.82
65,16387,255,0.86
65,19118,255,0.91
65,21849,255,0.86
65,24580,255,0.86
65,27311,255,0.92
65,30042,255,0.86
65,32773,255,0.85
65,35504,255,0.77
65,38235,255,0.89
65,40966,255,0.85
65,43697,255,0.85
65,46428,255,0.78
65,49159,255,0.83
65,51890,255,0.84
65,54621,255,0.84
65,57352,255,0.85
65,60083,255,0.79
65,62814,255,0.91
65,65535,255,0.89
97,1,1,0.99
97,2732,1,0.97
97,5463,1,1.0
97,8194,1,1.0
97,10925,1,0.89
97,13656,1,0.87
97,16387,1,0.94
97,19118,1,0.98
97,21849,1,0.97
97,24580,1,0.95
97,27311,1,0.9
97,30042,1,1.04
97,32773,1,0.92
97,35504,1,0.92
97,38235,1,0.97
97,40966,1,0.99
97,43697,1,0.92
97,46428,1,0.93
97,49159,1,0.94
97,51890,1,0.96
97,54621,1,0.92
97,57352,1,1.01
97,60083,1,0.98
97,62814,1,1.01
97,65535,1,1.0
97,1,33,1.0
97,2732,33,0.94
97,5463,33,0.96
97,8194,33,0.95
97,10925,33,0.97
97,13656,33,0.97
97,16387,33,0.97
97,19118,33,1.02
97,21849,33,0.93
97,24580,33,1.03
97,27311,33,0.99
97,30042,33,0.97
97,32773,33,0.97
97,35504,33,0.96
97,38235,33,0.98
97,40966,33,0.96
97,43697,33,0.9
97,46428,33,0.92
97,49159,33,0.97
97,51890,33,0.98
97,54621,33,0.97
97,57352,33,0.93
97,60083,33,0.98
97,62814,33,0.98
97,65535,33,1.02
97,1,65,1.04
97,2732,65,0.99
97,5463,65,0.94
97,8194,65,0.95
97,10925,65,0.98
97,13656,65,1.01
97,16387,65,1.04
97,19118,65,0.96
97,21849,65,0.93
97,24580,65,0.96
97,27311,65,0.99
97,30042,65,0.98
97,32773,65,1.02
97,35504,65,1.01
97,38235,65,0.94
97,40966,65,0.93
97,43697,65,1.0
97,46428,65,0.93
97,49159,65,0.91
97,51890,65,0.91
97,54621,65,0.96
97,57352,65,0.98
97,60083,65,0.95
97,62814,65,0.94
97,65535,65,1.02
97,1,97,0.97
97,2732,97,0.95
97,5463,97,0.97
97,8194,97,0.99
97,10925,97,0.97
97,13656,97,0.96
97,16387,97,1.0
97,19118,97,0.93
97,21849,97,0.94
97,24580,97,0.99
97,27311,97,0.99
97,30042,97,0.95
97,32773,97,0.95
97,35504,97,0.96
97,38235,97,0.97
97,40966,97,0.94
97,43697,97,0.91
97,46428,97,1.03
97,49159,97,0.88
97,51890,97,0.92
97,54621,97,0.98
97,57352,97,0.93
97,60083,97,0.96
97,62814,97,1.02
97,65535,97,0.97
97,1,129,0.96
97,2732,129,0.99
97,5463,129,0.89
97,8194,129,0.95
97,10925,129,0.97
97,13656,129,0.93
97,16387,129,0.93
97,19118,129,0.9
97,21849,129,0.98
97,24580,129,0.95
97,27311,129,1.01
97,30042,129,0.94
97,32773,129,0.96
97,35504,129,0.92
97,38235,129,1.0
97,40966,129,1.0
97,43697,129,0.94
97,46428,129,0.95
97,49159,129,0.92
97,51890,129,1.01
97,54621,129,0.99
97,57352,129,0.97
97,60083,129,0.96
97,62814,129,0.95
97,65535,129,0.95
97,1,161,1.02
97,2732,161,0.94
97,5463,161,0.94
97,8194,161,0.91
97,10925,161,1.01
97,13656,161,0.96
97,16387,161,0.95
97,19118,161,0.94
97,21849,161,0.9
97,24580,161,0.89
97,27311,161,0.94
97,30042,161,0.91
97,32773,161,0.99
97,35504,161,0.92
97,38235,161,0.94
97,40966,161,0.96
97,43697,161,0.98
97,46428,161,0.97
97,49159,161,0.92
97,51890,161,0.93
97,54621,161,1.01
97,57352,161,0.98
97,60083,161,0.95
97,62814,161,1.03
97,65535,161,1.0
97,1,193,0.96
97,2732,193,0.96
97,5463,193,0.94
97,8194,193,0.92
97,10925,193,0.96
97,13656,193,0.94
97,16387,193,0.94
97,19118,193,1.06
97,21849,193,1.01
97,24580,193,1.0
97,27311,193,1.01
97,30042,193,0.93
97,32773,193,0.97
97,35504,193,0.95
97,38235,193,1.01
97,40966,193,0.93
97,43697,193,1.0
97,46428,193,0.97
97,49159,193,0.95
97,51890,193,0.96
97,54621,193,0.97
97,57352,193,0.94
97,60083,193,0.96
97,62814,193,0.98
97,65535,193,0.94
97,1,225,1.05
97,2732,225,0.97
97,5463,225,0.99
97,8194,225,0.88
97,10925,225,0.95
97,13656,225,0.97
97,16387,225,0.98
97,19118,225,0.97
97,21849,225,0.9
97,24580,225,0.96
97,27311,225,0.92
97,30042,225,0.92
97,32773,225,0.91
97,35504,225,0.97
97,38235,225,0.93
97,40966,225,0.96
97,43697,225,0.92
97,46428,225,0.9
97,49159,225,0.93
97,51890,225,0.91
97,54621,225,0.9
97,57352,225,0.92
97,60083,225,0.97
97,62814,225,0.96
97,65535,225,0.98
97,1,255,0.96
97,2732,255,1.0
97,5463,255,0.99
97,8194,255,1.01
97,10925,255,0.88
97,13656,255,0.98
97,16387,255,0.95
97,19118,255,1.06
97,21849,255,1.03
97,24580,255,0.93
97,27311,255,0.96
97,30042,255,0.99
97,32773,255,0.91
97,35504,255,0.93
97,38235,255,0.99
97,40966,255,0.97
97,43697,255,0.94
97,46428,255,0.99
97,49159,255,0.94
97,51890,255,0.96
97,54621,255,1.05
97,57352,255,1.01
97,60083,255,0.95
97,62814,255,1.04
97,65535,255,0.95
129,1,1,1.07
129,2732,1,1.1
129,5463,1,1.07
129,8194,1,1.18
129,10925,1,1.09
129,13656,1,1.08
