bri,mired,watt
1,153,0.41
1,163,0.31
1,173,0.36
1,183,0.35
1,193,0.37
1,203,0.3
1,213,0.35
1,223,0.36
1,233,0.34
1,243,0.34
1,253,0.36
1,263,0.4
1,273,0.42
1,283,0.34
1,293,0.33
1,303,0.36
1,313,0.34
1,323,0.32
1,333,0.38
1,343,0.31
1,353,0.36
1,363,0.4
1,373,0.33
1,383,0.32
1,393,0.35
1,403,0.36
1,413,0.3
1,423,0.36
1,433,0.33
1,443,0.34
1,453,0.32
1,463,0.35
1,473,0.34
1,483,0.38
1,493,0.4
1,500,0.33
6,153,4.69
6,163,4.72
6,173,4.71
6,183,4.6
6,193,4.7
6,203,4.67
6,213,4.68
6,223,4.72
6,233,4.69
6,243,4.69
6,253,4.74
6,263,4.67
6,273,4.71
6,283,4.7
6,293,4.7
6,303,4.6
6,313,4.72
6,323,4.62
6,333,4.7
6,343,4.66
6,353,4.65
6,363,4.69
6,373,4.69
6,383,4.66
6,393,4.67
6,403,4.71
6,413,4.7
6,423,4.69
6,433,4.67
6,443,4.71
6,453,4.72
6,463,4.67
6,473,4.66
6,483,4.75
6,493,4.72
6,500,3.75
11,153,5.09
11,163,5.05
11,173,5.03
11,183,5.05
11,193,5.08
11,203,5.07
11,213,5.01
11,223,5.11
11,233,5.01
11,243,5.07
11,253,5.07
11,263,4.97
11,273,5.05
11,283,5.04
11,293,5.07
11,303,5.06
11,313,4.96
11,323,5.08
11,333,5.03
11,343,5.05
11,353,5.07
11,363,5.08
11,373,5.07
11,383,5.09
11,393,5.06
11,403,5.12
11,413,5.05
11,423,5.06
11,433,5.05
11,443,5.07
11,453,5.05
11,463,5.1
11,473,5.16
11,483,5.07
11,493,5.15
11,500,4.11
16,153,5.46
16,163,5.46
16,173,5.44
16,183,5.44
16,193,5.54
16,203,5.48
16,213,5.42
16,223,5.4
16,233,5.41
16,243,5.51
16,253,5.4
16,263,5.4
16,273,5.42
16,283,5.49
16,293,5.44
16,303,5.48
16,313,5.43
16,323,5.47
16,333,5.47
16,343,5.44
16,353,5.52
16,363,5.48
16,373,5.5
16,383,5.48
16,393,5.46
16,403,5.39
16,413,5.4
16,423,5.43
16,433,5.47
16,443,5.51
16,453,5.41
16,463,5.52
16,473,5.52
16,483,5.51
16,493,5.47
16,500,4.69
21,153,4.9
21,163,5.35
21,173,5.88
21,183,5.83
21,193,5.9
21,203,5.81
21,213,5.87
21,223,5.81
21,233,5.84
21,243,5.82
21,253,5.89
21,263,5.81
21,273,5.92
21,283,5.89
21,293,5.88
21,303,5.85
21,313,5.87
21,323,5.8
21,333,5.82
